type,title,link
VIDEO,Watch,https://www.youtube.com/watch?v=LAecSyiMKyQ
VIDEO,How Close Are We to True Artificial General Intelligence? | OpenAI’s Greg Brockman Speaks to TIME,https://www.youtube.com/watch?v=dnSpKF5pWNQ&pp=ugUEEgJlbg%3D%3D
VIDEO,THE SOCIAL RECKONING – New Trailer (4K),https://www.youtube.com/watch?v=MfHEZw7Xw_c
VIDEO,What happens to your brain without any social contact? - Terry Kupers,https://www.youtube.com/watch?v=USW8yf4L-R4&pp=0gcJCRoMAYcqIYzv
VIDEO,Great Investors Are Impatiently Patient: Thrive Capital’s Miles Grimshaw,https://www.youtube.com/watch?v=MZ14rrkHVbg&pp=ugUHEgVlbi1VUw%3D%3D
VIDEO,"Daredevil Hiker Stuck On Ledge Calls 911 With One Hand, Holds On With Other",https://www.youtube.com/watch?v=OMK9U783A1I&pp=ugUEEgJlbg%3D%3D
VIDEO,low cortisol jazz for mental clarity.,https://www.youtube.com/watch?v=S-1PHTH9mj4&pp=0gcJCRoMAYcqIYzv
VIDEO,Germany vows retaliation for Russian drone attack,https://www.youtube.com/watch?v=Stkvc_XL5E0
VIDEO,The Death of Educational Content on YouTube,https://www.youtube.com/watch?v=-Gnrp_caPvo
VIDEO,You’ll see this when you’re in between phases of life (then never again),https://www.youtube.com/watch?v=XZnuIIcc8VY&pp=ugUEEgJlbg%3D%3D
VIDEO,Incredible Dog Challenge 2026: Surfing Western Regional | NBC Sports,https://www.youtube.com/watch?v=oFHjFTzBUFg&pp=ugUEEgJlbg%3D%3D
VIDEO,Harry Potter and the Philosopher's Stone | Official Teaser Trailer | HBO Max,https://www.youtube.com/watch?v=1RnyZgfN-JY&pp=0gcJCRoMAYcqIYzv
VIDEO,A new WORLD RECORD! 🥇🇨🇳 | 100m Freestyle Final | Paris 2024,https://www.youtube.com/watch?v=XrkS2wJrrzY&pp=ugUEEgJlbg%3D%3D
VIDEO,NYC bans generative AI in schools through eighth grade,https://www.youtube.com/watch?v=FiWm8MR59Lw
VIDEO,EXCLUSIVE: Oversight Dems meet on USPS whistleblower's revelations about new mail-in ballot system,https://www.youtube.com/watch?v=KCvnxnc7OrM
VIDEO,Lindsay Clancy jury remains deadlocked after 5 days of deliberations,https://www.youtube.com/watch?v=Ab3xcSUhN6I
VIDEO,Who Actually Makes Trader Joe’s Food?,https://www.youtube.com/watch?v=zOd01sLlDj4
VIDEO,Apple's John Ternus Era Begins — Here's What To Expect,https://www.youtube.com/watch?v=mF0OL_YJa3g&pp=ugUEEgJlbg%3D%3D
VIDEO,Why Humanity Will Never Leave The Solar System,https://www.youtube.com/watch?v=Cyl3X88KEgg&pp=ugUEEgJlbg%3D%3D
VIDEO,"3-HOUR STUDY WITH ME | Hyper Efficient, Doctor, Focus Music, Pomodoro 50-10",https://www.youtube.com/watch?v=74cOUSKXMz0
VIDEO,"The Truth About the ""Whoop Killer""",https://www.youtube.com/watch?v=9GSDvO0LFFE&pp=ugUEEgJlbg%3D%3D
VIDEO,Tame Impala - Loser (Official Video),https://www.youtube.com/watch?v=s3a4OQR-10M
VIDEO,"Reinsurance price adequacy key in evolving risk landscape: Urs Baertschi, Swiss Re",https://www.youtube.com/watch?v=wjeX-FXksy8&pp=0gcJCRoMAYcqIYzv
VIDEO,ChatGPT Offered Me $2m To Keep Quiet: No One Is Ready For What's Coming!,https://www.youtube.com/watch?v=_g4l7YkDQwA&pp=ugUEEgJlbg%3D%3D
SHORT,Shorts,https://www.youtube.com/shorts/
SHORT,What Meta’s $17 Billion Settlement Means,https://www.youtube.com/shorts/Wm1dAyIECiU
SHORT,I think I’m a certain level of attractiveness. …,https://www.youtube.com/shorts/CVx3in5bGHc
SHORT,Why Men Get Obsessed With Random Hobbies Overnight,https://www.youtube.com/shorts/t6vDX11VutE
SHORT,Three reasons one pan dinners are rubbish,https://www.youtube.com/shorts/4-zvmU814VU
SHORT,The Era of Easy AI Progress Is Ending - Ilya Sutskever,https://www.youtube.com/shorts/pLHWn5SQvLM
SHORT,"Steve Jobs: If You Feel Stuck in Life, Listen to This for 80 Seconds.…",https://www.youtube.com/shorts/vUK1bB1arQE
SHORT,Why Coke Zero exist when we have Diet Coke,https://www.youtube.com/shorts/a40tX8cRuzs
SHORT,Is Chinese history repeating itself in the US?,https://www.youtube.com/shorts/Xi_F10zpd1o
SHORT,Spanish beauty standards & weight loss are interesting,https://www.youtube.com/shorts/A7a0vF1rJeA
SHORT,Who Wants To Try This? 😅,https://www.youtube.com/shorts/SNohWfTin78
