title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-03-24T17:27:36.482Z,64,,64.0
Every show of the tour so far makes us feel eternally grateful to be able to do this 🥹,https://www.youtube.com/watch?v=__j7kmU7G84,The Last Dinner Party,https://www.youtube.com/channel/UCA9mEw9kzSdKh01c6SuxhDQ,2026-03-24T17:24:02.008Z,41,214.474,41.0
"MILLIONAIRE EXPLAINS: If I Started 2026 With $0, Here's My Exact Plan",https://www.youtube.com/watch?v=Ht2LluZ7pLk,Rose Han,https://www.youtube.com/channel/UCIbslwukNCyVp-XMz_2-gmw,2026-03-19T19:07:03.030Z,900,425818.978,900.0
i found a creator who made 400k in 24 hours selling these designs,https://www.youtube.com/watch?v=ctS9j9vuEzk,Yale Jeannette,https://www.youtube.com/channel/UCIz7RnZLW1HzX4PdgN_dRBw,2026-03-19T18:57:56.748Z,459,546.282,459.0
Windows 11: Reset Wi-Fi or Ethernet Network Adapters to Fix Connectivity Problems,https://www.youtube.com/watch?v=JEzO6ANRYs0,Pureinfotech,https://www.youtube.com/channel/UCp0mxgvv_9NT4akvi2D_uiA,2026-03-19T18:56:53.876Z,126,62.872,62.872
10 Ways People Are Making Money With Nano Banana AI,https://www.youtube.com/watch?v=dip5HXMpujw,Wholesale Ted,https://www.youtube.com/channel/UCC8wczy7734jKPhiR2UkS9A,2026-03-18T20:45:22.229Z,1227,79891.647,1227.0
Selling Digital Products is DEAD - Do THIS instead!,https://www.youtube.com/watch?v=wWr1WAd1siw,Luna Vega,https://www.youtube.com/channel/UCV3-kGFJHeFnh6RP9fFPoRg,2026-03-18T20:43:56.555Z,1039,85.674,85.674
How to Start an Etsy Shop Selling Digital Products (FULL TUTORIAL),https://www.youtube.com/watch?v=KXLYOWlqb78,Sandra Di,https://www.youtube.com/channel/UCx7DWIF3zT2xapezCxIzNVQ,2026-03-18T20:43:20.453Z,3583,36.102,36.102
God of War: Sons of Sparta || Full Franchise- Game #9/9 -/:RetroVution:\-,https://www.youtube.com/watch?v=WXfXmJWOfBQ,RetroVution,https://www.youtube.com/channel/UCkWRXTYgT1MXniQT-74dZlA,2026-03-18T17:23:55.787Z,18785,11964.666,11964.666
Partner-versary Sausage Fest || Put the sausage in the Bun -/:RetroVution:\-,https://www.youtube.com/watch?v=38ouCs_M-ZY,RetroVution,https://www.youtube.com/channel/UCkWRXTYgT1MXniQT-74dZlA,2026-03-15T19:41:01.821Z,24139,250973.966,24139.0
Office C,https://www.youtube.com/watch?v=3sVbI75zDR8,Axel Rawork,https://www.youtube.com/channel/UCnzmiBAVVKc9-88EmvX009w,2026-03-13T22:21:40.358Z,601,163161.463,601.0
