title,link,channel,channel_link,date,video_length,time_diff,watch_time
5 Cars I'm Glad I Didn't Buy,https://www.youtube.com/watch?v=8ERv-CEI17s,Doug DeMuro,https://www.youtube.com/channel/UCsqjHFMB_JYTaEnf_vmTNqg,2026-03-24T05:26:06.842Z,1156.0,,1156.0
Bill Hader on Tommy Lee Jones,https://www.youtube.com/watch?v=gfO1iqyuzKk,James Whale Bake Sale,https://www.youtube.com/channel/UCUVY0YSYWIcT4AoIPa-molQ,2026-03-24T05:25:49.390Z,180.0,17.452,17.452
I Bought a Porsche 993 Turbo!,https://www.youtube.com/watch?v=-nW43AIMFow,Doug DeMuro,https://www.youtube.com/channel/UCsqjHFMB_JYTaEnf_vmTNqg,2026-03-23T16:56:23.989Z,2286.0,44965.401,2286.0
THE CHRISTOPHERS - Official Trailer - In Select Theaters April 10,https://www.youtube.com/watch?v=m2d1x7VuDmo,NEON,https://www.youtube.com/channel/UCpy5dRhZd-JbZP4NsrnLt1w,2026-03-23T04:57:36.436Z,130.0,43127.553,130.0
Morphine - Buena (Official Music Video),https://www.youtube.com/watch?v=EthwxA_2lFQ,RHINO,https://www.youtube.com/channel/UCWEtnEiVwUy7mwFeshyAWLA,2026-03-22T17:39:36.431Z,192.0,40680.005,192.0
Low Rock & Deep Grooves: What Made Morphine So Good,https://www.youtube.com/watch?v=RrA0kCZGpMY,Eric Haugen Guitar,https://www.youtube.com/channel/UCoxdIEOrloeN00-3KWR4ZnQ,2026-03-22T17:35:51.241Z,901.0,225.19,225.19
VHIKK X by Forge TME | A window to alternate realities,https://www.youtube.com/watch?v=CU3Mi6Ov1wE,Cinematic Laboratory,https://www.youtube.com/channel/UC1VbCx8OE96Q5VT-Y9p6StA,2026-03-22T17:21:29.490Z,808.0,861.751,808.0
"10 Awesome Vintage & Modern Fuzz Pedals With Markus Reeves [EAE, Maestro, Jen, Roger Mayer & More!]",https://www.youtube.com/watch?v=4I7F_ziJ5FE,That Pedal Show,https://www.youtube.com/channel/UCnUXq8mGmoHt0e6ItuTs10w,2026-03-22T17:21:06.387Z,3500.0,23.103,23.103
UDO Audio DMNO Synthesizer -  In Depth 1st Look - SonicLAB,https://www.youtube.com/watch?v=XaD9LbLs3Dc,sonicstate,https://www.youtube.com/channel/UCW64y2tidRL5njv0JrQdvbA,2026-03-22T16:59:12.225Z,3142.0,1314.162,1314.162
A Modern Jupiter? UDO SUPER 8 vs Jupiter 8?,https://www.youtube.com/watch?v=EEMGcM8McWc,Starsky Carr,https://www.youtube.com/channel/UCvqGJkKHb-VHgxJmuBbIfIQ,2026-03-22T16:59:04.188Z,1766.0,8.037,8.037
UDO DMNO - It's bad,https://www.youtube.com/watch?v=f6Xzv1NYXgw,Noir Et Blanc Vie - After Hours,https://www.youtube.com/channel/UCPAfxk8_OP3OtI4t-dNDAdQ,2026-03-22T16:58:33.473Z,201.0,30.715,30.715
Super JX and the MPG-7X,https://www.youtube.com/watch?v=4PJDdvIXykc,Starsky Carr,https://www.youtube.com/channel/UCvqGJkKHb-VHgxJmuBbIfIQ,2026-03-22T16:58:15.845Z,1630.0,17.628,17.628
John Carpenter on Directors He Dislikes,https://www.youtube.com/watch?v=FM6IG88qe7E,James Whale Bake Sale,https://www.youtube.com/channel/UCUVY0YSYWIcT4AoIPa-molQ,2026-03-22T05:35:04.467Z,780.0,40991.378,780.0
Tech Talk: Vera Grace - How Modular Gear Shapes Her Hypnotic Techno Sound (Electronic Beats TV),https://www.youtube.com/watch?v=5Gd8iQNWJx8,Telekom Electronic Beats TV,https://www.youtube.com/channel/UCIwSxDpqPoctBv1A8cakx3Q,2026-03-21T17:57:41.826Z,587.0,41842.641,587.0
TR-1000 Classic Dub Techno,https://www.youtube.com/watch?v=J15VolUATmU,Bauke Top,https://www.youtube.com/channel/UCqsuZqlG7SbYFWqIJFX36UQ,2026-03-21T17:25:13.576Z,922.0,1948.25,922.0
Super JX and the MPG-7X,https://www.youtube.com/watch?v=4PJDdvIXykc,Starsky Carr,https://www.youtube.com/channel/UCvqGJkKHb-VHgxJmuBbIfIQ,2026-03-21T17:24:59.297Z,1630.0,14.279,14.279
"Waldorf M v1.11 Update - Blofeld, Microwave XT Compared - SonicLAB",https://www.youtube.com/watch?v=wLpkpxl3F-s,sonicstate,https://www.youtube.com/channel/UCW64y2tidRL5njv0JrQdvbA,2026-03-21T17:13:59.863Z,889.0,659.434,659.434
Here Are the 5 Worst Cars I’ve Ever Owned,https://www.youtube.com/watch?v=h_iAKQfDv9w,Doug DeMuro,https://www.youtube.com/channel/UCsqjHFMB_JYTaEnf_vmTNqg,2026-03-21T17:06:35.823Z,1023.0,444.04,444.04
"10 Awesome Vintage & Modern Fuzz Pedals With Markus Reeves [EAE, Maestro, Jen, Roger Mayer & More!]",https://www.youtube.com/watch?v=4I7F_ziJ5FE,That Pedal Show,https://www.youtube.com/channel/UCnUXq8mGmoHt0e6ItuTs10w,2026-03-21T17:06:17.992Z,3500.0,17.831,17.831
VHIKK X by Forge TME | A window to alternate realities,https://www.youtube.com/watch?v=CU3Mi6Ov1wE,Cinematic Laboratory,https://www.youtube.com/channel/UC1VbCx8OE96Q5VT-Y9p6StA,2026-03-21T16:55:06.168Z,808.0,671.824,671.824
Exploding the Forge Tim Vicks Vaporub X,https://www.youtube.com/watch?v=OiirspZ4aTI,Red Means Recording Modular,https://www.youtube.com/channel/UCG44gzf6Iumy18XEZXT2odA,2026-03-21T16:53:01.806Z,2031.0,124.362,124.362
24500 sounds you've never heard before until now | VHIKK X,https://www.youtube.com/watch?v=TvByTfE-roI,Cinematic Laboratory,https://www.youtube.com/channel/UC1VbCx8OE96Q5VT-Y9p6StA,2026-03-21T16:52:49.360Z,980.0,12.446,12.446
Luis Suarez Handball Against Ghana | South Africa 2010 | FIFA World Cup,https://www.youtube.com/watch?v=dM-29hy-Qyw,FIFA,https://www.youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw,2026-03-20T22:35:51.134Z,238.0,65818.226,238.0
TR-1000 Classic Dub Techno,https://www.youtube.com/watch?v=J15VolUATmU,Bauke Top,https://www.youtube.com/channel/UCqsuZqlG7SbYFWqIJFX36UQ,2026-03-20T17:25:03.399Z,922.0,18647.735,922.0
"making live dub techno is easy, actually",https://www.youtube.com/watch?v=dvmSZWuRhBU,Bauke Top,https://www.youtube.com/channel/UCqsuZqlG7SbYFWqIJFX36UQ,2026-03-20T17:24:30.944Z,3772.0,32.455,32.455
24500 sounds you've never heard before until now | VHIKK X,https://www.youtube.com/watch?v=TvByTfE-roI,Cinematic Laboratory,https://www.youtube.com/channel/UC1VbCx8OE96Q5VT-Y9p6StA,2026-03-20T17:23:40.215Z,980.0,50.729,50.729
New to Vhikk X? Start Here,https://www.youtube.com/watch?v=Mx8tViTAAjw,Metamyther,https://www.youtube.com/channel/UCcvfIE4J7R5wnyWLbJxBrpA,2026-03-20T17:16:30.398Z,1066.0,429.817,429.817
The most incredible drone synth I've ever played | Vhikk X by FORGE TME,https://www.youtube.com/watch?v=nSNaKiULOR0,Jay Hosking,https://www.youtube.com/channel/UCu1R-PodIMk0liS7OGSUboQ,2026-03-20T17:05:13.333Z,1125.0,677.065,677.065
How to approximate a VHIKK X with Magerit Laniakea and Befaco Oneiroi,https://www.youtube.com/watch?v=_F3aW8UHyrw,Cinematic Laboratory,https://www.youtube.com/channel/UC1VbCx8OE96Q5VT-Y9p6StA,2026-03-20T17:04:07.765Z,603.0,65.568,65.568
Rabid (1977) - New Victim,https://www.youtube.com/watch?v=j2Tm7Y3XzjI,Parasignosis,https://www.youtube.com/channel/UCoSewzKNnlox-Br33fX9MHw,2026-03-20T16:55:43.217Z,91.0,504.548,91.0
RABID Original Trailer [1977],https://www.youtube.com/watch?v=kjtnbY59Dyw,Vintage Movie Trailers,https://www.youtube.com/channel/UCoIea355UNm9-F73-NHD2JA,2026-03-20T16:53:55.834Z,128.0,107.383,107.383
i finally found kurt cobain's REAL in utero amp,https://www.youtube.com/watch?v=ylUaDy6QWyg,Aaron Rash,https://www.youtube.com/channel/UC3_flwXdmN-slgowSVJDgjQ,2026-03-20T16:50:19.073Z,1502.0,216.761,216.761
"Living With A $59,000 Ford Ranger Raptor!!",https://www.youtube.com/watch?v=xI_NjmRw_ko,EddieX,https://www.youtube.com/channel/UCdOXRB936PKSwx0J7SgF6SQ,2026-03-20T16:48:33.884Z,1745.0,105.189,105.189
"2024 Ford Ranger Raptor | Higher Effort, Better Truck",https://www.youtube.com/watch?v=cO77GpXo_EA,savagegeese,https://www.youtube.com/channel/UCgUvk6jVaf-1uKOqG8XNcaQ,2026-03-20T16:46:57.753Z,1216.0,96.131,96.131
"Official Trailer NIGHT MOVES (1975, Gene Hackmann, Jennifer Warren, Arthur Penn)",https://www.youtube.com/watch?v=5l8OjT9B8YE,Trailer World,https://www.youtube.com/channel/UCuGNcd7z-gvwjSHavHeL33A,2026-03-20T16:44:38.580Z,140.0,139.173,139.173
John Carpenter on Directors He Dislikes,https://www.youtube.com/watch?v=FM6IG88qe7E,James Whale Bake Sale,https://www.youtube.com/channel/UCUVY0YSYWIcT4AoIPa-molQ,2026-03-20T16:38:40.911Z,780.0,357.669,357.669
Larry Jon Wilson : ohoopee river bottomland,https://www.youtube.com/watch?v=v-3orYE9Bso,nellees,https://www.youtube.com/channel/UCOmSV9H9xJOSvjeUX6EJJPQ,2026-03-20T16:36:52.874Z,522.0,108.037,108.037
Kombynat Robotron - Finsternis (Live At Fuzz Club Festival 2025),https://www.youtube.com/watch?v=wGmqtt3THaQ,Fuzz Club,https://www.youtube.com/channel/UCC9JlwKFhvtyPPJv3QLPOmg,2026-03-20T16:34:05.093Z,313.0,167.781,167.781
T-Rex Replicator D'Luxe + 20% More SHREDDD,https://www.youtube.com/watch?v=P20DpSjm45o,Duskmos,https://www.youtube.com/channel/UCkO7ZcKRNShnN7i3s_tbhyg,2026-03-20T16:32:11.352Z,914.0,113.741,113.741
"10 Awesome Vintage & Modern Fuzz Pedals With Markus Reeves [EAE, Maestro, Jen, Roger Mayer & More!]",https://www.youtube.com/watch?v=4I7F_ziJ5FE,That Pedal Show,https://www.youtube.com/channel/UCnUXq8mGmoHt0e6ItuTs10w,2026-03-20T16:31:45.337Z,3500.0,26.015,26.015
"Tragedy, Togetherness & Rock Lobster: The B-52's Story",https://www.youtube.com/watch?v=YN1quwTNPLo,Trash Theory,https://www.youtube.com/channel/UCxHcoI9ndIdAihEB7ODTOfQ,2026-03-20T06:32:05.714Z,2217.0,35979.623,2217.0
BMW 1M Review // Thug Life,https://www.youtube.com/watch?v=5eCWFApN3go,Throttle House,https://www.youtube.com/channel/UCyXiDU5qjfOPxgOPeFWGwKw,2026-03-20T06:30:21.870Z,1104.0,103.844,103.844
2022 BMW M240i vs 2018 BMW M2 // Will The Real M Car Please Stand Up,https://www.youtube.com/watch?v=IUU1yfK0A8Y,Throttle House,https://www.youtube.com/channel/UCyXiDU5qjfOPxgOPeFWGwKw,2026-03-20T06:27:31.338Z,1777.0,170.532,170.532
2023 MANUAL Toyota Supra Quick Review // About Time,https://www.youtube.com/watch?v=9tN_BcGW1rk,Extra Throttle House,https://www.youtube.com/channel/UCfzWwxboCLyLw7KVfQj84eA,2026-03-20T06:22:43.098Z,493.0,288.24,288.24
2025 Toyota GR86 Hakone //  Lean Mean Green Machine,https://www.youtube.com/watch?v=KKAm8Eupa94,Throttle House,https://www.youtube.com/channel/UCyXiDU5qjfOPxgOPeFWGwKw,2026-03-20T06:16:49.520Z,798.0,353.578,353.578
Redshift 6 - Trance Build Up - Sequencer Demo,https://www.youtube.com/watch?v=PDs_q6F8ShQ,Supercritical Synthesizers,https://www.youtube.com/channel/UCI8356speG70sNPMCbdHoOg,2026-03-20T05:52:21.107Z,226.0,1468.413,226.0
When You Have an Incredible Opportunity to Buy a Leica M11 Do You Take It?,https://www.youtube.com/watch?v=iFAeatZ_DAY,Aperture Zeero,https://www.youtube.com/channel/UCwBcq0_WFNvEf10BxzqsCEA,2026-03-20T05:49:18.545Z,856.0,182.562,182.562
How England’s football league is breaking the sport,https://www.youtube.com/watch?v=jBeXyKVvhb0,Search Party,https://www.youtube.com/channel/UC7KbIaEOuY7H2j-cvhJ3mYA,2026-03-20T05:47:52.014Z,880.0,86.531,86.531
"Wrexham, We Got This One Wrong... SORRY",https://www.youtube.com/watch?v=xx93s8uazaY,The Sportsman,https://www.youtube.com/channel/UCo8OTxf4QJ6oH_g21vEVUfQ,2026-03-20T05:47:25.488Z,2270.0,26.526,26.526
How deep does English football’s pyramid go?,https://www.youtube.com/watch?v=No-SvgoiEDg,Tifo Football by The Athletic,https://www.youtube.com/channel/UCGYYNGmyhZ_kwBF_lqqXdAQ,2026-03-20T05:42:17.425Z,380.0,308.063,308.063
David Beckham calls out wife Victoria for saying she grew up working class,https://www.youtube.com/watch?v=3E4s0RqCBzU,Football News,https://www.youtube.com/channel/UC3YOoZwktDorKqT7qQZpZkg,2026-03-20T05:38:38.888Z,30.0,218.537,30.0
I Just Bought The New Land Cruiser... And Something Else,https://www.youtube.com/watch?v=_gjKcK8AoSs,Throttle House,https://www.youtube.com/channel/UCyXiDU5qjfOPxgOPeFWGwKw,2026-03-20T05:32:13.013Z,1525.0,385.875,385.875
"¥ØU$UK€ ¥UK1MAT$U DJs Techno & Gabber in Tokyo, Japan | Keep Hush Live",https://www.youtube.com/watch?v=5K65xwSXlUw,Keep Hush,https://www.youtube.com/channel/UCQAnY_suiNH0MvdTHk5GiBA,2026-03-20T04:55:05.058Z,3222.0,2227.955,2227.955
¥ØU$UK€ ¥UK1MAT$U @TheLotRadio 09-10-2025,https://www.youtube.com/watch?v=E7jzrBuFBpA,The Lot Radio,https://www.youtube.com/channel/UCJOtExbMu0RqIdiE4nMUPxQ,2026-03-20T04:54:12.513Z,3469.0,52.545,52.545
An Inspiring Eurorack Toolbox for Audio & CV // Workshop Computer from Music Thing,https://www.youtube.com/watch?v=D0H_VsJ15go,DivKid,https://www.youtube.com/channel/UC1zIiKvJIi7aYl2N68pWF8g,2026-03-20T04:46:59.412Z,5524.0,433.101,433.101
The Art of SP-404MKII Performance (The Start of my Journey),https://www.youtube.com/watch?v=KVavGQasLDY,Free Beat,https://www.youtube.com/channel/UChhR8q_5fC7p1ks3FqH9GPw,2026-03-20T04:43:45.867Z,773.0,193.545,193.545
