title,link,channel,channel_link,date,video_length,time_diff,watch_time
Cate Blanchett & Gina Gershon Test How Well They Know Each Other | All About Me | Harper's BAZAAR,https://www.youtube.com/watch?v=bTH9cm5MSKQ,Harper's BAZAAR,https://www.youtube.com/channel/UCzsF1ghKHeif7AmTNlRYAzQ,2026-05-09T21:47:31.822Z,449.0,,449.0
Fast Affordable Internet,https://www.youtube.com/watch?v=XxurxtwRO30,,,2026-05-09T21:47:25.352Z,31.0,6.47,6.47
BBQ | Say Whaaat,https://www.youtube.com/watch?v=1LIF-YIQjyw,,,2026-05-09T21:47:18.637Z,7.0,6.715,6.715
Celebrity Jobber with Jeff Zito - Gina Gershon,https://www.youtube.com/watch?v=CeNgPz34PTA,Celebrity Jobber Podcast w/ Jeff Zito,https://www.youtube.com/channel/UCC-EUFDuyIZRMe3pCvuAxPw,2026-05-09T21:45:05.967Z,1497.0,132.67,132.67
Gina Gershon Spills Secrets on 'Borderlands' at LA Fan Event,https://www.youtube.com/watch?v=q7L01QxIfqI,HOLLYWOOD INSIDER,https://www.youtube.com/channel/UCbHP3TLOnUgB_yUGhVzHM_A,2026-05-09T21:43:21.727Z,106.0,104.24,104.24
EN ESRB 1920x1080 UEFN StarWars Exemplar Islands Droid Tycoon Trailer 262006 Cutdown 15s PM,https://www.youtube.com/watch?v=tX1if0hFJ9Q,,,2026-05-09T21:43:06.013Z,15.0,15.714,15.0
Gina Gershon - 1999-09-14 Leno Tonight Show,https://www.youtube.com/watch?v=W31MWLXejKg,guitarzip,https://www.youtube.com/channel/UC8fDqbuexl4EegPo8Nv10BQ,2026-05-09T21:35:31.028Z,452.0,454.985,452.0
Gina Gershon on how she stays looking young and healthy at the Red Dress Collection concert,https://www.youtube.com/watch?v=-lvhQXNRjUM,uInterview,https://www.youtube.com/channel/UC5zK7aIlSSx6rmhkTOMvHIA,2026-05-09T21:33:28.937Z,135.0,122.091,122.091
Zaxbys | Giant Wraps | Flavor :06,https://www.youtube.com/watch?v=sl4YDn_Lico,,,2026-05-09T21:33:08.317Z,7.0,20.62,7.0
Gina Gershon opens up about her past with Lenny Kravitz and Tom Cruise | Page Six Radio,https://www.youtube.com/watch?v=DTgBLXN__zk,Page Six,https://www.youtube.com/channel/UCNWsXxEbKkKXOYzw-SwaXoA,2026-05-09T21:27:11.077Z,353.0,357.24,353.0
FAF_Tri_1325708_1.13.26_CTV_30_1920x1080,https://www.youtube.com/watch?v=7bbqhg5MABs,,,2026-05-09T21:26:59.532Z,31.0,11.545,11.545
AP0001575512_OGX_ProGrowth_Youtube_VS #1_Video_15s_16x9_NVF_Brand_NPI,https://www.youtube.com/watch?v=WRhuKeRRPDg,,,2026-05-09T21:26:43.837Z,16.0,15.695,15.695
Ebertfest 2019 - Bound Q&A,https://www.youtube.com/watch?v=wxGBQcfsdvs,Ebertfest,https://www.youtube.com/channel/UCCKmHkIjvp8xZ40OK3wgJJQ,2026-05-09T20:20:14.097Z,3435.0,3989.74,3435.0
Cate Blanchett and Gina Gershon Take The BFF Test,https://www.youtube.com/watch?v=K5asUoHYqc0,BuzzFeed Celeb,https://www.youtube.com/channel/UCPRUgAl_MV9PajsrG_BmT9w,2026-05-09T20:09:04.947Z,448.0,669.15,448.0
Gina Gershon’s Closet Picks,https://www.youtube.com/watch?v=Rz6_8c617Ik,CRITERION,https://www.youtube.com/channel/UCAP57cF-FSjJKzzXg7ntPlQ,2026-05-09T20:03:49.822Z,307.0,315.125,307.0
Devil in Silver | New Limited Series Exclusively on AMC+,https://www.youtube.com/watch?v=UGqvDEyyXsM,,,2026-05-09T20:03:42.712Z,31.0,7.11,7.11
"Gina Gershon On A ""Bound"" Sequel | Larry King Now - Ora TV",https://www.youtube.com/watch?v=y5RHNsWF9KI,Larry King,https://www.youtube.com/channel/UCxzcBfvmeLmUNjlyM7FMgFg,2026-05-09T20:01:12.447Z,146.0,150.265,146.0
Gina Gershon | HoboTrashcan Interview,https://www.youtube.com/watch?v=MwO8Df3kIM4,HoboTrashcan,https://www.youtube.com/channel/UCq2uNZP1z7yzg4KXWYlWhGA,2026-05-09T19:40:00.402Z,1242.0,1272.045,1242.0
591372H,https://www.youtube.com/watch?v=i_RjtvZxxzo,,,2026-05-09T19:35:25.098Z,31.0,275.304,31.0
Celebrate Fetch Season with gear built for dogs who play like pros. Fetch with Chuckit!,https://www.youtube.com/watch?v=sFhOW-a-lAA,,,2026-05-09T19:35:09.352Z,16.0,15.746,15.746
May is a great time to save at Toyota of Kingsport!,https://www.youtube.com/watch?v=_HA--NlERHo,,,2026-05-09T19:34:53.678Z,16.0,15.674,15.674
Moore Guitars Pre-Roll v2,https://www.youtube.com/watch?v=CCS-b7ZiyLA,,,2026-05-09T19:34:46.312Z,7.0,7.366,7.0
Priceline | Wyoming,https://www.youtube.com/watch?v=ufKQyiaCjVA,,,2026-05-09T19:31:44.262Z,7.0,182.05,7.0
STORY EVENT 30/ Only In Theaters Friday,https://www.youtube.com/watch?v=sFH0RmCSES0,,,2026-05-09T19:16:33.572Z,31.0,910.69,31.0
Zaxbys | Giant Wraps | Packed :15,https://www.youtube.com/watch?v=FvQlNIpTdj0,,,2026-05-09T19:16:17.937Z,16.0,15.635,15.635
PRO BRA PREA CTV ThatsRich EJ MV HereForTheRideV2 15 BRAD MOV X X HORZ 15s,https://www.youtube.com/watch?v=hMVaTLPUBeY,,,2026-05-09T19:16:02.262Z,16.0,15.675,15.675
Angel Soft | Dial :15,https://www.youtube.com/watch?v=hFKRFvPp4BU,,,2026-05-09T19:15:46.722Z,16.0,15.54,15.54
Customer Data You Can Depend On,https://www.youtube.com/watch?v=6FBNXZf4ZBQ,,,2026-05-09T18:56:02.307Z,16.0,1184.415,16.0
GJGX2736002H MAY NAT WAVE SR LD,https://www.youtube.com/watch?v=Z34cMWDXcsM,,,2026-05-09T18:55:46.702Z,16.0,15.605,15.605
Mucinex - In Your Dreams (:06) - Mr. Mucus Allergy - 16x9,https://www.youtube.com/watch?v=PbSdpg-B7nM,,,2026-05-09T18:55:40.143Z,7.0,6.559,6.559
Three Cushy Layers :15 - Quilted Queens | Quilted Northern®,https://www.youtube.com/watch?v=dTtaLtENAzg,,,2026-05-09T18:55:24.558Z,16.0,15.585,15.585
#102 - Gina Gershon Interview,https://www.youtube.com/watch?v=tjI9nPw63Oc,Greatest Music of All Time,https://www.youtube.com/channel/UCENEAS-NS51-xUGcZmuqKqQ,2026-05-09T18:42:28.527Z,2946.0,776.031,776.031
Wuthering Heights | HBO Max,https://www.youtube.com/watch?v=pXW4pzQ7Tcc,,,2026-05-09T18:42:21.477Z,31.0,7.05,7.05
Angel Soft | Conference Room :06,https://www.youtube.com/watch?v=ENUGYTa1YBI,,,2026-05-09T18:42:14.803Z,7.0,6.674,6.674
Gina Gershon Opens Up About Her Love Life | Larry King Now - Ora TV,https://www.youtube.com/watch?v=MdG_zXPDyg8,Larry King,https://www.youtube.com/channel/UCxzcBfvmeLmUNjlyM7FMgFg,2026-05-09T18:40:45.567Z,98.0,89.236,89.236
Gina Gershon Didn’t Know Ted Lasso Was Going to Mention Her | WWHL,https://www.youtube.com/watch?v=9uxw5iXGxQc,Watch What Happens Live with Andy Cohen,https://www.youtube.com/channel/UCy6D16zE_mMEm1HVD20WFxA,2026-05-09T18:38:15.448Z,149.0,150.119,149.0
'Showgirls' Q&A | Paul Verhoeven & Gina Gershon,https://www.youtube.com/watch?v=vj7JB_Otn3A,Film at Lincoln Center,https://www.youtube.com/channel/UCOzFilLNcgrGzAeECAbUFCQ,2026-05-09T18:00:00.018Z,1984.0,2295.43,1984.0
Did Gina Gershon and Tom Cruise Hook Up? | WWHL,https://www.youtube.com/watch?v=JGwRhVE36oU,Watch What Happens Live with Andy Cohen,https://www.youtube.com/channel/UCy6D16zE_mMEm1HVD20WFxA,2026-05-09T17:58:37.411Z,88.0,82.607,82.607
25Q4 AGRNAT SealyPP EVG YT15 Mattress xcswtm,https://www.youtube.com/watch?v=My_Na2OQX7U,,,2026-05-09T17:58:30.840Z,16.0,6.571,6.571
GINA GERSHON TALKS ABOUT NEW BOOK ALPHAPUSSY: HOW I SURVIVED THE VALLEY... ON ABOUT THE AUTHORS TV,https://www.youtube.com/watch?v=d8Z-AoogXYM,About the Authors TV,https://www.youtube.com/channel/UCMRI0SHZAydMDIh5r-A6Pbg,2026-05-09T17:52:05.447Z,390.0,385.393,385.393
Mucinex - In Your Dreams - Mr. Mucus Allergy - 16x9 (v2),https://www.youtube.com/watch?v=NjzEDMfTJAI,,,2026-05-09T17:44:42.140Z,16.0,443.307,16.0
