title,link,channel,channel_link,date,video_length,time_diff,watch_time
DANGEROUS Gang Leaders React To Life Sentences,https://www.youtube.com/watch?v=nxcRItML-x0,Courtroom Consequences,https://www.youtube.com/channel/UCg4w-2uub8T2z1ABf-lEMsg,2026-05-12T05:06:18.571Z,,,
Savings Wrangler Kitchen 15 HD,https://www.youtube.com/watch?v=tCGIiHQ4bp8,,,2026-05-12T05:06:08.931Z,16.0,9.64,9.64
Snap On Veneers by Shiny Smile Veneers,https://www.youtube.com/watch?v=1MqbbZD_e-M,,,2026-05-09T18:49:56.439Z,19.0,209772.492,19.0
Kenmore Elite Heating Element replacement Model #110.67032600,https://www.youtube.com/watch?v=Usr8GnPHF9g,David Martindale (They call me MacGuyver),https://www.youtube.com/channel/UC_khOM2pEVvm7bTRhjTmJDw,2026-05-09T18:46:04.425Z,227.0,232.014,227.0
Kenmore Elite Dryer no heat REPAIR for FREE!!!,https://www.youtube.com/watch?v=UpkK4lYMzP8,PatriotMarine,https://www.youtube.com/channel/UC2hpjrCO7IO-z2T_-PZc5FQ,2026-05-09T18:44:31.377Z,478.0,93.048,93.048
Clarity,https://www.youtube.com/watch?v=T0tQtioEULM,,,2026-05-09T18:44:26.055Z,21.0,5.322,5.322
@thebonnairefamily 9x16,https://www.youtube.com/watch?v=kip7ke62bfE,,,2026-05-09T18:40:16.750Z,24.0,249.305,24.0
CC_2025-02_LifeLock_Concept2_UGC-05_You_ve-Worked-Hard_1x1.mp4,https://www.youtube.com/watch?v=LfG4b0sUiyQ,,,2026-05-09T18:39:44.893Z,23.0,31.857,23.0
Kenmore Elite Dryer Heating Element Replacement (Step-by-Step),https://www.youtube.com/watch?v=tbNzHLtHAcU,TechyoFix,https://www.youtube.com/channel/UC052i8X6tNayjyB0JuBkRpQ,2026-05-09T18:38:43.429Z,302.0,61.464,61.464
Kenmore Elite (592-89087 01)dryer element replacement (DIY guide),https://www.youtube.com/watch?v=au25o557QAI,Homeowner DIY,https://www.youtube.com/channel/UChl59OZM7DCZ0ep9y9W_LWg,2026-05-09T18:38:15.432Z,1416.0,27.997,27.997
Fixed: Kenmore Dryer Won't Heat Up - Dryer Timer Replacement #diy #easy #savemoney,https://www.youtube.com/watch?v=yJ0LpGrSiv8,Adventures and Stuff,https://www.youtube.com/channel/UCSeW8lp1ArjR1k5yEck3jSA,2026-05-09T18:37:26.348Z,390.0,49.084,49.084
