title,link,channel,channel_link,date,video_length,time_diff,watch_time
In Waves,https://music.youtube.com/watch?v=98K2Q6ZNTmg,Three Days Grace - Topic,https://www.youtube.com/channel/UCfgRkxIufLnYKicOY8aJQ2g,2026-04-23T16:59:55.621Z,205.0,,205.0
Shadows,https://music.youtube.com/watch?v=k_puuplFuxw,From Ashes to New - Topic,https://www.youtube.com/channel/UCJif7WIflX_1Jg5RypJjqnw,2026-04-23T16:56:27.237Z,207.0,208.384,207.0
Whispers in the Dark,https://music.youtube.com/watch?v=chrPjWPG-nk,Skillet - Topic,https://www.youtube.com/channel/UCUHYrf3BF5yI9QdRw09__BA,2026-04-23T16:53:01.142Z,205.0,206.095,205.0
Blow (feat. Spencer Charnas of Ice Nine Kills),https://music.youtube.com/watch?v=zL6ltlubfw4,Eva Under Fire - Topic,https://www.youtube.com/channel/UCuwNRTStwMFLyze68JoWopw,2026-04-23T16:50:14.461Z,166.0,166.681,166.0
Stuck In My Head,https://music.youtube.com/watch?v=sKI7sIqeKfc,Sleep Theory - Topic,https://www.youtube.com/channel/UCOQBiiXGRZeT8Xlg-yTgUjA,2026-04-23T16:46:55.381Z,198.0,199.08,198.0
Through It All,https://music.youtube.com/watch?v=PI07-Y-1BOo,From Ashes to New - Topic,https://www.youtube.com/channel/UCJif7WIflX_1Jg5RypJjqnw,2026-04-23T16:43:20.602Z,214.0,214.779,214.0
FREEFALL,https://music.youtube.com/watch?v=J4FRnX30iWk,Nothing More - Topic,https://www.youtube.com/channel/UCr7ZuYFBf8Xna3QWDMaqXbQ,2026-04-23T16:39:32.198Z,227.0,228.404,227.0
Three Days Grace - Neurotic (Lyric Video) ft. Lukas Rossi,https://music.youtube.com/watch?v=7e-k9oJn-kI,ThreeDaysGraceVEVO,https://www.youtube.com/channel/UCK-VRwguZP3cokOAxI0F1HA,2026-04-23T16:36:13.957Z,197.0,198.241,197.0
I Don't Care,https://music.youtube.com/watch?v=kwZ-y3NoLng,Apocalyptica - Topic,https://www.youtube.com/channel/UCpqq5sZCFH6vkIrO9PZc8bA,2026-04-23T16:32:13.893Z,238.0,240.064,238.0
Broken,https://music.youtube.com/watch?v=XrT8p47pqzQ,From Ashes to New - Topic,https://www.youtube.com/channel/UCJif7WIflX_1Jg5RypJjqnw,2026-04-23T16:28:51.845Z,201.0,202.048,201.0
Kill Me Fast,https://music.youtube.com/watch?v=Sz04G25MjEQ,Three Days Grace - Topic,https://www.youtube.com/channel/UCfgRkxIufLnYKicOY8aJQ2g,2026-04-23T16:25:32.688Z,198.0,199.157,198.0
Grimm Reboot Needs These 4 Underrated Grimm Characters (Not Who You Think),https://www.youtube.com/watch?v=7_9Zp4vgls4,Grimm Rewind ,https://www.youtube.com/channel/UCPljAL0vcdrFNXyhVxxmz8Q,2026-04-23T13:35:35.106Z,859.0,10197.582,859.0
Grimm Is Making a Comeback — Here's What Changed,https://www.youtube.com/watch?v=_CJGsL8j9K0,Grimm Rewind ,https://www.youtube.com/channel/UCPljAL0vcdrFNXyhVxxmz8Q,2026-04-23T13:26:18.416Z,556.0,556.69,556.0
Ice Nine Kills - The Laugh Track (Official Music Video) [Part 1],https://www.youtube.com/watch?v=2fbVUmH6mY0,Ice Nine Kills,https://www.youtube.com/channel/UCraPpF98TgLnoL9QwT8vQBg,2026-04-23T13:22:01.366Z,319.0,257.05,257.05
Shinedown - Killing Fields (Music Video),https://www.youtube.com/watch?v=eTLEoxDT31A,Shinedown,https://www.youtube.com/channel/UCv7Bgr5Mq-dPYu-Ol4AocEA,2026-04-23T13:19:46.067Z,226.0,135.299,135.299
GRIMM David Giuntoli & Bitsie Tulloch Panel – Terrificon 2025,https://www.youtube.com/watch?v=wLmqyth44HY,Fandom Spotlite,https://www.youtube.com/channel/UCxfhPdtixhHrJcV9R4S_i0g,2026-04-22T21:24:59.998Z,2777.0,57286.069,2777.0
Shinedown - Killing Fields (Lyric Video),https://www.youtube.com/watch?v=mV5i3fzqluU,Shinedown,https://www.youtube.com/channel/UCv7Bgr5Mq-dPYu-Ol4AocEA,2026-04-22T21:20:49.887Z,222.0,250.111,222.0
Papa Roach - Gravity feat. Maria Brink (Official Video),https://www.youtube.com/watch?v=tIgtaM7OV4g,Better Noise Music,https://www.youtube.com/channel/UCqh8RdUfSR9lGyasBhM_bjA,2026-04-22T21:16:42.488Z,247.0,247.399,247.0
From Ashes To New - Enough (Official Audio),https://www.youtube.com/watch?v=BpQUjiFFIDU,Better Noise Music,https://www.youtube.com/channel/UCqh8RdUfSR9lGyasBhM_bjA,2026-04-22T21:13:28.657Z,194.0,193.831,193.831
Breaking Benjamin - Awaken (Official Music Video),https://www.youtube.com/watch?v=w0GfewGYR3g,Breaking Benjamin,https://www.youtube.com/channel/UCJhe07czqzg4UzpjvQWkmMQ,2026-04-22T21:09:51.627Z,216.0,217.03,216.0
Catch Your Breath - Lost (Official Visualizer),https://www.youtube.com/watch?v=kGPwx5inQhw,Thriller Records,https://www.youtube.com/channel/UCVaf7zeM1URZNRZCs-5V5Iw,2026-04-22T21:06:04.881Z,225.0,226.746,225.0
From Ashes To New ft. Chrissy from Against The Current - Barely Breathing (Official Music Video),https://www.youtube.com/watch?v=ztaDTZVOwFc,Better Noise Music,https://www.youtube.com/channel/UCqh8RdUfSR9lGyasBhM_bjA,2026-04-22T21:02:42.857Z,201.0,202.024,201.0
From Ashes To New - Armageddon (Official Music Video),https://www.youtube.com/watch?v=LvqdZXEG5D4,Better Noise Music,https://www.youtube.com/channel/UCqh8RdUfSR9lGyasBhM_bjA,2026-04-22T20:58:56.938Z,225.0,225.919,225.0
From Ashes to New - Stay This Way [Official Music Video],https://www.youtube.com/watch?v=n1Te-3gZFLI,From Ashes to New,https://www.youtube.com/channel/UCIKT9lPoSdK2zgHZ0WsdOww,2026-04-22T20:55:01.818Z,234.0,235.12,234.0
