title,link,channel,channel_link,date,video_length,time_diff,watch_time
Afroman's Defense Questions Cop Who 'Miscounted' Money Taken From Rapper's Home,https://www.youtube.com/watch?v=Dj-SPBGU98I,Meghann Cuniff,https://www.youtube.com/channel/UCOHIOF-rFAeLOnH0ri5F62g,2026-03-23T17:58:06.118Z,1695.0,,1695.0
Anti Gravity Place! 😮 #antigravity #dam #hooverdam,https://www.youtube.com/watch?v=hw0wzs7f1ew,Alena Explores,https://www.youtube.com/channel/UCD3znkKWkeRnDjS2CtMrbpg,2026-03-22T13:33:40.835Z,11.0,102265.283,11.0
Skylight Calendar | This Digital Calendar Is Worth Every Penny,https://www.youtube.com/watch?v=xQPknP9Lt8A,,,2026-03-22T03:22:01.246Z,36.0,36699.589,36.0
AD1 | GENERALIST | 16x9,https://www.youtube.com/watch?v=pa1cRqDwnE0,,,2026-03-22T03:14:20.143Z,194.0,461.103,194.0
ToF FutureOfLawnCare LawnCareSimplified 16x9 14s Video,https://www.youtube.com/watch?v=Oo-8YQck4OI,,,2026-03-22T03:07:34.024Z,15.0,406.119,15.0
Justin Timberlake DWI Arrest Bodycam Video Released,https://www.youtube.com/watch?v=tU79HglmSL0,Law&Crime Network,https://www.youtube.com/channel/UCz8K1occVvDTYDfFo7N5EZw,2026-03-22T03:00:55.376Z,1135.0,398.648,398.648
Upwork | How @alexandralourdes Scaled Two Restaurants With Freelancers,https://www.youtube.com/watch?v=BV-2hSehwDQ,,,2026-03-22T03:00:48.956Z,55.0,6.42,6.42
I Exposed New Jersey's Jewish Invasion...,https://www.youtube.com/watch?v=cubO0lhOMcs,Tyler Oliveira,https://www.youtube.com/channel/UCY8SLLJjWpS4sx1dEqECaIw,2026-03-22T01:33:15.404Z,4413.0,5253.552,4413.0
Inside the New York Town Taken Over By Jëws...,https://www.youtube.com/watch?v=eKRe6V368UY,Tyler Oliveira,https://www.youtube.com/channel/UCY8SLLJjWpS4sx1dEqECaIw,2026-03-22T01:32:47.025Z,118.0,28.379,28.379
Secret Clinical Stress Bar Baddie third card ENG 15 OLV 16x9 PGSC4443000H Sep25,https://www.youtube.com/watch?v=DAkBrMgKbnM,,,2026-03-21T09:59:36.773Z,16.0,55990.252,16.0
Your Gift Can Help Starving Children in Gaza | Donate Now,https://www.youtube.com/watch?v=4Op_vbQ-D-c,,,2026-03-21T09:53:04.865Z,30.0,391.908,30.0
Tara Yummy's: Mindset Tour Documentary 2026,https://www.youtube.com/watch?v=Wk3Rlq1LWck,Tarayummy,https://www.youtube.com/channel/UCTIvWbKDaa3cv-gYjKlJbHQ,2026-03-21T09:46:19.691Z,7208.0,405.174,405.174
Discover How TEZSPIRE® (tezepelumab-ekko) Can Help,https://www.youtube.com/watch?v=5ftv1atwcUE,,,2026-03-21T09:46:08.993Z,31.0,10.698,10.698
"#MicrosoftPartner My HP OmniBook, a Copilot+ PC, is my all-in-one device for work and play",https://www.youtube.com/watch?v=taaoqRdTOJM,,,2026-03-21T09:40:23.813Z,90.0,345.18,90.0
10252_4_ENG.mp4,https://www.youtube.com/watch?v=T0FQVXt5B3M,,,2026-03-21T09:30:14.298Z,70.0,609.515,70.0
FL2407_001_01CH,https://www.youtube.com/watch?v=_EpsTdFF7cM,,,2026-03-21T09:24:51.305Z,93.0,322.993,93.0
Mynd Property Management - Best-In-Class Tenant Screening,https://www.youtube.com/watch?v=H3YL0vXaQM8,,,2026-03-21T09:13:11.627Z,13.0,699.678,13.0
Bride Of Charlie: Red Sparrow | Episode 8,https://www.youtube.com/watch?v=_vg7ucP1E0g,Candace Owens,https://www.youtube.com/channel/UCL0u5uz7KZ9q-pe-VC8TY-w,2026-03-21T08:58:12.335Z,3013.0,899.292,899.292
24/7 COMFORT,https://www.youtube.com/watch?v=GOXlfJGSkpY,,,2026-03-21T08:58:06.049Z,11.0,6.286,6.286
ThetaData_Horizontal,https://www.youtube.com/watch?v=Le9PWZvKj0Q,,,2026-03-21T08:51:48.954Z,16.0,377.095,16.0
Tana Mongeau CALLED OUT by Jeff Wittek..(no longer friends?) ,https://www.youtube.com/watch?v=5J7GOCwUkKU,Tea Spill,https://www.youtube.com/channel/UCj-qit6AuiqQnHUnY3qLc3g,2026-03-21T08:45:30.728Z,750.0,378.226,378.226
The Drama | His | Social AV | Date | Shorts Ad,https://www.youtube.com/watch?v=WFHiDA2kjCY,,,2026-03-21T08:45:22.496Z,30.0,8.232,8.232
Google NotebookLM | Learn your way | 16x9,https://www.youtube.com/watch?v=8U4lykN4h8Y,,,2026-03-21T08:40:25.706Z,24.0,296.79,24.0
I can't believe Tana did this for Makoa's birthday...,https://www.youtube.com/watch?v=9P5occco0QI,Bella Fusco,https://www.youtube.com/channel/UCQh6oduUPtqdtlpGy-vEgxg,2026-03-21T08:33:18.460Z,838.0,427.246,427.246
Your Gift Can Help Starving Children in Gaza | Donate Now,https://www.youtube.com/watch?v=FQBROcxfh4Q,,,2026-03-21T08:33:04.127Z,30.0,14.333,14.333
"China's Deadly ""Plastic Head"" Obsession",https://www.youtube.com/watch?v=k7hq_PmiyiQ,Wonny,https://www.youtube.com/channel/UCjz8uBTLs0f7Fnlxc5nzT5g,2026-03-21T08:30:41.055Z,661.0,143.072,143.072
painting for kylie's 28th,https://www.youtube.com/watch?v=yiZtMjLW80k,Stas Karanikolaou,https://www.youtube.com/channel/UCMHKlaUOwMvgZ339zcjEI2A,2026-03-21T08:20:33.232Z,1248.0,607.823,607.823
lc,https://www.youtube.com/watch?v=g6pMLgf7hj8,,,2026-03-21T08:16:18.331Z,22.0,254.901,22.0
The Psychology of 90s Babies (1990-1999),https://www.youtube.com/watch?v=zIilDTbARic,SimplePsyche,https://www.youtube.com/channel/UCuKNapOkJLCWhp1-nfjDNxA,2026-03-21T08:10:08.345Z,557.0,369.986,369.986
See if you're pre-approved for a Capital One credit card with no impact to your credit score,https://www.youtube.com/watch?v=kGBk0mVPd6c,,,2026-03-21T08:10:01.360Z,32.0,6.985,6.985
They Tried To Silence Me. It Backfired.,https://www.youtube.com/watch?v=YRqkk5FkTcw,Tyler Oliveira,https://www.youtube.com/channel/UCY8SLLJjWpS4sx1dEqECaIw,2026-03-21T07:47:57.487Z,170.0,1323.873,170.0
NBA_X_Video_AS_Brad-Sketch_X_EVG_1x1_2512-Basic-Short_X_Asper_06_YT-Bumper-Avail-V1_260225_DFS,https://www.youtube.com/watch?v=LbIoGaxFmYU,,,2026-03-21T07:47:50.820Z,7.0,6.667,6.667
USz 260215 21 lxn 1x1,https://www.youtube.com/watch?v=_d2NOSVD6NY,,,2026-03-21T07:47:43.991Z,7.0,6.829,6.829
Many people doubt in Erika… #charliekirk #erikakirk #faith,https://www.youtube.com/watch?v=64noWzQt2h0,TurningPoint_Clipzz,https://www.youtube.com/channel/UCcrZakzPLWejtODHBCqKXbA,2026-03-21T07:47:18.071Z,,25.92,25.92
TrimRX Weight Loss Program Explained in Simple Words,https://www.youtube.com/watch?v=TOxRcPbs9xs,,,2026-03-21T07:46:36.597Z,54.0,41.474,41.474
This hotel uses AI instead of humans and then LIES about it. 🥴,https://www.youtube.com/watch?v=iK5mTjCCBdc,Maggie McGaugh,https://www.youtube.com/channel/UCORkfNUmkMJx1jOx89juU8Q,2026-03-21T07:44:19.777Z,150.0,136.82,136.82
the most unhinged fidget toy i’ve ever seen 😭,https://www.youtube.com/watch?v=uPxRPNUFyI4,TheGrumpiess,https://www.youtube.com/channel/UCpDJ1Gvh-HJ7GI3UakJehCw,2026-03-21T07:43:13.664Z,50.0,66.113,50.0
Irish accent be like for 14 years I lived in the shire 🤣 #comedy #standupcomedy #relatable #irish,https://www.youtube.com/watch?v=sNT7C6b9Q6E,Amber,https://www.youtube.com/channel/UCBMER25p-71O2vuc6JrDhvA,2026-03-21T07:43:05.762Z,126.0,7.902,7.902
Erika Kirk shows Turning Point staff Charlie's Medal of Freedom | FOX 10 Phoenix,https://www.youtube.com/watch?v=SxuVNjhmrcY,FOX 10 Phoenix,https://www.youtube.com/channel/UCNjfNLnQYbjBEvnS8KFuyGQ,2026-03-21T07:38:38.761Z,19.0,267.001,19.0
Theo Von Was STRUGGLING,https://www.youtube.com/watch?v=0tYwlH2lJp0,Theo Rogan Shorts,https://www.youtube.com/channel/UCxKGou6OIoV68Rw5VYV9LHg,2026-03-21T07:38:22.239Z,31.0,16.522,16.522
TY25 PMax BizTax Video 2,https://www.youtube.com/watch?v=Gauxbu8WOYM,,,2026-03-21T07:37:45.354Z,21.0,36.885,21.0
I Investigated Thailand's Ladyboy Epidemic...,https://www.youtube.com/watch?v=xoqLAWB39hM,Tyler Oliveira,https://www.youtube.com/channel/UCY8SLLJjWpS4sx1dEqECaIw,2026-03-21T07:05:56.413Z,1957.0,1908.941,1908.941
Webull: Predict & Trade on Outcomes,https://www.youtube.com/watch?v=iNjG_NhXRtI,,,2026-03-21T07:05:17.657Z,12.0,38.756,12.0
Car Accident Injury? Here is How to Maximize Your Settlement! GirlHurtHook,https://www.youtube.com/watch?v=b26zoqEHdEI,,,2026-03-21T06:59:32.247Z,282.0,345.41,282.0
Get the Gift of the Book of Mormon | 0:24 | 9x16,https://www.youtube.com/watch?v=iP79jDPKMN0,,,2026-03-21T06:44:37.016Z,24.0,895.231,24.0
I Asked President Donald Trump Everything...,https://www.youtube.com/watch?v=PsOW9x2sOKY,Jake Paul,https://www.youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA,2026-03-21T06:34:41.987Z,1636.0,595.029,595.029
The Science Behind BlueChew Gold - 9x16 - Shorts,https://www.youtube.com/watch?v=KTvite7pe0A,,,2026-03-21T06:34:29.081Z,71.0,12.906,12.906
New video is out tomorrow! #shorts #q&a,https://www.youtube.com/watch?v=mouNA07kd30,Kai Trump,https://www.youtube.com/channel/UCytKJrAI_PsPfoi04D1E2oQ,2026-03-21T06:33:25.865Z,30.0,63.216,30.0
UE_1065_US_en-US_MatchMy-Gro_9x16_V10-IL_Grocery_0.mp4,https://www.youtube.com/watch?v=v5_aH73uBns,,,2026-03-21T06:33:21.946Z,11.0,3.919,3.919
Late and tall #standupcomedy #comedy #standup #crowdwork,https://www.youtube.com/watch?v=jKSqSNXQKVo,Harry Jun,https://www.youtube.com/channel/UCZcvAhOeFM_aeebZCbNuxFQ,2026-03-21T06:31:39.042Z,72.0,102.904,72.0
"March 11, 2026",https://www.youtube.com/watch?v=m_LTtAQcAHo,Princess Chevy,https://www.youtube.com/channel/UCPzIlXBa9fJ4dQiagv7CXJw,2026-03-21T06:31:33.551Z,170.0,5.491,5.491
a WEDDING order! 👨‍🍳#dippedbyryder #foryoupage #wedding #treatmaker #chocolatecoveredtreats,https://www.youtube.com/watch?v=S0a7dzPZmVo,dippedbyryder,https://www.youtube.com/channel/UCnEPD-0PqMtXzhsfT4_BFwg,2026-03-21T06:30:25.203Z,,68.348,68.348
Link in bio! New Virval GLUELESS Curly Finger Coil WIG looks too NATURAL... for beginners  #unice,https://www.youtube.com/watch?v=mc6kOk2xNzA,,,2026-03-21T06:30:13.706Z,31.0,11.497,11.497
"Tiny foil meant for big waves, had to try to dock-start it 🙄 #hydrofoil #surfing #hawaii",https://www.youtube.com/watch?v=-T1sOsk8ziA,Ridge Lenny,https://www.youtube.com/channel/UC_mKdO3JHkf3y3MqGpA8njA,2026-03-21T06:26:47.883Z,62.0,205.823,62.0
Steam Disinfection Cleaner,https://www.youtube.com/watch?v=rchOGl3DqrI,,,2026-03-21T06:26:15.388Z,32.0,32.495,32.0
Por favor comparte con tus amigos #pov #herramientas #sketch #gracioso #actuación #historia,https://www.youtube.com/watch?v=WAK-yX1CF8c,Biewald Arsham,https://www.youtube.com/channel/UCaSzmdvoaMVWVCQ4wX87L3w,2026-03-21T06:25:14.200Z,62.0,61.188,61.188
Britney Spears Most Iconic Moment,https://www.youtube.com/watch?v=TwIM6o_tVyo,Kelvin Is Red,https://www.youtube.com/channel/UCvvfEVe14Vxwnm2dg1gVqCw,2026-03-21T06:24:10.542Z,62.0,63.658,62.0
28_CM01YH_[26_ceo_vhs]_motion_UGC_remake_06KD102_07AS73_17IH03_03_9x16_17IH.mp4,https://www.youtube.com/watch?v=Om0rAp3YlzU,,,2026-03-21T06:24:07.951Z,18.0,2.591,2.591
#shaq calls 50 cent and proves #chiraq #50cent #podcast #nba #chicagodrill,https://www.youtube.com/watch?v=I96aB2P7s4A,fuzzy,https://www.youtube.com/channel/UC9MgfkOiXIJaJYF7vwCQ8oQ,2026-03-21T06:22:43.871Z,68.0,84.08,68.0
Explaining color theory 💫 #colortheory #hair #colors,https://www.youtube.com/watch?v=VdzDos_ALzw,Stella Cini,https://www.youtube.com/channel/UCGIaiz5OLxlfuH9gkqbejnQ,2026-03-21T06:21:40.052Z,61.0,63.819,61.0
Guilt-free focus in a pouch,https://www.youtube.com/watch?v=K961TNtG450,,,2026-03-21T06:21:37.041Z,49.0,3.011,3.011
Theo Von's Dad Was OLD 😳,https://www.youtube.com/watch?v=2uzoCtRc0gQ,Theo Rogan Shorts,https://www.youtube.com/channel/UCxKGou6OIoV68Rw5VYV9LHg,2026-03-21T06:21:01.454Z,34.0,35.587,34.0
When FREE is Still Too Expensive…😱😭 #funny #shorts,https://www.youtube.com/watch?v=5jVSARlm_XQ,Tess Kraufman,https://www.youtube.com/channel/UCKR7eBIYkirEnKW1gtXSptA,2026-03-21T06:17:25.064Z,178.0,216.39,178.0
SMRT_14672_4_M_TE_30_9x16_EN_FV_SMRT_14286_1_MT,https://www.youtube.com/watch?v=DTLisoP4A68,,,2026-03-21T06:17:23.374Z,37.0,1.69,1.69
