title,link,channel,channel_link,date,video_length,time_diff,watch_time
dokyeomahhh?!? 😭 #dk #seventeem #kpop #shorts #fyp,https://www.youtube.com/watch?v=i5cWlkO4pqI,SEVENTEEN CARAT 13,https://www.youtube.com/channel/UCBsTJwt4dwyP4tUFKjSv0-Q,2026-04-23T10:04:43.382Z,6.0,,6.0
Jake NoAmazonPacking Literally 56 UA CP UA CL CP UA RW CP UA OS CP UA BL BRoll Inside Dupe Internal,https://www.youtube.com/watch?v=ejoKJRODbnA,,,2026-04-23T10:04:41.771Z,25.0,1.611,1.611
What a Story #standupcomedy #shorts,https://www.youtube.com/watch?v=uGmYDpFzvcc,Will Burkart,https://www.youtube.com/channel/UCY5bh5_GNRZJZlyoZaa4M5A,2026-04-23T10:03:39.793Z,82.0,61.978,61.978
Repurpose Leftover Cake into a Completely Different Dessert,https://www.youtube.com/watch?v=wgJn5FPOThg,benjaminthebaker,https://www.youtube.com/channel/UCGN9HEkvzwThiev64LFaLXg,2026-04-23T10:02:59.727Z,40.0,40.066,40.0
What are sea grapes?,https://www.youtube.com/watch?v=5Ir66wmxf6o,Shef_Phoenix,https://www.youtube.com/channel/UCr5Vq4DdSj9SJal5u47Zuhg,2026-04-23T05:16:03.028Z,51.0,17216.699,51.0
"If you think black pepper is a food group, you'll love this black pepper chicken.",https://www.youtube.com/watch?v=vnVEX1vF-XM,Lauren Sampson | AthleteLunchbox,https://www.youtube.com/channel/UC-S1NK3zPtiefcBRcxc5f0g,2026-04-23T05:13:38.429Z,24.0,144.599,24.0
39th President Aretha Franklin,https://www.youtube.com/watch?v=00zZ8DAoaiU,Kevin Langue 2,https://www.youtube.com/channel/UCtx75zhisN7PtDvdzAhIjpQ,2026-04-23T05:12:56.190Z,32.0,42.239,32.0
Bro got aura farmed 😂✌️ #nfl #shorts,https://www.youtube.com/watch?v=qD5sc4gCpTU,AZProds,https://www.youtube.com/channel/UCMh9IX0RQ9tnoIACcgGgDoQ,2026-04-23T05:12:52.401Z,11.0,3.789,3.789
Care to watch me clean my apartment while I talk your ear off for a minute straight? 😂🧼,https://www.youtube.com/watch?v=Wctgc9v5vrY,cleanwcarly,https://www.youtube.com/channel/UCbe-_roleLejT1EDaPPdeKA,2026-04-23T05:12:27.670Z,,24.731,24.731
Joshua was stressed 😭😂 #seventeen #joshua #kpop #carat #foryou #svt,https://www.youtube.com/watch?v=nYyFr3eLluw,flwrsforshua,https://www.youtube.com/channel/UCCMfcui_8lL6S0PiTbpK10w,2026-04-23T05:11:24.985Z,16.0,62.685,16.0
Real Life IG #standupcomedy #shorts,https://www.youtube.com/watch?v=qpNnUE0s7Y0,Will Burkart,https://www.youtube.com/channel/UCY5bh5_GNRZJZlyoZaa4M5A,2026-04-23T05:09:52.080Z,37.0,92.905,37.0
Scoups proud of his seventeen & Jun😅 #seventeen #dk #junhui #mingyu #seungkwan #vernon #dino,https://www.youtube.com/watch?v=NhgLDExYZps,SVT'th Heaven,https://www.youtube.com/channel/UCPKpGq1y1PHHKUeywHt0pbQ,2026-04-23T05:08:55.581Z,47.0,56.499,47.0
[LYRICS/가사] SEVENTEEN (세븐틴) S.COUPS - 난 (Me),https://www.youtube.com/watch?v=8OpIu3_ZodE,seventeenlyrics,https://www.youtube.com/channel/UCJ_lmwJaqLnES1bc6hggVuA,2026-04-23T05:07:30.401Z,213.0,85.18,85.18
Disclosure - Latch ft. Sam Smith,https://www.youtube.com/watch?v=93ASUImTedo,DisclosureVEVO,https://www.youtube.com/channel/UCVEQWNjqi2vnxrfvpH58neg,2026-04-23T05:03:14.679Z,257.0,255.722,255.722
Practicing this skill with my son helped us save him when he was choking,https://www.youtube.com/watch?v=y3TJR5YnC0Y,Kelsey (KelseWhatElse),https://www.youtube.com/channel/UCBJEnM0CeHwvsItyXMxZcGA,2026-04-23T05:02:31.816Z,52.0,42.863,42.863
Caught in the afternoon slump? Time for a Pure Leaf.,https://www.youtube.com/watch?v=ujrr12XYq8A,,,2026-04-23T05:02:30.018Z,10.0,1.798,1.798
wait i know that guy,https://www.youtube.com/watch?v=p9fukJPdOx8,EclipsedVO,https://www.youtube.com/channel/UCW--UPeQUj6JaGYDrz5FHbw,2026-04-23T05:02:04.113Z,32.0,25.905,25.905
Attaching Wheels On Turtles 🐢🛞 #goodtoknow #educational #vet #medicine #funfacts #lifehacks #hacks,https://www.youtube.com/watch?v=dBRdWc49-og,Vetventures,https://www.youtube.com/channel/UC_qNHEw4tFK08cPCsUbwrOQ,2026-04-23T05:01:43.376Z,10.0,20.737,10.0
throw back to dont wanna cry performance,https://www.youtube.com/watch?v=65T6DOmIuco,Hazy Dance Crew,https://www.youtube.com/channel/UCa9UcvUViW-oi1Hhq2uVlmw,2026-04-23T05:01:40.287Z,35.0,3.089,3.089
One Kidney #standupcomedy #shorts,https://www.youtube.com/watch?v=PC7lR0YSYb4,Will Burkart,https://www.youtube.com/channel/UCY5bh5_GNRZJZlyoZaa4M5A,2026-04-23T05:00:45.834Z,66.0,54.453,54.453
With a few tweaks I think this is a great option! @eimearweeks #breakfast,https://www.youtube.com/watch?v=hioL-3kLP6Q,The Plant Slant,https://www.youtube.com/channel/UCEMj2h7pP4QWkoGnSmaiiYw,2026-04-23T05:00:35.969Z,43.0,9.865,9.865
