title,link,channel,channel_link,date,video_length,time_diff,watch_time
Controversy erupts at BAFTA awards,https://www.youtube.com/watch?v=fnq8PXhQ7F4,Good Morning America,https://www.youtube.com/channel/UCH1oRy1dINbMVp3UFWrKP0w,2026-02-23T23:14:00.122Z,113.0,,113.0
“there’s a pride flag outside the restaurant” 🏳️‍🌈🤔,https://www.youtube.com/watch?v=_Mh4bqljyy0,snerixx,https://www.youtube.com/channel/UCuoAh9yGYHEgDU192P2WD9w,2026-02-23T19:36:29.821Z,90.0,13050.301,90.0
Another Long Day at the Work Factory 👨🏻‍🏭 #comedy #funny #work #job #history,https://www.youtube.com/watch?v=P7PXhBhUYWU,Samuel Jacob,https://www.youtube.com/channel/UCIDcDGElbzKfbqkZUu8599Q,2026-02-23T19:36:04.019Z,95.0,25.802,25.802
Image waking up without opioid withdrawal. V15,https://www.youtube.com/watch?v=HctKF3DGZBw,,,2026-02-23T19:36:01.792Z,15.0,2.227,2.227
Tricking the parrot with a cold cup of ‘tea’,https://www.youtube.com/watch?v=Np6F-p1kTNU,Fartbirb,https://www.youtube.com/channel/UCW-myT1hgl3Q8Eh5Gx-x5pg,2026-02-23T19:35:59.821Z,38.0,1.971,1.971
These toddlers are smart!!! #grandmasplayroom,https://www.youtube.com/watch?v=zq_KFauLJGg,Sierra Zagarri,https://www.youtube.com/channel/UCbFaMNmwdU5uafIBSoU4ZjA,2026-02-23T19:35:37.259Z,20.0,22.562,20.0
Walking 2 Dogs? This Fixes EVERYTHING 😲🐕🐕,https://www.youtube.com/watch?v=gppaoydekjo,Paws&Heart,https://www.youtube.com/channel/UCIyVSiiLUzL99ptg-e3pPFg,2026-02-23T19:35:35.374Z,45.0,1.885,1.885
She’s tiny but MIGHTY 🔥 #dancer #dancevideo #dancechallenge #dancemusic #choreography #hiphopdance,https://www.youtube.com/watch?v=ssTfSfX2T6w,DanceIzLif3,https://www.youtube.com/channel/UCJDjJkgsTz4WP-x6VxGieKA,2026-02-23T19:35:33.441Z,30.0,1.933,1.933
REQUESTED Part 2- everyone is different. this is just 1 scenario. Recovery is possible don't give up,https://www.youtube.com/watch?v=bo1OUIHRmQM,Tinassee- Tina Tsakonas,https://www.youtube.com/channel/UCiVM0x4XmvQPN38aEgHiYXg,2026-02-23T19:35:00.273Z,41.0,33.168,33.168
Funny soldier #solider #funny #army #militarylife #navy,https://www.youtube.com/watch?v=WaEtKwrThSc,Arumee Techakan,https://www.youtube.com/channel/UCw1hCoxGw0H8TdVLZJlIrKA,2026-02-23T19:34:45.997Z,60.0,14.276,14.276
The perfect Valentine’s Day gift 🗡️,https://www.youtube.com/watch?v=-ZTr86BuGio,Ginny Di,https://www.youtube.com/channel/UCe5KNXqT7970K8vkHb5BQ5Q,2026-02-23T15:37:10.242Z,59.0,14255.755,59.0
Doodle helper!#amazing #lovebug #puppylife #californiasheepadoodles #babylove,https://www.youtube.com/watch?v=WnCAtwB3X9U,"California Sheepadoodles, TToodles & Gotta Havapoo",https://www.youtube.com/channel/UCxG3M5apZrwnfMlqMuYeVqA,2026-02-23T15:37:02.640Z,30.0,7.602,7.602
Good morning 🙏🏻✌🏻🩷,https://www.youtube.com/watch?v=p5wk2d5c5RU,CB🩷💚Blondie,https://www.youtube.com/channel/UCrrCnGZ4K3ZGDF70vLowTdA,2026-02-23T15:37:01.817Z,16.0,0.823,0.823
Mail me your pants and I will sew this on for you!,https://www.youtube.com/watch?v=za2Ohmg5Pf4,Kornelija Newcomer,https://www.youtube.com/channel/UCX6WI1rAqbYar1lGZyjIoug,2026-02-23T15:36:59.023Z,20.0,2.794,2.794
She Hesitated… Then Made It Look Effortless 🌀🔥 | Sarah Ørskov,https://www.youtube.com/watch?v=AWrJseh1ZvQ,Lascivious Media ,https://www.youtube.com/channel/UChYVlLTRW0ezzCZCQPY9M-g,2026-02-23T15:36:57.995Z,33.0,1.028,1.028
would you do this? #trusttheprocess #cremation #oceanvibes #loss #grief #griefsupport #artist #rip,https://www.youtube.com/watch?v=b1Zaqpt1CBY,Art By Jenna Lynn,https://www.youtube.com/channel/UCt7dYSCdMmIYSEzNBeVyR2g,2026-02-23T15:36:56.402Z,60.0,1.593,1.593
Taking my SNAPPING TURTLE  out on a walk,https://www.youtube.com/watch?v=jxXKzIdrLbQ,Luke's Goldies,https://www.youtube.com/channel/UCg0_9roN7QYzFNLjVSD5Z1Q,2026-02-23T15:36:55.262Z,21.0,1.14,1.14
Hugo UGC - Back on my Feet - 30s,https://www.youtube.com/watch?v=5SZt6HEwSys,,,2026-02-23T15:36:49.598Z,37.0,5.664,5.664
Her Reaction At The End??💀,https://www.youtube.com/watch?v=84RhbQwhBQY,Peet Montzingo,https://www.youtube.com/channel/UC1WbRuMMzbzUfBG65x1FmXQ,2026-02-23T15:36:43.523Z,16.0,6.075,6.075
Japanese vs English Dub and gets personal💀 🙏,https://www.youtube.com/watch?v=Itn89W9GiTU,Rhino,https://www.youtube.com/channel/UCAikOteKtj6v8SKsanYiYyg,2026-02-23T15:36:42.281Z,51.0,1.242,1.242
recovery is possible don't give up ❤️‍🩹,https://www.youtube.com/watch?v=Nduuyq1wm2s,Tinassee- Tina Tsakonas,https://www.youtube.com/channel/UCiVM0x4XmvQPN38aEgHiYXg,2026-02-23T15:36:28.200Z,41.0,14.081,14.081
When Hide & Seek goes wrong!,https://www.youtube.com/watch?v=gswjsWR1WK8,Kim DowDell,https://www.youtube.com/channel/UC-7gDz4Oyjsqekl-JuYoEBA,2026-02-23T15:36:26.343Z,56.0,1.857,1.857
Trauma Candy Salad 🍬😂,https://www.youtube.com/watch?v=FHV9JYwMtV4,Scarlet Girl,https://www.youtube.com/channel/UCo5WIY_E9bkS1C765haQwKQ,2026-02-23T15:36:24.716Z,,1.627,1.627
"February 22, 2026",https://www.youtube.com/watch?v=g9JzAwRXCLg,haut.yoga68,https://www.youtube.com/channel/UCH4ZwCMJl5dZib7A8PiV0KA,2026-02-23T15:36:23.745Z,36.0,0.971,0.971
