title,link,channel,channel_link,date,video_length,time_diff,watch_time
Boundaries?  Are there any left?,https://www.youtube.com/watch?v=MxgRFZ1MMHk,Chasing.,https://www.youtube.com/channel/UClpV2G_p2GliLW_K0GeObAw,2026-04-01T01:36:02.484Z,9234.0,,9234.0
The Guthrie Grift,https://www.youtube.com/watch?v=DMmm4PnDbg8,Golightly Life Coach,https://www.youtube.com/channel/UCWulgmsB_z-GH_aotjMp1Gg,2026-04-01T01:25:44.568Z,,617.916,617.916
Lumi Studio 2,https://www.youtube.com/watch?v=5JKQ1VrZjUk,,,2026-04-01T01:25:26.794Z,33.0,17.774,17.774
Square: OG FY26 PAID BRAND VIDEO 30s NA 16X9,https://www.youtube.com/watch?v=9EGtdZFUKz4,,,2026-04-01T01:25:10.503Z,31.0,16.291,16.291
Let's have a laugh at a Cow's expense her losing support. #hurtfeelings #nosupport #crama #drama,https://www.youtube.com/watch?v=0Lq-Fi4sRm0,EARTH.,https://www.youtube.com/channel/UCnzgy2h8htPbEXn9USpzKsQ,2026-03-31T23:55:59.007Z,13498.0,5351.496,5351.496
Ryan Finds Truth Interview With Bill Shipley review!,https://www.youtube.com/watch?v=-XMUepgW-AE,Stinsonhas_thesoup,https://www.youtube.com/channel/UCjhaq6pN4gUQ-Biq62spLcg,2026-03-31T23:36:06.661Z,4289.0,1192.346,1192.346
Blood In Urine : What Causes Haematuria And How Is it Treated,https://www.youtube.com/watch?v=fy4jj6Jb_0c,The Urology Partnership,https://www.youtube.com/channel/UCFwI3lgID1krzq0ga2yaEsw,2026-03-31T23:35:45.457Z,87.0,21.204,21.204
"That other time Mellisa used HATE speech! R word, N word and stands on it! #bigotry ",https://www.youtube.com/watch?v=kY3qdlZa03o,Tragedy Pimps Exposed,https://www.youtube.com/channel/UCBA3a689q8qhCI-yvm3ckiw,2026-03-31T22:50:57.342Z,538.0,2688.115,538.0
⭐️ Starring…Tricia  🎥 ,https://www.youtube.com/watch?v=rXstoJInw8M,Everyday with Jay ,https://www.youtube.com/channel/UCrOKBVs7XfMlKGeXbv5L4ZQ,2026-03-31T22:46:36.168Z,268.0,261.174,261.174
what are these pets thinking about? #33K_AdMe_creator-ideas_1,https://www.youtube.com/watch?v=vIaNkyxNo3I,,,2026-03-31T22:40:38.186Z,19.0,357.982,19.0
"February 21, 2026",https://www.youtube.com/watch?v=Zgan8KYOtxA,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:37.405Z,,0.781,0.781
"February 22, 2026",https://www.youtube.com/watch?v=k2tt0j399bs,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:36.182Z,,1.223,1.223
$2 Nails vs. Handmade: The Truth! 🤯✂️ #shortvideo #pressonnails #nailart #nailinspo #handmadenails,https://www.youtube.com/watch?v=3RZh7DjDqas,,,2026-03-31T22:40:34.328Z,21.0,1.854,1.854
"February 22, 2026",https://www.youtube.com/watch?v=YsRiQxxUSVc,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:28.365Z,,5.963,5.963
"February 23, 2026",https://www.youtube.com/watch?v=VczAbqJ46VQ,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:27.235Z,,1.13,1.13
0629(2).mp4,https://www.youtube.com/watch?v=aOnXxota0-E,,,2026-03-31T22:40:01.910Z,22.0,25.325,22.0
"February 23, 2026",https://www.youtube.com/watch?v=YVzUZlcrKjM,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:01.266Z,,0.644,0.644
"February 24, 2026",https://www.youtube.com/watch?v=2WbyDagVuBE,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:40:00.380Z,,0.886,0.886
BEAUTIFUL VIBES (vertical) country rock music video ** Loving life and others -  Dr Don plays guitar,https://www.youtube.com/watch?v=CbTil5IZcMw,,,2026-03-31T22:39:54.659Z,430.0,5.721,5.721
"February 24, 2026",https://www.youtube.com/watch?v=cwERh9zJpBs,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:53.710Z,,0.949,0.949
"February 24, 2026",https://www.youtube.com/watch?v=ln8tEcZaYko,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:52.809Z,,0.901,0.901
Mixed Playlists,https://www.youtube.com/watch?v=ProLMpY-hJQ,,,2026-03-31T22:39:50.278Z,16.0,2.531,2.531
"February 25, 2026",https://www.youtube.com/watch?v=HRDINpuBDSw,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:49.522Z,,0.756,0.756
"February 25, 2026",https://www.youtube.com/watch?v=3CHSVWqk2-8,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:48.153Z,,1.369,1.369
"February 26, 2026",https://www.youtube.com/watch?v=V46M1jOxL0o,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:47.341Z,,0.812,0.812
"February 26, 2026",https://www.youtube.com/watch?v=Qvo2KVK-EzU,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:46.414Z,,0.927,0.927
"February 26, 2026",https://www.youtube.com/watch?v=fPZ0RzLeOxg,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:42.731Z,,3.683,3.683
"February 28, 2026",https://www.youtube.com/watch?v=Wo9uLv4HPuQ,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:40.522Z,,2.209,2.209
"March 2, 2026",https://www.youtube.com/watch?v=HDl7OG12Ymo,Juanita McClaine ,https://www.youtube.com/channel/UCmGw8JU0Xt8vzBLThbrBVxA,2026-03-31T22:39:38.780Z,,1.742,1.742
