title,link,channel,channel_link,date,video_length,time_diff,watch_time
Stricken,https://music.youtube.com/watch?v=VVLAnjtpXeM,Disturbed - Topic,https://www.youtube.com/channel/UCMHHDXMvnMKRzuEKtMe8ZRA,2026-03-31T22:09:10.503Z,246.0,,246.0
Animals,https://music.youtube.com/watch?v=XkYPPUK5jos,Architects - Topic,https://www.youtube.com/channel/UCSokI_oUO8bBRL8gRsyq-lQ,2026-03-31T22:05:05.387Z,245.0,245.116,245.0
Somewhere I Belong,https://music.youtube.com/watch?v=-YQ8IbVIwPM,Linkin Park - Topic,https://www.youtube.com/channel/UCxgN32UVVztKAQd2HkXzBtw,2026-03-31T22:01:15.511Z,214.0,229.876,214.0
Animal I Have Become,https://music.youtube.com/watch?v=ysho2xTWUYo,Three Days Grace - Topic,https://www.youtube.com/channel/UCfgRkxIufLnYKicOY8aJQ2g,2026-03-31T21:57:23.307Z,232.0,232.204,232.0
I-E-A-I-A-I-O,https://music.youtube.com/watch?v=_Ho_ZsIktaw,System Of A Down - Topic,https://www.youtube.com/channel/UCDJftX2zx_UT_QSnBGIF96w,2026-03-31T21:53:43.595Z,189.0,219.712,189.0
All the Rage,https://music.youtube.com/watch?v=DlwQjAAwfZ8,Funeral for a Friend - Topic,https://www.youtube.com/channel/UC4gk1TAMffGFX1sN8uOoxkQ,2026-03-31T21:50:05.309Z,218.0,218.286,218.0
Wings of Mariposa,https://music.youtube.com/watch?v=aydGhmloST8,Will Haven - Topic,https://www.youtube.com/channel/UCI15QlEdTvMcuBLaZtaligQ,2026-03-31T21:47:17.778Z,167.0,167.531,167.0
Pma ‘Till I’m Doa,https://music.youtube.com/watch?v=SwHW1mm3r7s,Cancer Bats - Topic,https://www.youtube.com/channel/UCbIPdgWbMCFUKj8yux37Ldw,2026-03-31T21:43:44.031Z,183.0,213.747,183.0
Brainwashed,https://music.youtube.com/watch?v=IYMhlaFTnNI,While She Sleeps - Topic,https://www.youtube.com/channel/UC27fSZc-kvATHeNStEH_9-g,2026-03-31T21:40:14.607Z,209.0,209.424,209.0
Slow Burn,https://music.youtube.com/watch?v=J_xULLdA3ik,LIMBS - Topic,https://www.youtube.com/channel/UChxS5slIoHB50ZCuqE61gZg,2026-03-31T21:36:43.316Z,211.0,211.291,211.0
Creeper - VCR (Official Video),https://music.youtube.com/watch?v=6JRXDhXLoBg,Creeper,https://www.youtube.com/channel/UCAYpgEP_2w0tyLx2Wby1jWw,2026-03-31T21:32:38.611Z,214.0,244.705,214.0
"Drunks, Lovers, Sinners and Saints",https://music.youtube.com/watch?v=argo0735hkI,Alexisonfire - Topic,https://www.youtube.com/channel/UC9gdUSsa_3TWMYou9nUIJPQ,2026-03-31T21:12:49.428Z,229.0,1189.183,229.0
Trash Boat - Inside Out (Official Music Video),https://music.youtube.com/watch?v=mmN_GSgWLmw,Hopeless Records,https://www.youtube.com/channel/UCToUNe4i9j_SlKGFl8MrQHg,2026-03-31T21:08:42.417Z,232.0,247.011,232.0
"Escape the Fate - ""Risk It All""",https://music.youtube.com/watch?v=x3GdQxjqzbM,Escape the Fate,https://www.youtube.com/channel/UCx2op0Cvq3d6NQUf9B0wBQg,2026-03-31T21:04:41.179Z,241.0,241.238,241.0
"Parkway Drive - ""Deliver Me"" (Full Album Stream)",https://music.youtube.com/watch?v=ei5hEyBnRF4,Epitaph Records,https://www.youtube.com/channel/UCDE5Ezmxq1bNVak4lmkpCMw,2026-03-31T21:00:11.142Z,254.0,270.037,254.0
Invictus - Get Up (Official Video),https://music.youtube.com/watch?v=eHfC_lRMnAY,Invictus Official,https://www.youtube.com/channel/UCRksPgBhLGcXzZWXiWF1Q1w,2026-03-31T20:56:10.297Z,241.0,240.845,240.845
"Our Hollow, Our Home - Seven Years (Shine A Light On Me)",https://music.youtube.com/watch?v=xRsMj42IU7Q,"Our Hollow, Our Home",https://www.youtube.com/channel/UCMUPGooe2sz0LxrSY5rqiOA,2026-03-31T20:52:24.553Z,225.0,225.744,225.0
My Suffering,https://music.youtube.com/watch?v=ZZotIfWcfUI,Dead By Sunrise - Topic,https://www.youtube.com/channel/UCEzg_n3-u2ODF6ENDAIrGXA,2026-03-31T20:49:14.024Z,160.0,190.529,160.0
Wasted Age,https://music.youtube.com/watch?v=DBG6jxhqnlY,We Came As Romans - Topic,https://www.youtube.com/channel/UCaIt992f9VW5Gjr5EHIKOVA,2026-03-31T20:45:26.712Z,227.0,227.312,227.0
Alexisonfire - Accidents (Official Video),https://music.youtube.com/watch?v=tZ0Zncg7sLQ,Dine Alone Records,https://www.youtube.com/channel/UCPomZWxZSot8cObAbeGY-Aw,2026-03-31T20:10:27.507Z,294.0,2099.205,294.0
Totem,https://music.youtube.com/watch?v=jkRs2ApYrIg,Soulfly - Topic,https://www.youtube.com/channel/UC3VNgzAH34hupZwzk3PobQw,2026-03-31T20:04:55.347Z,332.0,332.16,332.0
Ice Nine Kills - Freak Flag,https://music.youtube.com/watch?v=cGmZ1E7H-BQ,Fearless Records,https://www.youtube.com/channel/UCKMYrg58k3muz90hG0OSVhA,2026-03-31T20:01:18.193Z,202.0,217.154,202.0
Beartooth - Rock Is Dead (Audio),https://music.youtube.com/watch?v=u3UR8cjlshA,Red Bull Records,https://www.youtube.com/channel/UC7qn3NBI3XV7d8I3cvZeABw,2026-03-31T19:57:04.395Z,223.0,253.798,223.0
"Butcher Babies - ""Best Friend"" (Official Music Video)",https://music.youtube.com/watch?v=RxC3JqMLHZ0,ButcherBabies,https://www.youtube.com/channel/UCD-otW-l4YcLMpAtUivqInw,2026-03-31T19:54:04.399Z,149.0,179.996,149.0
