title,link,channel,channel_link,date,video_length,time_diff,watch_time
Microsoft accidentally told the truth about AI,https://www.youtube.com/watch?v=4CIlTOnc6I8,Mo Bitar,https://www.youtube.com/channel/UCAwT-7B6StW_xzXPku6v7MQ,2026-04-23T20:02:03.366Z,546.0,,546.0
Cooking every recipe I see online for a week,https://www.youtube.com/watch?v=rbcffQZMEDI,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T17:33:27.165Z,1572.0,8916.201,1572.0
I am the worst chef on youtube,https://www.youtube.com/watch?v=c0h7vcCxaLk,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T17:05:26.617Z,1731.0,1680.548,1680.548
The internet made me obsessed with protein,https://www.youtube.com/watch?v=SCkP9VVxKSE,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T16:28:18.796Z,2319.0,2227.821,2227.821
I followed a bunch of tutorials on how to get taller,https://www.youtube.com/watch?v=wJRTM36jANc,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T16:10:33.215Z,1198.0,1065.581,1065.581
I did a dopamine fast because the internet told me to,https://www.youtube.com/watch?v=5CRD9pmqa7s,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T15:44:24.106Z,1683.0,1569.109,1569.109
Do these mental health products even do anything?,https://www.youtube.com/watch?v=caVoqAfdkYQ,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T15:04:41.511Z,2479.0,2382.595,2382.595
Learning the Most Pointless Life Lessons from Dhar Mann,https://www.youtube.com/watch?v=uxo8kHgqYYg,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T14:48:55.200Z,1026.0,946.311,946.311
Why was I invited to Beast Studios?,https://www.youtube.com/watch?v=0dwagg5wYY4,Folding Ideas,https://www.youtube.com/channel/UCyNtlmLB73-7gtlBz00XOQQ,2026-04-23T14:03:16.190Z,4730.0,2739.01,2739.01
The Greatest Bad Movie Ever Made,https://www.youtube.com/watch?v=CU3D2nR1xKE,Drew Gooden,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,2026-04-23T13:32:15.541Z,1956.0,1860.649,1860.649
Secrets of a $182 Billion Chip Maker: AMD's Labs | Full Documentary,https://www.youtube.com/watch?v=7H4eg2jOvVw,Gamers Nexus,https://www.youtube.com/channel/UChIs72whgZI9w6d6FhwGGHA,2026-04-23T12:35:33.575Z,3399.0,3401.966,3399.0
LIVE: Newegg AI PC Builder vs. GamersNexus,https://www.youtube.com/watch?v=GEcXEUa59dU,Gamers Nexus,https://www.youtube.com/channel/UChIs72whgZI9w6d6FhwGGHA,2026-04-23T11:15:34.090Z,4793.0,4799.485,4793.0
ROBLOX_OOF.mp3,https://www.youtube.com/watch?v=0twDETh6QaI,hbomberguy,https://www.youtube.com/channel/UClt01z1wHHT7c5lKcU8pxRQ,2026-04-23T10:22:57.976Z,7069.0,3156.114,3156.114
