title,link,channel,channel_link,date,video_length,time_diff,watch_time
The Diner Between Worlds — Lynchian Dark Ambient Mix (3H 42M),https://www.youtube.com/watch?v=cR4Bpz9m3vk,Ambience Atlas,https://www.youtube.com/channel/UCb6qu3w4cqT8urd1xAisaeA,2026-02-24T03:28:24.097Z,13390.0,,13390.0
Twin Peaks Ambient Music,https://www.youtube.com/watch?v=E-w3qzDQpB8,ASMR Soft Sounds,https://www.youtube.com/channel/UCC1a6ssyO5_sFbtuucvS2nQ,2026-02-24T03:13:44.929Z,2188.0,879.168,879.168
Nighthawks - Silent Hill inspired ambience music,https://www.youtube.com/watch?v=jMMYE8Is3BQ,Survival Spheres,https://www.youtube.com/channel/UC7syOdAdBpyPn3ZZ_ozJo3g,2026-02-24T03:13:32.969Z,606.0,11.96,11.96
G H O S T W O O D | Red Room | 10HR (Ambience + Ambient Noire Jazz),https://www.youtube.com/watch?v=CHt4eryVEAI,Armchair Ambience,https://www.youtube.com/channel/UCXPFzrgmPFxW4Qdz7FWXZpg,2026-02-24T02:57:39.564Z,36001.0,953.405,953.405
Ambient & Relaxing Resident Evil Music (w⧸ Rain & Storm Ambience) [Reupload],https://www.youtube.com/watch?v=h8JtF4VfUQY,Cry Café,https://www.youtube.com/channel/UC42B135uP-08-mCCFZAA5Qw,2026-02-24T02:22:48.427Z,5290.0,2091.137,2091.137
"Medieval Fantasy Music – Medieval Market | Folk, Traditional, Instrumental | Fantasy Music World #1",https://www.youtube.com/watch?v=XPZsaGU7Qkw,Fantasy Music World,https://www.youtube.com/channel/UCCpKrx-6GWgBt-RhNulnKAQ,2026-02-24T01:58:53.934Z,4738.0,1434.493,1434.493
"Medieval Fantasy Music – Medieval Market | Folk, Traditional, Instrumental | Fantasy Music World #2",https://www.youtube.com/watch?v=bF-ayUbGtu4,Fantasy Music World,https://www.youtube.com/channel/UCCpKrx-6GWgBt-RhNulnKAQ,2026-02-24T01:58:47.722Z,4095.0,6.212,6.212
Hollow Knight Ambience 10h - Fungal Wastes Main,https://www.youtube.com/watch?v=RReJQqP3w2s,n o o k,https://www.youtube.com/channel/UCFgToqyvQAAx4zfsW_8Ugbw,2026-02-24T01:39:05.454Z,36112.0,1182.268,1182.268
The Sims 4 Vampires - CAS Full,https://www.youtube.com/watch?v=q2Qc1830kQo,Exaltation,https://www.youtube.com/channel/UCpS4DYLScqovUzO6LdfXZfA,2026-02-24T01:36:41.080Z,231.0,144.374,144.374
Hollow Knight: Silksong / Bone Bottom 1 hour relax music (loop),https://www.youtube.com/watch?v=bMErsPoybAw,weylie,https://www.youtube.com/channel/UCtB7b7rfC-SCeW-AWDhpR8g,2026-02-24T01:31:30.086Z,3784.0,310.994,310.994
Tyra Banks Gets Her Karma AGAIN,https://www.youtube.com/watch?v=94-lqA-ifoY,Michelle McDaniel,https://www.youtube.com/channel/UCbR-GzksKvEc1dgqvMG1QtQ,2026-02-24T01:07:28.349Z,1585.0,1441.737,1441.737
THE SCHIAPARELLI HAUTE COUTURE REVIEW!,https://www.youtube.com/watch?v=3RHObCwi_fc,HauteLeMode,https://www.youtube.com/channel/UCoEj4uRzynPXEEegNqMnJVw,2026-02-24T00:52:19.436Z,1497.0,908.913,908.913
2026 GRAMMYS FASHION ROAST (what happened harry??),https://www.youtube.com/watch?v=voyk4p5FBb8,HauteLeMode,https://www.youtube.com/channel/UCoEj4uRzynPXEEegNqMnJVw,2026-02-24T00:51:56.582Z,1588.0,22.854,22.854
BAFTAS 2026 FASHION ROAST (what a snooze fest),https://www.youtube.com/watch?v=8rDd03IeTkY,HauteLeMode,https://www.youtube.com/channel/UCoEj4uRzynPXEEegNqMnJVw,2026-02-24T00:29:49.756Z,1418.0,1326.826,1326.826
Mortal Kombat 11 Gameplay 4K 60FPS,https://www.youtube.com/watch?v=86D2q2Uvg9M,MKIceAndFire,https://www.youtube.com/channel/UC1bwliGvJogr7cWK0nT2Eag,2026-02-23T23:52:23.708Z,781.0,2246.048,781.0
Hollow Knight OST - Fungal Wastes [EXTENDED],https://www.youtube.com/watch?v=MhBt9xzCiMI,Vloud Leonhart [EXTENDED],https://www.youtube.com/channel/UCngbA9RZjOHgtKMnEwz5t3Q,2026-02-23T23:11:13.249Z,2101.0,2470.459,2101.0
"RE3 ""[Still] Free From Fear"" revisited",https://www.youtube.com/watch?v=YD1BdbNHTx8,Survival Spheres,https://www.youtube.com/channel/UC7syOdAdBpyPn3ZZ_ozJo3g,2026-02-23T23:11:02.786Z,602.0,10.463,10.463
The Sims 4 Werewolves - CAS Full 1,https://www.youtube.com/watch?v=llTyZ_V86Bc,Exaltation,https://www.youtube.com/channel/UCpS4DYLScqovUzO6LdfXZfA,2026-02-23T22:34:28.519Z,224.0,2194.267,224.0
