title,link,channel,channel_link,date,video_length,time_diff,watch_time
We Got 38 Scammers Get Arrested!,https://www.youtube.com/watch?v=LDH9vjiG7Cg,Pleasant Green,https://www.youtube.com/channel/UCAPrhJwVweWZA8GEPoClSdw,2026-03-31T08:49:34.623Z,1028.0,,1028.0
I Found Out Who’s Really Sending Those Scam Texts,https://www.youtube.com/watch?v=d0u5NEBPER8,Pleasant Green,https://www.youtube.com/channel/UCAPrhJwVweWZA8GEPoClSdw,2026-03-31T08:32:24.800Z,774.0,1029.823,774.0
Another Unhinged Scammer,https://www.youtube.com/watch?v=pGxXd4GFpIQ,Scammer Payback,https://www.youtube.com/channel/UCC9EjyMN_hx5NdctLBx5X7w,2026-03-31T08:32:12.834Z,1176.0,11.966,11.966
The difference between SPD and DELTA CLEATS AND PEDALS,https://www.youtube.com/watch?v=mhw2mQ1fmhE,Tommaso Cycling,https://www.youtube.com/channel/UCrYMmT-Tvqx7dhcKjDx_X4w,2026-03-31T08:00:03.976Z,38.0,1928.858,38.0
HOW TO PROPERLY FIT SPD CLEATS on your Indoor Cycling Shoes,https://www.youtube.com/watch?v=s0xeN_jvz_Q,Kaleigh Cohen Cycling,https://www.youtube.com/channel/UChY_9WJx0saa0St48lSdytQ,2026-03-31T07:44:48.792Z,494.0,915.184,494.0
what's the difference between SPD and Delta cycling pedals?,https://www.youtube.com/watch?v=2Q8N_bVByCs,FIX STUFF MAKE STUFF,https://www.youtube.com/channel/UCiHXzkcj1xmhLXG2m_MtoyA,2026-03-31T07:37:25.558Z,446.0,443.234,443.234
SPD vs Delta Cycling Shoes: Which Should You Choose?,https://www.youtube.com/watch?v=o4jANrNgLg4,Jen Tufts Cycling,https://www.youtube.com/channel/UCMKftk_06NULgXIG_JGiVRA,2026-03-31T07:36:22.787Z,70.0,62.771,62.771
We Found their Scam Call Center...Let's Tell Them,https://www.youtube.com/watch?v=IWPsDuHZLKY,Scammer Payback,https://www.youtube.com/channel/UCC9EjyMN_hx5NdctLBx5X7w,2026-03-31T07:11:10.687Z,1188.0,1512.1,1188.0
Entire Hacker Group Set Up This Scammer,https://www.youtube.com/watch?v=L14vb_LKJpE,Scammer Payback,https://www.youtube.com/channel/UCC9EjyMN_hx5NdctLBx5X7w,2026-03-31T07:08:33.668Z,2752.0,157.019,157.019
Virus Nukes Scammer's Hard Drive,https://www.youtube.com/watch?v=vMU8rQclSJA,Scammer Payback,https://www.youtube.com/channel/UCC9EjyMN_hx5NdctLBx5X7w,2026-03-31T06:37:55.483Z,834.0,1838.185,834.0
MEET SCHRA.N.I. 🙂‍↔️🌪️ #transitiontuesday #dj #techno #viral #viralshorts,https://www.youtube.com/watch?v=jRa9gxS5HwM,A.N.I.,https://www.youtube.com/channel/UC2svobVUEjINYYrQEnXiPtQ,2026-03-31T06:34:36.964Z,69.0,198.519,69.0
2500 Montréalers sing L. Cohen’s “Hallelujah” in perfect harmony at Place Des Arts,https://www.youtube.com/watch?v=niuxr0QqMSg,Choir! Choir! Choir!,https://www.youtube.com/channel/UC0Kte42xsXIT80UzG1jotiw,2026-03-31T06:31:33.713Z,315.0,183.251,183.251
🇳🇱 The Most Unique Cab Ride Video I Have Ever Made: 4 Seasons Cabview!,https://www.youtube.com/watch?v=SLM4-pUrqhU,Cabview Holland Dutch Railways,https://www.youtube.com/channel/UCNnxhT5O9e43QBctJFzpDjA,2026-03-31T06:30:57.609Z,3370.0,36.104,36.104
Bad Bunny Super Bowl Halftime Show | Unofficial English Translation & Commentary,https://www.youtube.com/watch?v=QYk22LCD5qE,Sadja,https://www.youtube.com/channel/UC-mY0lLhpnhD0H4OYzoCFOg,2026-03-31T06:16:00.537Z,778.0,897.072,778.0
What unplanned EV road trips in cold weather (5°F/-15°C) are actually like these days,https://www.youtube.com/watch?v=ebGLFVzvdfM,Technology Connextras,https://www.youtube.com/channel/UClRwC5Vc8HrB6vGx6Ti-lhA,2026-03-31T05:50:46.343Z,2630.0,1514.194,1514.194
