title,link,channel,channel_link,date,video_length,time_diff,watch_time
Surron Ultra Bee HP - Street Version C3 - (IN STOCK) | ATV Wholesale Outlet,https://www.youtube.com/watch?v=UbHLXsnA-Rg,,,2026-03-23T19:44:56.532Z,435.0,,435.0
Lesson #3: Tunnel Walk feat. Jimmy Butler,https://www.youtube.com/watch?v=8yP3Qru_5HA,,,2026-03-23T19:44:34.210Z,16.0,22.322,16.0
QuickBooks - Maximize deductions,https://www.youtube.com/watch?v=HlphM7LiRtw,,,2026-03-23T14:00:25.448Z,31.0,20648.762,31.0
2602_MAQ.MWTS.QIABOGOEVENTTEXAS.WF9441750_KDAL_30_XXX,https://www.youtube.com/watch?v=aX-QG_5KyB4,,,2026-03-23T13:52:15.536Z,31.0,489.912,31.0
You Shouldn't Have To Cook - APRON50,https://www.youtube.com/watch?v=5PD4ZJmnLQM,,,2026-03-23T13:44:18.136Z,31.0,477.4,31.0
"The Complex Universe, with Sean Carroll",https://www.youtube.com/watch?v=041-nlqj7dM,StarTalk,https://www.youtube.com/channel/UCqoAEDirJPjEUFcF2FklnBA,2026-03-23T13:15:16.304Z,3650.0,1741.832,1741.832
Aussie 3 Course Starting at $14.99,https://www.youtube.com/watch?v=rrQVCoR91Nc,,,2026-03-23T13:11:49.232Z,31.0,207.072,31.0
Vista print Landscape v1,https://www.youtube.com/watch?v=Y0i-HTSq5Yk,,,2026-03-23T13:03:27.057Z,16.0,502.175,16.0
Find the Education Career of Your Dreams in North Dakota,https://www.youtube.com/watch?v=2Ztp4dm-sFg,,,2026-03-23T12:57:36.679Z,16.0,350.378,16.0
Endure Gold 15s Spot,https://www.youtube.com/watch?v=qFEl-vmwzVc,,,2026-03-23T12:57:19.643Z,15.0,17.036,15.0
Now Taxes is an Open Door - TurboTax 2026 Commercial (Official TV Ad :06),https://www.youtube.com/watch?v=4tMlMp6bT6I,,,2026-03-23T12:57:11.523Z,7.0,8.12,7.0
Taryn Thompson’s Acorns Story | 15s,https://www.youtube.com/watch?v=r3_cRBbLKEI,,,2026-03-23T12:49:42.208Z,16.0,449.315,16.0
Connecting now to next.,https://www.youtube.com/watch?v=pyp6zUgD8u4,,,2026-03-23T12:49:25.924Z,16.0,16.284,16.0
Nowhere We Won't Go - 6 Sec,https://www.youtube.com/watch?v=iNDmtgUFBno,,,2026-03-23T12:49:17.812Z,7.0,8.112,7.0
ViX Video SVOD Sports March US Adjustment 6s 16x9 v1,https://www.youtube.com/watch?v=Z14wTTJi_mU,,,2026-03-23T12:49:07.415Z,7.0,10.397,7.0
Surviving Market Shifts & Yield Volatility with Rootella Mycorrhizal Inoculants,https://www.youtube.com/watch?v=-5boJwXmykI,,,2026-03-23T12:41:41.263Z,27.0,446.152,27.0
SS26 EVISU Campaign Video with Kota Miura,https://www.youtube.com/watch?v=iRYwKLkmlHc,,,2026-03-23T12:41:21.755Z,16.0,19.508,16.0
VCHT1996000H Choctaw Casino & Resort Durant Promo Lucky in Love Feb Mar 2026 TV 16x9 15 Unslated,https://www.youtube.com/watch?v=HtswXjp3p54,,,2026-03-23T12:41:03.912Z,16.0,17.843,16.0
[The Seven Deadly Sins: Origin] PRE-REGISTER NOW_000174,https://www.youtube.com/watch?v=vJlZe7msam8,,,2026-03-23T12:34:43.164Z,16.0,380.748,16.0
Chiane Hall's Acorns Story | 15s,https://www.youtube.com/watch?v=Vb_SX91575o,,,2026-03-23T12:34:24.115Z,16.0,19.049,16.0
Varghese Summersett Criminal Defense | 6s Social Stack Re-Edit,https://www.youtube.com/watch?v=K-l5lhbxHFM,,,2026-03-23T12:34:16.768Z,7.0,7.347,7.0
ct~CA gp~Afterpay f~LAVideo a~Earners c~Bree 15 s~16x9,https://www.youtube.com/watch?v=Iijh888YO4c,,,2026-03-23T12:20:01.063Z,16.0,855.705,16.0
A50X 15 16x9,https://www.youtube.com/watch?v=-f0Fveq1WBo,,,2026-03-23T12:19:44.823Z,15.0,16.24,15.0
