title,link,channel,channel_link,date,video_length,time_diff,watch_time
Relay | Join the Self-Made Nation,https://www.youtube.com/watch?v=W3XmMIwJg3Y,,,2026-03-31T17:43:16.572Z,33,,33.0
"less pressure, Double the Dating 💗",https://www.youtube.com/watch?v=pIDKab3xZUc,,,2026-03-31T17:43:16.556Z,7,0.016,0.016
Fontaines D.C. - I Don't Belong (Official Video),https://www.youtube.com/watch?v=A17xOusHXIQ,Fontaines DC,https://www.youtube.com/channel/UCVtO4Hc3qiKScQBad51RAIQ,2026-03-30T22:51:54.092Z,285,67882.464,285.0
Fontaines D.C. - I Love You (Official Video),https://www.youtube.com/watch?v=Ty9Pcg3qrmU,Fontaines DC,https://www.youtube.com/channel/UCVtO4Hc3qiKScQBad51RAIQ,2026-03-30T22:46:34.528Z,304,319.564,304.0
Fontaines D.C. - Desire (Official Music Video),https://www.youtube.com/watch?v=PQQbWOrKkWA,Fontaines DC,https://www.youtube.com/channel/UCVtO4Hc3qiKScQBad51RAIQ,2026-03-30T22:39:18.292Z,418,436.236,418.0
Relay: Customer Testimonials,https://www.youtube.com/watch?v=zjAdpMGiqTw,,,2026-03-30T22:38:16.010Z,15,62.282,15.0
trying to end tomodachi life but now EVERYTHING is happening,https://www.youtube.com/watch?v=O9on3foH2Ak,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-30T21:35:52.038Z,1647,3743.972,1647.0
"You say ""dream pizza"" we say ""It's just $9.99"" oh and ""you're welcome."" ❤️‍🔥🤤🍕",https://www.youtube.com/watch?v=uyrme_gxRG0,,,2026-03-30T21:35:20.713Z,7,31.325,7.0
alfonso goes on a date with elisa...,https://www.youtube.com/watch?v=QkGTnkmd-W8,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-25T21:03:59.250Z,2109,433881.463,2109.0
i hate mii,https://www.youtube.com/watch?v=FkLKrKJCfQw,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-25T20:44:12.383Z,1185,1186.867,1185.0
THEO is in love,https://www.youtube.com/watch?v=83BO_qUSD-0,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-25T20:23:57.561Z,1212,1214.822,1212.0
TOMODACHI LIFE LIVING THE DREAM - EPISODE 1,https://www.youtube.com/watch?v=7ZhJOHOwetY,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-25T19:46:26.805Z,2225,2250.756,2225.0
Playlist | 화사한 봄날 하루 보내기 with 재즈 🌼🌷 | 싱그러운 봄 무드 가득한 포근한 감성 재즈 Jazz Background Music,https://www.youtube.com/watch?v=X8Ch0REAPwA,JazzNe,https://www.youtube.com/channel/UCbsHYIZwk9pZIMp53ciDjOw,2026-03-25T17:14:42.243Z,9933,9104.562,9104.562
Crossing China with no map,https://www.youtube.com/watch?v=_41P6UrwQKY,Ludwig,https://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,2026-03-25T17:12:59.011Z,2490,103.232,103.232
Film Theory: YOU are Trapped in the Amazing Digital Circus,https://www.youtube.com/watch?v=wHJftNHGw2Y,The Film Theorists,https://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,2026-03-25T17:05:55.816Z,1356,423.195,423.195
"Nintendo chill music for study, work ( but you've lost your mind )",https://www.youtube.com/watch?v=pM3uzoj4gQc,Ninteen Gaming,https://www.youtube.com/channel/UC_uncveWHNQXQc6EuviFgiQ,2026-03-25T17:05:29.322Z,8196,26.494,26.494
Tomodachi Life: Living the Dream – Overview Trailer – Nintendo Switch,https://www.youtube.com/watch?v=_xY0XuGOWJs,Nintendo of America,https://www.youtube.com/channel/UCGIY_O-8vW4rfX98KlMkvRg,2026-03-25T16:57:14.128Z,472,495.194,472.0
UNDER ARMOUR’S NEXT ERA OF FOOTBALL,https://www.youtube.com/watch?v=OgvPfGIJaBc,,,2026-03-25T16:57:07.078Z,16,7.05,7.05
Tinder's Double Date Department says hi 👋,https://www.youtube.com/watch?v=WkrgQ5tlt_0,,,2026-03-25T16:57:07.061Z,7,0.017,0.017
I Tried Bizarre Ball Making Techniques,https://www.youtube.com/watch?v=TU4IesWLpeg,MuffinJuice,https://www.youtube.com/channel/UC3vU7FKUL4nW30gXCmTC6Hw,2026-03-23T02:29:16.117Z,971,224870.944,971.0
Tomodachi Life Living the Dream is coming but that's not the only thing...,https://www.youtube.com/watch?v=HCPMuc9AKhk,Poofesure,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ,2026-03-23T02:22:15.299Z,1158,420.818,420.818
THE AMAZING DIGITAL CIRCUS - Ep 8: hjsakldfhl,https://www.youtube.com/watch?v=DMNlzf8PiEM,GLITCH,https://www.youtube.com/channel/UCn_FAXem2-e3HQvmK-mOH4g,2026-03-23T00:25:18.254Z,1910,7017.045,1910.0
😲🎮 MORE GAMEPLAY REVEALED on Japanese Nintendo Site for Tomodachi Life: Living the Dream!!! #4,https://www.youtube.com/watch?v=lDSxXEbLxZQ,KawaiiBeth,https://www.youtube.com/channel/UCyomQ7mg5aI_0p9O9BkfiHw,2026-03-23T00:24:03.356Z,56,74.898,56.0
GUESS THAT HSR CHARACTER! GO! #honkaistarrail #starrail  #hsr #shorts,https://www.youtube.com/watch?v=u1SV_hadlYY,Kotuhx,https://www.youtube.com/channel/UCikD8rvZJ_opLsCHCGP2WZA,2026-03-23T00:23:09.499Z,43,53.857,43.0
I played Paper Mario Sticker Star so you don't have to...,https://www.youtube.com/watch?v=HKVOZe7rLv4,Bringle,https://www.youtube.com/channel/UCzRWNciQKit-PBCdnvJgVkw,2026-03-23T00:22:51.478Z,3749,18.021,18.021
Deepfake AI – How Dangerous Is It? #shorts #deepfake,https://www.youtube.com/watch?v=Fyzr6jbSI_I,VICE,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,2026-03-20T22:37:05.374Z,39,179146.104,39.0
Musk reshapes Grok AI after backlash over antisemitic responses #Shorts,https://www.youtube.com/watch?v=5sQeivm12x0,USA TODAY,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g,2026-03-20T22:35:45.783Z,80,79.591,79.591
"Humanoid robot describes ""nightmare scenario"" with robotics and AI #shorts",https://www.youtube.com/watch?v=QF-Vu93C4m0,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-03-20T22:35:10.602Z,35,35.181,35.0
How OpenAI’s Changes Sent Some Users Spiraling,https://www.youtube.com/watch?v=mEahc3UbSq4,The New York Times,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,2026-03-20T22:35:06.990Z,180,3.612,3.612
Tech billionaires seem to be doom prepping. Should we be worried? #AI #Tech #BBCNews,https://www.youtube.com/watch?v=jimldQT1pQw,BBC News,https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,2026-03-20T22:35:04.460Z,54,2.53,2.53
BI investigated the footprint of 1k+ #datacenters to see real-life consequences of #ai. #tech,https://www.youtube.com/watch?v=7rEzhCwPhqc,Business Insider,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2026-03-20T22:35:02.034Z,164,2.426,2.426
Is AI making you stupid?,https://www.youtube.com/watch?v=A3S8yzJ4oBM,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-03-20T22:35:00.269Z,162,1.765,1.765
Could the AI bubble pop?,https://www.youtube.com/watch?v=iWl7OMxZSUU,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-03-20T22:34:43.168Z,177,17.101,17.101
Yuval Noah Harari believes AI is the end of human-dominated history #AI #artificialintelligence,https://www.youtube.com/watch?v=vz3HKkVrJE4,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-03-20T22:34:40.302Z,57,2.866,2.866
Open AI's CTO on Having a Relationship With an AI,https://www.youtube.com/watch?v=q6yq1i7vd9E,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-03-20T22:34:29.141Z,57,11.161,11.161
Now streaming,https://www.youtube.com/watch?v=67CW08eIVBI,,,2026-03-20T22:34:10.626Z,31,18.515,18.515
Bill Gates Gets Real About AI,https://www.youtube.com/watch?v=uoU_1KORocQ,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-03-20T22:33:44.091Z,54,26.535,26.535
