title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-23T14:28:20.257Z,64,,64.0
The Everglades Disaster: How A Mislabelled Box Killed 110 People,https://www.youtube.com/watch?v=plU5fMy_b-0,Wonder,https://www.youtube.com/channel/UCRAAdF42hZcTHAorbbDuivw,2026-04-23T01:19:40.768Z,2700,47319.489,2700.0
David Koresh: Last Stand in Waco | Waco Siege | CULTS | Final 24 | Twisted Tales,https://www.youtube.com/watch?v=x5NtrAvX1S8,Twisted Tales,https://www.youtube.com/channel/UCrGk4b6Jeru3jYJmDbAmmwg,2026-04-23T00:52:38.523Z,2850,1622.245,1622.245
Sole Australian survivor of Waco siege breaks silence | 60 Minutes Australia,https://www.youtube.com/watch?v=VfQjNzJzlZo,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-04-23T00:47:01.711Z,1223,336.812,336.812
Sole Australian survivor of Waco siege breaks silence | 60 Minutes Australia,https://www.youtube.com/watch?v=VfQjNzJzlZo,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-04-22T04:28:02.758Z,1223,73138.953,1223.0
David Koresh and the Raid That Shook America | Full Documentary | Biography,https://www.youtube.com/watch?v=YwTTl9o6Vgo,Biography,https://www.youtube.com/channel/UCiCPv2sV_D3FqMRzzUFA2Fg,2026-04-22T02:40:36.666Z,5181,6446.092,5181.0
14-Year-Old Killer: Most Chilling Teen Case Florida Has Ever Seen,https://www.youtube.com/watch?v=lN8USTxOY_Q,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-21T16:34:09.571Z,2532,36387.095,2532.0
Columbine Shooting: Minute by Minute | Full Film,https://www.youtube.com/watch?v=c7kHSD525Y4,DocuReal,https://www.youtube.com/channel/UCmWP4f7x5sO4EaJvmCAi0vw,2026-04-21T15:44:59.114Z,2569,2950.457,2569.0
Gary Ridgway: The Green River Killer | Real Crime,https://www.youtube.com/watch?v=9iAsZH_30rM,Real Crime,https://www.youtube.com/channel/UC1s9576cQFdQq3QTtTxocmA,2026-04-21T15:06:55.853Z,2710,2283.261,2283.261
The Son Of Sam: Destined To Be A Serial Killer? | Born to Kill?,https://www.youtube.com/watch?v=ZatEG03Y6Zg,Real Crime,https://www.youtube.com/channel/UC1s9576cQFdQq3QTtTxocmA,2026-04-21T14:21:51.697Z,2703,2704.156,2703.0
Harold Shipman: Britain's Worst Serial Killer,https://www.youtube.com/watch?v=fbgxjuN4UMM,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-21T13:36:03.888Z,2746,2747.809,2746.0
The Son Of Sam Killer's Descent Into Darkness | David Berkowitz: Born To Kill? | Absolute Crime,https://www.youtube.com/watch?v=QDKmL-wIQi8,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-21T12:51:06.568Z,2692,2697.32,2692.0
Jeffrey Dahmer's Chilling Crime Scene Photos & Police Tapes | Born To Kill | Absolute Crime,https://www.youtube.com/watch?v=jW3-yL8cDAE,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-21T12:34:41.324Z,2756,985.244,985.244
Jeffrey Dahmer's Chilling Crime Scene Photos & Police Tapes | Born To Kill | Absolute Crime,https://www.youtube.com/watch?v=jW3-yL8cDAE,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-20T22:34:45.845Z,2756,50395.479,2756.0
Edmund Kemper: The Killer Who Saved His Worst Crime For His Own Mom | Born To Kill | Absolute Crime,https://www.youtube.com/watch?v=3XH3dRYgTPs,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-20T22:26:31.353Z,2704,494.492,494.492
America's Meanest Man: The Hitchhiker's Killer Pee Wee Gaskins | Born To Kill | Absolute Crime,https://www.youtube.com/watch?v=ktOMAuZFUv8,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-20T11:27:21.981Z,2682,39549.372,2682.0
How The Green River Killer Evaded Police For 19 Years | Gary Ridgway: Born To Kill? | Absolute Crime,https://www.youtube.com/watch?v=cR4tf1oxvXY,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-20T11:12:13.262Z,2697,908.719,908.719
How The Green River Killer Evaded Police For 19 Years | Gary Ridgway: Born To Kill? | Absolute Crime,https://www.youtube.com/watch?v=cR4tf1oxvXY,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-20T02:41:02.431Z,2697,30670.831,2697.0
Interview With A Serial Killer: Arthur Shawcross Tells All On 17-Year Killing Spree | Absolute Crime,https://www.youtube.com/watch?v=j9o9EP0WCqY,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-19T23:34:39.020Z,2678,11183.411,2678.0
Jay Leno's 2025 Mustang GTD | Jay Leno's Garage,https://www.youtube.com/watch?v=e80GvN2OcTM,Jay Leno's Garage,https://www.youtube.com/channel/UCQMELFlXQL38KPm8kM-4Adg,2026-04-19T16:53:38.152Z,2269,24060.868,2269.0
The Worst Nazi You've Never Heard Of: Oskar Dirlewanger | WW2 Documentary,https://www.youtube.com/watch?v=ztJswwK0f6w,Flashback History,https://www.youtube.com/channel/UCqeNrqTDCOOn-oiQa_vH88A,2026-04-19T16:22:52.670Z,1833,1845.482,1833.0
"This 3D Printed Hypercar Has 1,250 HP… And It’s INSANE!",https://www.youtube.com/watch?v=NidH9JzzAEU,Global Auto Discover,https://www.youtube.com/channel/UCxdxHk1v2SlrHH3Zt7LSksA,2026-04-19T16:17:50.577Z,389,302.093,302.093
829 HP V12 2025 Ferrari Daytona SP3 – The Last of Its Kind? | Jay Leno's Garage,https://www.youtube.com/watch?v=UyHHO7K6lqg,Jay Leno's Garage,https://www.youtube.com/channel/UCQMELFlXQL38KPm8kM-4Adg,2026-04-19T15:44:27.025Z,1658,2003.552,1658.0
Can I Start & Drive This 100-Year-Old Car For The First Time In Years!,https://www.youtube.com/watch?v=KbfeodNJT_M,TFLclassics,https://www.youtube.com/channel/UCeM0wZ8W4GRebz3zf1lJLuQ,2026-04-19T15:44:03.546Z,2087,23.479,23.479
Dodge Was OUT OF THEIR MINDS in the 1970’s When They Sold This 1971 Dodge Super Bee! ,https://www.youtube.com/watch?v=uVwr-YFuRog,TFLclassics,https://www.youtube.com/channel/UCeM0wZ8W4GRebz3zf1lJLuQ,2026-04-19T15:21:46.745Z,1331,1336.801,1331.0
The Truck Stop Killer With A Mobile Torture Chamber | Most Evil Killers | Absolute Crime,https://www.youtube.com/watch?v=vL9-M82sAcw,Absolute Crime,https://www.youtube.com/channel/UCT6EdOwB-zSUd2jEl7wIUXw,2026-04-19T14:36:00.125Z,2741,2746.62,2741.0
