title,link,channel,channel_link,date,video_length,time_diff,watch_time
What Is This NEW BUILDING in Disney Dreamlight Valley? Is Gameloft Playing a Prank On Us?,https://www.youtube.com/watch?v=jVWsmbAA-NQ,MrStarInSky,https://www.youtube.com/channel/UC8yHRFnM2ZzTRT351-AKAxw,2026-03-23T19:21:06.608Z,649.0,,649.0
Masters of Albion Preview: Peter Molyneux Seems Like He’s Having Fun Making a God Game Again,https://www.youtube.com/watch?v=DsYfd2s-25I,IGN,https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw,2026-03-23T19:20:47.699Z,644.0,18.909,18.909
"RAW: Trump shares update on Iran war efforts, says US is pausing strikes on key power plants",https://www.youtube.com/watch?v=R70PTOW_bVY,13WHAM ABC News,https://www.youtube.com/channel/UCFQyVljCrdof5Uqmo8p3c0Q,2026-03-23T19:16:49.776Z,477.0,237.923,237.923
Trump says strikes against Iranian energy infrastructure will be postponed for five days,https://www.youtube.com/watch?v=dNgLSK6mVXY,NBC News,https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg,2026-03-23T19:15:50.203Z,28.0,59.573,28.0
WHERE WINDS MEET: Will You Play It Or Come Back If They CHANGE This?,https://www.youtube.com/watch?v=vkGH9LCQ6CI,WEDZGAMING,https://www.youtube.com/channel/UCc1KwRkfIEUTHzOBmp1_G4w,2026-03-23T18:49:29.063Z,389.0,1581.14,389.0
The Rise And Fall Of Southern Cafeterias,https://www.youtube.com/watch?v=T9AQJj2Pquo,Business Insider,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2026-03-23T18:48:15.235Z,1461.0,73.828,73.828
They Finally Fixed Crimson Desert...,https://www.youtube.com/watch?v=dNkQwyAm8-k,KhrazeGaming,https://www.youtube.com/channel/UCFXUSG_393wZJaRTErU6Pjw,2026-03-23T12:16:20.162Z,740.0,23515.073,740.0
"Crimson Desert - MASSIVE Patch Update Is HERE!  Storage, Nerfs, Controls and More!",https://www.youtube.com/watch?v=O0xA5agqlNU,Open World Games,https://www.youtube.com/channel/UCp-2EdzeeYwdecqMoXmHIQw,2026-03-23T11:39:25.443Z,1079.0,2214.719,1079.0
"Beyonce - ""Pretty Hurts (Chloe x Halle Cover)""",https://www.youtube.com/watch?v=uPwuduhx0vw,Chloe x Halle,https://www.youtube.com/channel/UCKvu7JgqK7-ZKUKHC33meEw,2026-03-23T03:38:32.260Z,245.0,28853.183,245.0
Get This ASAP in Crimson Desert! Automatic Loot #gaming #crimsondesert #viralvideo,https://www.youtube.com/watch?v=S10z7e1miSg,KhrazeGaming,https://www.youtube.com/channel/UCFXUSG_393wZJaRTErU6Pjw,2026-03-23T03:38:09.439Z,38.0,22.821,22.821
"We're Not Toddlers, We're Adults | BORN DIFFERENT",https://www.youtube.com/watch?v=uhhEzyNq5VM,truly,https://www.youtube.com/channel/UCfwx98Wty7LhdlkxL5PZyLA,2026-03-23T03:37:15.029Z,1077.0,54.41,54.41
The reviews on Crimson Desert have taken a massive turn,https://www.youtube.com/watch?v=u_V5r42lEkU,KicksClips,https://www.youtube.com/channel/UCVhp78MKCad-Nz-weDNJ8tw,2026-03-23T03:36:46.739Z,22.0,28.29,22.0
"Crimson Desert Bounty Guide — How to Find Targets, Capture Them Alive & Claim Full Rewards",https://www.youtube.com/watch?v=itCyIkvB5O4,Legacy Gaming,https://www.youtube.com/channel/UCmlqW3C9C0_gA0LufzbHfKg,2026-03-23T03:36:23.085Z,68.0,23.654,23.654
"Yes, You Can Get A Pet DOG In Crimson Desert #shorts #gaming #crimsondesertgameplay",https://www.youtube.com/watch?v=mq2l_9gd3V8,Graviton Gaming,https://www.youtube.com/channel/UC-npNW7bcHoEp730TWkFSag,2026-03-23T03:11:41.782Z,29.0,1481.303,29.0
How To Get Behind Waterfalls In Crimson Desert,https://www.youtube.com/watch?v=IY4d5oAPbH0,GameSpot,https://www.youtube.com/channel/UCbu2SsF-Or3Rsn3NxqODImw,2026-03-23T03:11:30.763Z,36.0,11.019,11.019
"THEY DID IT! NEW PATCH! (Added Storage, Better Controls & More!) // Crimson Desert",https://www.youtube.com/watch?v=VNoPQ3DAYWI,Moxsy,https://www.youtube.com/channel/UCqUYttljh7bvi6mvHzpiMIA,2026-03-23T03:09:23.452Z,552.0,127.311,127.311
"THEY ADDED STORAGE, Full March 22rd Crimson Desert Patch Notes 1.00.03, Menu Fixes And More",https://www.youtube.com/watch?v=QtkWQJK5XTE,Kibbles Gaming,https://www.youtube.com/channel/UCuFfs3Aq_vQwpWIEkHGn4UQ,2026-03-23T03:06:25.867Z,758.0,177.585,177.585
