title,link,channel,channel_link,date,video_length,time_diff,watch_time
Man Tries Slick Drive-Thru Cash Scam Then Speeds Off…,https://www.youtube.com/watch?v=1_mCFDGLz9M,Cam Sightings,https://www.youtube.com/channel/UC_pXB3NoY3bIl_FDb2aghlw,2026-04-22T22:45:02.726Z,36.0,,36.0
Teaching my son in case of an emergency 🚨 #shorts #lvad #heartfailure #lifesupport #batterypowered,https://www.youtube.com/watch?v=EgycHzXdB9E,A Dad That Beat Death,https://www.youtube.com/channel/UClxu_Dn5Mjk60I9gZSHtSWw,2026-04-22T22:44:48.832Z,78.0,13.894,13.894
CLC Uploaded RuthieHenderson NA Sci fiAndIceCreamCollab INS,https://www.youtube.com/watch?v=rXZ1xDIdg2o,,,2026-04-22T22:44:43.326Z,61.0,5.506,5.506
Are Cats Smarter Than Dogs?,https://www.youtube.com/watch?v=pegtgwAt_GU,DJPianoMike,https://www.youtube.com/channel/UCz7vQ8s95GKQxdgV6-VJ3jg,2026-04-22T22:44:31.294Z,29.0,12.032,12.032
I promise I know what I’m doing. 😉,https://www.youtube.com/watch?v=kgp_Ghvqbks,Forever Flower Cards,https://www.youtube.com/channel/UCqO62t_rRbhtSVy-SBeK2Uw,2026-04-22T22:44:10.098Z,13.0,21.196,13.0
Blurry: DA CoderSignUp Google Ads - 1080x1080,https://www.youtube.com/watch?v=GO_tWkBUXG4,,,2026-04-22T22:44:06.745Z,23.0,3.353,3.353
You won’t believe what’s under here 👀🐶💤 @bigguylittlesworldsanctuary #dogs #cute #animals,https://www.youtube.com/watch?v=gjx57_wCqaQ,Lovimals,https://www.youtube.com/channel/UCBSvVttV8PRaDkaGsJYR91g,2026-04-22T22:27:59.970Z,15.0,966.775,15.0
"Portland OR, Who are they?",https://www.youtube.com/watch?v=G6DcTBtoh0Y,TizzyEnt,https://www.youtube.com/channel/UCa6AzdzHs79fgrDZLioPSQA,2026-04-22T22:25:53.390Z,144.0,126.58,126.58
Coachella Is The Worst...,https://www.youtube.com/watch?v=HI6CXzyW4Xc,Papa Meat,https://www.youtube.com/channel/UCYF1kiTFCcYPqGTqXKt3JJg,2026-04-22T22:25:20.894Z,1786.0,32.496,32.496
"“I can’t keep track, but my BFF can!” – Subscription Cancellation",https://www.youtube.com/watch?v=HLfQAZE10Q4,,,2026-04-22T22:25:19.759Z,16.0,1.135,1.135
Easy and healthy dog birthday cake recipe,https://www.youtube.com/watch?v=44EcX0bDED4,"Ollie, Winks and Iro - dog lifestyle",https://www.youtube.com/channel/UCtyiehx9kO_go3Dh5ZW8Plg,2026-04-22T22:25:09.132Z,55.0,10.627,10.627
2503_3_v719_5_vidai_tp_VY_MK_1025.mp4,https://www.youtube.com/watch?v=i4Dbor3Oo2E,,,2026-04-22T22:25:07.894Z,22.0,1.238,1.238
Dog echocardiogram day - Mitral Valve Disease (MVD) care,https://www.youtube.com/watch?v=GltyVvCCxqs,"Ollie, Winks and Iro - dog lifestyle",https://www.youtube.com/channel/UCtyiehx9kO_go3Dh5ZW8Plg,2026-04-22T22:25:05.712Z,54.0,2.182,2.182
Dog trick tutorial - middle,https://www.youtube.com/watch?v=DeuZ1k8Uvtc,"Ollie, Winks and Iro - dog lifestyle",https://www.youtube.com/channel/UCtyiehx9kO_go3Dh5ZW8Plg,2026-04-22T21:41:48.640Z,35.0,2597.072,35.0
Dog trick Tutorials - how to teach your dog ‘Shy’ #puppy #dogtraining #dogtricks #cavapoo #tricks,https://www.youtube.com/watch?v=QJ1s0DawUtY,"Ollie, Winks and Iro - dog lifestyle",https://www.youtube.com/channel/UCtyiehx9kO_go3Dh5ZW8Plg,2026-04-22T21:41:21.047Z,11.0,27.593,11.0
5 Tricks to Teach Your Dog That Look Cute in Pictures 📸 #bernesemountaindog #dogtricks #cutedog,https://www.youtube.com/watch?v=3OWOgDvPknI,The Berner Bunch,https://www.youtube.com/channel/UC2ouRMIxupYtcpI3xkBh5Uw,2026-04-22T21:41:02.394Z,17.0,18.653,17.0
More :15,https://www.youtube.com/watch?v=O8aFpjxlTbA,,,2026-04-22T21:40:42.608Z,16.0,19.786,16.0
DataAnnotation: Seeking Coders,https://www.youtube.com/watch?v=E0AgeCOyljs,,,2026-04-22T21:40:42.598Z,66.0,0.01,0.01
One Hour of Robot Chicken One-Off Skits,https://www.youtube.com/watch?v=poIcKL3Ym4A,Boba Fett,https://www.youtube.com/channel/UCnpyckx5ZgQv6IrzBz7sEIA,2026-04-21T18:30:16.808Z,3608.0,97825.79,3608.0
Space For You :06 - Extra Space Storage Ad,https://www.youtube.com/watch?v=_zUxeCPhAbo,,,2026-04-21T18:13:31.910Z,7.0,1004.898,7.0
"Hello, Friday. Hello, Bonduelle® Bistro Bowls",https://www.youtube.com/watch?v=mgReLkyNaK0,,,2026-04-21T18:13:25.239Z,7.0,6.671,6.671
