title,link,channel,channel_link,date,video_length,time_diff,watch_time
We Made Investing in Real Estate as Easy as Buying a Stock,https://www.youtube.com/watch?v=ANV8CnlV-hI,,,2026-03-23T19:14:40.179Z,43,,43.0
HIIT WORKOUT - Bodyweight Only | Calisthenics Series Day 5,https://www.youtube.com/watch?v=w8ZaOs94_fg,Caroline Girvan,https://www.youtube.com/channel/UCpis3RcTw6t47XO0R_KY4WQ,2026-03-19T00:40:43.003Z,2043,412437.176,2043.0
K-Pop Style | Airbnb Experiences,https://www.youtube.com/watch?v=Trk23YcSvzI,,,2026-03-19T00:40:36.156Z,16,6.847,6.847
$1 Billion Bracket,https://www.youtube.com/watch?v=91XBx3wJrrY,,,2026-03-19T00:39:28.300Z,31,67.856,31.0
20 Minute No Equipment Bodyweight Strength Workout! *LOW IMPACT* All Fitness Levels!,https://www.youtube.com/watch?v=0DWkbOGQQXA,Sydney Cummings Houdyshell,https://www.youtube.com/channel/UCVQJZE_on7It_pEv6tn-jdA,2026-03-18T21:03:05.621Z,1258,12982.679,1258.0
Business of Trader Joes,https://www.youtube.com/watch?v=1CToJG4C7vA,Morning Brew,https://www.youtube.com/channel/UCqit4NtRDfdEHKX_zgmAwrg,2026-03-12T15:04:40.995Z,109,539904.626,109.0
The Analog Trend Already FAILED,https://www.youtube.com/watch?v=YARPbtUcW2s,Levi Hildebrand,https://www.youtube.com/channel/UC-OJ-24roEfQ_-PCnLJSckg,2026-03-12T04:18:19.713Z,1364,38781.282,1364.0
Job Interview Day | I Got the Job + Getting Ready for Work,https://www.youtube.com/watch?v=q95cBs7yz1E,Life Plus Cindy,https://www.youtube.com/channel/UCO4JCJ3ZdZJxh3U9zyWNEhQ,2026-03-12T04:12:58.637Z,911,321.076,321.076
10 Things No Longer Worth Your Money,https://www.youtube.com/watch?v=ZOnJGpVCMsc,Christina Mychas,https://www.youtube.com/channel/UCzC9E3yXJoBSBfUKpDQKw2g,2026-03-12T04:08:53.688Z,786,244.949,244.949
We need a moratorium on AI data centers NOW. Here’s why.,https://www.youtube.com/watch?v=qu2m7ePTsqY,Senator Bernie Sanders,https://www.youtube.com/channel/UCD_DaKNac0Ta-2PeHuoQ1uA,2026-03-12T04:00:21.581Z,577,512.107,512.107
Deepfake AI – How Dangerous Is It? #shorts #deepfake,https://www.youtube.com/watch?v=Fyzr6jbSI_I,VICE,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,2026-03-12T03:59:30.599Z,39,50.982,39.0
Musk reshapes Grok AI after backlash over antisemitic responses #Shorts,https://www.youtube.com/watch?v=5sQeivm12x0,USA TODAY,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g,2026-03-12T03:58:11.126Z,80,79.473,79.473
"Humanoid robot describes ""nightmare scenario"" with robotics and AI #shorts",https://www.youtube.com/watch?v=QF-Vu93C4m0,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-03-12T03:57:36.366Z,35,34.76,34.76
How OpenAI’s Changes Sent Some Users Spiraling,https://www.youtube.com/watch?v=mEahc3UbSq4,The New York Times,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,2026-03-12T03:54:36.364Z,180,180.002,180.0
