title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-05-12T21:33:47.417Z,64,,64.0
STAGECOACH ECCLESFIELD X STAGECOACH CHESTERFIELD ADL ENVIRO 400 19042 SN65 AWP ROUTE 57a,https://www.youtube.com/watch?v=RPB2KeCEYFk,🚌Brandon's Bus Adventures! 🚌,https://www.youtube.com/channel/UC9yU8YVUBIzZgDsOV16Dptw,2026-05-10T02:04:56.101Z,11,242931.316,11.0
Savings Wrangler Kitchen 15 HD,https://www.youtube.com/watch?v=tCGIiHQ4bp8,,,2026-05-06T00:04:06.548Z,16,352849.553,16.0
"What is this, a Mansion for MANIACS? | Maniac Mansion [2]",https://www.youtube.com/watch?v=9Kc4FuxrhAA,GameGrumps,https://www.youtube.com/channel/UC9CuvdOVfMPvKCiwdGKL3cQ,2026-05-05T22:41:59.175Z,2803,4927.373,2803.0
Swoon | Truth Tellers | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=dE5UsXXhREw,,,2026-05-05T22:41:54.379Z,16,4.796,4.796
Video 3,https://www.youtube.com/watch?v=ll2Dtp4vPxM,Trust-Building Risk Communication,https://www.youtube.com/channel/UCpeuccww-CB_DesFwPuhg0A,2026-04-30T22:27:21.258Z,111,432873.121,111.0
HARVESTER | Game Grumps [FULL PLAYTHROUGH],https://www.youtube.com/watch?v=UAcBlENQC4E,GameGrumps,https://www.youtube.com/channel/UC9CuvdOVfMPvKCiwdGKL3cQ,2026-04-30T22:04:03.556Z,20680,1397.702,1397.702
The Latex Babes of Estros | Space Quest IV [2],https://www.youtube.com/watch?v=hLVpuCsDDdY,GameGrumps,https://www.youtube.com/channel/UC9CuvdOVfMPvKCiwdGKL3cQ,2026-04-30T02:29:33.253Z,1850,70470.303,1850.0
The AI-powered platform for service teams that work smarter,https://www.youtube.com/watch?v=EEBjebS78pc,,,2026-04-30T02:29:25.273Z,48,7.98,7.98
Deepfake AI – How Dangerous Is It? #shorts #deepfake,https://www.youtube.com/watch?v=Fyzr6jbSI_I,VICE,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,2026-04-30T01:10:11.830Z,39,4753.443,39.0
Musk reshapes Grok AI after backlash over antisemitic responses #Shorts,https://www.youtube.com/watch?v=5sQeivm12x0,USA TODAY,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g,2026-04-30T01:08:52.250Z,80,79.58,79.58
"Humanoid robot describes ""nightmare scenario"" with robotics and AI #shorts",https://www.youtube.com/watch?v=QF-Vu93C4m0,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-04-30T01:08:17.416Z,35,34.834,34.834
How OpenAI’s Changes Sent Some Users Spiraling,https://www.youtube.com/watch?v=mEahc3UbSq4,The New York Times,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,2026-04-30T01:05:17.399Z,180,180.017,180.0
Tech billionaires seem to be doom prepping. Should we be worried? #AI #Tech #BBCNews,https://www.youtube.com/watch?v=jimldQT1pQw,BBC News,https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,2026-04-30T01:04:24.054Z,54,53.345,53.345
BI investigated the footprint of 1k+ #datacenters to see real-life consequences of #ai. #tech,https://www.youtube.com/watch?v=7rEzhCwPhqc,Business Insider,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2026-04-30T01:01:39.744Z,164,164.31,164.0
Is AI making you stupid?,https://www.youtube.com/watch?v=A3S8yzJ4oBM,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-30T00:58:57.468Z,162,162.276,162.0
Could the AI bubble pop?,https://www.youtube.com/watch?v=iWl7OMxZSUU,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-30T00:56:00.290Z,177,177.178,177.0
Yuval Noah Harari believes AI is the end of human-dominated history #AI #artificialintelligence,https://www.youtube.com/watch?v=vz3HKkVrJE4,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-30T00:55:02.543Z,57,57.747,57.0
Open AI's CTO on Having a Relationship With an AI,https://www.youtube.com/watch?v=q6yq1i7vd9E,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-04-30T00:54:05.490Z,57,57.053,57.0
Bill Gates Gets Real About AI,https://www.youtube.com/watch?v=uoU_1KORocQ,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-04-30T00:53:10.811Z,54,54.679,54.0
‘Risk of extinction' warning issued by AI developers,https://www.youtube.com/watch?v=h89iKqL1bRg,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-30T00:52:24.765Z,46,46.046,46.0
'Godfather of AI' has a plan for humanity to survive AI,https://www.youtube.com/watch?v=Wd8RzZ3xn7w,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-30T00:51:06.715Z,77,78.05,77.0
AI security system mistakes student's empty Doritos bag for gun,https://www.youtube.com/watch?v=Khf6o0t-9zg,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-30T00:49:34.469Z,92,92.246,92.0
