title,link,channel,channel_link,date,video_length,time_diff,watch_time
AGENTIC WORKFLOWS: Build & Sell AI Automations (2026),https://www.youtube.com/watch?v=MxyRjL7NG18,Nick Saraev,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,2026-05-08T19:36:21.411Z,20500.0,,20500.0
"FRIDAY HOLY ROSARY 🧡MAY 8, 2026 🧡SORROWFUL MYSTERIES 🙏 HEALING & MERCY - Daily Rosary",https://www.youtube.com/watch?v=BIpF2V9UwkQ,Daily Rosary,https://www.youtube.com/channel/UCpRILVNbYuQ28xCnwN6NMGg,2026-05-08T15:59:43.199Z,12594.0,12998.212,12594.0
"Catholic Daily Mass - Daily TV Mass - February 6, 2026",https://www.youtube.com/watch?v=BriOjb0gJp4,EWTN Live Mass & Devotions,https://www.youtube.com/channel/UCbkqRY8d0zg7xJPuDRDnDpQ,2026-05-08T13:51:37.609Z,4086.0,7685.59,4086.0
"Catholic Daily Mass - Daily TV Mass - May 7, 2026",https://www.youtube.com/watch?v=yDvjVzCrmIg,EWTN Live Mass & Devotions,https://www.youtube.com/channel/UCbkqRY8d0zg7xJPuDRDnDpQ,2026-05-08T11:53:09.910Z,3781.0,7107.699,3781.0
"Top AI News: Sonnet 4.6, Grok 4.2, Gemini 3 Deep Think, and OpenClaw | EP #231",https://www.youtube.com/watch?v=HklyjXKYFng,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-05-08T09:45:52.784Z,7597.0,7637.126,7597.0
"Elon Musk on AGI Timeline, US vs China, Job Markets, Clean Energy & Humanoid Robots | 220",https://www.youtube.com/watch?v=RSNuB9pj9P8,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-05-08T06:53:00.988Z,10330.0,10371.796,10330.0
"Politics Chat, May 7, 2026",https://www.youtube.com/watch?v=KBHJ_stng3I,Heather Cox Richardson,https://www.youtube.com/channel/UCnbKOlm6H9njgmN-Yil90Rg,2026-05-08T05:54:51.903Z,3384.0,3489.085,3384.0
Full Archon Guide - Build AI Coding Harnesses That Actually Ship (LIVE),https://www.youtube.com/watch?v=srx9iwnjK2M,Cole Medin,https://www.youtube.com/channel/UCMwVTLZIRRUyyVrkjDpn4pA,2026-05-08T03:09:13.515Z,9931.0,9938.388,9931.0
RL for Agents Workshop - Deep Dive on Training Agents with RL and Open Source,https://www.youtube.com/watch?v=cixmqTsi2A4,Hugging Face,https://www.youtube.com/channel/UCHlNU7kIZhRgSbhHvFoy72w,2026-05-08T01:14:57.059Z,6849.0,6856.456,6849.0
AI Agents Full Course 2026: Master Agentic AI (2 Hours),https://www.youtube.com/watch?v=EsTrWCV0Ph4,Nick Saraev,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,2026-05-07T22:55:32.371Z,7995.0,8364.688,7995.0
How to Build & Sell AI Agents in 2026: Ultimate Beginner’s Guide,https://www.youtube.com/watch?v=AYQtRqW1xX4,Liam Ottley,https://www.youtube.com/channel/UCui4jxDaMb53Gdh-AZUTPAg,2026-05-07T18:50:44.706Z,11104.0,14687.665,11104.0
Conference call 2,https://www.youtube.com/watch?v=OeQ5n_PlLfE,Christina Seymour,https://www.youtube.com/channel/UCh4o_r2MFEv2XZopUDFBjMg,2026-05-04T16:47:08.288Z,145.0,266616.418,145.0
Audio check,https://www.youtube.com/watch?v=OxZ6qnggaK8,Christina Seymour,https://www.youtube.com/channel/UCh4o_r2MFEv2XZopUDFBjMg,2026-05-04T16:42:59.258Z,4.0,249.03,4.0
"Lessons from NVIDIA, New MAG 7, Options Trading, & Most Profitable Real Estate w/ Cedric Nash",https://www.youtube.com/watch?v=fGdmbLRRnd0,Earn Your Leisure,https://www.youtube.com/channel/UCRVsqvXIdgyPVS-a6fGa1lA,2026-05-04T05:27:42.524Z,6427.0,40516.734,6427.0
Trump’s Iran Deadline 🚨 What It Means For Your Money,https://www.youtube.com/watch?v=Mm3xKF42fjM,Earn Your Leisure,https://www.youtube.com/channel/UCRVsqvXIdgyPVS-a6fGa1lA,2026-05-04T02:54:41.523Z,7612.0,9181.001,7612.0
"How To Use AI To Get Ahead, Trump’s Iran Flip-Flop & The New Superstar Tech Stock w/ 19 Keys",https://www.youtube.com/watch?v=4fg4mqkz-Rg,Earn Your Leisure,https://www.youtube.com/channel/UCRVsqvXIdgyPVS-a6fGa1lA,2026-05-04T00:33:32.044Z,7999.0,8469.479,7999.0
How to Build & Sell AI Automations: Ultimate Beginner’s Guide,https://www.youtube.com/watch?v=5TxSqvPbnWw,Liam Ottley,https://www.youtube.com/channel/UCui4jxDaMb53Gdh-AZUTPAg,2026-05-03T22:35:17.164Z,6623.0,7094.88,6623.0
"Entanglement, Black Holes, and Wormholes | An Informal Discussion with Brian Greene",https://www.youtube.com/watch?v=ZXuelZVLdzM,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-03T02:24:54.254Z,6566.0,72622.91,6566.0
Fundamentals: Ten Keys to Reality | A Conversation with Nobel Laureate Frank Wilczek,https://www.youtube.com/watch?v=v6YEKYIkrzI,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-03T00:16:52.400Z,7421.0,7681.854,7421.0
"Accelerate, Collide, Detect: Gravitational Waves & Particle Physics with Brian Greene & Barry Barish",https://www.youtube.com/watch?v=pMXSKt9g1TE,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-02T22:05:57.234Z,7619.0,7855.166,7619.0
"The Singularity Countdown: AGI by 2029, Humans Merge with AI, Intelligence 1000x | Ray Kurzweil",https://www.youtube.com/watch?v=8iWSNwIRazc,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-05-02T20:25:47.239Z,5971.0,6009.995,5971.0
Brian Greene and Sir Roger Penrose: World Science U Q+A Session | World Science Festival,https://www.youtube.com/watch?v=7oCQuvhQY6o,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-02T12:51:10.942Z,10397.0,27276.297,10397.0
Coding the Cosmos: Does Reality Emerge From Simple Computations? | World Science Festival,https://www.youtube.com/watch?v=ITJ3AF3TK5M,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-02T06:49:58.929Z,9175.0,21672.013,9175.0
Live Q&A with Brian Greene | World Science Festival,https://www.youtube.com/watch?v=nH8c60ZbSgw,World Science Festival,https://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,2026-05-02T04:29:20.524Z,7928.0,8438.405,7928.0
INEOS 1:59 Challenge Live,https://www.youtube.com/watch?v=k-XgKRJUEgQ,INEOS 1:59 Challenge,https://www.youtube.com/channel/UCrc3XCtBGtWErZUVVvn15jQ,2026-05-02T00:56:28.549Z,12733.0,12771.975,12733.0
"Elon Musk on AGI Timeline, US vs China, Job Markets, Clean Energy & Humanoid Robots | 220",https://www.youtube.com/watch?v=RSNuB9pj9P8,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-05-01T22:03:38.185Z,10330.0,10370.364,10330.0
What happens now that AI is good at math? — the OpenAI Podcast Ep. 17,https://www.youtube.com/watch?v=9-TVwv6wtGQ,OpenAI,https://www.youtube.com/channel/UCXZCJLdBC09xxGZ6gcdrc6A,2026-05-01T10:01:24.702Z,2609.0,43333.483,2609.0
"LIVE Through the Bible with Andrew Wommack - Part 2 - February 5, 2026",https://www.youtube.com/watch?v=9iWRt712bgA,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-05-01T10:00:33.521Z,12120.0,51.181,51.181
"LIVE Through the Bible with Andrew Wommack - February 5, 2026",https://www.youtube.com/watch?v=r2oeAHCkGUo,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-05-01T04:20:11.609Z,8971.0,20421.912,8971.0
"Through the Bible: Genesis 25-28 - LIVE with Andrew Wommack - July 14, 2025",https://www.youtube.com/watch?v=i8L5Em2z9rM,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-05-01T01:27:00.904Z,10080.0,10390.705,10080.0
"Top AI News: Sonnet 4.6, Grok 4.2, Gemini 3 Deep Think, and OpenClaw | EP #231",https://www.youtube.com/watch?v=HklyjXKYFng,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-04-30T23:19:43.429Z,7597.0,7637.475,7597.0
"Claude Code Ends SaaS, the Gemini + Siri Partnership, and Math Finally Solves AI | #224",https://www.youtube.com/watch?v=DTgrzlQtOd0,Peter H. Diamandis,https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ,2026-04-30T21:29:20.774Z,6583.0,6622.655,6583.0
Video 3,https://www.youtube.com/watch?v=ll2Dtp4vPxM,Trust-Building Risk Communication,https://www.youtube.com/channel/UCpeuccww-CB_DesFwPuhg0A,2026-04-30T21:17:26.913Z,111.0,713.861,111.0
Unexpected Results: Robot vs Dough Battle,https://www.youtube.com/watch?v=LDey0-hhwRs,AI: The Next Frontier,https://www.youtube.com/channel/UCx-yhU_GEAb0JDLibFhTJUw,2026-04-30T18:54:40.124Z,13.0,8566.789,13.0
"Healing NOW with Curry Blake - April 29, 2026",https://www.youtube.com/watch?v=VK_SVjjJYSw,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-04-30T11:19:03.503Z,7770.0,27336.621,7770.0
"LIVE Through the Bible with Andrew Wommack - Part 2 - March 16, 2026",https://www.youtube.com/watch?v=RDN4aAaiooo,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-04-30T07:47:10.339Z,12061.0,12713.164,12061.0
"LIVE Through the Bible with Andrew Wommack - The Gospels - March 9, 2026",https://www.youtube.com/watch?v=9S-yCZ_tU3A,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-04-30T05:22:03.219Z,8306.0,8707.12,8306.0
LIVE Through the Bible with Andrew Wommack: Beginning of Jesus' Public Ministry (Jan 12 2026) Part 2,https://www.youtube.com/watch?v=TTDqLSlbohk,Andrew Wommack,https://www.youtube.com/channel/UC8H3lzJU5Qm-s3WVroB87kw,2026-04-30T02:21:18.444Z,10620.0,10844.775,10620.0
"AI Whistleblower: We Are Being Gaslit By AI Companies, They’re Hiding The Truth! - Karen Hao",https://www.youtube.com/watch?v=Cn8HBj8QAbk,The Diary Of A CEO,https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw,2026-04-29T23:59:01.459Z,7753.0,8536.985,7753.0
"WEDNESDAY HOLY ROSARY 🧡 APRIL 29, 2026🧡THE GLORIOUS MYSTERIES 🙏 MEMORIAL OF SAINT CATHERINE OF SIENA",https://www.youtube.com/watch?v=3fX6m3d3OBo,Daily Rosary,https://www.youtube.com/channel/UCpRILVNbYuQ28xCnwN6NMGg,2026-04-29T23:25:57.849Z,,1983.61,1983.61
"Catholic Daily Mass - Daily TV Mass - December 29, 2025",https://www.youtube.com/watch?v=k38MDXEUQT8,EWTN Live Mass & Devotions,https://www.youtube.com/channel/UCbkqRY8d0zg7xJPuDRDnDpQ,2026-04-29T22:01:16.589Z,5050.0,5081.26,5050.0
