title,link,channel,channel_link,date,video_length,time_diff,watch_time
Rank #1 Hulk BETRAYS the Brotherhood 😭,https://www.youtube.com/watch?v=zD52lh6vG-0,Click Rivals,https://www.youtube.com/channel/UC-E1_Eg9WJ5A1_BaEhUZY3g,2026-04-23T14:35:41.251Z,16.0,,16.0
"Blurry: Video-zjq-9453(en,16B9,3D,R0)[AI创作,玩法介绍][lhz]ffxAI骷髅小短剧1_BluedemoMH",https://www.youtube.com/watch?v=Jn7bMfQviaI,,,2026-04-23T14:35:39.870Z,32.0,1.381,1.381
She was NOT playing😭 #mr7hundun #gaming #marvelrivals #funny #spiderman,https://www.youtube.com/watch?v=kxJa4BdRCSs,Mr 7hundun,https://www.youtube.com/channel/UCPp60_mD4S35ecmWZhMusZg,2026-04-23T14:34:00.708Z,29.0,99.162,29.0
Black Cat Is IMPOSSIBLE to Kill 🤯,https://www.youtube.com/watch?v=dEmMJO07Z1M,Click Rivals,https://www.youtube.com/channel/UC-E1_Eg9WJ5A1_BaEhUZY3g,2026-04-23T14:31:54.224Z,27.0,126.484,27.0
BEN 10 FORTNITE SKINS SHOWCASE,https://www.youtube.com/watch?v=kWXGSSsLMqE,Shiina,https://www.youtube.com/channel/UCSjnUhv1qzvNjQtzJWnLCFw,2026-04-23T14:06:41.427Z,118.0,1512.797,118.0
WW-EN-B-TS-BB-3.3-3.3预热可用版本PVbumper达妮娅黑化技能-1080x1920.mp4,https://www.youtube.com/watch?v=n3IegtHxhlU,,,2026-04-23T14:06:29.984Z,7.0,11.443,7.0
Why Is She Calling Me Out...😭🙏|| #Honkaistarrail #honkaistarrailedit #hsr #silverwolf||,https://www.youtube.com/watch?v=uqi98yFMEIA,MoeDot,https://www.youtube.com/channel/UCZM8zdmLvLi7EEz4zBiZcpw,2026-04-23T14:05:47.109Z,7.0,42.875,7.0
We're ALL fIirting with her.. | Yandere Simulator #yanderesimulator #yanderesim #fyp #shorts,https://www.youtube.com/watch?v=87cjy-S1kmA,YanMoon!!,https://www.youtube.com/channel/UCOKUjevQP2rI0dB0xBamXeA,2026-04-23T05:51:36.370Z,58.0,29650.739,58.0
[Extra Cutscene] If you choose Different answers Different EMANATOR shows up | Honkai Star Rail 4.2 ,https://www.youtube.com/watch?v=GdmnIk2Ovb4,KONGARI,https://www.youtube.com/channel/UCTE3r00SENIOEgC55BLBFbg,2026-04-23T05:48:27.733Z,108.0,188.637,108.0
330869059-v4.2ENNewCharacter1-Jshoea-EN-1080x1620-V0629-44.7s,https://www.youtube.com/watch?v=wM_bMFFkd0E,,,2026-04-23T05:48:20.671Z,45.0,7.062,7.062
Whom would you like to marry?,https://www.youtube.com/watch?v=Rpy2-cwUf5A,,,2026-04-23T05:47:58.351Z,30.0,22.32,22.32
so peak #ben10 #ben10comic #bentennyson #fortnite,https://www.youtube.com/watch?v=gh4ZKFRcPJU,Himthan Drake,https://www.youtube.com/channel/UCOH6bZM5D3ZhZbgyR9P6-Sg,2026-04-23T03:59:58.731Z,27.0,6479.62,27.0
U-2774A-6s福利足控UE立绘-单角色-Bready-EN-H-N7-20250715-MY-JPZL-FSSN.mp4,https://www.youtube.com/watch?v=6eGWspLFMU8,,,2026-04-23T03:59:41.088Z,7.0,17.643,7.0
【原神 】在現實中被噁心鳴潮玩家跳臉，有感而發,https://www.youtube.com/watch?v=DmWKNwYeSGI,星海小米粒,https://www.youtube.com/channel/UCszeTNxLz5ov9pLwDS0Prrg,2026-04-23T03:59:37.433Z,1082.0,3.655,3.655
Reach Lord/Champion Proficiency INSANELY FAST (Full Guide) | Marvel Rivals,https://www.youtube.com/watch?v=DO6J63Llo6Y,Esidi,https://www.youtube.com/channel/UC-Lfjk8RxcDB-kDxFHM9Qrg,2026-04-23T01:39:25.907Z,449.0,8411.526,449.0
iGame_V_EN_UA-KOL_ISOT111女角色打码版_CB_184_1080x1920_35s_260306_NR_1119462,https://www.youtube.com/watch?v=bJvu2mXNGWk,,,2026-04-23T01:39:19.439Z,36.0,6.468,6.468
V-3523-6sbiPS7SoqCqPWrbqe-V2uqkK-DorothyLL-EN-H-3'5th-20260417-IH-KJJ.mp4,https://www.youtube.com/watch?v=GjUA1Ze6U9o,,,2026-04-23T01:39:12.922Z,6.0,6.517,6.0
THIS REHAN 2 BUILD IS META IN SEASON 12! Torchlight Infinite Rehan 2 Build SS12 (NEW META),https://www.youtube.com/watch?v=0JLZPRLGz4s,,,2026-04-23T01:39:08.574Z,552.0,4.348,4.348
Players Hate The New Emma Frost Skin!,https://www.youtube.com/watch?v=asD3xkWxrX8,Dylbobz,https://www.youtube.com/channel/UCGuNqjy7LBawNnjyXeh3rvg,2026-04-22T23:48:03.574Z,11.0,6665.0,11.0
Debbie Grayson is a Tsundere ❤️‍🩹,https://www.youtube.com/watch?v=h3auAI_N_YE,Orbis Mala 🌱,https://www.youtube.com/channel/UC_XL9tiIh_NhVBSaB1SDeeg,2026-04-22T23:47:30.233Z,14.0,33.341,14.0
"Resist. Rebel. Rebuild. (From ""Marvel's Daredevil: Born Again-Season 2: Vol. 1 (Episodes 1-4)"")",https://www.youtube.com/watch?v=s1VIMI1NCvE,MarvelMusicVEVO,https://www.youtube.com/channel/UCP55DP1xXupgE8nm2mZG6MQ,2026-04-22T23:45:53.350Z,177.0,96.883,96.883
20260402-星之翼-黑岩射手 04-横.mp4,https://www.youtube.com/watch?v=MJ8XgFa2Pa8,,,2026-04-22T23:45:45.416Z,34.0,7.934,7.934
CIP1606 1553  Mo 720x1280 10s 260408 US n0061,https://www.youtube.com/watch?v=ixWdB6emvO8,,,2026-04-22T23:45:29.197Z,10.0,16.219,10.0
DAREDEVIL VS KINGPIN Fight Scene - Daredevil Born Again Season 2 Episode 6 #daredevil #kingpin,https://www.youtube.com/watch?v=TPUMvPHz0Q0,Multiverse Union,https://www.youtube.com/channel/UC-wuJpWMwOZykbgEVkq0heg,2026-04-22T23:41:13.375Z,59.0,255.822,59.0
Kingpin Hugs Doctor to Death - Daredevil Born Again Season 2 Episode 6 #daredevil #kingpin,https://www.youtube.com/watch?v=JdsNRSDQrvA,Multiverse Union,https://www.youtube.com/channel/UC-wuJpWMwOZykbgEVkq0heg,2026-04-22T23:41:11.286Z,59.0,2.089,2.089
Daredevil Born Again episode 6!!! #daredevilbornagain #daredevil #marvelstudios #mcu #marvel,https://www.youtube.com/watch?v=kAH3Avxs1po,Georgie B0Y,https://www.youtube.com/channel/UCeYpuGZc8BXC2IE-KW5bF4g,2026-04-22T23:39:54.256Z,7.0,77.03,7.0
Daredevil vs Kingpin | Born Again Season 2 Episode 6,https://www.youtube.com/watch?v=_Voky-OPOJc,Jeremy Brauns Music,https://www.youtube.com/channel/UC0PikOOOC708LJUI9E1oNFA,2026-04-22T23:38:03.667Z,197.0,110.589,110.589
A1394(A113YM)-游戏选择-EN-_Bluedemo_BV-720x1280,https://www.youtube.com/watch?v=b0Y-aMtwNH4,,,2026-04-22T23:37:56.836Z,59.0,6.831,6.831
Shortened: 【V0122撩妹方法论-杖剑传说-EN-马慧清-野火-1x1-0109】,https://www.youtube.com/watch?v=Ega4YCSNISY,,,2026-04-22T23:37:40.362Z,28.0,16.474,16.474
Try Not To Smile 317 😆🤌🏾 #shorts #funny #viral,https://www.youtube.com/watch?v=xtDKY0mp9CE,SlattisReal,https://www.youtube.com/channel/UCFDn5YR_V87XrXLcf-r4utg,2026-04-22T23:36:59.428Z,36.0,40.934,36.0
DRFAC2600900-ShortBreakfastNYS-----3C_2026-03-05_07-52-04.mp4,https://www.youtube.com/watch?v=5DC1GRAfV9c,,,2026-04-22T23:36:57.750Z,21.0,1.678,1.678
What’s the Worst That Could Happen? 💀 #marvelrivals,https://www.youtube.com/watch?v=s8glCqte4fU,Mr. MAKS,https://www.youtube.com/channel/UCRgDNfOe5sXxOhVcffh_oHg,2026-04-22T23:36:39.386Z,24.0,18.364,18.364
nice try Rebecca🗿👍 #rebecca #wesker #residentevil5  #residentevil,https://www.youtube.com/watch?v=bnbWGVdpClo,ZhuaArts,https://www.youtube.com/channel/UCsKpPtCIJNo6diOpUnBYvLw,2026-04-22T23:36:13.725Z,21.0,25.661,21.0
8330-81441_Heroes-of-History_1080x1920_en_button_56sec,https://www.youtube.com/watch?v=p7kmiepW33E,,,2026-04-22T23:36:11.524Z,56.0,2.201,2.201
#invincible #comics #memes #markgrayson #omniman #fypシ #fyp #short #shorts,https://www.youtube.com/watch?v=htY0G4AxMuk,Nordikai,https://www.youtube.com/channel/UCxS6vBs7lQ329vsAESmMZtg,2026-04-22T23:34:20.355Z,7.0,111.169,7.0
CC rivals back at it again 🙄 #gaming #marvelrivals #marvel,https://www.youtube.com/watch?v=a2Z6-djIzG4,Younghousekeys,https://www.youtube.com/channel/UCcCjDOVGsAVJIj_-NWlT12A,2026-04-22T23:34:01.235Z,12.0,19.12,12.0
Shortened: SWGOH 3350 CodeCreativeDarthVaderV1FidgetOpenerPEGI 15s 1080x1920 EA EN UA ALL VID,https://www.youtube.com/watch?v=1c5taj5t5nU,,,2026-04-22T23:33:58.461Z,14.0,2.774,2.774
