title,link,channel,channel_link,date,video_length,time_diff,watch_time
Moving to Georgia in 2026? 10 Realities You Need to Know,https://www.youtube.com/watch?v=4EZeh4MNRdI,Moving to Northeast Georgia ,https://www.youtube.com/channel/UCBZTQMrK30C9JSg9aaZF21A,2026-05-11T02:21:07.359Z,371.0,,371.0
"Living in Georgia - Expat Life, Local Culture & What to Expect",https://www.youtube.com/watch?v=4B2s15289LM,Beyond Borders,https://www.youtube.com/channel/UCES3XxQPx2d7WQHlnI-Qa4Q,2026-05-11T02:20:04.086Z,1091.0,63.273,63.273
"Georgia 2026: Cost of Living, Jobs, Salaries & Visa Options | The World Guide",https://www.youtube.com/watch?v=juoyc-mtTxA,The World Guide,https://www.youtube.com/channel/UCklTZnZgN-9cbVhmdLDlVMA,2026-05-11T02:18:56.105Z,287.0,67.981,67.981
Pros and Cons of Living in Georgia!,https://www.youtube.com/watch?v=_9t7bzOOOgs,Living in Warner Robins with Mischa Thompson,https://www.youtube.com/channel/UCdyjRugjmEOrXEtPVbUxFVQ,2026-05-11T02:18:03.277Z,503.0,52.828,52.828
We’ve NEVER heard The EAGLES Desperado! The Queen of hearts is a BAR… W/ @AnthonyRay,https://www.youtube.com/watch?v=_bFnk-pnEas,Black Pegasus,https://www.youtube.com/channel/UCokvZArf0XB_YH7fhOIh86g,2026-05-11T02:17:54.387Z,1075.0,8.89,8.89
"""Bigger!"" | Neil Patrick Harris | 2013 Tony Awards Opening",https://www.youtube.com/watch?v=R8SeysuMpA0,Matt Hagmeier Curtis,https://www.youtube.com/channel/UClR2TkuUsMohnC12fkriPwA,2026-05-11T02:15:41.608Z,507.0,132.779,132.779
WESTLIFE celebrate 25 YEARS with a GREATEST HITS MEDLEY! | Semi-Finals | BGT 2026,https://www.youtube.com/watch?v=F70yPwxMe9M,Britain's Got Talent,https://www.youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,2026-05-10T03:57:25.840Z,366.0,80295.768,366.0
Brantley Gilbert - Real American (Official Video),https://www.youtube.com/watch?v=zBQBp8OcwrY,BrantleyGilbertVEVO,https://www.youtube.com/channel/UCfnRFkeB7W4L_weD7SJI6wQ,2026-05-09T22:50:17.622Z,167.0,18428.218,167.0
Brantley Gilbert - Ride With Me (Lyric Video),https://www.youtube.com/watch?v=rkdC2gOjtgQ,BrantleyGilbertVEVO,https://www.youtube.com/channel/UCfnRFkeB7W4L_weD7SJI6wQ,2026-05-09T16:11:50.975Z,188.0,23906.647,188.0
Greylan James - Small Town (Lyric Video),https://www.youtube.com/watch?v=bP4wmweW_5I,GreylanJamesVEVO,https://www.youtube.com/channel/UCsWFrK5qyPvfGnyUHkQVQMA,2026-05-09T15:52:39.515Z,208.0,1151.46,208.0
Midland - Shooting Memories With Tequila (Lyric Video),https://www.youtube.com/watch?v=Gtgl3R0XAl0,MidlandVEVO,https://www.youtube.com/channel/UCN4xsTfYL3d-G041yNHuR4A,2026-05-09T15:50:55.496Z,235.0,104.019,104.019
Finding Susan Powter: Stop the Insanity and the Life That Followed,https://www.youtube.com/watch?v=jXPq-Q9M49s,Miss Understood Podcast ,https://www.youtube.com/channel/UCw13NrSKD-nD_8E0vBHt5hA,2026-05-09T02:11:10.277Z,6520.0,49185.219,6520.0
Brantley Gilbert - MESSED ME UP (Official Audio),https://www.youtube.com/watch?v=fr4vU2r-vg0,Brantley Gilbert,https://www.youtube.com/channel/UCUrq8ZRcoSeSH0Y3ImrsVuw,2026-05-09T01:26:39.050Z,181.0,2671.227,181.0
Brantley Gilbert - F****D ME UP (Official Audio),https://www.youtube.com/watch?v=4UcbBGTCEQw,Brantley Gilbert,https://www.youtube.com/channel/UCUrq8ZRcoSeSH0Y3ImrsVuw,2026-05-09T01:26:27.690Z,181.0,11.36,11.36
Brantley Gilbert - GOOD DAMN (Official Audio),https://www.youtube.com/watch?v=T__BsHetndM,Brantley Gilbert,https://www.youtube.com/channel/UCUrq8ZRcoSeSH0Y3ImrsVuw,2026-05-09T01:26:02.543Z,147.0,25.147,25.147
Brantley Gilbert - GOOD DAMN (Official Lyric Video),https://www.youtube.com/watch?v=9Ct6dnUILyI,Brantley Gilbert,https://www.youtube.com/channel/UCUrq8ZRcoSeSH0Y3ImrsVuw,2026-05-09T01:25:27.763Z,184.0,34.78,34.78
Riley Green - Mississippi Or Me (Lyric Video),https://www.youtube.com/watch?v=t0a9Ua94Crg,RileyGreenVEVO,https://www.youtube.com/channel/UCxuQNUSIjVQDg2Vv2x_KZyg,2026-05-09T01:21:28.563Z,217.0,239.2,217.0
Riley Green - Change My Mind (Lyric Video),https://www.youtube.com/watch?v=DQf6VOhA1c0,RileyGreenVEVO,https://www.youtube.com/channel/UCxuQNUSIjVQDg2Vv2x_KZyg,2026-05-09T01:19:09.782Z,205.0,138.781,138.781
Ashley McBryde - Rattlesnake Preacher (Official Music Video),https://www.youtube.com/watch?v=Q4dMPYu-pIk,Ashley McBryde,https://www.youtube.com/channel/UCaP-W0X3rp3U1lMedCHybtQ,2026-05-08T20:34:27.417Z,278.0,17082.365,278.0
