title,link,channel,channel_link,date,video_length,time_diff,watch_time
"$36 cents per hanger, pay weekly, write a check, 1099 contract 💰 #lawncare #entrepreneur",https://www.youtube.com/watch?v=RQF6Q-IKUcc,Marco Garcia,https://www.youtube.com/channel/UCL4_r2GAfz4YHHJZJ4n7M0Q,2026-04-23T11:51:39.769Z,21.0,,21.0
Ragebaiting Strangers Almost Turned Into a Fight.. 😳😡 #kaneljoseph #funny,https://www.youtube.com/watch?v=dAHU7c-Az3A,Kanel Joseph Shorts,https://www.youtube.com/channel/UC8JW9zZyxhlfAIOe4-xkIEg,2026-04-23T11:48:40.095Z,38.0,179.674,38.0
This Man Picked The WRONG Firefighter…,https://www.youtube.com/watch?v=KVKaiKOt1HU,Fate Files,https://www.youtube.com/channel/UCs_ENKE3s_NoBVQeHuX02DA,2026-04-23T11:47:14.670Z,18.0,85.425,18.0
омадли.уйин в прямом эфире!,https://www.youtube.com/watch?v=QzMEPwhMenk,омадли.уйин,https://www.youtube.com/channel/UC6d9wHG8M6pXWC3h9ru7b4Q,2026-04-23T11:47:12.345Z,,2.325,2.325
Cold Hard Cash Part 11,https://www.youtube.com/watch?v=RJTeml3kRew,Brenden,https://www.youtube.com/channel/UCo4iH8hcRFm7qzLjeljhbSQ,2026-04-23T11:45:11.354Z,35.0,120.991,35.0
I covered the cameras so it can’t tell I’m not actually falling /Twitch link in bio,https://www.youtube.com/watch?v=Eq76m1WJ8Sg,Husk IRL,https://www.youtube.com/channel/UC4DaqJUbVn5JHTekLwZPNuA,2026-04-23T11:43:16.064Z,97.0,115.29,97.0
Wait till the end 😭✌️#prank #funny #viral #jokes #ragebait #troll #fyp #trending,https://www.youtube.com/watch?v=b4tujURkE4w,Yoyo,https://www.youtube.com/channel/UCpN3vYFk9AlDBK7XOG1u9VA,2026-04-23T11:42:35.220Z,27.0,40.844,27.0
A ‘Football Goddess’ now leads the men’s FC Union Berlin,https://www.youtube.com/watch?v=ksBpQRBsl2o,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-23T11:42:34.739Z,95.0,0.481,0.481
We all live like this 😭,https://www.youtube.com/watch?v=4uaajg_6Nvg,AsmonHighlights,https://www.youtube.com/channel/UCMzwjr6SFGQQzK132ZMx8BQ,2026-04-23T11:41:26.219Z,56.0,68.52,56.0
Not her mom laughing at the end 😭,https://www.youtube.com/watch?v=ooB0UHMTDss,Splashin App,https://www.youtube.com/channel/UCNLH5tfW2vFQaQvOeGeqmSA,2026-04-23T11:40:39.779Z,20.0,46.44,20.0
The absolute best use case for an off-roading vehicle might be to snag parking spots that you would,https://www.youtube.com/watch?v=fZhRiJA69Nk,G82 Nick,https://www.youtube.com/channel/UCzIPjFdL6g6dGJAm-JZD5_A,2026-04-23T11:39:44.434Z,17.0,55.345,17.0
Pointing Beams On Thugs Prank,https://www.youtube.com/watch?v=76mIRvYgqXE,Prankify,https://www.youtube.com/channel/UCLqi72vvK0Y8CHs4zAD2TNg,2026-04-23T11:38:58.794Z,27.0,45.64,27.0
"This Chain Was Worth Almost $20,000!!!",https://www.youtube.com/watch?v=zho9tPszDWA,Cache Of Cash,https://www.youtube.com/channel/UCJ-OLyM2xpm0ENyYI-hr5pA,2026-04-23T11:37:29.254Z,86.0,89.54,86.0
LOS' DAD HAD TO LEAVE THE STREAM #lospollostv #lospollostvmoments,https://www.youtube.com/watch?v=3InWs9LZidA,Los Pollos Era ,https://www.youtube.com/channel/UCFONSlKHEFztqZZ3mrOwfoA,2026-04-23T11:35:36.105Z,52.0,113.149,52.0
That Was NOT Right 😂 #funny #hopecore #hopelesscore,https://www.youtube.com/watch?v=fA5YGt-DbMk,Hopeless Core,https://www.youtube.com/channel/UCCK7_HdCFAKTNBwh5KRAscA,2026-04-23T11:30:17.375Z,37.0,318.73,37.0
was this a good job?? 🙈🙈,https://www.youtube.com/watch?v=qzE2tQ7nH-M,BROT,https://www.youtube.com/channel/UCytO3ZwG4k74f8cG5aqnsAw,2026-04-23T11:29:45.036Z,103.0,32.339,32.339
White House calls Southern Poverty Law Center a 'criminal organization' #shorts,https://www.youtube.com/watch?v=lsqr6ZoqZU8,New York Post,https://www.youtube.com/channel/UCrvhNP_lWuPIP6QZzJmM-bw,2026-04-23T11:29:25.355Z,26.0,19.681,19.681
Bro came out of nowhere 😭✌️ #prank #funny #troll #jokes #ragebait #viral #trending,https://www.youtube.com/watch?v=9LjUkRlgoT8,Yoyo,https://www.youtube.com/channel/UCpN3vYFk9AlDBK7XOG1u9VA,2026-04-23T11:28:19.540Z,21.0,65.815,21.0
TraxNYC Destroys Matan's Fake Diamond,https://www.youtube.com/watch?v=3ADyODjW1vY,Matan Show Clips,https://www.youtube.com/channel/UCZnyjwIscipcU0AiSWGA3dQ,2026-04-23T11:27:21.255Z,20.0,58.285,20.0
Speed finally meets his mom ❤️‍🩹❤️‍🩹#ishowspeed #mom #edit,https://www.youtube.com/watch?v=0RrtPZ6cpms,Bytex10,https://www.youtube.com/channel/UCE139Fz-jUc5Pv_45m9bciw,2026-04-23T11:26:49.495Z,40.0,31.76,31.76
Best way to break the ice,https://www.youtube.com/watch?v=uL2mbIcVgJ0,Husk IRL,https://www.youtube.com/channel/UC4DaqJUbVn5JHTekLwZPNuA,2026-04-23T11:22:12.071Z,88.0,277.424,88.0
Los and his Dad play Wordle #lospollostv #lospollostvmoments,https://www.youtube.com/watch?v=KT2TJvsW61g,Los Pollos Era ,https://www.youtube.com/channel/UCFONSlKHEFztqZZ3mrOwfoA,2026-04-23T11:19:55.495Z,66.0,136.576,66.0
US Attorney Jeanine Pirro busts 'international auto theft ring' in DC #shorts,https://www.youtube.com/watch?v=5NN0dyq1eKo,New York Post,https://www.youtube.com/channel/UCrvhNP_lWuPIP6QZzJmM-bw,2026-04-23T11:19:01.575Z,53.0,53.92,53.0
Anyone see this yet? #college #cheating #essay #chatgpt #gptzeroad,https://www.youtube.com/watch?v=QW336KjAld0,Study with J,https://www.youtube.com/channel/UCL044ibtXyYLz-mWb8UCeQw,2026-04-23T11:16:44.720Z,98.0,136.855,98.0
Buying All Retro Games at Garage Sale 😳,https://www.youtube.com/watch?v=Mxo5Th8AeEI,Flip Encounters 💸,https://www.youtube.com/channel/UCQ0RbLVp9xxVu7psPpNUZoQ,2026-04-23T11:11:00.270Z,44.0,344.45,44.0
POV: You just wanted a drink but the universe chose FOAM.,https://www.youtube.com/watch?v=tYrLQ3TjQkI,JUL shortz,https://www.youtube.com/channel/UCAeqWwqfcfhi1kqktseU_BA,2026-04-23T11:09:40.894Z,52.0,79.376,52.0
Can a Bullet Fired Straight Up Actually K!ll You When It Falls?,https://www.youtube.com/watch?v=1OmG0ci45_U,TrutHunters,https://www.youtube.com/channel/UCr2xyJVamkv8Fjb8syciebA,2026-04-23T11:08:20.635Z,69.0,80.259,69.0
Are you 🌈or📏,https://www.youtube.com/watch?v=tA-ZK835tSw,Pierre Fl,https://www.youtube.com/channel/UC8YpA0uLiTcMJzC1wLHjXjA,2026-04-23T11:06:25.114Z,75.0,115.521,75.0
He almost blew it,https://www.youtube.com/watch?v=VT3pKwobnQE,Husk IRL,https://www.youtube.com/channel/UC4DaqJUbVn5JHTekLwZPNuA,2026-04-23T11:04:53.944Z,71.0,91.17,71.0
Bad dog owners...,https://www.youtube.com/watch?v=uVf8Mx8UZUI,Wyatt Cenac,https://www.youtube.com/channel/UC5O19JR0KtyLRJjLt1mrazQ,2026-04-23T11:04:50.810Z,76.0,3.134,3.134
When trolls meet trolls😂 #funny,https://www.youtube.com/watch?v=wMHaa-mx1e4,Kanel Joseph Shorts,https://www.youtube.com/channel/UCYC5gGiIWF2qyFtAD7ZKe0w,2026-04-23T11:04:00.020Z,24.0,50.79,24.0
xQc meets a kind fan #xqc #fan #pokemon #lego #moistcr1tikal,https://www.youtube.com/watch?v=ElX5Ckl4eN0,CLIPPSTA,https://www.youtube.com/channel/UCeXna_Oh53Bh78y9pA5fh4w,2026-04-23T11:02:40.515Z,68.0,79.505,68.0
White House declines to address Trump’s campaign role in Virginia redistricting vote,https://www.youtube.com/watch?v=Mnad9S8zBo4,KRCR News Channel 7,https://www.youtube.com/channel/UCCzbbdYy_d3MRzNtzU8zYSQ,2026-04-23T11:02:28.285Z,42.0,12.23,12.23
The worst video I ever seen🤦🏾‍♂️😂 #ytshorts  #trynottolaugh,https://www.youtube.com/watch?v=7p6CHyAlWt8,Tra Rags,https://www.youtube.com/channel/UCNekbFtp9zsI-lE_OCHpq_w,2026-04-23T11:01:32.255Z,111.0,56.03,56.03
Undercover French Champion TROLLED ME into thinking he's a football agent 🤣,https://www.youtube.com/watch?v=Zly_8Ijs_LU,Nemo,https://www.youtube.com/channel/UCX1aKS73OTYKAD-D5dno73w,2026-04-23T11:00:08.610Z,68.0,83.645,68.0
Would you go to a chess meetup like this?,https://www.youtube.com/watch?v=A5Oah8ioGTo,Chess.com,https://www.youtube.com/channel/UC5kS0l76kC0xOzMPtOmSFGw,2026-04-23T10:59:57.135Z,13.0,11.475,11.475
Maybe I don’t get it…,https://www.youtube.com/watch?v=o3IUpK3H97Y,Husk IRL,https://www.youtube.com/channel/UC4DaqJUbVn5JHTekLwZPNuA,2026-04-23T10:58:50.925Z,55.0,66.21,55.0
Miami Course Sellers Be Like…🤦‍♂️,https://www.youtube.com/watch?v=cHFhb9hlMPM,Cam Casey Shorts,https://www.youtube.com/channel/UCAatjI5Yc8o7WZcHDbNw7eA,2026-04-23T10:58:35.345Z,52.0,15.58,15.58
DON'T CHECK THE SOUND 😭😭,https://www.youtube.com/watch?v=M_y8jQ4IeQo,NATE ,https://www.youtube.com/channel/UCM4wzYDtrcUc2xIC0PaviZg,2026-04-23T10:57:19.885Z,,75.46,75.46
"LIVE 🔴 Reacting REAL-TIME (Trump, Housing, PS5, + MORE) — What’s REALLY Happening? 👀",https://www.youtube.com/watch?v=e58r6uC8uow,1 3 3 7 p l a n s,https://www.youtube.com/channel/UCEFMo3SbTIjBWZ4fpAmAlJg,2026-04-23T10:57:18.295Z,15406.0,1.59,1.59
when the girl tries to pay for the date.. #couple #couplecomedy #couplegoals,https://www.youtube.com/watch?v=fAjbEjfxm4w,hyoga.x,https://www.youtube.com/channel/UC2RnpTR1h4qs0a6-lqJfPhQ,2026-04-23T10:44:48.254Z,16.0,750.041,16.0
Hilarious twist 🤣,https://www.youtube.com/watch?v=b9OVbce1zgc,XDX,https://www.youtube.com/channel/UCC6kDssBTZioKm_bQjAcT2w,2026-04-23T10:42:50.570Z,74.0,117.684,74.0
The Real Reason You Struggle To Connect! @TonyRobbinsLive #healing,https://www.youtube.com/watch?v=XYcLbWmi5dA,Tony Robbins Mindset,https://www.youtube.com/channel/UC03ActDdRTuSHpA9mfH_24g,2026-04-23T10:41:41.869Z,38.0,68.701,38.0
"A family recipe, passed down from granny",https://www.youtube.com/watch?v=1MJ6YP8Iysk,Fredo on TV,https://www.youtube.com/channel/UClOnJwSzSOKMh_tvCkIFRbQ,2026-04-23T10:40:29.204Z,63.0,72.665,63.0
