title,link,channel,channel_link,date,video_length,time_diff,watch_time
I messed up 🤦🏻‍♂️😬,https://www.youtube.com/watch?v=9722BdyoWgY,Ian Fujimoto,https://www.youtube.com/channel/UCqdO39YlloDBxG5P28qATuA,2026-04-23T16:15:38.606Z,61.0,,61.0
Did Geese REALLY Game The System?,https://www.youtube.com/watch?v=xdwDwiQLx-8,Rick Beato,https://www.youtube.com/channel/UCJquYOG5EL82sKTfH9aMA9Q,2026-04-23T15:23:14.522Z,447.0,3144.084,447.0
Faster Caramelized Onions Using Water,https://www.youtube.com/watch?v=ImzHlWdalhc,America's Test Kitchen,https://www.youtube.com/channel/UCxAS_aK7sS2x_bqnlJHDSHw,2026-04-23T15:21:10.758Z,60.0,123.764,60.0
i read the 10 most disturbing books ever written.,https://www.youtube.com/watch?v=2rpILyUYNfY,Man Carrying Thing,https://www.youtube.com/channel/UCPdaxSov0mgwh77JvjQO2jQ,2026-04-23T15:15:38.996Z,2108.0,331.762,331.762
"Trump's Approval Hits All-Time Low, Kash Patel's ""Freakouts,"" Labor Secretary Resigns: A Closer Look",https://www.youtube.com/watch?v=IljF1cqE3AM,Late Night with Seth Meyers,https://www.youtube.com/channel/UCVTyTA7-g9nopHeHbeuvpRA,2026-04-23T15:07:59.270Z,530.0,459.726,459.726
Wet Leg: Tiny Desk Concert,https://www.youtube.com/watch?v=AzUHNjKMeV4,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A,2026-04-23T14:59:47.758Z,1021.0,491.512,491.512
Have Guitar Brands Lost Their Minds With Pricing?,https://www.youtube.com/watch?v=_VwHB8ihINw,DylanTalksTone,https://www.youtube.com/channel/UCUMBIYslSt3wQgJwWrDP5dQ,2026-04-23T14:57:42.444Z,3528.0,125.314,125.314
The power of Bayesian reasoning | BBC Ideas,https://www.youtube.com/watch?v=1LzdESG6-2E,BBC Ideas,https://www.youtube.com/channel/UCDYT9mM3L_ByrPYMyl0MGGg,2026-04-23T14:56:52.286Z,296.0,50.158,50.158
Creighton Boys School's Popular New French Teacher - Saturday Night Live,https://www.youtube.com/watch?v=t-3Nni5vlNI,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-04-23T14:56:35.694Z,356.0,16.592,16.592
Climbing Barry-Holt-Eleanor (Dirty Dozen hill #11 or #12),https://www.youtube.com/watch?v=4suo0mMV_7I,Kenneth Trueman,https://www.youtube.com/channel/UC3DPtiA1-O6P_J52P5ZvL0Q,2026-04-20T21:39:42.967Z,685.0,235012.727,685.0
Pittsburgh’s Dirty Dozen | The Steep Coast is the East Coast,https://www.youtube.com/watch?v=fJrNmyB2UZs,Move With Murph,https://www.youtube.com/channel/UCv1YpNGw0jM8yIknV9KzSKQ,2026-04-20T21:29:22.936Z,1122.0,620.031,620.031
Pittsburgh Dirty Dozen 2014 - 13 of Pittsburgh's BIGGEST Hills,https://www.youtube.com/watch?v=cJ1kMlvvcXI,13eard,https://www.youtube.com/channel/UCG9EJokHd_znA-Mp45PV73w,2026-04-20T21:28:12.621Z,685.0,70.315,70.315
"Top 5 steepest streets in Pittsburgh, PA",https://www.youtube.com/watch?v=rAw3pq03MAI,PITTSBURGHHILLS,https://www.youtube.com/channel/UCjPV2nV6vpv0lJJcCWYwl_A,2026-04-20T21:24:48.610Z,496.0,204.011,204.011
