title,link,channel,channel_link,date,video_length,time_diff,watch_time
"If Dates Are Pure Sugar, Why Are They So Amazing For You?",https://www.youtube.com/watch?v=q9fADurGNe4,Thomas DeLauer,https://www.youtube.com/channel/UC70SrI3VkT1MXALRtf0pcHg,2026-02-22T02:36:34.623Z,510,,510.0
Can I work as a travel advisor while keeping my day job?,https://www.youtube.com/watch?v=EIPbJgYKQ1Q,,,2026-02-20T19:15:51.719Z,35,112842.904,35.0
Bring your ideas to life with Base44,https://www.youtube.com/watch?v=OugxDOargKI,,,2026-02-20T19:08:48.588Z,47,423.131,47.0
Moms Guess Their Daughter’s Secret Boyfriend | Lineup | Cut,https://www.youtube.com/watch?v=UO1GMhMojps,Cut,https://www.youtube.com/channel/UCbaGn5VkOVlcRgIWAHcrJKA,2026-02-20T19:02:30.034Z,1116,378.554,378.554
Coders: How to sign up for DataAnnotation.,https://www.youtube.com/watch?v=n02iKiPRCSE,,,2026-02-20T19:02:18.775Z,23,11.259,11.259
Alysa Liu wins the Olympic gold medal for the United States,https://www.youtube.com/watch?v=Dg0h9iZ1ZAg,Team USA,https://www.youtube.com/channel/UCPGpDwKpKj9vcoFAOxSbr7A,2026-02-20T18:55:01.830Z,484,436.945,436.945
🍃leaf sourdough bread🍃 #art #synthwave #sourdough #shortsfeed  #shortsvideo #foodie #bread,https://www.youtube.com/watch?v=8D0fHdDcQrw,Sourdough Enzo | Rachel Pardoe,https://www.youtube.com/channel/UCpp7cqM6SXFto0dSn0kwhbw,2026-02-18T18:01:52.263Z,39,175989.567,39.0
Young kid plays piano like a pro #piano,https://www.youtube.com/watch?v=yWYCy-eoPDg,Melodic Odyssey,https://www.youtube.com/channel/UCVSMvg8tsYLJQoRpkVJOIQA,2026-02-18T18:01:15.704Z,23,36.559,23.0
"Your manager, Riley Smith, addresses external suppliers",https://www.youtube.com/watch?v=jGHgEUVoS_U,Yasha Spriha,https://www.youtube.com/channel/UCfp2TWxvc6XJ1KhkI34hflg,2026-02-16T22:34:04.091Z,71,156431.613,71.0
"Your manager, Riley Smith, addresses your team members",https://www.youtube.com/watch?v=3BQU3I-YoJw,Yasha Spriha,https://www.youtube.com/channel/UCfp2TWxvc6XJ1KhkI34hflg,2026-02-16T22:31:51.122Z,76,132.969,76.0
CAS RC ALL NA 2025 Thrill Hibachi 15 16x9 OTT,https://www.youtube.com/watch?v=q72PCnmpySs,,,2026-02-16T20:49:39.755Z,16,6131.367,16.0
H,https://www.youtube.com/watch?v=RIkaKIGaqpY,jiantao shi,https://www.youtube.com/channel/UCMjjUM1bjbnnigDX7ePNECg,2026-02-15T14:43:20.813Z,27,108378.942,27.0
Deepfake AI – How Dangerous Is It? #shorts #deepfake,https://www.youtube.com/watch?v=Fyzr6jbSI_I,VICE,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,2026-02-12T13:08:07.811Z,39,264913.002,39.0
Musk reshapes Grok AI after backlash over antisemitic responses #Shorts,https://www.youtube.com/watch?v=5sQeivm12x0,USA TODAY,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g,2026-02-12T13:07:27.693Z,80,40.118,40.118
"Humanoid robot describes ""nightmare scenario"" with robotics and AI #shorts",https://www.youtube.com/watch?v=QF-Vu93C4m0,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-02-12T13:07:10.075Z,35,17.618,17.618
