title,link,channel,channel_link,date,video_length,time_diff,watch_time
Dustfall - Press Conference | Series Mania Festival 2026,https://www.youtube.com/watch?v=Z5DQarGhWJw,SERIES MANIA,https://www.youtube.com/channel/UCUevnD6MCOFoy8m-ejUXeqA,2026-04-22T12:54:03.150Z,1795.0,,1795.0
Wentworth  Real-life couples revealed,https://www.youtube.com/watch?v=hKrzrD-xLpU,Celeb Space,https://www.youtube.com/channel/UCbozVmjdq2zmpHiGe2mt4zA,2026-04-21T13:07:47.675Z,544.0,85575.475,544.0
Elle King - Ex's & Oh's (Official Video),https://www.youtube.com/watch?v=0uLI6BnVh6w,ElleKingVEVO,https://www.youtube.com/channel/UCglELn2MzAGxlYeiZr4jdvw,2026-04-21T10:42:46.654Z,224.0,8701.021,224.0
Fleetwood Mac - Tusk (Official Music Video) [HD],https://www.youtube.com/watch?v=ATMR5ettHz8,Fleetwood Mac,https://www.youtube.com/channel/UCAb60rVrvVQVfSgrX1UWb0g,2026-04-21T10:42:09.703Z,200.0,36.951,36.951
Cheap Trick - I Want You to Want Me (from Budokan!),https://www.youtube.com/watch?v=-qgpewMCVjs,cheaptrickVEVO,https://www.youtube.com/channel/UCSomIwKuzh9QOMKsLTHemcg,2026-04-21T10:42:01.150Z,223.0,8.553,8.553
40 Famous Lesbian Couples Still Happily in Love (2026),https://www.youtube.com/watch?v=Nen9LofSyUs,Celeb SideBySide,https://www.youtube.com/channel/UChm1LZ58TXB-WXjKF9r1xng,2026-04-21T10:41:57.316Z,585.0,3.834,3.834
Top 10 LGBTQ+ Lesbian Actresses & Their Real-Life Relationships (2026),https://www.youtube.com/watch?v=Gl8F_-NqQac,Pain To Power,https://www.youtube.com/channel/UC4YDSxTwIMOB8XlYSnLK4Fg,2026-04-21T10:40:51.774Z,298.0,65.542,65.542
10 Forgotten One Hit Wonders from 1976 You Need To Hear,https://www.youtube.com/watch?v=xeiO6WayKZ8,Nostalgia Waves,https://www.youtube.com/channel/UCoGgPc-kt7JaNSPkFEoUCNQ,2026-04-21T10:33:15.302Z,571.0,456.472,456.472
Let It Ride - Dreams - cover by -  Golden Era,https://www.youtube.com/watch?v=ELOZXLnQSZg,Jailu Becsa,https://www.youtube.com/channel/UCccDc3wSa6yhmxjsx1L1PCg,2026-04-21T10:32:50.503Z,550.0,24.799,24.799
7 Dirty Songs People Didn’t Realize Were Filthy,https://www.youtube.com/watch?v=-OvIWFliII0,Backstage Classics,https://www.youtube.com/channel/UCUfAaghGTjRWfh8dmSFTXpw,2026-04-21T10:32:32.004Z,647.0,18.499,18.499
Jet - Are You Gonna Be My Girl (Official Music Video),https://www.youtube.com/watch?v=tuK6n2Lkza0,Jet,https://www.youtube.com/channel/UC5vZ92ZTaMqw7lLFDvFNu0A,2026-04-21T10:32:00.225Z,215.0,31.779,31.779
SPIRIT IN THE SKY- NORMAN GREENBAUM (EVOL WALKS COVER),https://www.youtube.com/watch?v=3W1Jm2jF8MI,Evol Walks,https://www.youtube.com/channel/UC1s_kam5gfjr6S0ZDqVHKHQ,2026-04-21T10:30:11.858Z,194.0,108.367,108.367
Did You Grow Up in the 1970s? These Songs Will Make You Homesick for the 70s!,https://www.youtube.com/watch?v=28kbWYSgg_Y,Retro Rewind,https://www.youtube.com/channel/UCScvqGTnN2M6_urwykXat7Q,2026-04-21T10:29:02.179Z,1269.0,69.679,69.679
