title,link,channel,channel_link,date,video_length,time_diff,watch_time
Vertical: SMB BFORM25Q4 US CA EN Video COBOL SJ 15s NOFR WM,https://www.youtube.com/watch?v=sU8ZJK-VXwg,,,2026-03-25T00:20:34.788Z,16.0,,16.0
Now Taxes is Done For You :15,https://www.youtube.com/watch?v=2y2vriEXHqY,,,2026-03-25T00:20:14.470Z,16.0,20.318,16.0
0126 video 12s imagine v2 light nologos noquote 1920x1080,https://www.youtube.com/watch?v=IQkdYxrL4dI,,,2026-03-25T00:13:06.942Z,13.0,427.528,13.0
cid=72427381cad13d90c982d7efaaadb7e6,https://www.youtube.com/watch?v=J_rZQ8GUGD8,,,2026-03-25T00:06:53.914Z,63.0,373.028,63.0
270326USz 260309 06 lxn 1 9x16,https://www.youtube.com/watch?v=H7SyUTrUpv8,,,2026-03-25T00:06:47.635Z,7.0,6.279,6.279
Impractical Jokers Funniest Moments 😂🔥| Compilation (Part 2),https://www.youtube.com/watch?v=DmITngKB0Tg,Peaky Laughter,https://www.youtube.com/channel/UC8bt7TOUmL-sMAml-TxQw_w,2026-03-25T00:00:38.338Z,,369.297,369.297
Start your weight loss journey! Take our free assessment & discover the right plan for you,https://www.youtube.com/watch?v=3JcGrmtKHFM,,,2026-03-25T00:00:30.893Z,29.0,7.445,7.445
honest and no bs crimson desert review #gaming #news,https://www.youtube.com/watch?v=QA1vJBfSoQQ,Royall,https://www.youtube.com/channel/UCM2o7xdOAoPw3UpHpLsBEpw,2026-03-24T23:58:44.316Z,106.0,106.577,106.0
We turned this free recliner into $800 #diy #couchflipping #shorts #furnitureflip #flipping,https://www.youtube.com/watch?v=21Y4i87rmc0,Logan,https://www.youtube.com/channel/UCV5b4lRfQrY3yTN1unbo8ww,2026-03-24T23:58:34.359Z,145.0,9.957,9.957
vi_security_ani_eng_071023_cpp0_32s_16x9_securitysafetytrust_4,https://www.youtube.com/watch?v=5zSlXC5l8wQ,,,2026-03-24T23:58:25.660Z,32.0,8.699,8.699
