title,link,channel,channel_link,date,video_length,time_diff,watch_time
What Happens to YOUR BRAIN When You Hum for 60 Seconds?,https://www.youtube.com/watch?v=QVoGbaq8xos,The Feynman Way,https://www.youtube.com/channel/UCr6Y7qBX2reHxNG7vIF-usQ,2026-04-13T15:32:50.343Z,1917.0,,1917.0
Write Like a Pro | Write Your Best Work With Grammarly,https://www.youtube.com/watch?v=NWCfcxKL2oI,,,2026-04-13T15:32:21.461Z,22.0,28.882,22.0
Bring your ideas to life with Base44,https://www.youtube.com/watch?v=OugxDOargKI,,,2026-04-13T15:31:27.524Z,47.0,53.937,47.0
26 UOR 8444150 D24 V1 15s OLV 169 Eng SaveUpTo75,https://www.youtube.com/watch?v=aA2T7wgHWrY,,,2026-04-13T15:31:21.574Z,16.0,5.95,5.95
Work Music for Focus & Productivity | Relaxing Beats to Boost Focus | Stay in Flow,https://www.youtube.com/watch?v=TdZ0NUz4was,Smooth Wave Music Channel,https://www.youtube.com/channel/UC832l2P7k9px4gYWg8P6eQQ,2026-04-13T15:31:06.266Z,13330.0,15.308,15.308
Tools that move fast so you can think faster | Try Grammarly for work,https://www.youtube.com/watch?v=a_9ogcYJs64,,,2026-04-13T15:30:48.428Z,60.0,17.838,17.838
OAI FebVideographer USA UC1 16x9,https://www.youtube.com/watch?v=wAhXczlcfJE,,,2026-04-13T15:30:48.427Z,20.0,0.001,0.001
Codex Ed 2 PrototypingWithCodex 16x9,https://www.youtube.com/watch?v=BfZzwD575NQ,,,2026-04-13T15:18:05.868Z,30.0,762.559,30.0
Trump announces NEW missile shield for America: 'GOLDEN DOME',https://www.youtube.com/watch?v=yLISxJHxlfY,Fox News,https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA,2026-04-13T15:11:23.487Z,1317.0,402.381,402.381
Trump reacts after Navy begins blockade of Iranian ports,https://www.youtube.com/watch?v=nOZvLTZAJ7Y,LiveNOW from FOX,https://www.youtube.com/channel/UCJg9wBPyKMNA5sRDnvzmkdg,2026-04-13T15:09:12.397Z,130.0,131.09,130.0
Bring your idea online with Hostinger | Hostinger.com/website-builder,https://www.youtube.com/watch?v=RPK8vgtsplg,,,2026-04-13T15:08:44.779Z,20.0,27.618,20.0
Upwork | How @alexandralourdes Scaled Two Restaurants With Freelancers,https://www.youtube.com/watch?v=3NMWmh3rbVU,,,2026-04-13T15:08:17.343Z,20.0,27.436,20.0
Upwork | How @alexandralourdes Scaled Two Restaurants With Freelancers,https://www.youtube.com/watch?v=OhUx5x_2qBc,,,2026-04-13T15:08:03.826Z,25.0,13.517,13.517
KFC | :60 Value Feast,https://www.youtube.com/watch?v=rVz5KMNqDUI,,,2026-04-13T15:07:59.039Z,61.0,4.787,4.787
this dress is a dream!!! ready for a fairy princess summer 🧚‍♂️ #thriftfinds,https://www.youtube.com/watch?v=Ads3fv8PAsA,Curated by Natalie,https://www.youtube.com/channel/UCaC_OaWbUI3PxR4qdfYpeSA,2026-04-13T15:07:49.766Z,9.0,9.273,9.0
Please everyone donate food#donatefood#donatetoday#share,https://www.youtube.com/watch?v=MYGRm8X3DYw,Kalisa Peterson ,https://www.youtube.com/channel/UCZmPPAHxwK1ppyOALKGr0_Q,2026-04-13T15:07:44.924Z,14.0,4.842,4.842
