title,link,channel,channel_link,date,video_length,time_diff,watch_time
[EN] Your healthiest path to summer starts today - In July...,https://www.youtube.com/watch?v=62iXhXSeM4E,,,2026-05-07T15:28:52.018Z,16.0,,16.0
MR FUN | 5/6/26,https://www.youtube.com/watch?v=H7ZQTANlVOw,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-05-07T14:08:41.416Z,10545.0,4810.602,4810.602
What Do These Two Have In Common?,https://www.youtube.com/watch?v=iwtmXsfI1FY,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-05-07T14:08:40.856Z,661.0,0.56,0.56
"Death Of The Voting Rights Act; The Coming Oil Shock w/ Rory Johnston, Ari Berman | MR Live",https://www.youtube.com/watch?v=gSk2sPg2dIc,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-05-07T14:08:37.116Z,5646.0,3.74,3.74
TH BAU B N U ADJB C discovery V video Q SIMS ST stdo_n5 O remote OS WonderNectar 66p adjb 16x9 30s,https://www.youtube.com/watch?v=tTmus96nYIs,,,2026-05-07T14:08:24.170Z,31.0,12.946,12.946
These Aaron Judge splits are WILD,https://www.youtube.com/watch?v=olwb0UmJxcQ,Talkin' Yanks,https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q,2026-05-07T14:04:06.840Z,106.0,257.33,106.0
Is This Joe Rogan's Final Form?,https://www.youtube.com/watch?v=bueVmCdi2d8,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-05-07T03:26:32.934Z,1290.0,38253.906,1290.0
U72 POCKET 90 FINAL CAPTIONS 16 9,https://www.youtube.com/watch?v=zlmnbTL0Geo,,,2026-05-07T03:26:23.577Z,87.0,9.357,9.357
Foundayo is Now Approved!,https://www.youtube.com/watch?v=ymCeh07HD6g,,,2026-05-07T03:26:06.282Z,15.0,17.295,15.0
Prevent School Shootings 0725 - Mark - V2,https://www.youtube.com/watch?v=AOEeymw_xbA,,,2026-05-07T02:53:43.835Z,45.0,1942.447,45.0
