title,link,channel,channel_link,date,video_length,time_diff,watch_time
Are Algorithms Raising Modern Men?,https://www.youtube.com/watch?v=_7tN_G9dty0,Josh Johnson,https://www.youtube.com/channel/UCLuYADJ6hESLHX87JnsGbjA,2026-04-01T04:43:52.471Z,4401,,4401.0
a24's new 'anti-romcom' was directed by a creep,https://www.youtube.com/watch?v=Ln_bTNam7bY,D'Angelo,https://www.youtube.com/channel/UCyV8SuQd21sFoPCiB0RgcrA,2026-03-31T23:59:23.607Z,8922,17068.864,8922.0
Sona Movsesian | Ghosted! By Roz Hernandez (FULL EPISODE),https://www.youtube.com/watch?v=FC3ZeVPE0Fo,Exactly Right Media,https://www.youtube.com/channel/UCu6uS2MA3Fs1r3KVCuEaRKA,2026-03-31T02:55:23.265Z,3468,75840.342,3468.0
FROM Season 4 (MGM+ 2026 Series) Official Trailer,https://www.youtube.com/watch?v=LTss4risHbE,MGM+,https://www.youtube.com/channel/UCy2Tb3StbfsCrIEVMDsPkbw,2026-03-31T02:03:22.635Z,132,3120.63,132.0
Listener Stories: Vol. 111,https://www.youtube.com/watch?v=HqOh0Uxy5QM,And That's Why We Drink,https://www.youtube.com/channel/UCQ6T4yvuVYXSq6vLhRY547w,2026-03-30T22:21:18.125Z,6403,13324.51,6403.0
Listener Stories: Vol. 110 featuring. Sarah Marshall,https://www.youtube.com/watch?v=t3BQsVs30HY,And That's Why We Drink,https://www.youtube.com/channel/UCQ6T4yvuVYXSq6vLhRY547w,2026-03-30T22:18:57.463Z,4995,140.662,140.662
EP 464: Cats at Holidays Parties and Movie Magic Milkshakes,https://www.youtube.com/watch?v=-zbRnvvMILA,And That's Why We Drink,https://www.youtube.com/channel/UCQ6T4yvuVYXSq6vLhRY547w,2026-03-30T22:05:59.915Z,5238,777.548,777.548
She Built a Beauty Empire on Lies! The Messy Truth About Estée Lauder,https://www.youtube.com/watch?v=rC1ErIxaALo,James Welsh,https://www.youtube.com/channel/UCPP291gN79qI1QZY1znOscg,2026-03-30T09:09:46.283Z,2388,46573.632,2388.0
This Feels So Wrong… Indie Jewellery Brand Sued by Industry Giant,https://www.youtube.com/watch?v=5Rz_zECohxs,Robert Reacts,https://www.youtube.com/channel/UCn-OF0IMQvhtN9NMocRSCZA,2026-03-30T08:51:39.884Z,1038,1086.399,1038.0
"MAKEUP ARTIST EXPOSED FOR $1000 ""LESSON SCAM""",https://www.youtube.com/watch?v=PBwGhqTB4JU,Robert Reacts,https://www.youtube.com/channel/UCn-OF0IMQvhtN9NMocRSCZA,2026-03-30T08:27:02.593Z,1417,1477.291,1417.0
We Can't BELIEVE People Live Like This | Zillow Edition 💜🖤 The Welsh Twins,https://www.youtube.com/watch?v=XN6lEtSGAB8,The Welsh Twins,https://www.youtube.com/channel/UCreuwQRiPQpCbGIA-rv2lyA,2026-03-30T06:03:08.486Z,1851,8634.107,1851.0
"INFLUENCERS HAVE TOO MUCH FILLER AND BOTOX?! | RESPONDING TO YOUR ""UNPOPULAR"" OPINIONS",https://www.youtube.com/watch?v=0CMgTOA6EAI,Robert Welsh,https://www.youtube.com/channel/UC2GUcyD6KYjmU_ofQtPTSSA,2026-03-30T05:38:13.585Z,1430,1494.901,1430.0
THE CHAPPELL ROAN HATE TRAIN (Explained For Employed People),https://www.youtube.com/watch?v=ifQf0Dn7oUw,Paige Christie,https://www.youtube.com/channel/UCqclSQMAJbasiKpcE9aHw1g,2026-03-30T05:11:11.343Z,3012,1622.242,1622.242
These 15 SCARY TikToks YOU Sent Me Are Genuinely Haunting... Scary Side of TikTok | LoeyLane,https://www.youtube.com/watch?v=HxsMXLIIufI,LoeyLane,https://www.youtube.com/channel/UC39eHhTEqiBlqRbmIIYjm-g,2026-03-30T05:03:23.260Z,1959,468.083,468.083
EP 476: Country Ghost Songs and Produce Shirt Mandela Effects,https://www.youtube.com/watch?v=iy1vKnIIUP0,And That's Why We Drink,https://www.youtube.com/channel/UCQ6T4yvuVYXSq6vLhRY547w,2026-03-30T03:57:41.611Z,7400,3941.649,3941.649
FROM Season 4 (MGM+ 2026 Series) Official Trailer,https://www.youtube.com/watch?v=LTss4risHbE,MGM+,https://www.youtube.com/channel/UCy2Tb3StbfsCrIEVMDsPkbw,2026-03-30T01:27:15.365Z,132,9026.246,132.0
How To Unlock iPhone XR From T-Mobile to Any Carrier,https://www.youtube.com/watch?v=r7OvgU3KroE,Serg Tech,https://www.youtube.com/channel/UC24n6DdP2hN1OcVKVVxy_sg,2026-03-29T22:38:09.941Z,280,10145.424,280.0
THE CHAPPELL ROAN HATE TRAIN (Explained For Employed People),https://www.youtube.com/watch?v=ifQf0Dn7oUw,Paige Christie,https://www.youtube.com/channel/UCqclSQMAJbasiKpcE9aHw1g,2026-03-28T21:44:38.671Z,3012,89611.27,3012.0
March Astrology Forecast 2026,https://www.youtube.com/watch?v=kILo6zBNkoo,The Astrology Podcast,https://www.youtube.com/channel/UCjeqviBoLp-rsvPaelT8b5Q,2026-03-28T19:18:04.874Z,9831,8793.797,8793.797
Niecy’s love story 💗,https://www.youtube.com/watch?v=ph0tRCXoGNY,"Baby, This is Keke Palmer",https://www.youtube.com/channel/UC3ZuVjNO6CAj-DJnXHIBzKg,2026-03-28T18:32:10.589Z,178,2754.285,178.0
Jon on Trump's BS Iran Negotiations & Josh on ICE at Airports and Melania's Robot | The Daily Show,https://www.youtube.com/watch?v=vjEbvxOhD8w,The Daily Show,https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA,2026-03-28T16:11:39.964Z,2725,8430.625,2725.0
