title,link,channel,channel_link,date,video_length,time_diff,watch_time
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-04-23T07:02:22.328Z,18000.0,,18000.0
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-04-23T06:53:53.602Z,505.0,508.726,505.0
Foundayo is Now Approved!,https://www.youtube.com/watch?v=ymCeh07HD6g,,,2026-04-23T06:53:42.403Z,15.0,11.199,11.199
"Stomach Healing Frequency Music: Stomach Pain Relief, Digestive Frequency",https://www.youtube.com/watch?v=4-Yu8XNwR4U,Good Vibes - Binaural Beats,https://www.youtube.com/channel/UCIauBb6cmot_0cYlYeEb8Mw,2026-04-23T03:45:13.625Z,3605.0,11308.778,3605.0
You don't need superpowers to keep your family safe from scams,https://www.youtube.com/watch?v=vIk7nncmJ9o,,,2026-04-23T02:51:16.075Z,31.0,3237.55,31.0
Heal Your Kidneys Liver and Pancreas | Extremely Powerful Organ Cleanse | Remove Toxins Frequency,https://www.youtube.com/watch?v=s2eSicq-pbU,Awaken Yourself - Meditation Music,https://www.youtube.com/channel/UCw1PBkRb8uSjoJoYwVH3U2Q,2026-04-23T02:35:29.924Z,42896.0,946.151,946.151
Manifest 20/20 Vision ✨ Perfect Eyesight Subliminal | Natural Vision Healing & Clarity,https://www.youtube.com/watch?v=OgSfckzI5_w,Purchase The 30 Day Vaj Reset E-Book 🌸,https://www.youtube.com/channel/UCm7KiTiuhzDSR3A3okU_ZmQ,2026-04-23T02:32:53.579Z,130.0,156.345,130.0
immediate pain relief subliminal ✨ discomfort & pain relief subliminal | pain relief frequency 🥳,https://www.youtube.com/watch?v=qOVnBToLgT4,Purchase The 30 Day Vaj Reset E-Book 🌸,https://www.youtube.com/channel/UCm7KiTiuhzDSR3A3okU_ZmQ,2026-04-23T02:30:04.124Z,131.0,169.455,131.0
all foods are safe subliminal 🥰 remove ALL food fear! (sugar/ dairy are safe in moderation!),https://www.youtube.com/watch?v=vYso84Z3ju4,Purchase The 30 Day Vaj Reset E-Book 🌸,https://www.youtube.com/channel/UCm7KiTiuhzDSR3A3okU_ZmQ,2026-04-23T02:25:22.872Z,134.0,281.252,134.0
health = ease subliminal | you are above ALL illness!!,https://www.youtube.com/watch?v=CPlzt4R_ISQ,Purchase The 30 Day Vaj Reset E-Book 🌸,https://www.youtube.com/channel/UCm7KiTiuhzDSR3A3okU_ZmQ,2026-04-23T02:23:01.519Z,134.0,141.353,134.0
I AM effortlessly healthy subliminal |being healthy is easy AF |embody the healthiest version of you,https://www.youtube.com/watch?v=_q4tUPOGemM,Purchase The 30 Day Vaj Reset E-Book 🌸,https://www.youtube.com/channel/UCm7KiTiuhzDSR3A3okU_ZmQ,2026-04-23T02:20:42.702Z,134.0,138.817,134.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-04-22T07:39:53.860Z,18000.0,67248.842,18000.0
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-04-22T06:59:45.622Z,505.0,2408.238,505.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-04-21T07:41:08.271Z,18000.0,83917.351,18000.0
Galaxy S26 Ultra,https://www.youtube.com/watch?v=x80pWikT3wU,,,2026-04-21T07:41:00.598Z,16.0,7.673,7.673
[WARNING EXTREMELY POTENT] LOVE POTION - THEY FALL IN LOVE WITH YOU INSTANTLY - OVERNIGHT SUBLIMINAL,https://www.youtube.com/watch?v=Ext1jKSo_io,SAMMA SUBS,https://www.youtube.com/channel/UCNUvzhZV7PF_5yZx-VZ4tbw,2026-04-21T07:02:23.288Z,29931.0,2317.31,2317.31
ZILBRYSQ DTC 60 Zillions Optimized US ZL 2500376 Unslated 1,https://www.youtube.com/watch?v=mXXl7eewbck,,,2026-04-21T07:02:15.945Z,61.0,7.343,7.343
US-EN | D8707 | Cha-Ching Berta | Women | Seller | 16x9 | 6s | .mp4,https://www.youtube.com/watch?v=Jn6VcDIgc_c,,,2026-04-21T07:02:11.531Z,6.0,4.414,4.414
2025 07 QuickMD MT Motion Addiction CTV 16x9 15 sec v1 JE,https://www.youtube.com/watch?v=ikr4zTt0Ojg,,,2026-04-21T06:57:07.377Z,16.0,304.154,16.0
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-04-21T06:53:30.911Z,505.0,216.466,216.466
better with time,https://www.youtube.com/watch?v=6YSUgWkn7_o,,,2026-04-21T06:51:56.694Z,89.0,94.217,89.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-04-20T06:58:30.412Z,18000.0,86006.282,18000.0
Do you have problems with online threats and scams?,https://www.youtube.com/watch?v=VVEBAlzk_rE,,,2026-04-20T06:58:28.355Z,31.0,2.057,2.057
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-04-20T06:50:04.051Z,505.0,504.304,504.304
All Identities Welcome,https://www.youtube.com/watch?v=O9gO830Vxtc,,,2026-04-20T06:49:57.060Z,7.0,6.991,6.991
Cat Litter Mission Accomplished with Tidy Cats Performance+!,https://www.youtube.com/watch?v=ISfFq7thTMc,,,2026-04-20T06:49:37.139Z,16.0,19.921,16.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-04-19T07:00:12.484Z,18000.0,85764.655,18000.0
Shortened: Do you have problems with online threats and scams?,https://www.youtube.com/watch?v=acYVq6k5axU,,,2026-04-19T07:00:09.513Z,23.0,2.971,2.971
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-04-19T06:51:44.586Z,505.0,504.927,504.927
