title,link,channel,channel_link,date,video_length,time_diff,watch_time
Comedy Couple Showdown,https://www.youtube.com/watch?v=OdtKUsGKZt4,Smosh Pit,https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw,2026-05-08T15:44:06.063Z,2784,,2784.0
We raced lockout bingo in EVERY GAME,https://www.youtube.com/watch?v=IbyrwqaaWlM,cjya,https://www.youtube.com/channel/UCs9m9aozFz9NztwPhM_gpTA,2026-05-08T14:18:24.506Z,5130,5141.557,5130.0
Minecraft's New Competitive Gamemode is INTENSE,https://www.youtube.com/watch?v=Sc3s4nBo80s,tjthings,https://www.youtube.com/channel/UC4aUS8bQarrlqb-H-WvTSjg,2026-05-08T13:54:39.074Z,1433,1425.432,1425.432
The 2026 Moshi Monsters Experience,https://www.youtube.com/watch?v=vRP0iCdca7I,himmeled,https://www.youtube.com/channel/UCuht6YaBwCNy5-9d3Jyy0lw,2026-05-08T03:05:52.122Z,488,38926.952,488.0
Schlatt Has A TERRIBLE Flashback 😭,https://www.youtube.com/watch?v=J_PzfZGv-wg,Big guy,https://www.youtube.com/channel/UCWZp4y1jqBuvLtiyxSs_ZBw,2026-05-08T03:05:07.794Z,40,44.328,40.0
I Pranked 100 Speedrunners Using WRONG Structures,https://www.youtube.com/watch?v=rzoChDUAbN0,GradientGray,https://www.youtube.com/channel/UCjxYLcdkhwp9k7ESm05Nznw,2026-05-08T02:58:18.054Z,1191,409.74,409.74
I Pranked Speedrunners With Deadly Traps,https://www.youtube.com/watch?v=wVQsw4C4LaE,GradientGray,https://www.youtube.com/channel/UCjxYLcdkhwp9k7ESm05Nznw,2026-05-08T02:20:31.603Z,2253,2266.451,2253.0
I Pranked Speedrunners with World Height,https://www.youtube.com/watch?v=qXhzen8RI_0,GradientGray,https://www.youtube.com/channel/UCjxYLcdkhwp9k7ESm05Nznw,2026-05-08T01:57:22.241Z,1376,1389.362,1376.0
"Speedrunning Minecraft, but Every Seed the Player Doubles!",https://www.youtube.com/watch?v=DKYa8uFHPSA,InsideMC,https://www.youtube.com/channel/UCiwZmOgyZeHb4sE1zCRjmhg,2026-05-08T01:21:39.733Z,2143,2142.508,2142.508
Can the Best Players Spot Fake Minecraft Seeds?,https://www.youtube.com/watch?v=kjg9Yvk22CA,Rovant,https://www.youtube.com/channel/UCCfM4nXbT4cVDjezVy2cF4Q,2026-05-07T22:54:49.439Z,7553,8810.294,7553.0
There's a BOT Among Us...,https://www.youtube.com/watch?v=cRlyI7lW5u4,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T21:18:57.135Z,2936,5752.304,2936.0
Can We Live Together? | Board AF: Decorum,https://www.youtube.com/watch?v=VFvwuoBtI1c,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T20:21:58.312Z,3384,3418.823,3384.0
Pass the Pigs,https://www.youtube.com/watch?v=DINDdxKWeRw,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T19:35:24.511Z,2781,2793.801,2781.0
Don't Fall For It!!,https://www.youtube.com/watch?v=43_GRmJ8mJ0,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T18:59:47.140Z,2124,2137.371,2124.0
Dirty Word Competition w/ Jacksepticeye,https://www.youtube.com/watch?v=NTyWIptWo2w,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T18:33:13.242Z,1545,1593.898,1545.0
JACKBOX with JACKSEPTICEYE,https://www.youtube.com/watch?v=8uXo51yUJMo,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T17:57:07.865Z,2103,2165.377,2103.0
Mucho UNO,https://www.youtube.com/watch?v=7XGgWAjvWck,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T17:39:40.742Z,3039,1047.123,1047.123
Who Would Win This Fight?,https://www.youtube.com/watch?v=K9JGmMQAE9Q,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T16:46:14.206Z,3065,3206.536,3065.0
The Most Annoying Werewolf,https://www.youtube.com/watch?v=z_UeuHfQRJ8,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T16:20:29.915Z,2987,1544.291,1544.291
Can We Dodge The Lasers?,https://www.youtube.com/watch?v=zzHHTPFHPyI,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T15:23:11.578Z,3425,3438.337,3425.0
The ULTIMATE Laser Heist,https://www.youtube.com/watch?v=7yTsTo0xChM,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T14:26:35.806Z,3391,3395.772,3391.0
This Game Is Sold Out EVERYWHERE,https://www.youtube.com/watch?v=pou-cwxx6hI,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-05-07T12:52:24.923Z,2262,5650.883,2262.0
Guess The World Record Speedrunner,https://www.youtube.com/watch?v=XpZ3zpl63Y0,EazySpeezy,https://www.youtube.com/channel/UCQSEAbOs6vsJfy7WN7iYaGQ,2026-05-07T12:12:38.925Z,2580,2385.998,2385.998
I Made Speedrunners work a 9-5...,https://www.youtube.com/watch?v=9IQD9-WoMrc,David Baron,https://www.youtube.com/channel/UCY7t66EGxZGs9sOQX6qijYw,2026-05-07T02:08:30.276Z,2366,36248.649,2366.0
Can you beat FNAF: Security Breach WITHOUT RUNNING?,https://www.youtube.com/watch?v=-kDneHM4fmI,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-05-07T02:00:34.384Z,2270,475.892,475.892
This Challenge Run took 8 Months to Work,https://www.youtube.com/watch?v=skLPeE_I09E,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-05-07T01:23:12.807Z,2228,2241.577,2228.0
Security Breach Geoguessr,https://www.youtube.com/watch?v=Rk85hL4b9Fc,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-05-07T00:46:33.928Z,2186,2198.879,2186.0
We Challenged These Streamers to a MASCOT HORROR LOCKOUT,https://www.youtube.com/watch?v=5VqO4OTEkU8,David Baron,https://www.youtube.com/channel/UCY7t66EGxZGs9sOQX6qijYw,2026-05-06T23:58:04.530Z,2895,2909.398,2895.0
I Pranked Speedrunners Using Silk Touch,https://www.youtube.com/watch?v=GKNcmcnrbKA,GradientGray,https://www.youtube.com/channel/UCjxYLcdkhwp9k7ESm05Nznw,2026-05-06T23:43:00.698Z,898,903.832,898.0
I Pranked Speedrunners Using WRONG Structures,https://www.youtube.com/watch?v=alzbxkZJuAk,GradientGray,https://www.youtube.com/channel/UCjxYLcdkhwp9k7ESm05Nznw,2026-05-06T23:21:51.648Z,1256,1269.05,1256.0
