title,link,channel,channel_link,date,video_length,time_diff,watch_time
NEW INFO: Ilhan Omar is getting EXPELLED.,https://www.youtube.com/watch?v=O32o5S375xQ,MattMorseTV,https://www.youtube.com/channel/UCWM3hAGXUIgqsdEkTeUxATA,2026-05-10T00:23:45.951Z,880.0,,880.0
RUSH - Live at the National Exhibition Centre in Birmingham (UK) 1988/04/21~24 - Hold Your Fire Tour,https://music.youtube.com/watch?v=fe7jMEpnVmc,Snowdog,https://www.youtube.com/channel/UCNDCHkfjzIQjq6PR8mEUU4w,2026-05-09T21:32:48.855Z,5346.0,10257.096,5346.0
The Blarney Stone,https://music.youtube.com/watch?v=PHiYV5nfvUE,Music Library Uploads,https://www.youtube.com/channel/UCRpUPoZ9ptLk0nP0IYNJn7A,2026-05-09T21:32:25.805Z,,23.05,23.05
Booze Me Up and Get Me High,https://music.youtube.com/watch?v=klGcuQENPPc,Music Library Uploads,https://www.youtube.com/channel/UCRpUPoZ9ptLk0nP0IYNJn7A,2026-05-09T21:19:24.377Z,,781.428,781.428
Learn to Fly,https://music.youtube.com/watch?v=d_2XdtKU3Xw,Foo Fighters - Topic,https://www.youtube.com/channel/UCwDw2KaS8jRUxAPScL2U8og,2026-05-09T21:15:29.393Z,235.0,234.984,234.984
Ich tu dir weh,https://music.youtube.com/watch?v=QhrPZ9FPmUk,Music Library Uploads,https://www.youtube.com/channel/UCRpUPoZ9ptLk0nP0IYNJn7A,2026-05-09T21:10:28.114Z,,301.279,301.279
Aurorae,https://music.youtube.com/watch?v=zvREn3nVwqk,Triptykon - Topic,https://www.youtube.com/channel/UCsnIIlxTvj8txzaik654GmA,2026-05-09T21:04:11.480Z,378.0,376.634,376.634
Euphoria,https://music.youtube.com/watch?v=C4fGPCFbjXc,Aurora B.Polaris - Topic,https://www.youtube.com/channel/UCV4xRhclPJciirnXCSVIqiA,2026-05-09T20:59:53.381Z,259.0,258.099,258.099
Who We Are,https://music.youtube.com/watch?v=tjt0vu3s63I,Aurora B.Polaris - Topic,https://www.youtube.com/channel/UCV4xRhclPJciirnXCSVIqiA,2026-05-09T20:55:08.185Z,283.0,285.196,283.0
Endless Ambition (Original Mix),https://music.youtube.com/watch?v=2Ru77k12XwM,Dan Stone - Topic,https://www.youtube.com/channel/UC-yn9KQk5vgK6gKlJ7N_g7Q,2026-05-09T20:47:00.099Z,476.0,488.086,476.0
Fahrenheit (Original Mix),https://music.youtube.com/watch?v=lCeGED7OIWM,Dan Stone - Topic,https://www.youtube.com/channel/UC-yn9KQk5vgK6gKlJ7N_g7Q,2026-05-09T20:39:15.985Z,462.0,464.114,462.0
Skyline Project - Long Way Home,https://music.youtube.com/watch?v=jgKXJVDfsbo,Seven Bliss,https://www.youtube.com/channel/UCWbO8u91rzgNpm4qTyqUCgQ,2026-05-09T20:28:12.203Z,421.0,663.782,421.0
Abracadabra (cover) -Arnel Pineda/Joel Hoekstra/Billy Sheehan/Van Romaine/Ollie Marland/Lenny Castro,https://music.youtube.com/watch?v=As4DLqpOtjA,joel hoekstra,https://www.youtube.com/channel/UCwBqeo4ao83b119wjAF28aQ,2026-05-09T20:20:37.406Z,360.0,454.797,360.0
(Reprise) (Remastered 2016),https://music.youtube.com/watch?v=R1JZIiM0bDc,The Verve - Topic,https://www.youtube.com/channel/UCt2KxZpY5D__kapeQ8cauQw,2026-05-09T20:14:23.944Z,374.0,373.462,373.462
If I Die Young,https://music.youtube.com/watch?v=Ti2KD2hWsSY,The Band Perry - Topic,https://www.youtube.com/channel/UCTAu8man2Y7w5M8faOVj7-A,2026-05-09T20:09:01.320Z,223.0,322.624,223.0
The Salt In My Tears,https://music.youtube.com/watch?v=C4dfJNYJn_U,Martin Briley - Topic,https://www.youtube.com/channel/UCnPS7tZKG6Ox6QgsNw5UNBg,2026-05-09T20:05:34.094Z,209.0,207.226,207.226
Space Age Love Song,https://music.youtube.com/watch?v=8N8DklTA3sA,A Flock Of Seagulls - Topic,https://www.youtube.com/channel/UC9NopS2VbJmwDNU6bl4C0rw,2026-05-09T20:01:46.219Z,228.0,227.875,227.875
Hitzefrei,https://music.youtube.com/watch?v=gb-dFkmN9-8,Desert Mountain Tribe - Topic,https://www.youtube.com/channel/UC0hhGYkqt3WWCctBfA5kuCQ,2026-05-09T19:56:43.387Z,304.0,302.832,302.832
Argento (Extended Mix),https://music.youtube.com/watch?v=kO5J_eSk89A,Dan Stone - Topic,https://www.youtube.com/channel/UC-yn9KQk5vgK6gKlJ7N_g7Q,2026-05-09T19:39:52.310Z,397.0,1011.077,397.0
Call Of The Wild,https://music.youtube.com/watch?v=v3qcM3oCTgk,Scorpions - Topic,https://www.youtube.com/channel/UCL_jrFsNj-2iC9Obf5M8_uw,2026-05-09T19:34:30.880Z,321.0,321.43,321.0
Shine,https://music.youtube.com/watch?v=m5lztdGOgLg,Slowdive - Topic,https://www.youtube.com/channel/UC2o9vA6xBUQE6Tmk86oYQig,2026-05-09T19:24:05.040Z,324.0,625.84,324.0
