title,link,channel,channel_link,date,video_length,time_diff,watch_time
Foundayo is Now Approved!,https://www.youtube.com/watch?v=ymCeh07HD6g,,,2026-04-24T21:20:44.994Z,15.0,,15.0
Asians Heal From Their Childhood Traumas,https://www.youtube.com/watch?v=NgAdMjNeMgA,Jimmy Zhang,https://www.youtube.com/channel/UCC03-Rich_1-C5sJ2QQAhWA,2026-04-24T20:33:57.045Z,4350.0,2807.949,2807.949
"FlightReacts To #4 CAVALIERS at #5 RAPTORS | FULL GAME 3 HIGHLIGHTS | April 23, 2026!",https://www.youtube.com/watch?v=N-P9lL6nkW0,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T20:23:08.382Z,747.0,648.663,648.663
SPAMMING 3s LOL! Reacting To CashNasty vs BALDY 1v1!,https://www.youtube.com/watch?v=XyvtOF6ugdo,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T20:13:27.613Z,1050.0,580.769,580.769
"FlightReacts To #3 NUGGETS at #6 TIMBERWOLVES | FULL GAME 3 HIGHLIGHTS | April 23, 2026!",https://www.youtube.com/watch?v=5hj5S3V6UwM,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T06:53:15.166Z,1006.0,48012.447,1006.0
"FlightReacts To #8 SUNS at #1 THUNDER | FULL GAME 2 HIGHLIGHTS | April 22, 2026!",https://www.youtube.com/watch?v=zUc48UfQldA,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T06:52:37.497Z,1088.0,37.669,37.669
"FlightReacts To #3 KNICKS at #6 HAWKS | FULL GAME 3 HIGHLIGHTS | April 23, 2026!",https://www.youtube.com/watch?v=aci-bymZVZY,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T06:40:35.614Z,1347.0,721.883,721.883
Foundayo is Now Approved!,https://www.youtube.com/watch?v=ymCeh07HD6g,,,2026-04-24T06:40:29.458Z,15.0,6.156,6.156
10 MIN KILLER SIXPACK - super hard ab workout / No Equipment I Pamela Reif,https://www.youtube.com/watch?v=vOiP3kfFlrE,Pamela Reif,https://www.youtube.com/channel/UChVRfsT_ASBZk10o0An7Ucg,2026-04-24T06:06:11.684Z,604.0,2057.774,604.0
How ORIGENE Lysates Guarantee Reliable Western Blot Results,https://www.youtube.com/watch?v=43IkvNLMZa0,,,2026-04-24T06:06:05.155Z,29.0,6.529,6.529
Introducing Cursor 3,https://www.youtube.com/watch?v=cCmwQzXxHxg,,,2026-04-24T06:05:47.463Z,38.0,17.692,17.692
"FlightReacts To #8 MAGIC at #1 PISTONS | FULL GAME 2 HIGHLIGHTS | April 22, 2026!",https://www.youtube.com/watch?v=f47DMtABIAc,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T02:48:12.202Z,893.0,11855.261,893.0
"FlightReacts #5 ROCKETS at #4 LAKERS | FULL GAME 2 HIGHLIGHTS | April 21, 2026!",https://www.youtube.com/watch?v=B38ltRyQJis,NotYourAverageFlight,https://www.youtube.com/channel/UCoGIPQ7M4NWai7LRgRhaSOg,2026-04-24T02:35:55.404Z,1116.0,736.798,736.798
