title,link,channel,channel_link,date,video_length,time_diff,watch_time
What if GREASE was a PUNK MUSICAL?!,https://www.youtube.com/watch?v=kJVGw57YRQo,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:55:22.090Z,22,,22.0
This Is Halloween goes ROCK,https://www.youtube.com/watch?v=ljChXEc70ac,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:55:13.492Z,32,8.598,8.598
EPIC THE MUSICAL - Ruthlessness (Matt Copley cover),https://www.youtube.com/watch?v=8S-SIlNPDI8,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:55:11.273Z,45,2.219,2.219
Burn - Hamilton (BROADWAY DOES PUNK cover by Matt Copley) #hamilton #broadway #cover,https://www.youtube.com/watch?v=62DImJTnam4,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:55:03.988Z,39,7.285,7.285
SIX - All You Wanna Do (BROADWAY DOES PUNK Cover by Matt Copley) #sixthemusical #broadway #cover,https://www.youtube.com/watch?v=kwR9s_oJ6IE,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:54:53.997Z,32,9.991,9.991
Moulin Rouge - El Tango De Roxanne (BROADWAY DOES PUNK cover by Matt Copley) #moulinrouge #broadway,https://www.youtube.com/watch?v=t1EKrs9gtnQ,Matt Copley,https://www.youtube.com/channel/UCmWo9VvQf-jUdpdQpIUbVgg,2026-04-20T22:54:13.505Z,41,40.492,40.492
30 Second Video Ad,https://www.youtube.com/watch?v=c9QIi5XNeG8,Reggio Registers,https://www.youtube.com/channel/UC7yDXPiQF5CkxvAyvXKikig,2026-04-20T17:59:58.318Z,31,17655.187,31.0
tb,https://www.youtube.com/watch?v=uDMlIM--G4k,survey2026,https://www.youtube.com/channel/UC8a5cpYm-nkZ0JZouGZw8pQ,2026-04-17T21:19:56.081Z,337,247202.237,337.0
TAL v1i,https://www.youtube.com/watch?v=ouNUZLNNE0g,Lilly 🦋,https://www.youtube.com/channel/UCXngtDHDJbrbfgGuw5UmEzA,2026-04-17T15:52:23.802Z,289,19652.279,289.0
Crime Video,https://www.youtube.com/watch?v=ihCOrA_Y9-I,Tia,https://www.youtube.com/channel/UCrrzabjrkSyx0LLArxtWF6g,2026-04-17T15:49:30.860Z,41,172.942,41.0
Street Fighter | Official Trailer (2026 Movie),https://www.youtube.com/watch?v=Xt4X4FvXk2A,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,2026-04-16T17:49:04.694Z,173,79226.166,173.0
final ai news pilot,https://www.youtube.com/watch?v=5mIn55KJ9aI,Benjamin Manning,https://www.youtube.com/channel/UCZhTsrsv1L6_SZod75hfUQQ,2026-04-15T12:36:24.625Z,63,105160.069,63.0
"Anthropic CEO warns that without guardrails, AI could be on dangerous path",https://www.youtube.com/watch?v=aAPpQC-3EyE,60 Minutes,https://www.youtube.com/channel/UCsN32BtMd0IoByjJRNF12cw,2026-04-10T18:59:22.471Z,832,409022.154,832.0
Deepfake AI – How Dangerous Is It? #shorts #deepfake,https://www.youtube.com/watch?v=Fyzr6jbSI_I,VICE,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,2026-04-10T18:58:31.924Z,39,50.547,39.0
Musk reshapes Grok AI after backlash over antisemitic responses #Shorts,https://www.youtube.com/watch?v=5sQeivm12x0,USA TODAY,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g,2026-04-10T18:57:12.582Z,80,79.342,79.342
"Humanoid robot describes ""nightmare scenario"" with robotics and AI #shorts",https://www.youtube.com/watch?v=QF-Vu93C4m0,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-04-10T18:54:23.441Z,35,169.141,35.0
How OpenAI’s Changes Sent Some Users Spiraling,https://www.youtube.com/watch?v=mEahc3UbSq4,The New York Times,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,2026-04-10T18:52:59.326Z,180,84.115,84.115
Tech billionaires seem to be doom prepping. Should we be worried? #AI #Tech #BBCNews,https://www.youtube.com/watch?v=jimldQT1pQw,BBC News,https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,2026-04-10T18:52:25.149Z,54,34.177,34.177
BI investigated the footprint of 1k+ #datacenters to see real-life consequences of #ai. #tech,https://www.youtube.com/watch?v=7rEzhCwPhqc,Business Insider,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2026-04-10T18:50:05.375Z,164,139.774,139.774
Is AI making you stupid?,https://www.youtube.com/watch?v=A3S8yzJ4oBM,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-10T18:47:23.556Z,162,161.819,161.819
Could the AI bubble pop?,https://www.youtube.com/watch?v=iWl7OMxZSUU,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-10T18:44:26.218Z,177,177.338,177.0
Yuval Noah Harari believes AI is the end of human-dominated history #AI #artificialintelligence,https://www.youtube.com/watch?v=vz3HKkVrJE4,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-04-10T18:43:29.166Z,57,57.052,57.0
Open AI's CTO on Having a Relationship With an AI,https://www.youtube.com/watch?v=q6yq1i7vd9E,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-04-10T18:42:32.836Z,57,56.33,56.33
Bill Gates Gets Real About AI,https://www.youtube.com/watch?v=uoU_1KORocQ,Bloomberg Originals,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,2026-04-10T18:41:39.166Z,54,53.67,53.67
‘Risk of extinction' warning issued by AI developers,https://www.youtube.com/watch?v=h89iKqL1bRg,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:40:53.522Z,46,45.644,45.644
'Godfather of AI' has a plan for humanity to survive AI,https://www.youtube.com/watch?v=Wd8RzZ3xn7w,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:39:36.914Z,77,76.608,76.608
AI security system mistakes student's empty Doritos bag for gun,https://www.youtube.com/watch?v=Khf6o0t-9zg,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:38:05.653Z,92,91.261,91.261
AI expert shows how easy it is to impersonate someone,https://www.youtube.com/watch?v=EEw-7zVs8wE,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:35:17.713Z,167,167.94,167.0
ChatGPT creator is now worried about AI,https://www.youtube.com/watch?v=0kIhwa1e_5M,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:34:20.785Z,57,56.928,56.928
See AI Putin ask real Putin about body doubles,https://www.youtube.com/watch?v=rfIhRjFOpuc,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-04-10T18:33:36.911Z,44,43.874,43.874
The Real Cost of Your AI Use: Inside a Power-Hungry Data Center,https://www.youtube.com/watch?v=Tx0uoiuLAZg,The Wall Street Journal,https://www.youtube.com/channel/UCK7tptUDHh-RYDsdxO1-5QQ,2026-04-10T18:30:42.457Z,175,174.454,174.454
AI Needs Copper—Can the World Deliver? | Presented by CME Group,https://www.youtube.com/watch?v=6H17LkJB7U4,Bloomberg News,https://www.youtube.com/channel/UChirEOpgFCupRAk5etXqPaA,2026-04-10T18:29:22.757Z,80,79.7,79.7
Elon Musk on AI: 'There Will Come a Point When No Job Is Needed',https://www.youtube.com/watch?v=HbiyTZae61A,Bloomberg News,https://www.youtube.com/channel/UChirEOpgFCupRAk5etXqPaA,2026-04-10T18:28:23.331Z,60,59.426,59.426
Is Generative AI an Existential Threat to the Human Species?,https://www.youtube.com/watch?v=9fogzZ_6kR0,Bloomberg News,https://www.youtube.com/channel/UChirEOpgFCupRAk5etXqPaA,2026-04-10T18:27:49.477Z,34,33.854,33.854
