title,link,channel,channel_link,date,video_length,time_diff,watch_time
The Calm Before Something INTENSE Arrives...,https://www.youtube.com/watch?v=JYRNVuXV4Yk,"Ryan Hall, Y'all",https://www.youtube.com/channel/UCJHAT3Uvv-g3I8H3GhHWV7w,2026-05-12T00:52:18.526Z,743.0,,743.0
Overdramatic Animals That Will Make You Smile,https://www.youtube.com/watch?v=0rzbSXhu5GU,BRAIN TIME,https://www.youtube.com/channel/UC1Cp5caGwHvJZxHoevGoDdA,2026-05-10T18:47:01.480Z,1769.0,108317.046,1769.0
Flight Attendants Reveal Their Craziest In-Flight Stories,https://www.youtube.com/watch?v=RCMOCJFpN9s,Travel + Leisure,https://www.youtube.com/channel/UCFj5HES0-944pC-tjA16XqQ,2026-05-10T18:37:47.475Z,515.0,554.005,515.0
More of the Cheapest Moms in Action | Extreme Cheapskates | TLC,https://www.youtube.com/watch?v=mmaAb1hfjJU,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2026-05-10T18:11:47.274Z,1559.0,1560.201,1559.0
Hot Chicken Challenge! | Mexican Dads Try,https://www.youtube.com/watch?v=QJFJtCox_Ak,papah!,https://www.youtube.com/channel/UCuqo67tPvKT_wua8tYUo38g,2026-05-10T17:47:52.397Z,1354.0,1434.877,1354.0
Renter Denies Breaking House Rules,https://www.youtube.com/watch?v=eEhUg50xUsc,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-10T17:41:22.299Z,231.0,390.098,231.0
"I Tried ""Tourist Trap"" Restaurants",https://www.youtube.com/watch?v=ET9-7Ooh3O8,Dylan Huynh,https://www.youtube.com/channel/UCOhzOImpPwT1klYmttywq3w,2026-05-10T17:20:28.164Z,1287.0,1254.135,1254.135
Woman Denies Selling Ex's Clothes and Furniture,https://www.youtube.com/watch?v=8p9kVy_Ir2c,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-09T17:40:10.496Z,305.0,85217.668,305.0
MY WIFE HID POISONOUS SEEDS IN HER PURSE | Diagnosis: Unknown | TRUE MEDICAL MYSTERY TV Episode,https://www.youtube.com/watch?v=vr6MmXfPceI,FFF True Crime | Full Free Detective Shows & Films,https://www.youtube.com/channel/UCe6jLPTPwKHImwUgD-e0PoQ,2026-05-09T16:42:22.650Z,3005.0,3467.846,3005.0
A man hiked in the woods. Every brain cell got cooked.,https://www.youtube.com/watch?v=sdsxk3yatkA,Chubbyemu,https://www.youtube.com/channel/UCKOvOaJv4GK-oDqx-sj7VVg,2026-05-09T16:13:29.683Z,1639.0,1732.967,1639.0
Celebrities Who Can No Longer Live A Normal Life 💀. #actor #singer #music #hollywood,https://www.youtube.com/watch?v=xuIr3MkXkuI,Vicemen,https://www.youtube.com/channel/UC_EaYT_J4XbPkY4SpbCRgnA,2026-05-09T16:12:36.046Z,,53.637,53.637
Deal With The Devil: Maggie Ybarra — Interview With A Killer,https://www.youtube.com/watch?v=eQCINrbQ7ww,COURT TV,https://www.youtube.com/channel/UCo5E9pEhK_9kWG7-5HHcyRg,2026-05-09T15:55:45.060Z,2607.0,1010.986,1010.986
Not with My Daughter | Full Movie | LMN,https://www.youtube.com/watch?v=X16l490qMTQ,LMN,https://www.youtube.com/channel/UCMHdZ241C5-RPx7WRj8zfeQ,2026-05-09T14:25:47.173Z,5340.0,5397.887,5340.0
Black cat owner be like#funnycats #funnyanimals#petvideos#cat #funnyshorts #shortsfeeds #viralshorts,https://www.youtube.com/watch?v=7XjCz_FC1qM,furballbaby,https://www.youtube.com/channel/UCe61DpGMRWSkr3fGBSZvmnw,2026-05-09T13:05:07.252Z,67.0,4839.921,67.0
Reviewing a Rosalyn Live exam on Synap,https://www.youtube.com/watch?v=HXPM9t9ukq8,Synap - Online Exam Platform,https://www.youtube.com/channel/UCsvsUIV_L90GVPwrNKT4ohw,2026-05-09T03:03:45.557Z,214.0,36081.695,214.0
Deal With The Devil: Maggie Ybarra — Interview With A Killer,https://www.youtube.com/watch?v=eQCINrbQ7ww,COURT TV,https://www.youtube.com/channel/UCo5E9pEhK_9kWG7-5HHcyRg,2026-05-09T00:06:12.186Z,2607.0,10653.371,2607.0
Airplane crashes in into box truck,https://www.youtube.com/watch?v=0t-0PHDCL_I,Pepe's Towing Service,https://www.youtube.com/channel/UCZWWhEWXnICilVJ-U22rniA,2026-05-08T23:54:02.551Z,152.0,729.635,152.0
Maple Grove Medical Company Debuts New Prostate Cancer Treatment,https://www.youtube.com/watch?v=-shiuvuGOFA,CCX Media Community News,https://www.youtube.com/channel/UCv06J7VD1hCVBbonY2xVpEA,2026-05-08T23:47:33.467Z,79.0,389.084,79.0
Black Bear Euthanized After Unexpected Visit to Brooklyn Park Neighborhood,https://www.youtube.com/watch?v=QJI3OXTW0a0,CCX Media Community News,https://www.youtube.com/channel/UCv06J7VD1hCVBbonY2xVpEA,2026-05-08T23:46:22.730Z,64.0,70.737,64.0
Flowerpot Thrown at Car Windshield | Part 3,https://www.youtube.com/watch?v=MYECti2n5CQ,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T23:42:19.290Z,198.0,243.44,198.0
Flowerpot Thrown at Car Windshield | Part 2,https://www.youtube.com/watch?v=zjvNkZSjzhA,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T23:38:45.727Z,214.0,213.563,213.563
Flowerpot Thrown at Car Windshield | Part 1,https://www.youtube.com/watch?v=iQ2xK9UNdjE,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T23:34:28.105Z,259.0,257.622,257.622
Tragedy at Dreamworld | The Thunder River Rapids fatal accident that claimed four lives,https://www.youtube.com/watch?v=H-_ksb2E0sA,7 News Spotlight,https://www.youtube.com/channel/UCSgeCjcPYYZXR62Cykv43sA,2026-05-08T23:10:39.336Z,1416.0,1428.769,1416.0
Dust 'Em Off WoW ACHIEVEMENT,https://www.youtube.com/watch?v=DVc9Gfp86eg,ZaFrostPet,https://www.youtube.com/channel/UCvWeuISeuU61RjatHbzCIYQ,2026-05-08T22:11:38.449Z,2460.0,3540.887,2460.0
"Lost in the forest, what happened to backpacker Celine Cremer? | Australian Story | Full documentary",https://www.youtube.com/watch?v=31kwfaYuhDA,ABC News In-depth,https://www.youtube.com/channel/UCxcrzzhQDj5zKJbXfIscCtg,2026-05-08T21:37:22.997Z,3487.0,2055.452,2055.452
I Survived a Brutal Home Invasion — and Married the DA Who Put My Attacker Away,https://www.youtube.com/watch?v=UWaK42gHPzE,People,https://www.youtube.com/channel/UCGbQJy-531_5vfphay-rChQ,2026-05-08T21:19:43.545Z,1041.0,1059.452,1041.0
Work Romance Gone Wrong! | Part 3,https://www.youtube.com/watch?v=0WU4S2cnJ0w,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T21:00:06.791Z,193.0,1176.754,193.0
Work Romance Gone Wrong! | Part 2,https://www.youtube.com/watch?v=9p7iUCHIMZY,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T20:56:16.941Z,218.0,229.85,218.0
Work Romance Gone Wrong! | Part 1,https://www.youtube.com/watch?v=RwaLLD2GtL0,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-08T20:51:22.894Z,287.0,294.047,287.0
The deadly Laos methanol poisoning that terrified the world | 60 Minutes Australia,https://www.youtube.com/watch?v=4nkjnwF2rOw,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-05-08T20:00:36.804Z,2947.0,3046.09,2947.0
The Love Bombing of Gloria Choi | Full Episode,https://www.youtube.com/watch?v=0_E91AOveQ0,48 Hours,https://www.youtube.com/channel/UC7htuVs06oduI3xSfTdcxPA,2026-05-08T19:16:11.928Z,2503.0,2664.876,2503.0
The massacre that completely changed gun ownership laws | 60 Minutes Australia,https://www.youtube.com/watch?v=Fuy290LSTxs,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-05-07T21:55:40.443Z,1824.0,76831.485,1824.0
The bizarre tick bite that makes eating red meat deadly | 60 Minutes Australia,https://www.youtube.com/watch?v=7cIB2qU6T3k,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-05-07T21:28:57.397Z,1569.0,1603.046,1569.0
The secret health risk hidden inside an aeroplane cabin | 60 Minutes Australia,https://www.youtube.com/watch?v=b_1btM_e_FM,60 Minutes Australia,https://www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,2026-05-07T21:10:57.433Z,938.0,1079.964,938.0
Insurance Companies Are Going To HATE Me For This,https://www.youtube.com/watch?v=TYpfoI5fyxw,Doctor Mike,https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,2026-05-07T20:53:12.930Z,784.0,1064.503,784.0
"Dancer’s Dream Shattered by Boyfriend’s Dark Side (S1, E6) | I Dated a Psycho | Full Episode",https://www.youtube.com/watch?v=LePADhk1mdE,LMN,https://www.youtube.com/channel/UCMHdZ241C5-RPx7WRj8zfeQ,2026-05-07T20:10:40.501Z,2536.0,2552.429,2536.0
"Kidnapped at 8, She Escapes and Survives (S1, E1) | They Took Our Child: We Got Her Back | Full Ep.",https://www.youtube.com/watch?v=bkdttl9DoS8,LMN,https://www.youtube.com/channel/UCMHdZ241C5-RPx7WRj8zfeQ,2026-05-07T18:59:00.902Z,2520.0,4299.599,2520.0
"Woman's Dream Relationship Turns Into a NIGHTMARE! (S1, E7) | I Dated a Psycho | Full Episode | LMN",https://www.youtube.com/watch?v=fxjlU6yiOWM,LMN,https://www.youtube.com/channel/UCMHdZ241C5-RPx7WRj8zfeQ,2026-05-07T18:56:55.673Z,2538.0,125.229,125.229
"Woman's Dream Relationship Turns Into a NIGHTMARE! (S1, E7) | I Dated a Psycho | Full Episode | LMN",https://www.youtube.com/watch?v=fxjlU6yiOWM,LMN,https://www.youtube.com/channel/UCMHdZ241C5-RPx7WRj8zfeQ,2026-05-06T23:58:38.932Z,2538.0,68296.741,2538.0
The Devil's Twin | Full Episode,https://www.youtube.com/watch?v=DdPnAAYePuE,48 Hours,https://www.youtube.com/channel/UC7htuVs06oduI3xSfTdcxPA,2026-05-06T23:48:52.752Z,2486.0,586.18,586.18
Matteo Lane - Every Disney Character Is Gay,https://www.youtube.com/watch?v=8lvmhk--BWs,Just For Laughs,https://www.youtube.com/channel/UCqq3PZwp8Ob8_jN0esCunIw,2026-05-06T23:25:12.603Z,354.0,1420.149,354.0
SOME UNEXPECTED NEWS FROM MY DOCTOR,https://www.youtube.com/watch?v=EPxhEJH569A,Don's Family Vacations,https://www.youtube.com/channel/UCXI8D72GDxDww2oE9DPoG7A,2026-05-06T23:14:51.494Z,552.0,621.109,552.0
Woman Denies Running Over Neighbor | Part 4,https://www.youtube.com/watch?v=b8FVl7o2vAQ,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-06T23:10:17.460Z,263.0,274.034,263.0
Woman Denies Running Over Neighbor | Part 3,https://www.youtube.com/watch?v=G4dE8D31IeE,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-06T23:06:14.792Z,239.0,242.668,239.0
Woman Denies Running Over Neighbor | Part 2,https://www.youtube.com/watch?v=lOVo6yIdYkU,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-06T23:01:11.730Z,270.0,303.062,270.0
Woman Denies Running Over Neighbor | Part 1,https://www.youtube.com/watch?v=BQ0EeBAlr4c,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-05-06T22:56:45.632Z,267.0,266.098,266.098
