title,link,channel,channel_link,date,video_length,time_diff,watch_time
TMZ,https://tv.youtube.com/watch/c3uDyVIH8YA,,,2026-04-23T06:39:23.708Z,,,
The Library,https://tv.youtube.com/watch/uE8bGN65uN8,,,2026-04-23T05:42:07.648Z,,3436.06,3436.06
Cash offer- call for a Bible verse!,https://www.youtube.com/watch?v=tY1C_MaY7X0,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:16:27.785Z,43.0,5139.863,43.0
$500 Bible Trivia multiple choice.,https://www.youtube.com/watch?v=OFhrDyMBvy0,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:15:35.792Z,74.0,51.993,51.993
Finish this Bible verse cash offer.,https://www.youtube.com/watch?v=CGCsDOOJ3Lg,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:15:00.277Z,29.0,35.515,29.0
$50 offer for Bible verse!,https://www.youtube.com/watch?v=FkhaOTEGoCg,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:14:26.241Z,31.0,34.036,31.0
Bible Trivia in grocery store for cash!,https://www.youtube.com/watch?v=mThvA078Xdk,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:13:29.141Z,57.0,57.1,57.0
Can she tell me a Bible verse for $50?,https://www.youtube.com/watch?v=ETIW4hQhMy8,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:12:33.560Z,52.0,55.581,52.0
$50 tell me Bible verse over phone!,https://www.youtube.com/watch?v=Zzc7lexjGCU,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:11:39.419Z,54.0,54.141,54.0
Bible Trivia for cash. Watch this.,https://www.youtube.com/watch?v=yRTL5OqOa4E,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:09:46.795Z,111.0,112.624,111.0
$50 Offer to name 7 Bible books!,https://www.youtube.com/watch?v=uSkW8wA2lM0,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:09:00.769Z,45.0,46.026,45.0
Can she get these Bible questions right?,https://www.youtube.com/watch?v=yGKSpmQZVoQ,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:08:15.787Z,31.0,44.982,31.0
Accepting all religions is BAD,https://www.youtube.com/watch?v=9maStvVBf4U,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:07:58.659Z,42.0,17.128,17.128
$10 for each of the Ten Commandments challenge!,https://www.youtube.com/watch?v=yIcXsS-69zQ,Zachary Impellicceiri ,https://www.youtube.com/channel/UCIEh3O7joH28X4TK5SeTuWA,2026-04-23T04:06:49.212Z,61.0,69.447,61.0
"Walter Dies, Jesse Escapes, And It’s All Over | Breaking Bad (Bryan Cranston, Aaron Paul)",https://www.youtube.com/watch?v=zgwn6Gqz76c,Moving Pictures,https://www.youtube.com/channel/UCDAR-XTd8-6c1M-n1IsVA3g,2026-04-23T04:01:14.002Z,300.0,335.21,300.0
The One With the Lottery,https://tv.youtube.com/watch/_KpEIYJ6Dh4,,,2026-04-23T03:31:24.562Z,,1789.44,1789.44
The One With the Memorial Service,https://tv.youtube.com/watch/26w3dBg7Y1E,,,2026-04-23T03:24:23.313Z,,421.249,421.249
Laura Coates Live,https://tv.youtube.com/watch/vTf5v6tTIJI,,,2026-04-23T03:24:17.059Z,,6.254,6.254
The Den,https://tv.youtube.com/watch/2WRr_NrFWTY,,,2026-04-22T06:58:21.052Z,,73556.007,73556.007
TMZ,https://tv.youtube.com/watch/RqAq8tRPTWg,,,2026-04-22T06:11:41.902Z,,2799.15,2799.15
The Dog,https://tv.youtube.com/watch/hO52bu87T80,,,2026-04-22T05:31:39.491Z,,2402.411,2402.411
The Apology,https://tv.youtube.com/watch/tJ0SjREKwyY,,,2026-04-22T05:19:07.784Z,,751.707,751.707
