title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Shinedown Break Down Their New Double Album, Songwriting Secrets, TV Shows & Wild Tour Stories",https://www.youtube.com/watch?v=tdA2cq68_kA,ALT 98.7 FM,https://www.youtube.com/channel/UCqlsXJpAOICV20pxH2knYXw,2026-03-29T16:33:55.577Z,1369.0,,1369.0
Season 2 Premiere: Donut Duel With a Viva Italia Twist | Sugar Showdown S2,https://www.youtube.com/watch?v=yO1yNOYwiJA,CompetitionTV,https://www.youtube.com/channel/UC5LFaoX_9XmrdiE2bB6xqbQ,2026-03-29T16:30:26.082Z,1209.0,209.495,209.495
Peanuts And Pies May Earn Bakers 10K | Ep25 | Sugar Showdown S2,https://www.youtube.com/watch?v=jm2QlaoTwjM,CompetitionTV,https://www.youtube.com/channel/UC5LFaoX_9XmrdiE2bB6xqbQ,2026-03-29T16:10:11.592Z,1209.0,1214.49,1209.0
Baking Isnt Always A Picnic! | Ep22 | Sugar Showdown S2,https://www.youtube.com/watch?v=Z52epsDPVmQ,CompetitionTV,https://www.youtube.com/channel/UC5LFaoX_9XmrdiE2bB6xqbQ,2026-03-29T15:49:56.972Z,1209.0,1214.62,1209.0
Bakers Bring The Tropics To The Kitchen | Ep24 | Sugar Showdown S2,https://www.youtube.com/watch?v=JA2lC9KAmuk,CompetitionTV,https://www.youtube.com/channel/UC5LFaoX_9XmrdiE2bB6xqbQ,2026-03-29T15:45:44.086Z,1209.0,252.886,252.886
Bakers Must Score Big With A Hockey Themed Cake! | Ep9 | Best Cake Wins S1,https://www.youtube.com/watch?v=Ciu7H8crgww,CompetitionTV,https://www.youtube.com/channel/UC5LFaoX_9XmrdiE2bB6xqbQ,2026-03-29T15:13:37.717Z,1324.0,1926.369,1324.0
"Don’t Eat Chia Seeds Until You Know This | Right Way, Dose & Timing",https://www.youtube.com/watch?v=xc6UTUDfHfE,Senior Facts Daily,https://www.youtube.com/channel/UCNfem6QtXFY0BgujcRPuXfQ,2026-03-29T00:43:21.601Z,,52216.116,52216.116
can chia seeds make me feel constipated 😞? how to avoid constipation from chia seeds 😲? #shortsfeed,https://www.youtube.com/watch?v=D3MVbgui_gA,Healthy With Ravneet Bhalla,https://www.youtube.com/channel/UC96RQx91IcuvpWy0V71pabA,2026-03-29T00:42:44.281Z,22.0,37.32,22.0
Here are the IBS Friendly Oatmeal Options...,https://www.youtube.com/watch?v=nBGukZTnsc8,Chels • IBS & FODMAP Dietitian,https://www.youtube.com/channel/UC9wTcvol1np0OajI1K0EYfw,2026-03-29T00:42:30.316Z,8.0,13.965,8.0
WHO Should NOT Eat chia seeds ( side effects/ contradictions) 😱 #shortsfeed,https://www.youtube.com/watch?v=9saTJh1uNMM,Healthy With Ravneet Bhalla,https://www.youtube.com/channel/UC96RQx91IcuvpWy0V71pabA,2026-03-29T00:42:08.056Z,14.0,22.26,14.0
Best Way to Eat Chia Seeds for Gut Health - With Water or Yogurt ⁉️🚨,https://www.youtube.com/watch?v=Oe242obyNgE,Doctor Sethi ,https://www.youtube.com/channel/UCvpDtH669K1a6s0Elmn6OIQ,2026-03-29T00:41:14.677Z,43.0,53.379,43.0
4 Best Snacks I Recommend for IBS & Bloating Relief as a Gastroenterologist🚨,https://www.youtube.com/watch?v=M6mZ99Vix20,Doctor Sethi ,https://www.youtube.com/channel/UCvpDtH669K1a6s0Elmn6OIQ,2026-03-29T00:40:22.147Z,41.0,52.53,41.0
What Will Happen If You Eat Chia Seeds Every Day for 2 Weeks ⁉️,https://www.youtube.com/watch?v=Go7ExDpbqP0,Doctor Sethi ,https://www.youtube.com/channel/UCvpDtH669K1a6s0Elmn6OIQ,2026-03-29T00:39:38.501Z,33.0,43.646,33.0
Chia Seeds - Yes ✅ or No ❌  Gastroenterologist Explains,https://www.youtube.com/watch?v=qwgZOfPjdvQ,Doctor Sethi ,https://www.youtube.com/channel/UCvpDtH669K1a6s0Elmn6OIQ,2026-03-29T00:38:35.486Z,56.0,63.015,56.0
What Happens If You Eat Chia Seeds Every Day For 1 Year?,https://www.youtube.com/watch?v=KdmjEAk5x0c,Dr. Livingood,https://www.youtube.com/channel/UCxA5ukbPYHDWF1JiKl_90bA,2026-03-29T00:37:46.797Z,810.0,48.689,48.689
READY OR NOT Bloopers & Gag Reel (2019),https://www.youtube.com/watch?v=8lnUIoRiLaU,FilmIsNow Epic Movie Zone,https://www.youtube.com/channel/UCmQynT5NWU3Vsa9t0OGUhcA,2026-03-29T00:35:04.316Z,269.0,162.481,162.481
"READY OR NOT 2 Cast Talk Blood Splatter, Favorite Movie Devils and Secretly Screaming ""HAIL SATAN!""",https://www.youtube.com/watch?v=Bx42anJdnbg,Jake's Takes,https://www.youtube.com/channel/UCnNZAVbeGwkRfgApKPH507Q,2026-03-28T21:41:49.002Z,600.0,10395.314,600.0
Sarah Michelle Gellar Teases 'Buffy' Easter Egg In 'Ready or Not 2',https://www.youtube.com/watch?v=_8e2Ppe8EnI,The Kelly Clarkson Show,https://www.youtube.com/channel/UCmSQ47G2NHhcjRAm9Px6R3g,2026-03-28T21:38:44.811Z,992.0,184.191,184.191
