title,link,channel,channel_link,date,video_length,time_diff,watch_time
How Democratic Is the Democratic People’s Republic of Korea?,https://www.youtube.com/watch?v=80c6rdulV8o,In the Kimdom,https://www.youtube.com/channel/UCPCwkVLJL4E5PWiKtxoakoA,2026-03-29T14:48:50.654Z,2878.0,,2878.0
OAI FebVideographer USA UC1 1x1,https://www.youtube.com/watch?v=O3rh5LKDN3w,,,2026-03-29T14:35:28.642Z,20.0,802.012,20.0
Now Taxes is Expertise No Hidden Fees - TurboTax 2026 Commercial (3/31 :15),https://www.youtube.com/watch?v=IaUDx5L3_HM,,,2026-03-29T14:35:12.088Z,16.0,16.554,16.0
2026.02_NativeMed_UGC_AD1A_1x1_v1_AA.mp4,https://www.youtube.com/watch?v=-kCGspiFqRY,,,2026-03-29T14:28:31.380Z,19.0,400.708,19.0
Best in the Game,https://www.youtube.com/watch?v=scnq-kkQAMc,,,2026-03-29T14:27:08.291Z,31.0,83.089,31.0
Still The Toughest Job You’ll Ever Love :30,https://www.youtube.com/watch?v=w6ZzRZEBOz8,,,2026-03-29T14:26:59.954Z,31.0,8.337,8.337
Entrepreneurship Is Glamorized… Until You Run a REAL Business,https://www.youtube.com/watch?v=mHAnofxx8eU,Social Symone ♡,https://www.youtube.com/channel/UCqBkdAuMACt37Ek6p4BemVA,2026-03-29T14:26:40.974Z,1795.0,18.98,18.98
Life of a North Korean Special Forces Soldier,https://www.youtube.com/watch?v=GxufeRgF4DM,Charles North Korea,https://www.youtube.com/channel/UCv_zJYPJndI4JH4P_p-eY5w,2026-03-29T14:25:21.091Z,3991.0,79.883,79.883
WTF Is Happening To Entry Level Jobs,https://www.youtube.com/watch?v=naqV7Ic9x5o,Damon Cassidy,https://www.youtube.com/channel/UCvBy3qcISSOcrbqPhqmG4Xw,2026-03-29T14:24:37.596Z,1333.0,43.495,43.495
202603241337,https://www.youtube.com/watch?v=d4y0AA0J83g,,,2026-03-29T14:23:36.945Z,,60.651,60.651
Artist sketches like it’s a performance: Part 2 #artist #artstudent #artschool #skit #relatable,https://www.youtube.com/watch?v=cA8CfYbeO6c,Joseph Arning,https://www.youtube.com/channel/UCdNiUqop6pTGq3_Rwa4HAOg,2026-03-29T14:23:23.514Z,16.0,13.431,13.431
The Destined Disconnection #minecraft,https://www.youtube.com/watch?v=wS1UocQjufo,GarrettTheCarrot,https://www.youtube.com/channel/UCQ4AvkoyUTweQqMsMno24zA,2026-03-29T14:23:14.628Z,13.0,8.886,8.886
Hot Take: Shaders Ruin Minecraft!,https://www.youtube.com/watch?v=p1VccMG0nJg,DashPum4,https://www.youtube.com/channel/UC4n18-2VOfPDIHB5BUTOtng,2026-03-29T14:22:18.373Z,56.0,56.255,56.0
BeatStress AD 5275 30s 1x1 Socials,https://www.youtube.com/watch?v=ivhR2mOFJpI,,,2026-03-29T14:22:06.480Z,31.0,11.893,11.893
Stability the World Can't Manufacture,https://www.youtube.com/watch?v=hH2o4YZhz8k,Lindsay van Zyl,https://www.youtube.com/channel/UC3fh7515WGbIggFJ2yKPVuw,2026-03-29T14:21:52.763Z,50.0,13.717,13.717
"$240,000 worth of Chihuly glass destroyed #artnews",https://www.youtube.com/watch?v=PQi1HkiWkRQ,TheArtRevival,https://www.youtube.com/channel/UCns_q-Rz_toVUszWHnwkeBA,2026-03-29T14:21:41.849Z,30.0,10.914,10.914
@PrajwalToons #booktok #fypシ #yt #mindset #attitude #series #show #hollywood,https://www.youtube.com/watch?v=KcR24g4tPCE,PrajwalToons,https://www.youtube.com/channel/UCNi6TwA3MQhA41aQdNcs4kQ,2026-03-29T14:20:43.784Z,19.0,58.065,19.0
Are The Freemasons Building Dublins Children’s Hospital?,https://www.youtube.com/watch?v=MrpBj35C9tY,Thomas Sheridan Unknown Machine,https://www.youtube.com/channel/UCryELvGaMtTHtkn1XmhGang,2026-03-29T14:20:05.224Z,65.0,38.56,38.56
The Hyundai TUCSON Gives You More.,https://www.youtube.com/watch?v=8GeHz_tu1-8,,,2026-03-29T14:19:58.157Z,16.0,7.067,7.067
"Aphrodite · Enn Meditation Chant [Also Aphroditi, Afroditi, Aphrodita..] (Feminine Version) (1 Hour)",https://www.youtube.com/watch?v=AfrFgHoHzho,Satania,https://www.youtube.com/channel/UCZi0N5DYuT4nI2Qb9Rnq5Bg,2026-03-29T07:35:12.283Z,,24285.874,24285.874
"Cool camp meal you can make with potatoes, eggs, and cheese",https://www.youtube.com/watch?v=cWL2zUh6aSo,Woodsbound Outdoors,https://www.youtube.com/channel/UCHUbS_UKnPBjJndXpTff4Sg,2026-03-29T07:32:12.022Z,37.0,180.261,37.0
Nostalgia Warehouse,https://www.youtube.com/watch?v=VTHpn9HtIPU,,,2026-03-29T07:31:16.058Z,14.0,55.964,14.0
Strong Ice Hammer 🔨🥶 @zackdfilms,https://www.youtube.com/watch?v=cuXLGam9Dhw,Zane Holmes,https://www.youtube.com/channel/UCW0uUK8fvL5-lkiBoNqHk3Q,2026-03-29T07:29:57.027Z,,79.031,79.031
Sheppard Brackets,https://www.youtube.com/watch?v=XJP0iGbTuDU,,,2026-03-29T07:29:13.023Z,463.0,44.004,44.004
SQUARESPACE | Q3 | Health | :30 | EN,https://www.youtube.com/watch?v=PjQUxnD_DUY,,,2026-03-29T06:22:27.139Z,30.0,4005.884,30.0
"Every Dictator of North Korea, Explained (1945-now)",https://www.youtube.com/watch?v=56pQEnR8_ZY,William C. Fox,https://www.youtube.com/channel/UCyuAKnN3g2fZ7_R9irgEUZQ,2026-03-29T06:20:38.198Z,10600.0,108.941,108.941
Chris Whalen: The Economic Damage Will Become Impossible to Ignore,https://www.youtube.com/watch?v=1RoeIPvtJUI,The Julia La Roche Show,https://www.youtube.com/channel/UCZzKVx5EBb42XoTQKCIllxg,2026-03-29T05:47:42.822Z,1967.0,1975.376,1967.0
Channeling Good,https://www.youtube.com/watch?v=1tHWPZPMZzI,,,2026-03-29T05:47:35.398Z,16.0,7.424,7.424
The Hard Way 06 V2 (Risk),https://www.youtube.com/watch?v=eKJaH_OSess,,,2026-03-29T05:47:28.857Z,7.0,6.541,6.541
The Hyundai SANTA FE wins every time.,https://www.youtube.com/watch?v=9F30q3H3zf8,,,2026-03-29T05:47:14.652Z,16.0,14.205,14.205
"March 28, 2026",https://www.youtube.com/watch?v=XKYXcwyUjIw,Mary Kamel,https://www.youtube.com/channel/UCyMDrYC6ie2od36XNeZTWQw,2026-03-29T05:46:44.211Z,8.0,30.441,8.0
She Just Wanted The Menu 🤣 #hopecore #hopeless #funny,https://www.youtube.com/watch?v=5w8biPzMRyg,Lumivolt,https://www.youtube.com/channel/UCWaVkF_wkXiWgH88WWC30zA,2026-03-29T05:46:22.966Z,17.0,21.245,17.0
an oddly specific pizza order.. 🍕🤔,https://www.youtube.com/watch?v=iEVuZ7-KLFA,4ums,https://www.youtube.com/channel/UCprd5k9QJASX0tTdrHKZSnw,2026-03-29T05:46:16.690Z,28.0,6.276,6.276
