title,link,channel,channel_link,date,video_length,time_diff,watch_time
Young Thug On How Splits Work In The Rap Industry & How He Picks Who He Wants To Feature On Albums,https://www.youtube.com/watch?v=_pBxJvvZJjM,Brayden Zaroff,https://www.youtube.com/channel/UCV1SIktqDcDAvvVzM1NC5Jg,2026-03-08T22:11:00.731Z,47.0,,47.0
Jay Z Sends A Chilling Warning To 50 Cent,https://www.youtube.com/watch?v=fwVqH5xgM2Y,Celebrity Spectacle,https://www.youtube.com/channel/UCWtLLpGpTJeytkQz0q2NmuQ,2026-03-08T22:10:09.798Z,,50.933,50.933
If you know you know… 🤣 #momhumor #momlife #funny #couplecomedy #marriedlife #relatable,https://www.youtube.com/watch?v=JshgqSFGbRY,sipscreamrepeat,https://www.youtube.com/channel/UCl5-R6jAGOW_C8ha1-NShrA,2026-03-08T22:09:02.247Z,83.0,67.551,67.551
"MihTy, Jeremih, Ty Dolla $ign - Surrounded (Audio) ft. Chris Brown, Wiz Khalifa",https://www.youtube.com/watch?v=XWbSbEtIkpQ,MihTyVEVO,https://www.youtube.com/channel/UCguB1FWJSm763HRxIsfNH1A,2026-03-08T21:01:32.832Z,257.0,4049.415,257.0
Death Grips - The Fever (Aye Aye),https://www.youtube.com/watch?v=Cn3vMyopjXI,Death Grips,https://www.youtube.com/channel/UCuq1H-HXWoW4JL-hX5bWxzw,2026-03-08T20:58:58.845Z,187.0,153.987,153.987
Death Grips - Culture Shock,https://www.youtube.com/watch?v=WnsI67bHpmk,Death Grips,https://www.youtube.com/channel/UCuq1H-HXWoW4JL-hX5bWxzw,2026-03-08T20:57:50.600Z,261.0,68.245,68.245
Stuntin' Like My Daddy (Street),https://www.youtube.com/watch?v=PTKouTiD9-0,Birdman - Topic,https://www.youtube.com/channel/UCKXeUAtxX9zWsoErYNMPRKQ,2026-03-08T20:52:40.065Z,268.0,310.535,268.0
Future - Baptiize (Fast) 561Funks (Dj Merv),https://www.youtube.com/watch?v=7g0rrBQjjvo,561 Funks,https://www.youtube.com/channel/UC_AezfFLZ9PWep4bldJU74Q,2026-03-08T20:52:31.798Z,204.0,8.267,8.267
City Girls - Act Up (Fast),https://www.youtube.com/watch?v=VgvGpP145ok,DJ Frisco954,https://www.youtube.com/channel/UC_1ZUab_sDzUSubavuNywcg,2026-03-08T20:47:18.906Z,138.0,312.892,138.0
"R.I.P (Remix) - Young Jeezy (Feat YG, Kendrick Lamar, & Chris Brown) (FAST)",https://www.youtube.com/watch?v=3BQPN0J97HI,StunnaqTv,https://www.youtube.com/channel/UCrIQuWbJzT74fBAzzCAib-Q,2026-03-08T20:42:15.466Z,202.0,303.44,202.0
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],https://www.youtube.com/watch?v=YqeW9_5kURI,Major Lazer Official,https://www.youtube.com/channel/UCMJ5Qf3sOvQpcYiai1Noa3Q,2026-03-08T20:35:59.238Z,179.0,376.228,179.0
City Girls - Flewed Out Ft. Lil Baby (Fast),https://www.youtube.com/watch?v=wS6ND4kC-tw,DJ Frisco954,https://www.youtube.com/channel/UC_1ZUab_sDzUSubavuNywcg,2026-03-08T20:34:33.802Z,164.0,85.436,85.436
Future & Young Thug - Three (FAST),https://www.youtube.com/watch?v=y6vZePKHeBg,Bunntree FM,https://www.youtube.com/channel/UCMG7oSLr-LsA0t0P1lBFDQA,2026-03-08T19:48:47.969Z,148.0,2745.833,148.0
"Rae Sremmurd - Throw Sum Mo (Audio) ft. Nicki Minaj, Young Thug",https://www.youtube.com/watch?v=2l0BAOqBp08,RaeSremmurdVEVO,https://www.youtube.com/channel/UCweazuUMMKdL2wwSyrxla9A,2026-03-08T19:44:26.430Z,261.0,261.539,261.0
Don Toliver - Body (Slowed + Reverb),https://www.youtube.com/watch?v=RyrErEx2GCw,SashaVande,https://www.youtube.com/channel/UCQ5O3_Rd77jRPleV8rgvmXg,2026-03-08T19:36:46.339Z,175.0,460.091,175.0
"tory lanez, trey songz - wild thoughts (sped up)",https://www.youtube.com/watch?v=Mwa1VKl9TS4,lefty,https://www.youtube.com/channel/UCfjWaX1cLiGVTbvEoZYZSQA,2026-03-08T19:31:48.006Z,154.0,298.333,154.0
