title,link,channel,channel_link,date,video_length,time_diff,watch_time
Nah bro was confused fr #comedyshorts #funny #shortvideo #comedy,https://www.youtube.com/watch?v=xSajVp4QMGI,Castles_skinwalker,https://www.youtube.com/channel/UC5ZmCPHOGqIlyNsF1pzietg,2026-03-08T03:51:39.339Z,24.0,,24.0
Beef vs Oil,https://www.youtube.com/watch?v=8hUj2Ofxw4U,DoubleBite,https://www.youtube.com/channel/UCEjyzcaxd15QtJWlP4-VMWw,2026-03-08T03:51:36.551Z,53.0,2.788,2.788
Three Box Speed Relay Race! Girls vs Boys,https://www.youtube.com/watch?v=EzEhfkbGmzk,The Smily Fam,https://www.youtube.com/channel/UCiSykHvb83qqw6JqaHuWXRA,2026-03-08T03:49:05.972Z,103.0,150.579,103.0
Tommy the octopus opens a red jar!,https://www.youtube.com/watch?v=LUiyke2CELk,JBToday,https://www.youtube.com/channel/UCdKTTwiMJmI5f6wyz0TWFgA,2026-03-08T03:47:54.919Z,46.0,71.053,46.0
Warriors Courtside Experience #shorts,https://www.youtube.com/watch?v=0FTBirnnA0s,lifeofcian,https://www.youtube.com/channel/UCTMd5fOTWCvvUzZJmU4u8sg,2026-03-08T03:46:56.818Z,43.0,58.101,43.0
Who Will Make It Across? 🫣,https://www.youtube.com/watch?v=MhQ5sxCTT5M,Red Bull,https://www.youtube.com/channel/UCblfuW_4rakIf2h6aqANefA,2026-03-08T03:45:10.572Z,102.0,106.246,102.0
Top 10 CUISINES 🌍 with Gordon Ramsay 🤯,https://www.youtube.com/watch?v=_VzeSS-Z1to,Max Klymenko,https://www.youtube.com/channel/UCisy6taOAeLfyaCqcMQDfig,2026-03-08T03:41:42.199Z,179.0,208.373,179.0
I had a dream about this: Sushi + KBBQ set,https://www.youtube.com/watch?v=Rk6MSKmkoUY,POV Husband,https://www.youtube.com/channel/UCztUmVaC0Im3BZYBMd989CQ,2026-03-08T03:40:22.416Z,77.0,79.783,77.0
Gru’s Evil Job Interview (Full Scene) | Minions: The Rise of Gru,https://www.youtube.com/watch?v=MkyZHo4Lo84,HaHa Picks,https://www.youtube.com/channel/UCEMsMyfqee8nF0QBClFZzmg,2026-03-08T03:31:52.691Z,518.0,509.725,509.725
Shaq & Chuck go HEAD-TO-HEAD on Inside The NBA Combine 🏈,https://www.youtube.com/watch?v=lcY-nTROoAQ,NBA on ESPN,https://www.youtube.com/channel/UCVSSpcmZD2PwPBqb8yKQKBA,2026-03-08T03:25:00.271Z,491.0,412.42,412.42
"tonight, your mind is at peace",https://www.youtube.com/watch?v=rugSfM5UPFI,bliss,https://www.youtube.com/channel/UC7bnFNJif1t0qLpbH3lay4Q,2026-03-08T03:11:31.379Z,11330.0,808.892,808.892
The Minions and Gru's First Missions! ⚠️ | Minions: The Rise Of Gru | Compilation | Adventure & Play,https://www.youtube.com/watch?v=MrcMzcGayTY,Mini Moments - Adventure & Play,https://www.youtube.com/channel/UCwplyDENheCiomHLnstkPOw,2026-03-08T03:00:51.627Z,1170.0,639.752,639.752
Kevin Becomes a Giant to Fight Scarlett Overkill | Minions,https://www.youtube.com/watch?v=GHNRJ08yMmE,Family Movie Picks,https://www.youtube.com/channel/UCUIfsdGUBoJVS5fCZlAqGHQ,2026-03-08T02:51:04.116Z,515.0,587.511,515.0
Who is the BEST competitive eater in the world? @Beardmeatsfood vs 🌍,https://www.youtube.com/watch?v=ziz8K30F1wc,Breaking Beard ,https://www.youtube.com/channel/UCnfFPLGOpCNN66rosXG7VRA,2026-03-08T02:49:30.474Z,61.0,93.642,61.0
Gru Takes the Girls to Super Silly Fun Land | Despicable Me,https://www.youtube.com/watch?v=OfkCN9eOIUM,Family Movie Picks,https://www.youtube.com/channel/UCUIfsdGUBoJVS5fCZlAqGHQ,2026-03-08T02:33:13.489Z,488.0,976.985,488.0
IN NORWAY YOU HAVE TO STAY SEATED FOR 15 MINUTES AFTER ATTEMPTING THIS CHALLENGE! | BeardMeatsFood,https://www.youtube.com/watch?v=9J-dYr7j-3I,BeardMeatsFood,https://www.youtube.com/channel/UCc9CjaAjsMMvaSghZB7-Kog,2026-03-08T02:23:16.477Z,777.0,597.012,597.012
Summer McIntosh CRUSHES competition for women's 200m butterfly title at Westmont | NBC Sports,https://www.youtube.com/watch?v=kGf7Bch_jGE,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-08T02:23:14.594Z,325.0,1.883,1.883
Minions The Rise Of Gru: Gru Meets Young Dr. Nefario [HD],https://www.youtube.com/watch?v=_CYr3bSHlLg,ChillReviewer,https://www.youtube.com/channel/UCb2uSShCE8niRT654PL-Aeg,2026-03-08T02:23:06.114Z,34.0,8.48,8.48
Despicable Me But Only When Dr Nefario is on Screen,https://www.youtube.com/watch?v=vLIjzXwV3hQ,The Tricycle Gang,https://www.youtube.com/channel/UCmkKoCrX7TX11Ur2-puP4tA,2026-03-08T02:16:27.145Z,424.0,398.969,398.969
Ledecky Takes Third Victory of the Meet With Win in 400M Freestyle|2026 TYR Pro Swim Series Westmont,https://www.youtube.com/watch?v=i7FKcmuPD-I,USA Swimming,https://www.youtube.com/channel/UCznRyLyXK9QWHs05PK2MGBQ,2026-03-08T02:14:06.416Z,303.0,140.729,140.729
【鋼琴與森林白噪音】 2小時放鬆音樂 | 2-Hour Peaceful Piano & Forest White Noise |,https://www.youtube.com/watch?v=_u95mLIAxvg,The Healing Whisper,https://www.youtube.com/channel/UCQ-cxfsjqNhJ8zxWTOd82CA,2026-03-08T01:23:51.434Z,7260.0,3014.982,3014.982
memories,https://www.youtube.com/watch?v=7BnJFwHD7J4,Otsuki Maki - Topic,https://www.youtube.com/channel/UCiqNjp8Lb9tWTlVsEZJTO5g,2026-03-08T01:18:44.876Z,267.0,306.558,267.0
Sakurasou no Pet na Kanojo ED2 (Prime Number ~Kimi to Deaeru~) TV-Style Reconstruction,https://www.youtube.com/watch?v=x9crtZOUYxg,KaeonX,https://www.youtube.com/channel/UCOn7AWrlO7x0IHDBR0LPefw,2026-03-08T01:14:35.604Z,244.0,249.272,244.0
Nightcore - Fight Together「Namie Amuro」,https://www.youtube.com/watch?v=fP6ubyrt8po,NightcoreAspire 「 J-Music 」,https://www.youtube.com/channel/UCceg3d0pXxcV5YzAFDJ3FkQ,2026-03-08T01:10:43.763Z,231.0,231.841,231.0
Is there a gather-your-thoughts step in the NBA?,https://www.youtube.com/watch?v=wp1BJj2OWo0,99% Sports,https://www.youtube.com/channel/UCOLuCACpQL75CXuvUttm4mQ,2026-03-08T01:09:22.997Z,31.0,80.766,31.0
I’ve never heard a louder crowd for any other return omg😭🔥 #nbabasketball #jaysontatum #hoopplanet,https://www.youtube.com/watch?v=2tQU0-IvAqY,Hoop Planet 🌍,https://www.youtube.com/channel/UC1O_36x2N-ngv61Z8ORjbgA,2026-03-08T01:08:16.066Z,62.0,66.931,62.0
The Inside Guys debate Cooper Flagg vs. Kon Knueppel for Rookie of the Year | NBA Tip-Off,https://www.youtube.com/watch?v=utQwFVqeIa0,NBA on ESPN,https://www.youtube.com/channel/UCVSSpcmZD2PwPBqb8yKQKBA,2026-03-08T01:02:33.239Z,248.0,342.827,248.0
"Pres. Trump demands Iran's 'unconditional surrender' as U.S., Israel escalate attacks",https://www.youtube.com/watch?v=78bhD-iAwqI,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-03-08T00:55:47.068Z,313.0,406.171,313.0
Anthony Edwards names his all-time starting 5 with no LeBron or Kobe 👀,https://www.youtube.com/watch?v=XMSmk-ZmidE,Chaz NBA,https://www.youtube.com/channel/UChgDp_uE5PVqnpdV05xKOOA,2026-03-08T00:51:49.613Z,121.0,237.455,121.0
"Pacers INSANE 30-9 2ND QTR UNCUT - Game 6! 🍿 | June 19, 2025",https://www.youtube.com/watch?v=yRxIuogNRGs,NBA,https://www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,2026-03-07T22:48:07.622Z,517.0,7421.991,517.0
McIntosh Lowers U.S. Open Record As Erisman Takes Second in 200M Freestyle|2026 TYR Pro Swim Series,https://www.youtube.com/watch?v=Bb93bsXLyf8,USA Swimming,https://www.youtube.com/channel/UCznRyLyXK9QWHs05PK2MGBQ,2026-03-07T22:44:09.673Z,277.0,237.949,237.949
Chris Guiliano pushes through for men's 100m freestyle win at Westmont Pro Swim Series | NBC Sports,https://www.youtube.com/watch?v=RJ85UdmEKyM,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-07T22:41:47.821Z,309.0,141.852,141.852
Gabriel Jett soars to men's 200m butterfly win at Westmont Pro Swim Series | NBC Sports,https://www.youtube.com/watch?v=kCWRg7mdSW0,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-07T22:36:25.371Z,328.0,322.45,322.45
Record Falls as Short and Finke Finish Fastest in 1500M Freestyle |2026 TYR Pro Swim Series Westmont,https://www.youtube.com/watch?v=iQBntjTn7U8,USA Swimming,https://www.youtube.com/channel/UCznRyLyXK9QWHs05PK2MGBQ,2026-03-07T22:28:38.901Z,1150.0,466.47,466.47
Chris Guiliano clinches 200m freestyle with NAIL-BITING FINISH at Westmont | NBC Sports,https://www.youtube.com/watch?v=n3oo27A3Dkk,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-07T22:20:33.228Z,345.0,485.673,345.0
Jaylen Brown reacts to Jayson Tatum return and says Wemby isn't human 😂,https://www.youtube.com/watch?v=5oFVDp12KDA,Chaz NBA,https://www.youtube.com/channel/UChgDp_uE5PVqnpdV05xKOOA,2026-03-07T22:16:56.772Z,154.0,216.456,154.0
Despicable Me 4  | Therapy With Nikola Jokić,https://www.youtube.com/watch?v=-pNnNChlBAw,Illumination,https://www.youtube.com/channel/UCq7OHvWO6Z3u-LztFdrcU-g,2026-03-07T22:00:41.117Z,31.0,975.655,31.0
"Final 4:07 INSANE ENDING Clippers at Spurs 🤯 | March 6, 2026",https://www.youtube.com/watch?v=NGz8ioQFuJY,NBA,https://www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,2026-03-07T21:48:55.773Z,534.0,705.344,534.0
Despicable Me 2 - Lucy vs Gru,https://www.youtube.com/watch?v=ANEvrmvjuqg,Arlo TV,https://www.youtube.com/channel/UCd59Z9V05gSeK0YQF2J13wg,2026-03-07T21:46:28.421Z,193.0,147.352,147.352
Dru and Gru’s Twin Heist | Despicable Me 3 4k,https://www.youtube.com/watch?v=n8WzwYEYcXg,Family Movie Picks,https://www.youtube.com/channel/UCUIfsdGUBoJVS5fCZlAqGHQ,2026-03-07T21:11:19.339Z,579.0,2109.082,579.0
Chinese Egg Tofu Stir Fry,https://www.youtube.com/watch?v=V50LLLdRdbk,WeKenCook,https://www.youtube.com/channel/UCFLGHXCjhQKxN9Xu1XNiueQ,2026-03-07T21:10:28.525Z,53.0,50.814,50.814
"500 Days in 1 minute. Ginger, Kiwi and Carrot",https://www.youtube.com/watch?v=lWy72oFxlZM,Boxlapse,https://www.youtube.com/channel/UCiL9l2J57t5OG2aZ0huswZw,2026-03-07T20:18:06.549Z,60.0,3141.976,60.0
WHY Chameleon didn't summon MASTER OOGWAY In Kung fu Panda 4,https://www.youtube.com/watch?v=pxjbWCP5pxg,Prowler,https://www.youtube.com/channel/UCUaq60azPNlrgoCZcxzlgbw,2026-03-07T20:14:54.878Z,46.0,191.671,46.0
New Hero Dragon Duke Versus MOMMA #coc,https://www.youtube.com/watch?v=QPo6rCkDsZI,CLASH Dude,https://www.youtube.com/channel/UCTz8ttDwjePSnyfeA7E4i5Q,2026-03-07T20:14:05.045Z,36.0,49.833,36.0
5v5 CWL MATCHMAKING is DISASTROUS: DON'T RISK IT #clashofclans,https://www.youtube.com/watch?v=kpRKZLten-4,HookedToClash,https://www.youtube.com/channel/UCOigsbKiByxFZMpzQ-BdYqQ,2026-03-07T20:13:20.583Z,,44.462,44.462
Gru Finds Out the Bank Won’t Fund Him | Despicable Me,https://www.youtube.com/watch?v=Vahk6m1UpzY,Musical Picks,https://www.youtube.com/channel/UCBPJul6q8FUnbr7fN-lYtgw,2026-03-07T20:06:37.600Z,463.0,402.983,402.983
ChatGPT vs MOSQUITO Trolley Problem #ai #ChatGPT,https://www.youtube.com/watch?v=CJrOMs4L-lc,FatherPhi,https://www.youtube.com/channel/UCIw9p-0zI1rEPEs_SS6fDkg,2026-03-07T20:04:49.839Z,165.0,107.761,107.761
What's going on inside Iran? | The Economist,https://www.youtube.com/watch?v=7DnFC6R2HRw,The Economist,https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,2026-03-07T20:03:04.309Z,166.0,105.53,105.53
My Historical Comp for the Wemby Spurs,https://www.youtube.com/watch?v=LFHJLDL6oY8,Andrew Fenichel,https://www.youtube.com/channel/UCenGh_r6mAm8uvnso5JWVjA,2026-03-07T20:01:18.928Z,87.0,105.381,87.0
Gru & El Macho Final Battle | Despicable Me 2,https://www.youtube.com/watch?v=-HWhuW7FIA4,HaHa Picks,https://www.youtube.com/channel/UCEMsMyfqee8nF0QBClFZzmg,2026-03-06T20:28:09.717Z,438.0,84789.211,438.0
The Orphans Arrive at Gru's House | Despicable Me,https://www.youtube.com/watch?v=V6MmLMyJCi8,Family Movie Picks,https://www.youtube.com/channel/UCUIfsdGUBoJVS5fCZlAqGHQ,2026-03-06T20:14:59.535Z,570.0,790.182,570.0
These minions don't give up | Despicable Me 2,https://www.youtube.com/watch?v=z-_80bC_gK8,Universal Pictures At Home,https://www.youtube.com/channel/UCIHg3K4EaY-ziWc5CyzWAzQ,2026-03-06T20:14:43.810Z,60.0,15.725,15.725
Gru Robot Cookies   - Despicable me 2010 Hd CG Full,https://www.youtube.com/watch?v=PwKdfl_7Rrw,CG Full,https://www.youtube.com/channel/UCkWikoyGKZVXL1zXe2RbLmw,2026-03-06T20:02:53.775Z,317.0,710.035,317.0
March means intense games of horse with Professor Pops 🤣 #basketball #horse #comedy #trickshots,https://www.youtube.com/watch?v=deS0RhiakJY,JakeTheJuice,https://www.youtube.com/channel/UCO1GkeENMCeMq6f1ZIX3G6w,2026-03-06T19:57:01.019Z,124.0,352.756,124.0
RANKING Every SPELL TOWER from WORST to BEST in Clash of Clans #cocupdate,https://www.youtube.com/watch?v=7eCasV8ZcMc,HookedToClash,https://www.youtube.com/channel/UCOigsbKiByxFZMpzQ-BdYqQ,2026-03-06T19:55:55.861Z,62.0,65.158,62.0
Tai Lung's Epic Prison Escape | Kung Fu Panda,https://www.youtube.com/watch?v=XHto_OVH8G8,Popcorn Picks,https://www.youtube.com/channel/UCfbkraMQPT7l9d1yTYpDR1w,2026-03-06T19:48:35.536Z,355.0,440.325,355.0
Shifu Is Warned About Tai Lung's Return | Kung Fu Panda,https://www.youtube.com/watch?v=M2ebvKDnbC0,HaHa Picks,https://www.youtube.com/channel/UCEMsMyfqee8nF0QBClFZzmg,2026-03-06T19:45:48.638Z,169.0,166.898,166.898
