title,link,channel,channel_link,date,video_length,time_diff,watch_time
Inside the Schwerer Gustav,https://www.youtube.com/watch?v=Qor9xXN8vYA,Blue Paw Print,https://www.youtube.com/channel/UCtKPoOleoyj9dlI0tw4AZeg,2026-04-14T04:24:48.171Z,939.0,,939.0
Inside the V2 Nazi Wonder Weapon,https://www.youtube.com/watch?v=jePOQuFTXy4,Blue Paw Print,https://www.youtube.com/channel/UCtKPoOleoyj9dlI0tw4AZeg,2026-04-14T04:04:17.572Z,1142.0,1230.599,1142.0
B52 Bomber Boeing Plane | How it Works US Airforce Bomber,https://www.youtube.com/watch?v=OWYADawjp2M,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-14T03:48:33.714Z,910.0,943.858,910.0
How US Seize a Russian Flagged  Oil Tanker?,https://www.youtube.com/watch?v=M72pD017Sgo,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-14T03:34:55.948Z,752.0,817.766,752.0
US Navy Destroyers Start Mine Clearance in Strait of Hormuz,https://www.youtube.com/watch?v=i6aCKcE2A_U,The Navy Channel,https://www.youtube.com/channel/UCZCEeYtzzrbaVz4SRH8PZdw,2026-04-14T03:23:54.433Z,552.0,661.515,552.0
"The Civilization The World Forgot for 4,000 Years",https://www.youtube.com/watch?v=Kx-JVMCBEH8,VLAD - Meditative History ,https://www.youtube.com/channel/UCHbCoS79jPGHoHxqn5qWxVw,2026-04-14T03:06:16.673Z,1962.0,1057.76,1057.76
U.S. military begins blockade of ports on Strait of Hormuz,https://www.youtube.com/watch?v=NBHCI_-LxsI,13News Now,https://www.youtube.com/channel/UCODc8Pa-_WUMaVRp9dvmNmw,2026-04-14T03:05:11.559Z,62.0,65.114,62.0
Still Think Iran is Winning? WATCH THIS Before You Speak Again,https://www.youtube.com/watch?v=-oVOO0bvPHE,Beyond Military,https://www.youtube.com/channel/UCxa-R6YNIxqlbdVrx4nmOzA,2026-04-14T00:23:23.633Z,1126.0,9707.926,1126.0
The Los Angeles Aqueduct is Wild,https://www.youtube.com/watch?v=PhW2BjFQCZM,Practical Engineering,https://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,2026-04-13T05:43:23.537Z,1379.0,67200.096,1379.0
"Building America’s Highway System (S1, E3) | The Engineering That Built the World | Full Episode",https://www.youtube.com/watch?v=pJ1hCK_I2Pw,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-04-13T04:55:38.452Z,,2865.085,2865.085
Denver 1870 (AI Reconstruction),https://www.youtube.com/watch?v=Q1HusynLipU,Chronicle Studios,https://www.youtube.com/channel/UCzpxY51Ouc89uwcNmW1zEpQ,2026-04-13T04:30:04.119Z,1478.0,1534.333,1478.0
How Denver Is Slowly Turning Into America’s Next Mega-City,https://www.youtube.com/watch?v=HD95Mj7wbVg,Fact Atlas,https://www.youtube.com/channel/UCM-VRiYpHYBuGwz8GRuBMeA,2026-04-13T04:29:21.393Z,847.0,42.726,42.726
Why the USS Ford Fire Changed Everything at the Strait of Hormuz,https://www.youtube.com/watch?v=YlJX0sBufwU,Navy Decoded,https://www.youtube.com/channel/UCR1SJseEXKbcbVEFd5ViHWg,2026-04-13T04:26:47.353Z,1091.0,154.04,154.04
Why Iran's Missiles Can't Reach US Navy's Lincoln or Tripoli,https://www.youtube.com/watch?v=MBSeYm7klZc,Navy Decoded,https://www.youtube.com/channel/UCR1SJseEXKbcbVEFd5ViHWg,2026-04-13T04:12:25.703Z,846.0,861.65,846.0
Paying for Claude AI? Watch this. #aitools #claude #ai,https://www.youtube.com/watch?v=S40RNo7MrEU,Think with V,https://www.youtube.com/channel/UC9RNL5nM2XM0NFClrLsZitw,2026-04-13T04:10:12.943Z,99.0,132.76,99.0
Trump announces U.S. Navy blockade of Strait of Hormuz after talks with Iran collapse,https://www.youtube.com/watch?v=AN9KG-CwKZI,KUTV 2 News Salt Lake City,https://www.youtube.com/channel/UCFVUStJ4azXbWMhFO4yTELg,2026-04-13T02:29:12.813Z,97.0,6060.13,97.0
US military says it will blockade Iranian ports after ceasefire talks end,https://www.youtube.com/watch?v=iYuTHE5uWks,WPLG Local 10,https://www.youtube.com/channel/UCgVZ0mrM3liHNhRYC5Mchgg,2026-04-13T02:27:44.893Z,120.0,87.92,87.92
High Frequency Sound For Dogs,https://www.youtube.com/watch?v=PQLMsAtUFLU,n Beats,https://www.youtube.com/channel/UCqeNgQLxwkV8TqEyxG_q60Q,2026-04-13T00:54:45.327Z,532.0,5579.566,532.0
Dog Anxiety Relief Music – 852Hz Frequencies for Peaceful Rest and Healing,https://www.youtube.com/watch?v=EMSGCwfx-UM,Merlin's Realms - Music for Dogs and Humans,https://www.youtube.com/channel/UCQVt-EsVjNdMulb70iSVOYw,2026-04-13T00:54:32.555Z,36610.0,12.772,12.772
Best of Minecraft - Hide and Seek,https://www.youtube.com/watch?v=1WGfqab-Ovk,Maizen,https://www.youtube.com/channel/UCJHBJ7F-nAIlMGolm0Hu4vg,2026-04-11T20:45:58.933Z,4410.0,101313.622,4410.0
We Survived 100 Days as TRAIN EATER in Minecraft,https://www.youtube.com/watch?v=bxLdzbAZSus,Maizen,https://www.youtube.com/channel/UCJHBJ7F-nAIlMGolm0Hu4vg,2026-04-11T19:54:19.752Z,2910.0,3099.181,2910.0
Building A Lava House in Minecraft,https://www.youtube.com/watch?v=hN6KBuvNW1o,Maizen,https://www.youtube.com/channel/UCJHBJ7F-nAIlMGolm0Hu4vg,2026-04-11T19:33:48.728Z,1150.0,1231.024,1150.0
How Medieval Castles ACTUALLY Worked,https://www.youtube.com/watch?v=4WlpTvmzwrk,Deconstructed,https://www.youtube.com/channel/UCje6-Yak9u1msy5l7sE9pBA,2026-04-11T19:32:10.869Z,1315.0,97.859,97.859
"CIA’s TERRIFYING ""Ghost Murmur"" Weapon in Iran EXPLAINED",https://www.youtube.com/watch?v=DkmHh6eZoZs,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-11T19:31:31.248Z,693.0,39.621,39.621
Someone RUINED My Prom,https://www.youtube.com/watch?v=sNjMajr2kdQ,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-11T05:18:17.233Z,2071.0,51194.015,2071.0
The FLOOR IS LAVA In Roblox..,https://www.youtube.com/watch?v=sZZ586emRJk,Eves Clips,https://www.youtube.com/channel/UCaG8erS9yvwdgRRZe2ypxPg,2026-04-11T03:11:38.026Z,7263.0,7599.207,7263.0
LIVE: NASA coverage of Artemis II's return home,https://www.youtube.com/watch?v=P7S7A2drQM8,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-04-11T00:11:24.773Z,19151.0,10813.253,10813.253
Beating K-POP DEMON HUNTERS Troll Tower in Roblox!,https://www.youtube.com/watch?v=TS5rouxOkJA,Eves Clips,https://www.youtube.com/channel/UCaG8erS9yvwdgRRZe2ypxPg,2026-04-10T02:28:35.008Z,7290.0,78169.765,7290.0
Denver Was Built on Top of Another Denver — The Lower One Still Has Doors and Windows,https://www.youtube.com/watch?v=04vOat9ZcvU,The Severed Timeline,https://www.youtube.com/channel/UCBRFxwy-G8vB6V9aeSMyTIQ,2026-04-08T01:16:18.198Z,880.0,177136.81,880.0
Surviving Iran: The Insane F-15 Rescue Mission Explained,https://www.youtube.com/watch?v=nd4Ym3aOklU,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-08T01:08:41.379Z,1001.0,456.819,456.819
Barry Manilow - Copacabana (At the Copa) ((Remix)(Official Video)),https://www.youtube.com/watch?v=NKR2n-G-wdM,BarryManilowVEVO,https://www.youtube.com/channel/UC-q5iYtiOPCzLLwWxMWl0gw,2026-04-07T04:36:37.578Z,241.0,73923.801,241.0
We Survived In a CAVE in 99 Nights In The Forest..,https://www.youtube.com/watch?v=HQqum6LiP4o,Eves Clips,https://www.youtube.com/channel/UCaG8erS9yvwdgRRZe2ypxPg,2026-04-06T02:12:43.332Z,8885.0,95034.246,8885.0
"ROBLOX OBBY, But You Get TROLLED!",https://www.youtube.com/watch?v=q6ZeAXl0Gx8,Eves Plays,https://www.youtube.com/channel/UCu_gIEWdQl1eEwHL_ompyTQ,2026-04-06T01:45:30.112Z,1136.0,1633.22,1136.0
10 Amazing Buildings That Once Were (AI Reconstruction),https://www.youtube.com/watch?v=oMn7MgPdY1U,Matt Reconstructs History,https://www.youtube.com/channel/UCAcoda6jlC-xpxGhwW7yFZw,2026-04-06T01:27:47.683Z,1615.0,1062.429,1062.429
How US Nuclear Minuteman 3 ICBM Works?,https://www.youtube.com/watch?v=pVWI2a082pk,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-06T01:27:22.612Z,933.0,25.071,25.071
How a US F-15 Jet Was Shot Down & it's Pilot Rescued,https://www.youtube.com/watch?v=4vX67L-JjB0,AiTelly,https://www.youtube.com/channel/UCBjr2QgkUNToRbwVecMgX3Q,2026-04-06T01:10:58.428Z,916.0,984.184,916.0
Tracy Cortez weighs in For UFC 322,https://www.youtube.com/watch?v=6QVAKyiv42g,MMA Crazy,https://www.youtube.com/channel/UCz1Mrrnl2IYsb8VRoSW9gEQ,2026-04-05T18:05:48.662Z,118.0,25509.766,118.0
I Pretended To Be a NOOB with ASSASSIN CLASS in 99 Nights!,https://www.youtube.com/watch?v=47kaEV15jkk,Eves Clips,https://www.youtube.com/channel/UCaG8erS9yvwdgRRZe2ypxPg,2026-04-05T16:35:21.538Z,8449.0,5427.124,5427.124
Try Not To Laugh 😂 Funniest Cats & Dogs | Funny Animal #9,https://www.youtube.com/watch?v=VXZJG3e0JVI,lk funny,https://www.youtube.com/channel/UC0091BeG6R6ed2PRdMnxqjg,2026-04-05T16:00:52.177Z,1424.0,2069.361,1424.0
My Daughter Survives 100 HOURS ALONE,https://www.youtube.com/watch?v=FEgD8kBywsQ,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-05T06:01:09.663Z,7083.0,35982.514,7083.0
How Long Can We Secretly Live in an Amusement Park?,https://www.youtube.com/watch?v=SaWRKSpMurY,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-05T05:29:20.748Z,1745.0,1908.915,1745.0
I Secretly Followed My Daughter for 24 Hours,https://www.youtube.com/watch?v=5lCSOH4xj-4,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-05T04:55:06.688Z,1829.0,2054.06,1829.0
LIVING ALONE in ONE COLOR For 24 Hours,https://www.youtube.com/watch?v=RfgTNXGtN1k,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-05T04:25:15.028Z,1579.0,1791.66,1579.0
DRESS TO IMPRESS IRL,https://www.youtube.com/watch?v=YnDNN1HkRSQ,Jordan Matter,https://www.youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA,2026-04-05T03:53:05.547Z,1811.0,1929.481,1811.0
COPYING outfits on Dress to Impress *They were MAD!*,https://www.youtube.com/watch?v=g_qF9cfeZyk,Audra Mae,https://www.youtube.com/channel/UCmcRzlnp6pwPeWS6kOu3dyQ,2026-04-05T03:38:33.933Z,726.0,871.614,726.0
This Dress to Impress Update Created Beggars…,https://www.youtube.com/watch?v=3sOV9gGXG88,Audra Mae,https://www.youtube.com/channel/UCmcRzlnp6pwPeWS6kOu3dyQ,2026-04-05T03:33:37.953Z,1155.0,295.98,295.98
POV: I Trusted a Hacker in 99 Nights… 🥺 #roblox #99nights #99nightsintheforestroblox #povs,https://www.youtube.com/watch?v=mg7KeuPiOcU,Audra Mae,https://www.youtube.com/channel/UCmcRzlnp6pwPeWS6kOu3dyQ,2026-04-05T03:32:17.928Z,52.0,80.025,52.0
When Boyfriend Is a Fitness Coach...! #rumi #jinu #kpop #funny,https://www.youtube.com/watch?v=gxsTTrlp9Nw,Whispers Moments,https://www.youtube.com/channel/UCIFiuWniiJQG2TIIQjPrNCw,2026-04-05T03:31:56.308Z,31.0,21.62,21.62
Stupid Abby~!#rumi #abby #kpop #funny,https://www.youtube.com/watch?v=2gACkPnC3jg,Whispers Moments,https://www.youtube.com/channel/UCIFiuWniiJQG2TIIQjPrNCw,2026-04-05T03:31:13.083Z,35.0,43.225,35.0
"Guys, what do you think of my long hair? #rumi #mira #zoey #kpop #funny",https://www.youtube.com/watch?v=MdEh0wgwApQ,Whispers Moments,https://www.youtube.com/channel/UCIFiuWniiJQG2TIIQjPrNCw,2026-04-05T03:30:42.649Z,29.0,30.434,29.0
Do you think the supercar should belong to Rumi? #rumi #jinu #mira #zoey #kpop #ai #funny,https://www.youtube.com/watch?v=2SRtzDMpnBs,Whispers Moments,https://www.youtube.com/channel/UCIFiuWniiJQG2TIIQjPrNCw,2026-04-05T03:29:39.743Z,56.0,62.906,56.0
Ranking Cute Fox Moments,https://www.youtube.com/watch?v=olwvdDHW1yc,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:29:29.733Z,23.0,10.01,10.01
Ranking Golden Retriever Moments 🐶,https://www.youtube.com/watch?v=oLgDUCbmwm4,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:29:27.748Z,24.0,1.985,1.985
Ranking the Funniest Husky Moments 🐺,https://www.youtube.com/watch?v=HZkgQfHH1L0,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:28:37.478Z,24.0,50.27,24.0
Ranking the Funniest Raccoon Moments 🦝😂,https://www.youtube.com/watch?v=IF_tmPS7ZWE,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:28:36.042Z,21.0,1.436,1.436
Ranking the Cutest Otter Moments 🦦,https://www.youtube.com/watch?v=K_JrTlNUqEA,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:28:34.388Z,20.0,1.654,1.654
Ranking Funniest Capybara Moments,https://www.youtube.com/watch?v=sEyqF9WMPiI,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:28:10.653Z,20.0,23.735,20.0
Ranking the Funniest Panda Moments 🐼,https://www.youtube.com/watch?v=CF_xFuA40_8,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:27:50.027Z,19.0,20.626,19.0
Ranking the Funniest Penguin Moments 🐧,https://www.youtube.com/watch?v=bluIPSPKE6U,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:27:20.628Z,21.0,29.399,21.0
Ranking the Funniest Monkey Moments 🐒,https://www.youtube.com/watch?v=iax3nkJ3L9c,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:26:56.237Z,21.0,24.391,21.0
Ranking Cutest Meerkat Moments,https://www.youtube.com/watch?v=UOIGVLEPqx4,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:26:54.432Z,21.0,1.805,1.805
Ranking Cutest Red Panda Moments,https://www.youtube.com/watch?v=m7RAUJoGHAI,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:26:43.188Z,22.0,11.244,11.244
Ranking the Funniest Quokka Moments 🦘,https://www.youtube.com/watch?v=ra76tyhfqQI,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:26:38.908Z,22.0,4.28,4.28
Ranking Funniest Basketball Moments 😂🏀,https://www.youtube.com/watch?v=kDwQ3HI6n84,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:26:36.493Z,21.0,2.415,2.415
Ranking Funniest Duck Moments 🦆😂,https://www.youtube.com/watch?v=223kWbf6p-I,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:25:24.688Z,21.0,71.805,21.0
Ranking Crazy Weather Moments ⚡,https://www.youtube.com/watch?v=Kvg3WZ0jhtk,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:24:31.942Z,21.0,52.746,21.0
Ranking the Most Insane Gym Fails 😭💪,https://www.youtube.com/watch?v=G3Tl2JDCvGE,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:24:30.568Z,20.0,1.374,1.374
Ranking the Funniest Public Moments 😂,https://www.youtube.com/watch?v=C8z_M3EezVA,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:24:29.167Z,22.0,1.401,1.401
Ranking Most Chaotic Black Cat Moments,https://www.youtube.com/watch?v=NN554xHTbPQ,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:24:27.567Z,21.0,1.6,1.6
Ranking Top Apex Predators 🦖,https://www.youtube.com/watch?v=_UwblifMfxs,ViralSparks,https://www.youtube.com/channel/UC1s8UAfJCZpGxDdtIe-BERw,2026-04-05T03:24:23.528Z,49.0,4.039,4.039
