title,link,channel,channel_link,date,video_length,time_diff,watch_time
DTS A&B 30 50PERCENT,https://www.youtube.com/watch?v=koDfK2A2mig,,,2026-03-26T19:08:45.241Z,31.0,,31.0
How to manage your work with clarity using monday.com,https://www.youtube.com/watch?v=xocaZJaMFvM,,,2026-03-26T16:55:01.213Z,70.0,8024.028,70.0
"What Alcohol Does to Your Body, Brain & Health",https://www.youtube.com/watch?v=DkS1pkKpILY,Andrew Huberman,https://www.youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg,2026-03-26T16:36:30.678Z,7262.0,1110.535,1110.535
Your Base44 Superagent is waiting,https://www.youtube.com/watch?v=dPq_rlzHYmw,,,2026-03-26T16:36:14.934Z,44.0,15.744,15.744
#467 Co Mężczyźni Próbują Ukryć Alkoholem? Jak Wóda Niszczy Polskie Społeczeństwo? Robert Rutkowski,https://www.youtube.com/watch?v=UMRsOSHcFPc,Przemek Górczyk Podcast,https://www.youtube.com/channel/UCrKY6A2xsHXgw3MK9mkan5w,2026-03-26T16:30:12.034Z,5017.0,362.9,362.9
Alkohol jest ciężkim narkotykiem. Prawdziwe koszty nałogu | Robert Rutkowski,https://www.youtube.com/watch?v=h0eIC6zfmKQ,Rezultaty,https://www.youtube.com/channel/UCHLJtn227JgHhTJiQTQ4CGg,2026-03-26T16:30:07.626Z,3727.0,4.408,4.408
Suno AD Reviews 10sec 920x1080,https://www.youtube.com/watch?v=We7xD817V78,,,2026-03-26T16:29:57.057Z,11.0,10.569,10.569
Premium Wireless for $15 Bucks a Month | Mint Mobile,https://www.youtube.com/watch?v=e5BNMNcSKLs,,,2026-03-26T01:46:17.223Z,31.0,53019.834,31.0
"""I wanted to check my FICO® Score but it does so much more"" – Experian App",https://www.youtube.com/watch?v=uhH5mnApuSQ,,,2026-03-26T01:46:08.989Z,16.0,8.234,8.234
NaturesBlend NeverKibbled 15 retail 16x9 260226,https://www.youtube.com/watch?v=ieiByeMPZmE,,,2026-03-26T01:45:53.809Z,16.0,15.18,15.18
"You say ""dream pizza"" we say ""It's just $9.99"" oh and ""you're welcome."" ❤️‍🔥🤤🍕",https://www.youtube.com/watch?v=uyrme_gxRG0,,,2026-03-26T01:45:47.665Z,7.0,6.144,6.144
GetYourGuide - Discover & book things to do,https://www.youtube.com/watch?v=KdcNAYvVIZQ,,,2026-03-26T01:45:41.532Z,6.0,6.133,6.0
Gundam Base Chicago Now Open,https://www.youtube.com/watch?v=NC2vZSRYkL4,,,2026-03-26T01:39:51.410Z,41.0,350.122,41.0
Upwork | Hire Trusted AI Experts to Power Your Business Forward,https://www.youtube.com/watch?v=Mmr3jhUsDj4,,,2026-03-26T01:39:35.926Z,16.0,15.484,15.484
Evergreen Toggle GAC 6s 16 9,https://www.youtube.com/watch?v=YnPaSrL1ky0,,,2026-03-26T01:39:29.750Z,7.0,6.176,6.176
KAYAK: How it feels to book a rental car,https://www.youtube.com/watch?v=WdrKeU1bppQ,,,2026-03-26T01:39:23.622Z,7.0,6.128,6.128
