title,link,channel,channel_link,date,video_length,time_diff,watch_time
"No Ads • Deep Sleeping Journey For Adhd • Healing Of Stress, Anxiety & Emotional Burnout States",https://www.youtube.com/watch?v=ftNjWhrAZK4,Deep Sleeping Music,https://www.youtube.com/channel/UC_7k_ljdrehYtLbUz4voAzQ,2026-04-15T02:42:02.868Z,12813.0,,12813.0
Why Doesn't Portugal Speak Spanish?,https://www.youtube.com/watch?v=S6Gm7JqNNk8,History With Hilbert,https://www.youtube.com/channel/UC1Zc6_BhPXiCWZlrZP4EsEg,2026-04-15T02:37:54.310Z,837.0,248.558,248.558
Apple M5 MacBook Air: The Only Laptop You Should Buy,https://www.youtube.com/watch?v=ORBJSgQMav8,Adam Talks Tech,https://www.youtube.com/channel/UCzoBk0tFboHpD84XhWnNFKA,2026-04-15T02:24:25.783Z,865.0,808.527,808.527
Salamanca Twins Take Down an Entire Crew | Better Call Saul (Michael Mando),https://www.youtube.com/watch?v=fZHOT5cHjBw,Crime City,https://www.youtube.com/channel/UC-EAAZq8FySRsFKcc7wMXIA,2026-04-15T02:22:36.218Z,282.0,109.565,109.565
The Salamanca Twins Storm Through A Crime Scene | Wine And Roses | Better Call Saul,https://www.youtube.com/watch?v=3AR_lGNzjpU,Breaking Bad & Better Call Saul,https://www.youtube.com/channel/UCc0YbtMkRdhcqwhu3Oad-lw,2026-04-15T02:20:04.356Z,168.0,151.862,151.862
Breaking Bad | Salamanca Twins Cross the US Border,https://www.youtube.com/watch?v=PqSu_CMX3NY,Crime City,https://www.youtube.com/channel/UC-EAAZq8FySRsFKcc7wMXIA,2026-04-15T02:15:43.102Z,258.0,261.254,258.0
Breaking bad Tucos Cousins (Santa Muerte scene),https://www.youtube.com/watch?v=uiOi_jT58Gk,BackontheBayou,https://www.youtube.com/channel/UCqtSRoPlK6X8FJD82-KFGBw,2026-04-15T02:13:02.246Z,156.0,160.856,156.0
Eladio Sees Hate In Gus' Eyes | Fun and Games | Better Call Saul,https://www.youtube.com/watch?v=CB6Hi0Cmwg0,Breaking Bad & Better Call Saul,https://www.youtube.com/channel/UCc0YbtMkRdhcqwhu3Oad-lw,2026-04-15T02:07:05.602Z,301.0,356.644,301.0
America's Hasan Piker Problem | HasanAbi Reacts to Leeja Miller,https://www.youtube.com/watch?v=euTQUHzMZ0A,HasanAbi Archive,https://www.youtube.com/channel/UCc30Q1bAxLtfzeS_jh7J5wQ,2026-04-15T01:37:35.600Z,3034.0,1770.002,1770.002
How Michael Tested Hyman Roth and Saw Through His Lies,https://www.youtube.com/watch?v=UGdH1nb_e-g,MAFIA CLASSICS,https://www.youtube.com/channel/UC738EmIyZxP4X0-NDWlBebA,2026-04-15T01:23:40.021Z,,835.579,835.579
The Hasan Situation Just Took An Incredible Turn,https://www.youtube.com/watch?v=qiTJx16wXVw,Vaush,https://www.youtube.com/channel/UC1E-JS8L0j1Ei70D9VEFrPQ,2026-04-15T01:21:20.850Z,1246.0,139.171,139.171
"""WE WON""",https://www.youtube.com/watch?v=knSdS_jmEfY,HasanAbi,https://www.youtube.com/channel/UCtoaZpBnrd0lhycxYJ4MNOQ,2026-04-15T01:19:18.022Z,984.0,122.828,122.828
What Hungary’s Election Means for Europe,https://www.youtube.com/watch?v=HP-45wAa-1s,TLDR News EU,https://www.youtube.com/channel/UC-eegKVWEgBCa4OzjnK_PtA,2026-04-14T11:39:48.849Z,579.0,49169.173,579.0
"No Ads • Deep Sleeping Journey For Adhd • Healing Of Stress, Anxiety & Emotional Burnout States",https://www.youtube.com/watch?v=ftNjWhrAZK4,Deep Sleeping Music,https://www.youtube.com/channel/UC_7k_ljdrehYtLbUz4voAzQ,2026-04-14T03:00:53.108Z,12813.0,31135.741,12813.0
