title,link,channel,channel_link,date,video_length,time_diff,watch_time
Video Games Are Not for Men Anymore,https://www.youtube.com/watch?v=szPRwPwhtqA,Real Life Fake Wizard,https://www.youtube.com/channel/UCLCOaNcR6kSbI1OXu83uipg,2026-03-08T14:00:38.719Z,1120.0,,1120.0
Entertainment has been Culturally Colonized,https://www.youtube.com/watch?v=JCHQo0QTxXQ,Real Life Fake Wizard,https://www.youtube.com/channel/UCLCOaNcR6kSbI1OXu83uipg,2026-03-08T13:46:01.992Z,1223.0,876.727,876.727
Billie Eilish Debunks Billionaire Charity,https://www.youtube.com/watch?v=aNZ7mE82UJ0,Robert Reich,https://www.youtube.com/channel/UCuDv5p8E-evaRSh542hDV5g,2026-03-08T13:37:46.833Z,320.0,495.159,320.0
Your Cat Doesn’t See You as Human (Here’s What You Really Are to Them),https://www.youtube.com/watch?v=JrVsjkj__HU,Felune,https://www.youtube.com/channel/UCmKjefsbN1_nOS0rIUdlo9Q,2026-03-08T13:25:42.006Z,467.0,724.827,467.0
"How to Leave Big Tech | The Ultimate Beginner’s Guide (Browsers, Cloud, Social Media & More!)",https://www.youtube.com/watch?v=z1Qtq-v_W6Y,Laura Malvoyante,https://www.youtube.com/channel/UCsVtXa3VN-aQd_HqMYb7uJg,2026-03-08T13:24:26.461Z,1121.0,75.545,75.545
How Oil Propaganda Sneaks Into TV Shows | Climate Town,https://www.youtube.com/watch?v=wBC_bug5DIQ,Climate Town,https://www.youtube.com/channel/UCuVLG9pThvBABcYCm7pkNkA,2026-03-08T12:52:29.402Z,1863.0,1917.059,1863.0
17 Big Restaurant Chains That Are Falling Apart  in 2026,https://www.youtube.com/watch?v=vejbWHhlck8,Behind the States,https://www.youtube.com/channel/UCChsZ5vLl8WUl7ZX6e6wkAA,2026-03-08T12:26:19.599Z,2236.0,1569.803,1569.803
The Bad Driver Epidemic,https://www.youtube.com/watch?v=JU7czSnY40c,Bladed Angel,https://www.youtube.com/channel/UCQOjhHT7NdXF1TiZE5lzxBw,2026-03-08T12:24:21.374Z,1191.0,118.225,118.225
The Cash For Clunkers Scam (How They Destroyed The American Car),https://www.youtube.com/watch?v=bblbKnnDkP4,Truck Guide,https://www.youtube.com/channel/UCs-vf7z5oWuJUeakWrl9miA,2026-03-08T11:20:36.689Z,512.0,3824.685,512.0
How Your Parents Ruined Driving,https://www.youtube.com/watch?v=JPm4de6-eTg,Climate Town,https://www.youtube.com/channel/UCuVLG9pThvBABcYCm7pkNkA,2026-03-08T10:45:56.539Z,2350.0,2080.15,2080.15
"I Left Chrome, and So Should You",https://www.youtube.com/watch?v=QTzpTAtds2c,Switch and Click,https://www.youtube.com/channel/UCT6AJiTYspOILBK3hMWEq2g,2026-03-08T10:31:27.276Z,993.0,869.263,869.263
Why You Can't Fix Your Own Car Anymore (The End of DIY),https://www.youtube.com/watch?v=X-rCMV861uw,Truck Guide,https://www.youtube.com/channel/UCs-vf7z5oWuJUeakWrl9miA,2026-03-08T10:06:32.716Z,465.0,1494.56,465.0
The Death of Schwinn: How Private Equity Killed an American Icon,https://www.youtube.com/watch?v=h84doMc9C7g,Truck Guide,https://www.youtube.com/channel/UCs-vf7z5oWuJUeakWrl9miA,2026-03-08T09:59:04.761Z,430.0,447.955,430.0
Why Smart Drivers Are Buying 20-Year-Old Cars (The 'Pre-Screen' Loophole),https://www.youtube.com/watch?v=M2HVIzouexM,Truck Guide,https://www.youtube.com/channel/UCs-vf7z5oWuJUeakWrl9miA,2026-03-08T09:55:53.060Z,485.0,191.701,191.701
The Scariest Book I've Read in Years | There Is No Antimemetics Division,https://www.youtube.com/watch?v=xGqnfsGj4eM,Quinn's Ideas,https://www.youtube.com/channel/UC1rFmaGLYr0Ve_Y_soxZNWQ,2026-03-08T09:43:05.253Z,1361.0,767.807,767.807
Neil deGrasse Tyson's TAKEDOWN of Religion 🧠Part 1: Logic vs. Faith,https://www.youtube.com/watch?v=1gUTBX8ERhQ,The Free Thinker,https://www.youtube.com/channel/UC8L1jBMt78yVb07stlhXjQQ,2026-03-08T09:23:00.439Z,1166.0,1204.814,1166.0
TOP 20 NES Games - Retro Bird,https://www.youtube.com/watch?v=5YtRxL_SGQA,Retro Bird,https://www.youtube.com/channel/UC9L4gU9wd7ImK8vP4WnJ_wQ,2026-03-08T09:22:19.311Z,1119.0,41.128,41.128
mini Amazon Deal Alert - Big Savings ,https://www.youtube.com/watch?v=6ogjBN3Soso,704 Gear,https://www.youtube.com/channel/UCU5ZAa0CoHeSzWCetJn4PQw,2026-03-08T09:21:50.627Z,354.0,28.684,28.684
"If Your Cat Puts Their Paw on You, They're Trying To Tell You This…",https://www.youtube.com/watch?v=qAx_pM_1lNM,Felune,https://www.youtube.com/channel/UCmKjefsbN1_nOS0rIUdlo9Q,2026-03-08T09:14:29.870Z,439.0,440.757,439.0
Extremely Graphic Hidden Gem Movies I Strongly Recommend,https://www.youtube.com/watch?v=ctd6pSl0b_8,Flick Connection,https://www.youtube.com/channel/UCT09qC2vwlbJvofZRIdLalg,2026-03-07T13:08:27.414Z,1031.0,72362.456,1031.0
10 NEW 2026 Handguns You DO NOT WANT,https://www.youtube.com/watch?v=ccwznzf1jlA,TheFirearmGuy,https://www.youtube.com/channel/UCw8FfNmFLI0LfvKt7xbf33w,2026-03-07T13:02:56.636Z,525.0,330.778,330.778
Ren & Stimpy - The 90s Show They'd Never Make Today,https://www.youtube.com/watch?v=8h-lgLgTtbw,Loving The 90's,https://www.youtube.com/channel/UCfbwNBSw4SgXkfepLyqW8-Q,2026-03-07T12:38:19.524Z,1500.0,1477.112,1477.112
Berserk 1997 Is Special,https://www.youtube.com/watch?v=PDM0Kq8tSuU,grim,https://www.youtube.com/channel/UCQuAL5PQIv7_ljTFuj_o9gA,2026-03-07T11:45:26.231Z,950.0,3173.293,950.0
Samurai Champloo Hurts To Watch,https://www.youtube.com/watch?v=vnUjBPXKFw8,No Bones,https://www.youtube.com/channel/UCQ34-Umqv6w91m99Qn-Qrug,2026-03-07T11:26:48.968Z,545.0,1117.263,545.0
I Never Understood Cowboy Bebop..,https://www.youtube.com/watch?v=adAVk2-JStE,Mugen,https://www.youtube.com/channel/UCqUEnZcBs9vCyXV6bzs8uHw,2026-03-07T11:26:12.977Z,1648.0,35.991,35.991
"Why I ""DOWNGRADED"" to XBOX 360 in 2025",https://www.youtube.com/watch?v=qsBYxLZV-h0,humblemud,https://www.youtube.com/channel/UCXOeCt3bFa8-yrLaF22Kk9A,2026-03-07T10:51:49.574Z,1244.0,2063.403,1244.0
Buying And Playing A PS4 In 2026: Is It Still Worth It?,https://www.youtube.com/watch?v=JxqT9u_ewEc,THE GAME THRIFTER,https://www.youtube.com/channel/UCTfsmZEvFmDgD2gWTPw0jdw,2026-03-07T10:30:24.235Z,1314.0,1285.339,1285.339
Finally a 5.7 For Carry: PSA 5.7 Rock Compact First Shots,https://www.youtube.com/watch?v=jI1xGm2MeCo,Honest Outlaw,https://www.youtube.com/channel/UCG1_A0jPBGZUpRW7XkaaBkg,2026-03-07T10:08:21.337Z,764.0,1322.898,764.0
OVERTURNED | U.S. VS Chief Brad Wendt - Palmetto State Armory,https://www.youtube.com/watch?v=l4BknaFMClg,Palmetto State Armory,https://www.youtube.com/channel/UCdYSzW6DFE3j14l5YeG1nJA,2026-03-07T09:16:29.613Z,127.0,3111.724,127.0
When Christopher Hitchens BROKE Frank Turek’s Christianity — It Was Brutal,https://www.youtube.com/watch?v=2IbAvQKj5pE,Skeptic Scriptura,https://www.youtube.com/channel/UCR6Dkn0axu1VCFOjbHYbGnQ,2026-03-07T09:12:41.247Z,1206.0,228.366,228.366
An atheist explains the most convincing argument for God | Alex O'Connor,https://www.youtube.com/watch?v=t44PFI_V4LE,Big Think Clips,https://www.youtube.com/channel/UC5Jnt7OgEHro3W7kr-jjCrw,2026-03-07T08:36:39.349Z,1236.0,2161.898,1236.0
Anti-Racism Educator Jane Elliott DROPS a Brutal Truth About Racism — The White House Was NOT Ready,https://www.youtube.com/watch?v=5GIg1DaMQ7A,ClintonXplorer News,https://www.youtube.com/channel/UC_DvR8afxURQtFAxcGaW3DQ,2026-03-07T06:58:28.499Z,,5890.85,5890.85
The uncomfortable question you should ask on every first date | Alain de Botton,https://www.youtube.com/watch?v=tWDcqt-Xj2w,Big Think Clips,https://www.youtube.com/channel/UC5Jnt7OgEHro3W7kr-jjCrw,2026-03-07T06:41:02.737Z,1414.0,1045.762,1045.762
Brian Cox: The terrifying possibility of the Great Filter,https://www.youtube.com/watch?v=rXfFACs24zU,Big Think Clips,https://www.youtube.com/channel/UC5Jnt7OgEHro3W7kr-jjCrw,2026-03-07T06:18:02.006Z,1379.0,1380.731,1379.0
Friday Deal Alert + I Need Your Help ,https://www.youtube.com/watch?v=xmGUrzLotdc,704 TACTICAL,https://www.youtube.com/channel/UCUkYVUu7QjWdziOGWKudEAg,2026-03-07T06:14:10.907Z,367.0,231.099,231.099
#41,https://www.youtube.com/watch?v=SYCxdWaN6iU,Dave Matthews Band - Topic,https://www.youtube.com/channel/UCSJdKxr7mpS_jUj1-YqVkKA,2026-03-06T16:55:21.730Z,400.0,47929.177,400.0
Fink - 'White Flag (Live in Köln)' (Official Audio),https://www.youtube.com/watch?v=2UV-wh7ROfw,Fink,https://www.youtube.com/channel/UCgceacGqHbHeF19L8sCVKyg,2026-03-06T16:48:52.043Z,381.0,389.687,381.0
The End Of The Ocean - We Always Think There Is Going To Be More Time,https://www.youtube.com/watch?v=jnHbaQNlgzg,The End Of The Ocean,https://www.youtube.com/channel/UC2L0WLte6p_HWadHZnXugMg,2026-03-06T16:41:17.057Z,435.0,454.986,435.0
The Airborne Toxic Event - The Fifth Day (Audio),https://www.youtube.com/watch?v=Adg_kX1FxS4,AirborneToxicEvtVEVO,https://www.youtube.com/channel/UCNXla54Mf24NeMHEA8c6Z9w,2026-03-06T16:35:05.687Z,371.0,371.37,371.0
FINK - One Last Gift (acoustic),https://www.youtube.com/watch?v=_l5YmwbIYaQ,Fink,https://www.youtube.com/channel/UCgceacGqHbHeF19L8sCVKyg,2026-03-06T16:29:40.195Z,321.0,325.492,321.0
