title,link,channel,channel_link,date,video_length,time_diff,watch_time
"I'm no naming expert but finding a kitty at Pizza Hut feels like fate!  ""Pepperoni"" or ""Mozzarella?",https://www.youtube.com/watch?v=f5kzVOqWviU,AskMyCats,https://www.youtube.com/channel/UCgQTkQoPd5BC4CDBSE6i9mw,2026-01-30T17:45:28.332Z,13.0,,13.0
"Power should answer to people, not rule over them... 😳😳😳 #truelife #edwardgrobinson",https://www.youtube.com/watch?v=dWyPW4hqMYg,TOONFY CLIP,https://www.youtube.com/channel/UCKpc0qlseLGu4O84000c_5Q,2026-01-30T17:45:27.087Z,,1.245,1.245
Trump & Epstein #lastweektonight,https://www.youtube.com/watch?v=SLVL_wg3Hz0,LastWeekTonight,https://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,2026-01-30T17:43:04.789Z,159.0,142.298,142.298
A racist cop tries to illegally search the county sheriff’s car,https://www.youtube.com/watch?v=Z-vFpWAufHk,Court Case Files,https://www.youtube.com/channel/UC_C0yNPch8NzONrrecV2kfQ,2026-01-30T17:41:19.741Z,,105.048,105.048
I’ve compiled a list for you Donnie. #usvisa #immigration #uscitizenship,https://www.youtube.com/watch?v=fs7tvJgvHuc,Caitlin Speaks ,https://www.youtube.com/channel/UCKsUP9YJh241mnJejDAIeBA,2026-01-30T17:39:38.189Z,99.0,101.552,99.0
‘You Don't Look Very Native American To Me',https://www.youtube.com/watch?v=BDTfk5m7Dd8,Zeteo,https://www.youtube.com/channel/UCVG72F2Q5yCmLQfctNK6M2A,2026-01-30T17:37:54.476Z,107.0,103.713,103.713
This 5 year old pianist made everyone cry..🥹,https://www.youtube.com/watch?v=qfgQGhhgU0I,Violin Phonix,https://www.youtube.com/channel/UC4YyKY5o60Kckk-GXOnhT2g,2026-01-30T17:35:38.907Z,141.0,135.569,135.569
Woody Harrelson SLAMS Donald Trump #woodyharrelson #trump #democrats,https://www.youtube.com/watch?v=EeNGWsOz9uo,Celebs AgainstTrump,https://www.youtube.com/channel/UCVhSS17jxUOueWmIUYfQcWg,2026-01-30T17:34:27.837Z,58.0,71.07,58.0
Trump & Epstein #lastweektonight,https://www.youtube.com/watch?v=R_VsQdf4dgc,LastWeekTonight,https://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,2026-01-30T17:31:49.617Z,159.0,158.22,158.22
Reason Why America Is Not Doing So Great Today | Ronny Chieng,https://www.youtube.com/watch?v=i1Hi_hacvN4,Stand Up Comedy Tv,https://www.youtube.com/channel/UCnvO-YkygUt2b6GfnqYfxKw,2026-01-30T17:30:10.240Z,98.0,99.377,98.0
Tommy Chong DESTROYS Trump #tommychong #trump #democrats,https://www.youtube.com/watch?v=qKK4zb4pt4s,Celebs AgainstTrump,https://www.youtube.com/channel/UCVhSS17jxUOueWmIUYfQcWg,2026-01-30T17:29:10.150Z,46.0,60.09,46.0
Comer PANICS As Rep. Garcia Reads The List,https://www.youtube.com/watch?v=Dg8j8hk9JBE,Daniel Reed,https://www.youtube.com/channel/UCCwQyRHW5mzagIMU6FLTH9A,2026-01-30T17:16:59.749Z,672.0,730.401,672.0
Kash Patel Throws Tantrum After Schiff Questions on Epstein Files,https://www.youtube.com/watch?v=Bf0mWT9iMtI,Sen. Adam Schiff,https://www.youtube.com/channel/UCadiUi-KZoFk1K5ZDsluLcA,2026-01-30T17:16:37.686Z,737.0,22.063,22.063
"Schiff READS Classified File LIVE — Patel's Face Goes WHITE, Security Rushes In After ONE Name",https://www.youtube.com/watch?v=gP13SFYXyJs,The Patel Report,https://www.youtube.com/channel/UCftUwav0Av97LwlQ-m0G1sw,2026-01-30T17:16:27.804Z,870.0,9.882,9.882
Republican MELTS DOWN after Jack Smith checks him on law,https://www.youtube.com/watch?v=mvLstLNXYiM,Daniel Reed,https://www.youtube.com/channel/UCCwQyRHW5mzagIMU6FLTH9A,2026-01-30T17:16:19.592Z,664.0,8.212,8.212
Top Justice Dept. Official Disputes ICE Allegations on National TV Amid Minnesota Protests,https://www.youtube.com/watch?v=ll8DjFyxEpc,Note To Self Stories ,https://www.youtube.com/channel/UCdftNEyIPvJQt6IWG09gOEQ,2026-01-30T17:13:50.145Z,,149.447,149.447
The Last Word with Lawrence O'Donnell - Jan. 29 | Audio Only,https://www.youtube.com/watch?v=4AKCAJnPND8,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-30T16:41:14.790Z,2581.0,1955.355,1955.355
Gov. Tim Walz EXITS Politics Amid DOJ Chaos,https://www.youtube.com/watch?v=X3HJLEayqM0,David Feldman,https://www.youtube.com/channel/UCPx_etxYtUYRyrdOszrDA0g,2026-01-30T16:23:31.945Z,3187.0,1062.845,1062.845
‘F*CK THIS!’: ICE Agents TURN On Trump & REVOLT In SECRET LEAKS | The Kyle Kulinski Show,https://www.youtube.com/watch?v=YnYIOzI94lY,Secular Talk,https://www.youtube.com/channel/UCldfgbzNILYZA4dmDt4Cd6A,2026-01-30T06:52:08.338Z,839.0,34283.607,839.0
MAGA Star RAGES After Musicians DROP OUT Of Festival,https://www.youtube.com/watch?v=0uA4ljRi4DQ,Really American,https://www.youtube.com/channel/UCpJ7ZS8hK-IOeciv952Xhug,2026-01-30T06:50:12.958Z,683.0,115.38,115.38
LIVE: MeidasTouch RESPONDS to MAJOR BREAKING NEWS - 1/29/26,https://www.youtube.com/watch?v=p6EnPZ9oLgk,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-30T06:47:26.708Z,4507.0,166.25,166.25
PSAKI BOMBS! No One Likes Ted Cruz / Wembanyama Speaks Out / Melania's Flop / Hannity Gets Owned,https://www.youtube.com/watch?v=FdZRcAF4gkc,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-30T06:38:52.396Z,974.0,514.312,514.312
MS NOW Highlights - Jan. 29,https://www.youtube.com/watch?v=TfBZwlGHky8,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-30T05:57:07.754Z,2498.0,2504.642,2498.0
"Springsteen's Scathing Protest | Italy: No ICE | Trump Threatens MAGA Donors | Skipping ""Melania""",https://www.youtube.com/watch?v=d88QPtB1nWk,The Late Show with Stephen Colbert,https://www.youtube.com/channel/UCMtFAi84ehTSYSE9XoHefig,2026-01-30T05:44:03.405Z,778.0,784.349,778.0
Trump's Cabinet Praises His Made Up Accomplishments,https://www.youtube.com/watch?v=GgvTT5TTj1E,Mary Trump Media,https://www.youtube.com/channel/UCSzRlpPbZTA6b8weTKnSHlA,2026-01-30T04:57:44.222Z,2812.0,2779.183,2779.183
Justice Department official gets BAD NEWS over Epstein files,https://www.youtube.com/watch?v=64dr9ChPTXg,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-01-30T04:48:16.490Z,970.0,567.732,567.732
BOMBSHELL: Trump official CAUGHT in ELECTION scheme,https://www.youtube.com/watch?v=qd0bIMXOaWQ,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-01-30T04:29:01.799Z,1148.0,1154.691,1148.0
"Trump vet warns: It’s about stealing elections, not deportation! ",https://www.youtube.com/watch?v=bdfKsE6dX_Q,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-30T04:16:54.310Z,721.0,727.489,721.0
Minnesota judge says ICE violated nearly 100 court orders,https://www.youtube.com/watch?v=HQxpQ2h0mDQ,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-30T04:05:33.562Z,675.0,680.748,675.0
Trump’s ICE Crackdown Is a 2026 Election Test Run | Sen. Tina Smith,https://www.youtube.com/watch?v=Wj9J63zyMqg,Democracy Docket,https://www.youtube.com/channel/UCWmMgbc1g6g5O8Tn_-k5qgA,2026-01-30T03:31:49.530Z,2022.0,2024.032,2022.0
Border czar Homan announces plans to 'draw down' federal forces in Minneapolis,https://www.youtube.com/watch?v=ufqg0bpN8kM,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-01-30T03:26:41.800Z,302.0,307.73,302.0
WATCH LIVE: Senate Democrats block government funding package over DHS demands,https://www.youtube.com/watch?v=_39qocZQLik,PBS NewsHour,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2026-01-29T17:29:24.097Z,42897.0,35837.703,35837.703
The Last Word with Lawrence O'Donnell - Jan. 28 | Audio Only,https://www.youtube.com/watch?v=oP8DAYJk2R4,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T16:40:13.577Z,2567.0,2950.52,2567.0
Minnesota attorney general drops BAD NEWS for Trump & ICE,https://www.youtube.com/watch?v=olBDJZGsjxw,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-01-29T16:20:26.713Z,1181.0,1186.864,1181.0
Noem Blames Stephen Miller| Schumer De-Icing Budget| Bondi Stealing Midterms| Ilhan Omar Attacked,https://www.youtube.com/watch?v=IHOxk2as80I,David Feldman,https://www.youtube.com/channel/UCPx_etxYtUYRyrdOszrDA0g,2026-01-29T15:28:18.646Z,3104.0,3128.067,3104.0
https://www.youtube.com/watch?v=nwmvN0Qpktk,https://www.youtube.com/watch?v=nwmvN0Qpktk,,,2026-01-29T15:25:44.174Z,,154.472,154.472
“Shut the f— up!” Brian Tyler Cohen SHUTS DOWN conservatives in FIERY debate,https://www.youtube.com/watch?v=wLvg1GEb4iA,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-01-29T15:24:31.300Z,752.0,72.874,72.874
Is Trump's Rhetoric Getting Dem Reps ATTACKED? w/ Mary Trump,https://www.youtube.com/watch?v=1O5IxG3NHX0,Fast Politics w/ Molly Jong-Fast,https://www.youtube.com/channel/UCZBa6jNegMZjpYOE9z8oz7g,2026-01-29T15:24:08.830Z,1155.0,22.47,22.47
"‘It Restricts Use Of…’: Mark Kelly Unveils Bill To Stop ICE Killings In Fiery Speech On Trump, Noem",https://www.youtube.com/watch?v=41tcpO-3DQs,Hook Global,https://www.youtube.com/channel/UCyri-PL3l4Dn9IooWXQAqfA,2026-01-29T15:20:46.652Z,897.0,202.178,202.178
Trump gets RUDE AWAKENING as HE TANKS…IN IOWA!!,https://www.youtube.com/watch?v=Ka7l95EKOyk,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T15:18:48.564Z,1346.0,118.088,118.088
MS NOW Highlights - Jan. 27,https://www.youtube.com/watch?v=SHNQ2seOo8o,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T15:10:37.801Z,2542.0,490.763,490.763
MS NOW Highlights - Jan. 28,https://www.youtube.com/watch?v=y2daxoeblO8,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T15:09:34.918Z,1999.0,62.883,62.883
Trump SPIRALS ALL NIGHT as 25TH AMENDMENT NEEDED!!!,https://www.youtube.com/watch?v=5TgIvX6vo98,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T13:11:48.561Z,1060.0,7066.357,1060.0
DHS officers who shot Alex Pretti were placed on administrative leave,https://www.youtube.com/watch?v=qlFSKAXg4aE,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T12:15:04.402Z,775.0,3404.159,775.0
Legal Strategy Has Proven Record Against White Supremacist Groups | Rachel Maddow | MSNBC,https://www.youtube.com/watch?v=G1HdmjDXv7Q,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T12:10:50.985Z,1339.0,253.417,253.417
Investigators Checking If President Trump Lying Includes Financial Docs | Rachel Maddow | MSNBC,https://www.youtube.com/watch?v=6M6zK017XRU,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T11:46:37.570Z,1447.0,1453.415,1447.0
"Unlike Richard Nixon, Donald Trump Misconduct Piling Up In Full Public View | Rachel Maddow | MSNBC",https://www.youtube.com/watch?v=T-Bb2R9jncQ,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T11:26:39.799Z,1507.0,1197.771,1197.771
"Lawrence: As criminal as Nixon was, he had more respect for the Constitution than Trump",https://www.youtube.com/watch?v=HauAJVQVvLU,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T10:27:06.920Z,1042.0,3572.879,1042.0
https://www.youtube.com/watch?v=slWXt0Xsthc,https://www.youtube.com/watch?v=slWXt0Xsthc,,,2026-01-29T10:22:00.162Z,,306.758,306.758
FURIOUS GOP Judge ORDERS CONTEMPT of Trump ADMIN!!!,https://www.youtube.com/watch?v=YOkdbwuUGDU,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T09:58:03.917Z,1112.0,1436.245,1112.0
Global Leaders Turn on Trump Regime,https://www.youtube.com/watch?v=ULZwf1Go6EY,Mary Trump Media,https://www.youtube.com/channel/UCSzRlpPbZTA6b8weTKnSHlA,2026-01-29T09:57:43.348Z,911.0,20.569,20.569
LIVE: Trump DOJ in CRISIS MODE as Nation REBUKES Trump | Legal AF,https://www.youtube.com/watch?v=68g037h80wM,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T07:24:33.404Z,4931.0,9189.944,4931.0
🚨Rubio FOLDS under AGGRESSIVE CROSS-EXAM at Hearing,https://www.youtube.com/watch?v=oav6EEfwVGU,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T06:54:18.525Z,1868.0,1814.879,1814.879
The ICE Age of Surveillance and Enforcement | The Weekly Show with Jon Stewart,https://www.youtube.com/watch?v=_hEhGuj5LwI,The Weekly Show with Jon Stewart,https://www.youtube.com/channel/UCQlJ7XpBtiMLKNSd4RAJmRQ,2026-01-29T06:52:40.028Z,5389.0,98.497,98.497
"Trump Meets #1 Fan Nicki Minaj, Has Repulsive Reaction to Ilhan Omar Attack & Still No Epstein Files",https://www.youtube.com/watch?v=IhAXXY4SqW0,Jimmy Kimmel Live,https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,2026-01-29T06:35:16.938Z,1037.0,1043.09,1037.0
ICE Outrage Goes Viral | White House Blame Game | Ilhan Omar: Tough Under Pressure | Poo-tomac River,https://www.youtube.com/watch?v=SN3vdDKct9o,The Late Show with Stephen Colbert,https://www.youtube.com/channel/UCMtFAi84ehTSYSE9XoHefig,2026-01-29T06:23:22.863Z,708.0,714.075,708.0
Homan Emerges as Trump's Enforcer| Noem Sidelined| Noem's Grift| Noem's Boyfriend,https://www.youtube.com/watch?v=eAWKDqjGWPU,David Feldman,https://www.youtube.com/channel/UCPx_etxYtUYRyrdOszrDA0g,2026-01-29T06:13:54.684Z,562.0,568.179,562.0
"Slotkin delivers speech on Minneapolis and calls for Noem to resign, be fired or be impeached",https://www.youtube.com/watch?v=nDgsWcp-6y4,Sen. Elissa Slotkin,https://www.youtube.com/channel/UCavPE_osOr5wM3QYUzfs95A,2026-01-29T06:08:59.660Z,874.0,295.024,295.024
Sen. Slotkin on DHS Secretary Kristi Noem: 'The president should fire her',https://www.youtube.com/watch?v=IK2dKY8uxUQ,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-01-29T06:04:09.903Z,284.0,289.757,284.0
Compared us to Venezuela: Walz slams Trump & Homan deployment in Minnesota | MS NOW FULL INTERVIEW,https://www.youtube.com/watch?v=YzqwCdaKkcs,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-29T05:32:34.388Z,1899.0,1895.515,1895.515
"LIVE: Minneapolis, Stephen Miller, Authoritarianism and a Nation in Decline.",https://www.youtube.com/watch?v=iSqJIciG5Js,Senator Bernie Sanders,https://www.youtube.com/channel/UCD_DaKNac0Ta-2PeHuoQ1uA,2026-01-29T04:59:07.887Z,2001.0,2006.501,2001.0
LIVE: MAGA gets UNCOVERED as Trump Officials TURN AGAINST Each Other,https://www.youtube.com/watch?v=zqNq5y0-s-0,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-29T03:27:20.205Z,5501.0,5507.682,5501.0
LIVE: Trump CRUSHED by Complete LEGAL IMPLOSION and it KEEPS GETTING WORSE  | Legal AF,https://www.youtube.com/watch?v=SAAqypMV6uI,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-01-28T15:46:58.804Z,5165.0,42021.401,5165.0
LIVE: Mayor Jacob Frey holds media availability on ICE-related shooting in Minneapolis,https://www.youtube.com/watch?v=HzTfaT__h9k,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-28T15:17:03.086Z,1790.0,1795.718,1790.0
MS NOW reacts to Jack Smith's historic hearing,https://www.youtube.com/watch?v=li5jHuKpayg,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-01-28T14:32:36.434Z,2660.0,2666.652,2660.0
