title,link,channel,channel_link,date,video_length,time_diff,watch_time
Vinny - Cookie's Bustle,https://www.youtube.com/watch?v=nQrUUlOwFU4,JohnnyMonke,https://www.youtube.com/channel/UCkYWiGHq7DEjI3xTI7n9Ikg,2026-03-29T09:16:10.077Z,6515.0,,6515.0
HP Printer Baby - Advert,https://www.youtube.com/watch?v=p5V7bOBOJD4,MrRandom42011,https://www.youtube.com/channel/UCbpoOB9MSlQy4cCxeRXPmaA,2026-03-29T08:28:48.388Z,30.0,2841.689,30.0
Vinny - Steam Stink,https://www.youtube.com/watch?v=LQYIvPiQzt4,Vinesauce: The Full Sauce,https://www.youtube.com/channel/UC2_IYqb1Tc_8Azh7rByedPA,2026-03-29T07:23:58.570Z,6025.0,3889.818,3889.818
Vinny - The Powder Toy,https://www.youtube.com/watch?v=oW6b8Uf_7pc,Vinesauce: The Full Sauce,https://www.youtube.com/channel/UC2_IYqb1Tc_8Azh7rByedPA,2026-03-29T07:14:43.018Z,2924.0,555.552,555.552
I Robot,https://www.youtube.com/watch?v=vB8dweYCLes,The Alan Parsons Project - Topic,https://www.youtube.com/channel/UCvb0RGY80J8LSG1kIwNSXHA,2026-03-29T06:36:41.385Z,361.0,2281.633,361.0
HOME - Resonance,https://www.youtube.com/watch?v=8GW6sLrK40k,Electronic Gems,https://www.youtube.com/channel/UCPzWlhG7QM56Y8MYB3qMVnQ,2026-03-29T06:33:03.753Z,213.0,217.632,213.0
C418 - Aria Math (Minecraft Volume Beta),https://www.youtube.com/watch?v=atgjKEgSqSU,NycrypticProject,https://www.youtube.com/channel/UCUxyU2qAZyS0HlZMDkizq6g,2026-03-29T06:27:49.455Z,310.0,314.298,310.0
Minecraft C418 - Aria Math (Slowed To Perfection),https://www.youtube.com/watch?v=BXSOMo2uPWc,twentyone,https://www.youtube.com/channel/UC3_fxbCXr6_nb8PiXVxl1Xw,2026-03-29T06:27:06.909Z,332.0,42.546,42.546
c418 - aria math (slowed to perfection + 852Hz + reverb),https://www.youtube.com/watch?v=XXEW3NX0qZM,prodzi,https://www.youtube.com/channel/UCRJvnKJEvjLLmFWSY41pAuA,2026-03-29T06:26:27.617Z,356.0,39.292,39.292
#nobatidao,https://www.youtube.com/watch?v=glgDgS9WD0A,Minecrer,https://www.youtube.com/channel/UCY6iXsovTcyVI1DggvoB82g,2026-03-29T06:24:52.835Z,34.0,94.782,34.0
"Ngl, intrusive thoughts won. #shortsfeed #funny #comedy #shorts #youtubeshorts #reels #viral #gaming",https://www.youtube.com/watch?v=B25EEFSF7Q8,Marriedwithflaws,https://www.youtube.com/channel/UCb-MoFyHrcTUWN5ZS16vIAw,2026-03-29T06:23:47.917Z,61.0,64.918,61.0
#BotulismPunch #MeatCurtains #PullThemLipsApart #GrandmasScooterMeat #LickThatStrainer #BadBacon,https://www.youtube.com/watch?v=rphl_dO1q08,JapCarRealGood,https://www.youtube.com/channel/UCsSqhcXGLDb7BUH5NFlHSBw,2026-03-29T06:23:29.073Z,67.0,18.844,18.844
