title,link,channel,channel_link,date,video_length,time_diff,watch_time
How to Build a REALISTIC British Village in Cities: Skylines II,https://www.youtube.com/watch?v=eUosCP-lV3Q,Ruftickle,https://www.youtube.com/channel/UCzPrj_FjIuHiYdXGjXUAHDg,2026-03-08T09:17:38.796Z,89.0,,89.0
The Dark Origins of “Cry It Out” — The Psychologists Who Changed Parenting Forever,https://www.youtube.com/watch?v=GEIjILYypps,Enough Internet for Today,https://www.youtube.com/channel/UCXX2ospTIYsb9rOyqXKvIzQ,2026-03-08T09:17:36.384Z,,2.412,2.412
Blurry: RAD AliceCG 59sec GETALICE V196985 60 1920x1080 S11977 AndroidiOSPC English&IMG=47ZT,https://www.youtube.com/watch?v=O6iAYNn31EM,,,2026-03-08T05:40:04.601Z,61.0,13051.783,61.0
The Dark Origins of “Cry It Out” — The Psychologists Who Changed Parenting Forever,https://www.youtube.com/watch?v=GEIjILYypps,Enough Internet for Today,https://www.youtube.com/channel/UCXX2ospTIYsb9rOyqXKvIzQ,2026-03-08T05:40:03.581Z,,1.02,1.02
THE DAY THE BLACK HAWKS FELL,https://www.youtube.com/watch?v=ML6dC9Hgsuc,The Book of Ages,https://www.youtube.com/channel/UCSzkfwqFPNQrpIuFHR2W8fQ,2026-03-08T05:39:52.163Z,,11.418,11.418
50 Cent Steps In for Lil Wayne?! “I’m Protecting Your Verses” Goes Viral 🤯 #shorts #50cent #music,https://www.youtube.com/watch?v=099ZSuQEnnU,D'Music Modern,https://www.youtube.com/channel/UCBXMS9WFzykcO6HS5W4SnWg,2026-03-08T05:39:45.472Z,5.0,6.691,5.0
009 2552 AdamRose C2C CXBrand NAM Acq EN UAC 1080x1920 30s Null IG M2 880,https://www.youtube.com/watch?v=rwC3d3S0a50,,,2026-03-08T05:39:43.064Z,30.0,2.408,2.408
Discovered The World's Largest Spiderweb in Cave #shorts #facts,https://www.youtube.com/watch?v=vCTjRekOZRE,I Found Out,https://www.youtube.com/channel/UCx-VMA2AxrVMIOW_WeWouQw,2026-03-08T05:39:20.667Z,6.0,22.397,6.0
I would ask him for help,https://www.youtube.com/watch?v=Pey0ttU3SDs,MOGGER MEMES,https://www.youtube.com/channel/UCxdqx7tgcqYUVrIf3FGaoJg,2026-03-08T05:39:13.069Z,4.0,7.598,4.0
Last Asylum: Plague,https://www.youtube.com/watch?v=cVoBiqUmjhc,,,2026-03-08T05:39:11.836Z,53.0,1.233,1.233
How H*tler Hated Charlie Chaplin for Mocking Him #history,https://www.youtube.com/watch?v=A-nM1-emW4E,Fusion Maxima,https://www.youtube.com/channel/UC6eLKWtnUKPbM_fh_l0kfdQ,2026-03-08T05:39:00.649Z,6.0,11.187,6.0
This Orca Changed Human History Forever #history,https://www.youtube.com/watch?v=ozBfB1uonw0,HistoryUnfolded,https://www.youtube.com/channel/UC9D3bq0NSu4UkEqto1aJKhA,2026-03-08T05:38:50.818Z,6.0,9.831,6.0
The Math Says Aliens Should Exist,https://www.youtube.com/watch?v=u2jjV4BV1SI,Spatial Theory,https://www.youtube.com/channel/UCLKNHQncI8xnEQzPyxQLPlw,2026-03-08T05:38:47.192Z,6.0,3.626,3.626
#denzelwashington,https://www.youtube.com/watch?v=iGQiWMaWSRk,Y-zap-Y,https://www.youtube.com/channel/UCUv73frXzTZkP91MkZBfbdg,2026-03-08T05:38:45.083Z,6.0,2.109,2.109
Cyber Who Shorts :15,https://www.youtube.com/watch?v=Zan9A-6cA0E,,,2026-03-08T05:38:43.992Z,16.0,1.091,1.091
The Invisible Cage: Why This Flea Stopped Jumping 🫙,https://www.youtube.com/watch?v=cCGG5rTf4TI,o0chieboomboom,https://www.youtube.com/channel/UC4ePipb6qbbjuNDHA6X3K7Q,2026-03-08T05:38:19.892Z,7.0,24.1,7.0
The Exact Moment Elizabeth II Realized She Was Queen,https://www.youtube.com/watch?v=NQpIPcI4QU8,History Stories Cabin,https://www.youtube.com/channel/UC3OwcVFssiOKyVJUJpQjW2Q,2026-03-08T05:38:05.083Z,6.0,14.809,6.0
Ignition by Compression 🔥,https://www.youtube.com/watch?v=Kygrf2gZ8uI,Jupiter TV,https://www.youtube.com/channel/UCx2VfaxqirEWIgQ1AoOfq1w,2026-03-08T05:37:58.592Z,5.0,6.491,5.0
Why We Can't Find Alien Signals👽 🤯 #shorts #alien,https://www.youtube.com/watch?v=HgJCF2Kat8M,The Cosmic,https://www.youtube.com/channel/UCGS6ETxNm2A78V878AxV8rQ,2026-03-08T05:37:56.684Z,6.0,1.908,1.908
johnny paid dr cutdown v 1 9 16 main,https://www.youtube.com/watch?v=dHGxIwQBMO4,,,2026-03-08T05:37:55.072Z,33.0,1.612,1.612
The samurai is born not made,https://www.youtube.com/watch?v=so-OM63CzjM,MOGGER MEMES,https://www.youtube.com/channel/UCxdqx7tgcqYUVrIf3FGaoJg,2026-03-08T05:37:50.455Z,4.0,4.617,4.0
"GTA 6’s $2B Launch: World Stops—10M Players Crash Servers, Billions Pour In!",https://www.youtube.com/watch?v=ovtZ6K4hzkU,Strategy of Money,https://www.youtube.com/channel/UCPP7BP7MaS4UcSWAFNoVAbw,2026-03-08T05:37:38.911Z,8.0,11.544,8.0
Why Einstein's Driver Once Fooled an Entire University 🧠🎭,https://www.youtube.com/watch?v=VprCyc71Gdc,History Exposed Shorts ,https://www.youtube.com/channel/UCD6uT7g3JqRGayLBbWQ4Xhw,2026-03-08T05:37:22.227Z,10.0,16.684,10.0
Not Everyone Likes Century Eggs,https://www.youtube.com/watch?v=uW_fM_X7mVI,Who Could Have Thought?,https://www.youtube.com/channel/UCvvCA2SuOClkOMK1j7QIdNA,2026-03-08T05:37:12.675Z,9.0,9.552,9.0
Blurry: We Won't Stop Delivering for Children 16x9 15sec,https://www.youtube.com/watch?v=0ejIoHR0H6I,,,2026-03-08T05:37:11.656Z,16.0,1.019,1.019
The horrors of Chernobyl💀,https://www.youtube.com/watch?v=0jIof_B470k,History Intrigue,https://www.youtube.com/channel/UCwY71XwLcY_10aErWK3QVkg,2026-03-08T05:36:47.299Z,11.0,24.357,11.0
This Is A Sloth Bear #history #facts,https://www.youtube.com/watch?v=hublxjOKPlk,Human History,https://www.youtube.com/channel/UCSm5vg_XP_JpSGNzh0QT8gQ,2026-03-08T05:36:37.386Z,6.0,9.913,6.0
Build real apps in minutes,https://www.youtube.com/watch?v=u6Xl1w1MUPc,,,2026-03-08T05:36:36.357Z,62.0,1.029,1.029
They Thought It Was Proof Of Aliens #history #facts,https://www.youtube.com/watch?v=BvTUTzbDTDY,Discoverly,https://www.youtube.com/channel/UCbQSbUMcXh0Hi0jA-uO5bkQ,2026-03-08T05:36:22.992Z,8.0,13.365,8.0
Sourdough is Actually a Living Organism,https://www.youtube.com/watch?v=oIdcgAJrW1k,Bob the Bear,https://www.youtube.com/channel/UCDNPs0HJyIfDizMmCyVL_wQ,2026-03-08T05:36:06.544Z,9.0,16.448,9.0
The Cave Accident Recreated in VR #shorts,https://www.youtube.com/watch?v=Op-oThbXhBs,HistoryRapid,https://www.youtube.com/channel/UCr1-bGsHLDVbDxGFnDbtstQ,2026-03-08T05:35:48.450Z,7.0,18.094,7.0
POLICIA APARECEU NO FIM DO BAILE #policia #airsoft #webserie #militar,https://www.youtube.com/watch?v=Nk0_PPbgXzo,Torrie Films,https://www.youtube.com/channel/UCD7so7KRY2Cr27nUXvjGFeg,2026-03-08T05:35:42.638Z,14.0,5.812,5.812
id3768 variation introvertsFOR vacation 3715id stock v3 scale Dilin 1,https://www.youtube.com/watch?v=lBs8xBbXxTU,,,2026-03-08T05:35:38.724Z,11.0,3.914,3.914
"He Picks It Up With Hand Right After 1,200°C",https://www.youtube.com/watch?v=rNlE1DIITCM,Disaster Strucks,https://www.youtube.com/channel/UCxh2HY36ogM5CMrnXpZ3zSQ,2026-03-08T05:35:22.474Z,8.0,16.25,8.0
Flat Earthers Defeated by the Antarctic Sun,https://www.youtube.com/watch?v=YV8u_aRGycM,This Might Be Real,https://www.youtube.com/channel/UC-S0Qq6ss_6vt-9SWiPmeHA,2026-03-08T05:35:17.054Z,5.0,5.42,5.0
You Can See Through a Spider’s Shed Eyes,https://www.youtube.com/watch?v=7cWr7h5v1I0,Unspoken Tears,https://www.youtube.com/channel/UCis5PLGiugGLHx5cZovWKiw,2026-03-08T05:35:03.612Z,6.0,13.442,6.0
Delayed Explosion 🔥,https://www.youtube.com/watch?v=tl6lQcFDmYA,Jupiter TV,https://www.youtube.com/channel/UCx2VfaxqirEWIgQ1AoOfq1w,2026-03-08T05:34:52.972Z,6.0,10.64,6.0
50 Cent Fires Back at Tyler Perry: “We Know You Move the Same Way in Hollywood #noads #liriklagu,https://www.youtube.com/watch?v=unoIrIv1qD4,Press Updates,https://www.youtube.com/channel/UCAtjU2H4rJvtTQmcapH-N_w,2026-03-08T05:34:45.908Z,5.0,7.064,5.0
resume.co,https://www.youtube.com/watch?v=O_jLoio1I24,,,2026-03-08T05:34:44.881Z,30.0,1.027,1.027
A Hidden Ecosystem Exists Beneath Antarctic Ice 😱❄️,https://www.youtube.com/watch?v=z_LYfyz3bK8,Unova,https://www.youtube.com/channel/UCe5aCH9CcAcwAvjRliWM2PA,2026-03-08T05:34:28.843Z,8.0,16.038,8.0
8 years of hardcore Minecraft 🕊️,https://www.youtube.com/watch?v=9SNcJpDKtSo,Non Geek,https://www.youtube.com/channel/UCSWRC-nydil8zzfglBMF_XQ,2026-03-08T05:34:15.339Z,5.0,13.504,5.0
Real plane. Real crash. No CGI. ✈️🔥 #tenet #nolan #filmmaking #movies #shorts #boieng #airplane,https://www.youtube.com/watch?v=1y5bSgeA5sM,LikeHistory,https://www.youtube.com/channel/UCIk1UNssXeFBfURUW2eTfIQ,2026-03-08T05:34:14.977Z,6.0,0.362,0.362
Hast du sowas schon gesehen?! 😱 Monster-Wurzeln im DWC!,https://www.youtube.com/watch?v=esc6up8YAi4,Der Bubatz Brudi,https://www.youtube.com/channel/UCngQ6VDAZ5ZERvM5j2Hykwg,2026-03-08T05:34:14.343Z,15.0,0.634,0.634
ecoATM Kiosk Process - Customer Review,https://www.youtube.com/watch?v=msGJBX7VRhY,,,2026-03-08T05:32:56.416Z,15.0,77.927,15.0
A Watch Doesn’t Measure Time,https://www.youtube.com/watch?v=emOU7WXXaC4,ConceptsInMinutes,https://www.youtube.com/channel/UCrZ7Ve4g9LY_bEeQXip29Nw,2026-03-08T05:32:45.457Z,35.0,10.959,10.959
When two leaders drove each other for fun,https://www.youtube.com/watch?v=YeaJAKzQ_sg,HistoryHost,https://www.youtube.com/channel/UCxv4f0UwGzPWm3-_Iq7roJw,2026-03-08T05:32:38.063Z,8.0,7.394,7.394
260206 1080x1920 idea Tearing paper LH,https://www.youtube.com/watch?v=bahSoT53ruo,,,2026-03-08T05:32:36.468Z,,1.595,1.595
#cobrakaiseason6,https://www.youtube.com/watch?v=xtF3102naN8,Drixx,https://www.youtube.com/channel/UCg19AAx8Jh547ONIhcsIWWw,2026-03-08T05:32:17.093Z,,19.375,19.375
THE HUNTER WHO BECAME A HOME,https://www.youtube.com/watch?v=01uD1xmSabw,Vortex Revelations,https://www.youtube.com/channel/UCW_DJgVFFxShpFUV6YEo0Bg,2026-03-08T05:32:08.570Z,7.0,8.523,7.0
The Science of Immortality: Cryonics and James Bedford,https://www.youtube.com/watch?v=HWawBvoVNKo,Vicci,https://www.youtube.com/channel/UCHc2Zhw4_RYMuWAHScNFvGA,2026-03-08T05:31:56.173Z,7.0,12.397,7.0
If You Traveled at Light Speed… Reality Would Break #cosmo #shorts,https://www.youtube.com/watch?v=X60yPBxoQOo,The Cosmo Talk,https://www.youtube.com/channel/UChebiww20NIXG0OUE75tcoA,2026-03-08T05:31:37.924Z,7.0,18.249,7.0
Stalin’s Forbidden Photograph #history,https://www.youtube.com/watch?v=fj-ZNerRYKM,HistoryXI,https://www.youtube.com/channel/UCEh3Fd28BzNFSlR7xUr8DCg,2026-03-08T05:31:26.357Z,7.0,11.567,7.0
Bleeding in the Ocean With Tiger Sharks,https://www.youtube.com/watch?v=DNM8wIrJKkE,Disaster Strucks,https://www.youtube.com/channel/UCxh2HY36ogM5CMrnXpZ3zSQ,2026-03-08T05:31:06.530Z,6.0,19.827,6.0
Imagine losing like this 💀😭 #fortnite #fortniteshorts #gaming,https://www.youtube.com/watch?v=_f6N165kMbk,MangoLeaf,https://www.youtube.com/channel/UCIAIGKdQzFTh6SM89ve0v-w,2026-03-08T05:31:03.408Z,27.0,3.122,3.122
How H*tler Tried to Build the Largest Capital on Earth #history,https://www.youtube.com/watch?v=O3LTsoqCOug,Declassified WW2,https://www.youtube.com/channel/UCJp8jnczpE2I0q61t4T0ucw,2026-03-08T05:30:33.005Z,6.0,30.403,6.0
Shortened: iGame_V_EN_AI_猫女卡点舞接kol3_CB_505_1080x1920_39s_260122_NR_1088892,https://www.youtube.com/watch?v=TzCagOGojtc,,,2026-03-08T05:30:31.755Z,36.0,1.25,1.25
Jackie Chan’s One-Take Fence Jump in Armour of God II,https://www.youtube.com/watch?v=4OblKII20oU,James Goyette,https://www.youtube.com/channel/UCi7sExKEqqqIOi8hLW0lgRw,2026-03-08T05:30:11.765Z,,19.99,19.99
Battle of trafalgar #history #painting #art,https://www.youtube.com/watch?v=Myq8yNxwjek,Thehistoryboy ,https://www.youtube.com/channel/UCIXnA-krkBudoSaC26yA1nA,2026-03-08T05:29:56.237Z,10.0,15.528,10.0
The Day the Sun Attacked Earth 🤯⚡,https://www.youtube.com/watch?v=62cvaf79xS8,Unova,https://www.youtube.com/channel/UCe5aCH9CcAcwAvjRliWM2PA,2026-03-08T05:29:55.278Z,5.0,0.959,0.959
Mariah Carey Can Speak Dolphin,https://www.youtube.com/watch?v=X52ochSMl4I,Who Could Have Thought?,https://www.youtube.com/channel/UCvvCA2SuOClkOMK1j7QIdNA,2026-03-08T05:29:20.677Z,8.0,34.601,8.0
Find a Church Community Near You | Meet with Missionaries | 0:15 | 9x16,https://www.youtube.com/watch?v=g7TeEXnzDmU,,,2026-03-08T05:29:19.500Z,15.0,1.177,1.177
When Charlie Chaplin Delivered the Most Powerful Speech in History 🎬✊,https://www.youtube.com/watch?v=pyH9lzuAc7w,History Exposed Shorts ,https://www.youtube.com/channel/UCD6uT7g3JqRGayLBbWQ4Xhw,2026-03-08T05:29:04.405Z,9.0,15.095,9.0
Watch a Bare Wall Turn Into Another World 🌌,https://www.youtube.com/watch?v=_QDgq968FMU,Curious as Hell,https://www.youtube.com/channel/UCy38OtTWhi8vabnv_VKUGVw,2026-03-08T05:28:45.973Z,11.0,18.432,11.0
#cuphead,https://www.youtube.com/watch?v=lhyJgmhaJCk,乙,https://www.youtube.com/channel/UCMG2IzxgVHfA1pm03sDRJpQ,2026-03-08T05:28:37.985Z,6.0,7.988,6.0
"In 1995, NASA conducted a strange experiment with spiders.",https://www.youtube.com/watch?v=vhUNI-_bXxs,Claude,https://www.youtube.com/channel/UCGzah_GmOhXo9Kw99JUrF5Q,2026-03-08T05:28:10.918Z,5.0,27.067,5.0
Why Birds Let Ants Crawl All Over Them,https://www.youtube.com/watch?v=0NarjvRAFnI,Unspoken Tears,https://www.youtube.com/channel/UCis5PLGiugGLHx5cZovWKiw,2026-03-08T05:28:02.114Z,6.0,8.804,6.0
The Face of a Lost Reality,https://www.youtube.com/watch?v=QDhg3TdEKN4,neutronmusic1,https://www.youtube.com/channel/UCsM4gMmaLX-2mJmvTK47wDA,2026-03-08T05:27:49.720Z,8.0,12.394,8.0
2 Voices on Character (One Sweet + One Whispering ASMR Voice).mp4,https://www.youtube.com/watch?v=hoIrrZa3P-Y,,,2026-03-08T05:27:48.376Z,,1.344,1.344
