title,link,channel,channel_link,date,video_length,time_diff,watch_time
THIS IS WHY LEC IS DIFFERENT..,https://www.youtube.com/watch?v=zt1ICaxIWlk,Thebausffs,https://www.youtube.com/channel/UCu7ODDeIZ4x1rJwM1LCVL8w,2026-01-26T04:19:43.319Z,893.0,,893.0
HRB CT26 Omni Video Expertise ExpertiseAnthem 15s 169,https://www.youtube.com/watch?v=0Nm5-31EXlQ,,,2026-01-26T04:02:11.337Z,16.0,1051.982,16.0
Dan Soder’s Wild Idea to Name a Rum After His Dad 😅🤣😭,https://www.youtube.com/watch?v=HpRcCdhGaKw,Comedy Commodity ,https://www.youtube.com/channel/UCNtzBnwnNrfXPdFPzmNKqiQ,2026-01-25T17:26:48.273Z,48.0,38123.064,48.0
This Is the Most Isolated Place on Earth 🌍 🇬🇧 And It’s Not What You Think 🤯,https://www.youtube.com/watch?v=AbyqCzOMkCU,Geo Bytes,https://www.youtube.com/channel/UCy_EbH9NAn4M_4ThIjF9Xlg,2026-01-25T17:26:47.439Z,72.0,0.834,0.834
Kyoto street portraits 💙 One of my BEST interactions from Japan! 🇯🇵 #streetsnaps #streetportraits,https://www.youtube.com/watch?v=haUo37Xm-lA,Justin Veenema,https://www.youtube.com/channel/UCOyaZE7tuYWnMC3olAI9oAw,2026-01-25T17:26:21.235Z,55.0,26.204,26.204
The most GENIUS play I've ever made,https://www.youtube.com/watch?v=RrJE9V1xFQg,i0ki Plus,https://www.youtube.com/channel/UCv5KGPh1UGSIyRnZ-vTF6uQ,2026-01-25T17:25:44.637Z,35.0,36.598,35.0
Yunara Level 1 Cheese is actually broken.,https://www.youtube.com/watch?v=eHgQUJimt7g,Kyro,https://www.youtube.com/channel/UCGF_RTbiKWen_XULQudjfcA,2026-01-25T17:25:26.991Z,16.0,17.646,16.0
Northernlion earns a Tier 3 subscription,https://www.youtube.com/watch?v=0JvqnGBkO-M,The Library of Letourneau,https://www.youtube.com/channel/UC_O58Rr2DOskJvs9bArpLkQ,2026-01-25T17:25:25.694Z,52.0,1.297,1.297
Jeff Teague Shares Hilarious Metta World Peace Story😭,https://www.youtube.com/watch?v=MTCtKutfH3w,Let'sWatchHoops,https://www.youtube.com/channel/UCMZTG24-n_1c9Tsh81Z8d4g,2026-01-25T17:25:24.295Z,17.0,1.399,1.399
Looked good for T1… until it didn’t 😂 #leagueoflegends #lck,https://www.youtube.com/watch?v=tlV5WGyCNlw,League of Shitposting,https://www.youtube.com/channel/UCpVzhrPjW1xPqbmteQTYEsw,2026-01-25T17:25:22.825Z,21.0,1.47,1.47
Why USA Built a Giant Wall from Canada to Texas 😱🇺🇸 Great Plains Shelterbelt 🌳,https://www.youtube.com/watch?v=v-LJaB8y438,GeoGlobeTales,https://www.youtube.com/channel/UCPKVNqfbunZCkbvjBgf6CdA,2026-01-25T17:24:10.810Z,95.0,72.015,72.015
Secret LVL 1 JUNGLE POTION START,https://www.youtube.com/watch?v=F9DdCA4IQik,Jankos,https://www.youtube.com/channel/UCuIBqCNr-kQwalr5BjsFT6Q,2026-01-25T17:24:09.094Z,37.0,1.716,1.716
Daily mix,https://www.youtube.com/watch?v=ESbNFTCmdlk,PerezProdz,https://www.youtube.com/channel/UC-UGVkGMbtcdPmGw2qYBO8Q,2026-01-25T17:24:05.213Z,18.0,3.881,3.881
Ray Lewis says Derrick Henry would have a BAD DAY #shorts #nfl #baltimoreravens,https://www.youtube.com/watch?v=NimMaBiL6U0,NFL Digest,https://www.youtube.com/channel/UCs0es-vzqRq-cH5SQl07N4g,2026-01-25T17:24:03.586Z,60.0,1.627,1.627
We're selecting the 1000 best moments in sports: 🥹❤️‍🩹,https://www.youtube.com/watch?v=-6QYHxi2K-A,Endless Love,https://www.youtube.com/channel/UCH8x9zAJbpfipmHosNuwu_A,2026-01-25T17:24:01.466Z,29.0,2.12,2.12
Never underestimate the collective strength of unity. #wildlife #animals #shorts,https://www.youtube.com/watch?v=sUMm3rF37HE,Animal life,https://www.youtube.com/channel/UC4yDgncqWa-Ltq6MiN-GG5w,2026-01-25T17:24:00.273Z,134.0,1.193,1.193
Tom Brady On The Drake Maye Comparisons 😳❤️ #nfl,https://www.youtube.com/watch?v=vCDviizjY7k,AlleyNFL,https://www.youtube.com/channel/UCPOGYxqG68N2ez9FWXRoHiw,2026-01-25T17:23:53.990Z,35.0,6.283,6.283
PIPPEN Impossible AND-1! Bulls vs Pacers. Game 7!,https://www.youtube.com/watch?v=ytmdZz7BCco,95-96 Bulls on 2K,https://www.youtube.com/channel/UCNHC-ggVaIgKOyFt3tvTb4g,2026-01-25T17:23:51.869Z,17.0,2.121,2.121
Doomsday bunker emergency heroin,https://www.youtube.com/watch?v=xHLbF93cCwE,The Library of Letourneau,https://www.youtube.com/channel/UC_O58Rr2DOskJvs9bArpLkQ,2026-01-25T17:23:50.374Z,66.0,1.495,1.495
TOP 5 FUNNIEST CHRISTIAN MCCAFFREY MOMENTS #fyp #xyzcba #nfl #49ers #cmc,https://www.youtube.com/watch?v=L_uciAC7gyo,Nba_nfl0709,https://www.youtube.com/channel/UCm9a-6iI099jwiXGarXv9FQ,2026-01-25T17:23:08.534Z,59.0,41.84,41.84
Sofia Vergara Teases Jimmy With Her Perfume | #shorts,https://www.youtube.com/watch?v=C8lJqPJH4AI,Film Leak Shorts,https://www.youtube.com/channel/UCdrD5aTOZKafrxcFIXg486g,2026-01-25T17:23:00.113Z,31.0,8.421,8.421
