title,link,channel,channel_link,date,video_length,time_diff,watch_time
THIS WAS MY LIFE Megadeth Guitar TAB | Lesson | Tutorial | Cover,https://www.youtube.com/watch?v=XgcFEX3jfUY,TABS FOR ALL,https://www.youtube.com/channel/UCRLjalRA9xVpjCzvWNkggkg,2026-02-27T14:30:04.970Z,221.0,,221.0
FREE TWINKLING TITANITE?! How To Trade with Snuggly The Crow - Dark Souls Remastered,https://www.youtube.com/watch?v=5tuFaZzVV1U,How To Souls,https://www.youtube.com/channel/UCr32J7TTO1p33eylhRNhkcw,2026-02-26T06:26:01.453Z,291.0,115443.517,291.0
NEW Hitman DLC || HITMAN Patient Zero Requiem !HITMAN #ad,https://www.youtube.com/watch?v=71m-WEKQzh8,Bawkbasoup,https://www.youtube.com/channel/UC1TLG-624t4zkViqiypHoSA,2026-02-25T22:22:23.923Z,12202.0,29017.53,12202.0
"Resident Evil Requiem | PC Settings Comparison | RTX 50, 40 & 30 Tested",https://www.youtube.com/watch?v=0JE0dO2uWx8,ElAnalistaDeBits,https://www.youtube.com/channel/UCCV8Mj59PZkf3ON_U8q4n7g,2026-02-25T21:13:16.581Z,655.0,4147.342,655.0
Testing DS1,https://www.youtube.com/watch?v=mk5rbk4yWvY,simplydallas,https://www.youtube.com/channel/UCZci8JH7Py7nN1epNnNqokQ,2026-02-25T04:56:01.237Z,423.0,58635.344,423.0
Dark Souls - Capra Demon Boss Guide (NEW),https://www.youtube.com/watch?v=VfTIxCXFRJA,Grohlvana,https://www.youtube.com/channel/UCRoi541WXC0hTB7z22yd42w,2026-02-25T04:44:56.854Z,368.0,664.383,368.0
How to Beat the Bell Gargoyles (Solo Strategy) - Dark Souls Remastered,https://www.youtube.com/watch?v=1vaDsrPtEro,How To Souls,https://www.youtube.com/channel/UCr32J7TTO1p33eylhRNhkcw,2026-02-25T03:09:14.732Z,500.0,5742.122,500.0
NYPD says ‘criminal' snow ball fight targeting cops is under investigation | NBC New York,https://www.youtube.com/watch?v=Bx7PbRpJPOA,NBC New York,https://www.youtube.com/channel/UCxCfoSInadl-4i3F70zDt1A,2026-02-25T01:24:58.788Z,173.0,6255.944,173.0
Camden woman relying on bottled water amid boil water advisory,https://www.youtube.com/watch?v=wqChOmoEhgc,CBS Philadelphia,https://www.youtube.com/channel/UCVuFPbAjTi3mqpH-0veJRWg,2026-02-25T01:12:46.583Z,130.0,732.205,130.0
DSR - SL1 Bell Gargoyles No Roll/Block/Parry [Flawless],https://www.youtube.com/watch?v=cHALErlUQx4,Jordien,https://www.youtube.com/channel/UCAbFoplui_jxtPqo6G6lwkg,2026-02-25T00:34:32.383Z,66.0,2294.2,66.0
Dark Souls Tips: Fire Keeper Soul Locations,https://www.youtube.com/watch?v=c8bHDyikboI,alunzo,https://www.youtube.com/channel/UCVJYrmre6D0eV15GCdRHXGg,2026-02-24T16:51:56.715Z,238.0,27755.668,238.0
Undead Parish All Items Walkthrough - Dark Souls Remastered,https://www.youtube.com/watch?v=CoNwKw-UKfk,Fextralife,https://www.youtube.com/channel/UClkUHCETNUph8vM-4gQpwUA,2026-02-24T16:46:50.044Z,342.0,306.671,306.671
Easy way to kill the first Black Knight in Dark Souls Remastered if you can't parry yet,https://www.youtube.com/watch?v=0NEbjtmPIU0,wij2012 Gaming,https://www.youtube.com/channel/UCX4K-xHwk_tCx4On8VVq50g,2026-02-24T15:34:22.446Z,50.0,4347.598,50.0
Dark Souls Remastered - Getting and Avoiding Backstabs (Tips and Tricks),https://www.youtube.com/watch?v=OyPeRnZtdas,watt,https://www.youtube.com/channel/UCvNXXs8DVNO4dCbLm2HHkWw,2026-02-24T15:32:50.265Z,347.0,92.181,92.181
Dark Souls - Parrying Backstab Fishers (Tutorial),https://www.youtube.com/watch?v=BXAbwAK0cJ8,Peeve,https://www.youtube.com/channel/UCxW2Le1cFAD14KP1k9mrYBw,2026-02-24T15:32:05.394Z,162.0,44.871,44.871
How to Parry in Dark Souls Remastered,https://www.youtube.com/watch?v=EdYLDpBc-yI,How To Souls,https://www.youtube.com/channel/UCr32J7TTO1p33eylhRNhkcw,2026-02-24T15:31:49.462Z,282.0,15.932,15.932
Dark Souls Remastered: Easy Back-Stab Tutorial,https://www.youtube.com/watch?v=ZrOFc7y5gWU,Lalitendu Das,https://www.youtube.com/channel/UCMBd7l5s89L8EaVrfeBDYRA,2026-02-24T15:23:39.998Z,278.0,489.464,278.0
Nearly 5 Hours of Every Fallout Hidden and Unmarked Locations,https://www.youtube.com/watch?v=p4uAArbVJQE,Constellations Gaming,https://www.youtube.com/channel/UC7qkr8Skgo6-5cw0j0QT4fQ,2026-02-24T10:06:16.630Z,17636.0,19043.368,17636.0
THIS WAS MY LIFE Megadeth Guitar TAB | Lesson | Tutorial | Cover,https://www.youtube.com/watch?v=XgcFEX3jfUY,TABS FOR ALL,https://www.youtube.com/channel/UCRLjalRA9xVpjCzvWNkggkg,2026-02-24T01:36:32.942Z,221.0,30583.688,221.0
Nearly 5 Hours of Every Fallout Hidden and Unmarked Locations,https://www.youtube.com/watch?v=p4uAArbVJQE,Constellations Gaming,https://www.youtube.com/channel/UC7qkr8Skgo6-5cw0j0QT4fQ,2026-02-24T01:25:05.226Z,17636.0,687.716,687.716
We're back together again! | Fear&,https://www.youtube.com/watch?v=b5EJZ79q-Ms,Fear&,https://www.youtube.com/channel/UCnI_h3e6b5jGLfly2SY57SA,2026-02-23T21:35:04.032Z,4086.0,13801.194,4086.0
Stavros Halkias has Emma Stone and Jesse Plemons losing it at Bugonia panel,https://www.youtube.com/watch?v=EjSdYoNUwYg,E-Kan Soong,https://www.youtube.com/channel/UC4w0rknTcxfo6Uo8l45Zc9Q,2026-02-23T21:34:40.694Z,144.0,23.338,23.338
A Plague Tale Innocence | FULL GAME | 4K,https://www.youtube.com/watch?v=zcRdKCoXPa8,Centerstrain01,https://www.youtube.com/channel/UC4ADOfWpEKskk04WKQ3Lmpg,2026-02-23T14:58:58.193Z,32468.0,23742.501,23742.501
7 Games So Successful They Killed Off the Competition,https://www.youtube.com/watch?v=39V2u-zBndA,outsidexbox,https://www.youtube.com/channel/UCKk076mm-7JjLxJcFSXIPJA,2026-02-23T13:06:39.858Z,1433.0,6738.335,1433.0
Nearly 5 Hours of Every Fallout Hidden and Unmarked Locations,https://www.youtube.com/watch?v=p4uAArbVJQE,Constellations Gaming,https://www.youtube.com/channel/UC7qkr8Skgo6-5cw0j0QT4fQ,2026-02-22T23:37:52.237Z,17636.0,48527.621,17636.0
7 Scariest Theme Parks Ranked from Creepy to Nightmare Fuel,https://www.youtube.com/watch?v=jndwTIigK9M,outsidexbox,https://www.youtube.com/channel/UCKk076mm-7JjLxJcFSXIPJA,2026-02-22T23:22:15.742Z,849.0,936.495,849.0
7 Bosses So Hard They Had to Be Patched,https://www.youtube.com/watch?v=3pRt8zd4G80,outsidexbox,https://www.youtube.com/channel/UCKk076mm-7JjLxJcFSXIPJA,2026-02-22T22:56:37.964Z,895.0,1537.778,895.0
7 Pointless Gaming Facts That Live in Our Heads Rent Free,https://www.youtube.com/watch?v=nmbtHYnHxmQ,outsidexbox,https://www.youtube.com/channel/UCKk076mm-7JjLxJcFSXIPJA,2026-02-22T22:40:08.099Z,935.0,989.865,935.0
