title,link,channel,channel_link,date,video_length,time_diff,watch_time
Affinity and Cavalry Just Buried Adobe for Good,https://www.youtube.com/watch?v=d-rOqFXSfyk,Ethan Robbins,https://www.youtube.com/channel/UCnbAh8NtPLRWnEbtjBcVHzw,2026-02-28T08:18:40.195Z,455.0,,455.0
Linda Perry - Beautiful (Official Music Video),https://www.youtube.com/watch?v=m7ca8b5ZovI,Linda Perry,https://www.youtube.com/channel/UClozaMFObOpg2_91fOA_U7w,2026-02-28T08:17:10.911Z,243.0,89.284,89.284
DID YOU SPOT THIS?! Scream 7 BIG GAME TV SPOT - Everything you missed (Easter Eggs & MORE),https://www.youtube.com/watch?v=O2UoDb78Pfk,Beyond The Mask,https://www.youtube.com/channel/UCf0iDk0c4YS_BYS_XTJ6tzg,2026-02-28T07:48:00.091Z,559.0,1750.82,559.0
CC ROI | Aijuly2024release Herosizzle VID 16x9,https://www.youtube.com/watch?v=NczO8VqMg6k,,,2026-02-28T07:47:53.855Z,43.0,6.236,6.236
USz 260215 12 cdy  2 9X16,https://www.youtube.com/watch?v=mmNwBtqc18U,,,2026-02-28T07:47:47.541Z,6.0,6.314,6.0
Kelis - Milkshake (Lyrics),https://www.youtube.com/watch?v=3MMhvKfpin8,Vibe Music,https://www.youtube.com/channel/UChO8h2G8UjOVc081rgYU8XQ,2026-02-28T07:09:14.903Z,183.0,2312.638,183.0
“Gabriela” Performance Video | KATSEYE,https://www.youtube.com/watch?v=co-TFLbaZAE,KATSEYE,https://www.youtube.com/channel/UCA61H4fWOMHikLcUFKyQUog,2026-02-28T07:05:44.432Z,198.0,210.471,198.0
"“Gnarly"" MV (Choreography Ver.) | KATSEYE",https://www.youtube.com/watch?v=PkMKJEkE8Mo,KATSEYE,https://www.youtube.com/channel/UCA61H4fWOMHikLcUFKyQUog,2026-02-28T07:00:56.949Z,142.0,287.483,142.0
Monarch: Legacy of Monsters | Apple TV,https://www.youtube.com/watch?v=T1HAvNeIPG8,,,2026-02-28T07:00:41.363Z,31.0,15.586,15.586
Jordis Unga - Heart Shaped Box,https://www.youtube.com/watch?v=osZM-k0LspM,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-28T06:58:59.409Z,100.0,101.954,100.0
Jordis Unga - The Man Who Sold The World,https://www.youtube.com/watch?v=UP6YyT1XIKo,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-28T06:56:06.358Z,130.0,173.051,130.0
Sypeh - High Rated One Above All ^_^,https://www.youtube.com/watch?v=oeXAWue-2dw,Sypeh,https://www.youtube.com/channel/UCFwmdc61zRkOEKHwJ9WFprg,2026-02-28T01:50:06.572Z,18173.0,18359.786,18173.0
Neve Campbell Reacts to Her Most Iconic Roles,https://www.youtube.com/watch?v=ISLKmHd_EcU,BuzzFeed UK,https://www.youtube.com/channel/UCAqEoRfgMCtErK0qsL1cCtw,2026-02-27T00:06:54.106Z,707.0,92592.466,707.0
"SCREAM 7 Ending Explained | Plot Breakdown, Ghostface Reveal, Original Plans & Review",https://www.youtube.com/watch?v=9mM5ZA_Zkkk,Heavy Spoilers,https://www.youtube.com/channel/UCq3hT5JPPKy87JGbDls_5BQ,2026-02-26T23:49:53.307Z,1119.0,1020.799,1020.799
"Scream 7 | Final Trailer (2026 Movie) – Neve Campbell, Courteney Cox",https://www.youtube.com/watch?v=4g8OciWNJn4,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,2026-02-26T23:48:49.987Z,58.0,63.32,58.0
Joffrey (Jack Gleeson) was so good at being hated that he quit acting after Game of Thrones,https://www.youtube.com/watch?v=e6w1c5PgVJ4,Outstanding Screenplays,https://www.youtube.com/channel/UCjdvPP6bIMctgtP4fa7XXvA,2026-02-26T23:46:17.939Z,25.0,152.048,25.0
"Jason Momoa says to keep it Humble, baby. #jasonmomoa #skincare #plasticfree #sustainableliving",https://www.youtube.com/watch?v=zl8qpuv5bQ8,Humble Brands,https://www.youtube.com/channel/UCwlcARXOtOMP-T0Ogejhf1Q,2026-02-26T18:46:09.270Z,32.0,18008.669,32.0
How to Fix Unknown USB Device - Device Descriptor Request Failed [Solved],https://www.youtube.com/watch?v=16DcqFdASYI,Delft Stack,https://www.youtube.com/channel/UC8LLrFCj0UJr9ZvEym10tFQ,2026-02-25T21:56:39.940Z,136.0,74969.33,136.0
Remarketing   2   16x9   v3   EO   Hanso Home Inc   350232,https://www.youtube.com/watch?v=5HpbveDSaPw,,,2026-02-25T21:56:32.878Z,16.0,7.062,7.062
Fix Windows Defender Scans Folder 'You Don't Have Permission To Access This Folder',https://www.youtube.com/watch?v=FKT3LDS8CK0,Tech Decode,https://www.youtube.com/channel/UCLlMWV3MHYUp3L3u_ZzCxzw,2026-02-25T19:41:23.642Z,120.0,8109.236,120.0
General RV Center - Impossible-to-beat selection,https://www.youtube.com/watch?v=n9X5LdbhhEk,,,2026-02-25T19:41:16.813Z,13.0,6.829,6.829
270604USz 26011 31 lxn 1x1,https://www.youtube.com/watch?v=bfDDCvEJ_Kw,,,2026-02-25T19:41:10.139Z,7.0,6.674,6.674
"how to Clear Delete Windows Defender Protection history in Windows 11, 10",https://www.youtube.com/watch?v=Uu7NdQrKY9A,Shabd Tech Support,https://www.youtube.com/channel/UCzDbMkDgqs9b43vZ5yeX0gQ,2026-02-25T19:39:56.601Z,184.0,73.538,73.538
Gemini   Strawberry Ad   YT policy compliant,https://www.youtube.com/watch?v=PM2adON7528,,,2026-02-25T19:37:17.593Z,167.0,159.008,159.008
| Robinhood Legend,https://www.youtube.com/watch?v=b20WBtNoM_k,,,2026-02-25T19:37:11.210Z,7.0,6.383,6.383
https://www.youtube.com/watch?v=R7ra2sz5XWs,https://www.youtube.com/watch?v=R7ra2sz5XWs,,,2026-02-25T19:16:16.671Z,,1254.539,1254.539
How to drain the RESIDUAL POWER from Computer,https://www.youtube.com/watch?v=AePa9cfkQrQ,Practical Tech Fixes,https://www.youtube.com/channel/UCGDvxetcs5kE9Y0MYSwhPZg,2026-02-25T19:14:53.581Z,75.0,83.09,75.0
Advanced Animation Cancels For Jeff | Marvel Rivals,https://www.youtube.com/watch?v=Nyq6nzVA82k,Vick,https://www.youtube.com/channel/UCG-3t-3HTg7t-6suYZrQRnw,2026-02-25T07:58:24.649Z,257.0,40588.932,257.0
How to do a backflip with jeff #marvelrivals #marvelrivalsclips #gaming #jeffthelandshark #shorts,https://www.youtube.com/watch?v=GOXo0KbhrsI,digs,https://www.youtube.com/channel/UCFuYyGF0tk6ZYwgznG4N5NA,2026-02-25T07:57:42.435Z,27.0,42.214,27.0
Marvel Rivals: How To Do The JeffRoll.,https://www.youtube.com/watch?v=g257d01MgBc,COBS: Sharpening Your FPS Skills,https://www.youtube.com/channel/UC5-v11VmIlM8r6jXZwcB04Q,2026-02-25T07:55:55.052Z,102.0,107.383,102.0
How to factory reset gaming keyboard,https://www.youtube.com/watch?v=3UEMUfTi-NY,The Life of Bryce,https://www.youtube.com/channel/UCML07AqtwB36pUN30c6gPdQ,2026-02-25T06:40:00.037Z,70.0,4555.015,70.0
How to reset or fix any type of keyboard even gaming keyboards,https://www.youtube.com/watch?v=2yB87xqz5nw,Captain Crunch,https://www.youtube.com/channel/UCN11gOLOvkw3JuU9pwOX_Fg,2026-02-25T06:37:56.051Z,43.0,123.986,43.0
Keyboard disconnecting when playing games on PC,https://www.youtube.com/watch?v=tcgya2gK9zM,TheWindowsClub,https://www.youtube.com/channel/UCWEubI15aWUbpM2UnQbGy8A,2026-02-25T04:36:09.079Z,290.0,7306.972,290.0
2301 Sans LABs 16x9 PETS 23 02 23 v01 ZC 5,https://www.youtube.com/watch?v=3oI4usTZ8rA,,,2026-02-25T04:35:59.435Z,40.0,9.644,9.644
Hard Reset TECWARE Phantom RGB Keyboard,https://www.youtube.com/watch?v=y4X7MXZ-KUo,David in France,https://www.youtube.com/channel/UCFgSdOXIJAOiZkYy9C9vQ9g,2026-02-24T10:00:07.434Z,61.0,66952.001,61.0
Why Choose BikesOnline?,https://www.youtube.com/watch?v=qwax7-eje98,,,2026-02-24T09:59:57.031Z,33.0,10.403,10.403
How to Fix Keyboard Ghosting (full Guide),https://www.youtube.com/watch?v=g5vbxRGJvc4,Burlap Cr,https://www.youtube.com/channel/UCpniQ738qIy0i3a4RQQp1NA,2026-02-24T07:33:31.831Z,109.0,8785.2,109.0
I’m DONE Taking This Legend HATE (Apex Legends),https://www.youtube.com/watch?v=ut3qK_XqZzk,AVDtheGoat,https://www.youtube.com/channel/UC9QYtxgdNOO94EiM6DifpMg,2026-02-24T07:13:46.732Z,1121.0,1185.099,1121.0
Jordis Unga - Heart Shaped Box,https://www.youtube.com/watch?v=osZM-k0LspM,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-24T05:16:58.649Z,100.0,7008.083,100.0
Nirvana - The Man Who Sold The World (MTV Unplugged),https://www.youtube.com/watch?v=fregObNcHC8,NirvanaVEVO,https://www.youtube.com/channel/UCzGrGrvf9g8CVVzh_LvGf-g,2026-02-24T05:16:55.291Z,218.0,3.358,3.358
Jordis Unga - The Man Who Sold The World,https://www.youtube.com/watch?v=UP6YyT1XIKo,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-24T05:14:45.810Z,130.0,129.481,129.481
Hank knows pizza. Copilot knows Excel.,https://www.youtube.com/watch?v=rdTcHdiGkK8,,,2026-02-24T05:14:27.121Z,16.0,18.689,16.0
Nirvana - Smells Like Teen Spirit (Lyrics),https://www.youtube.com/watch?v=69Wqhhun5_o,7clouds Rock,https://www.youtube.com/channel/UCQqEC0LPfvgFCP8ixrCqADA,2026-02-23T04:46:21.124Z,300.0,88085.997,300.0
Big Swing! | Charmin® Forever Roll Limited Time Only :06,https://www.youtube.com/watch?v=WGH2UGyO7N8,,,2026-02-23T04:46:15.035Z,7.0,6.089,6.089
Dilana - Lithium (high quality),https://www.youtube.com/watch?v=tOgDfBstJAE,JGabriel08live,https://www.youtube.com/channel/UC7FB19uK2Fy2gHy7-IKvILQ,2026-02-23T04:42:40.734Z,139.0,214.301,139.0
Dilana-Lithium,https://www.youtube.com/watch?v=l5qOFgfv2Bs,atherzamankhattak,https://www.youtube.com/channel/UCsxugaTiJ1y0vJZDMzOwbUg,2026-02-23T04:42:37.736Z,211.0,2.998,2.998
Jordis Unga - Heart Shaped Box,https://www.youtube.com/watch?v=osZM-k0LspM,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-23T04:40:52.727Z,100.0,105.009,100.0
Jordis Unga - The Man Who Sold The World,https://www.youtube.com/watch?v=UP6YyT1XIKo,Derryn Preeya,https://www.youtube.com/channel/UC3ZZKK4DRxDqK0RZ2AUG7ag,2026-02-23T04:40:47.448Z,130.0,5.279,5.279
Studio-NA-FY25Q4-MAXLA-FontSpire,https://www.youtube.com/watch?v=qn5WBvaFiZY,,,2026-02-23T04:40:38.772Z,15.0,8.676,8.676
Upwork | Hire Trusted ML & LLM Freelancers to Build Your AI Chatbot.,https://www.youtube.com/watch?v=Seet4xYtOxM,,,2026-02-23T04:32:22.698Z,25.0,496.074,25.0
