title,link,channel,channel_link,date,video_length,time_diff,watch_time
Record Surge Of Oil Prices As Trump Administration And Travel Executives Warn Get Used To It,https://www.youtube.com/watch?v=16NYVIzSlrE,Owen Report,https://www.youtube.com/channel/UCcE1-IiX4fLqbbVjPx0Bnag,2026-03-08T22:57:43.634Z,8136.0,,8136.0
CCTV Captures Iranian Cluster Strike in Israel,https://www.youtube.com/watch?v=YUhPqz5Xlds,Defense Digest,https://www.youtube.com/channel/UCRYxgDfTiAJitH9AefeabwA,2026-03-08T20:34:37.530Z,16.0,8586.104,16.0
"Israel-Iran War: Israel Faces Khorramshahr-4 Horror, Monster Missile Strikes Israel | WION",https://www.youtube.com/watch?v=RYN0E9W3Kd8,WION,https://www.youtube.com/channel/UC_gUM8rL-Lrg6O3adPW9K1g,2026-03-08T20:34:05.049Z,168.0,32.481,32.481
LIVE: Tel Aviv skyline as Iran war continues,https://www.youtube.com/watch?v=FwsEqhYYAOQ,Associated Press,https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA,2026-03-08T20:30:37.185Z,42897.0,207.864,207.864
"Watch LIVE: Tehran’s ‘Black Day’, Massive Explosions & Oil Rain Shock Iran | Iran-Israel War LIVE",https://www.youtube.com/watch?v=jYt9yvoeMuk,MIRROR NOW,https://www.youtube.com/channel/UCWCEYVwSqr7Epo6sSCfUgiw,2026-03-08T20:30:16.922Z,39721.0,20.263,20.263
"Iran-Israel War LIVE: Iron Dome intercepts Iranian, Hezbollah missiles | Cluster bomb | Iron Dom",https://www.youtube.com/watch?v=9tGgQCjFHGE,MIRROR NOW,https://www.youtube.com/channel/UCWCEYVwSqr7Epo6sSCfUgiw,2026-03-08T20:29:05.474Z,25596.0,71.448,71.448
LIVE: Jerusalem skyline as Iran war continues,https://www.youtube.com/watch?v=F9DKU1FV7Ig,Associated Press,https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA,2026-03-08T20:28:29.826Z,42898.0,35.648,35.648
"RAW VIDEO: U.S.-Israeli Strikes Land Around Tehran, Iran, As War Nears Second Week",https://www.youtube.com/watch?v=tjGPGGvBXBY,Forbes Breaking News,https://www.youtube.com/channel/UCg40OxZ1GYh3u3jBntB6DLg,2026-03-08T20:28:06.706Z,535.0,23.12,23.12
🚨BREAKING: Iranian Missile Hits Jerusalem — First Responders On The Scene,https://www.youtube.com/watch?v=SE_7sQT8zs8,JNS TV,https://www.youtube.com/channel/UC24cdDLzkNJf2_CNNzdI-UQ,2026-03-08T20:27:47.986Z,48.0,18.72,18.72
"My Political Campaign TELL ALL. (Reality, not Politics)",https://www.youtube.com/watch?v=1RdZ_915cAk,Casey the Car Guy,https://www.youtube.com/channel/UCS_doCapdyO8x7v7JqzqV_w,2026-03-08T20:08:02.781Z,3135.0,1185.205,1185.205
