title,link,channel,channel_link,date,video_length,time_diff,watch_time
'NONSENSE' Yiddish Translation #noIntegrity #yiddish,https://www.youtube.com/watch?v=kO7IC_pt5NM,Julie Skolnik,https://www.youtube.com/channel/UCoths8jxHwyKHNeoSgPYCfA,2026-03-08T15:36:06.724Z,,,
"38, 47, 52: BeeJ-""Hold On, Do You Know What These Numbers Are?",https://www.youtube.com/watch?v=uo0ilUk7dy4,Purplexed TC,https://www.youtube.com/channel/UCSINiSVxDgw8IkYuoVzZOBQ,2026-03-08T08:05:56.562Z,11069.0,27010.162,11069.0
Well Well Well Isn’t The Truth Hard For Some,https://www.youtube.com/watch?v=QyeJeeJ_Zd4,Nonsense🏝️,https://www.youtube.com/channel/UCHYhUaUms-m-J3MLao_oJDA,2026-03-08T07:21:38.214Z,34042.0,2658.348,2658.348
Louis Rossmann Goes to War With a YouTube Lawyer (He's Angry),https://www.youtube.com/watch?v=ZCxPr33XlLo,nicholasdeorio,https://www.youtube.com/channel/UCp1NTFKWYTYtypB1dVXYHMw,2026-03-08T07:08:55.321Z,6703.0,762.893,762.893
Cops Find Family of Five Murdered Inside Barn,https://www.youtube.com/watch?v=UlZJ7U6inRc,Law&Crime Network,https://www.youtube.com/channel/UCz8K1occVvDTYDfFo7N5EZw,2026-03-08T06:56:00.415Z,2581.0,774.906,774.906
I UNSUBSCRIBED FROM YOU,https://www.youtube.com/watch?v=yv3J2Y0EEes,SISTER T RAW AND UNCUT TRUTH,https://www.youtube.com/channel/UC_4csRUadvKSqJ7Ol8WdZRQ,2026-03-08T06:31:33.224Z,,1467.191,1467.191
THEY DGAF ABOUT HUMANS,https://www.youtube.com/watch?v=VsTCSkpxu5c,SISTER T RAW AND UNCUT TRUTH,https://www.youtube.com/channel/UC_4csRUadvKSqJ7Ol8WdZRQ,2026-03-08T06:31:29.361Z,,3.863,3.863
hmid22023 hezuo 23M11SK779 Lucas 换色 9：16 Sunle 07hmid,https://www.youtube.com/watch?v=j6XDX9Q6ZxI,,,2026-03-08T06:31:26.698Z,25.0,2.663,2.663
"February 2, 2026",https://www.youtube.com/watch?v=ejya_uhO47E,SISTER T RAW AND UNCUT TRUTH,https://www.youtube.com/channel/UC_4csRUadvKSqJ7Ol8WdZRQ,2026-03-08T06:30:40.829Z,,45.869,45.869
FATHER'S NEED TO TAKE A STAND!! THE VIEWS WILL BE LOW OM THIS ONE,https://www.youtube.com/watch?v=kgwgTwO9xSQ,SISTER T RAW AND UNCUT TRUTH,https://www.youtube.com/channel/UC_4csRUadvKSqJ7Ol8WdZRQ,2026-03-08T06:30:38.692Z,,2.137,2.137
