title,link,channel,channel_link,date,video_length,time_diff,watch_time
#LifeProTips: Quality Time | Mercury Insurance,https://www.youtube.com/watch?v=ZXtDLdv2Waw,,,2026-02-28T20:36:28.265Z,31.0,,31.0
"Displate - Metal Posters | Limited Edition | Fallout: New Vegas, Baby!",https://www.youtube.com/watch?v=-mOiDK5bonk,,,2026-02-28T20:35:56.901Z,27.0,31.364,27.0
"Stone Demon is GREAT, but Pearls are a PROBLEM in Borderlands 4",https://www.youtube.com/watch?v=5owcEOyjfJg,Ki11er Six,https://www.youtube.com/channel/UCbq4bUbNRx5IUnPeo17KHDw,2026-02-28T20:30:51.544Z,630.0,305.357,305.357
"Real Customers, Real Savings - Rob SPRE1490015H",https://www.youtube.com/watch?v=hleoZJX7Zm8,,,2026-02-28T20:30:36.226Z,16.0,15.318,15.318
How To Create And Paint Winter Bases: A Step-By-Step Guide,https://www.youtube.com/watch?v=xUegNqtjziI,Nerael Miniatures,https://www.youtube.com/channel/UC4RK6Y1AE3DBpt3izD4ArnQ,2026-02-28T20:30:13.642Z,287.0,22.584,22.584
Fast and Easy Grey Armour for Space Wolves,https://www.youtube.com/watch?v=lRe9FOTgBTU,Nerael Miniatures,https://www.youtube.com/channel/UC4RK6Y1AE3DBpt3izD4ArnQ,2026-02-28T20:20:12.199Z,492.0,601.443,492.0
Painting Faces and Skin for Miniatures withoust using washes or shades,https://www.youtube.com/watch?v=z0EVa_rk6ds,Nerael Miniatures,https://www.youtube.com/channel/UC4RK6Y1AE3DBpt3izD4ArnQ,2026-02-28T20:11:28.709Z,524.0,523.49,523.49
How to Paint Space Wolves with a Subtle Grimdark Touch,https://www.youtube.com/watch?v=-2uLT_Owq3c,Nerael Miniatures,https://www.youtube.com/channel/UC4RK6Y1AE3DBpt3izD4ArnQ,2026-02-28T18:36:10.184Z,1046.0,5718.525,1046.0
The BURN BALL the ultimate way to PASS THE TUMS!,https://www.youtube.com/watch?v=AWsyoTyRK_M,,,2026-02-28T18:21:56.252Z,16.0,853.932,16.0
Make It Iconic,https://www.youtube.com/watch?v=W1WLdOWFx-k,,,2026-02-28T18:21:49.001Z,6.0,7.251,6.0
"How To Paint Space Wolves for Warhammer 40,000",https://www.youtube.com/watch?v=CpNz1cCk0Xk,TableTopReady,https://www.youtube.com/channel/UCA68JEd11La_Flc5JEG0msw,2026-02-28T18:14:44.095Z,723.0,424.906,424.906
Samsung S26 Ultra Privacy Display,https://www.youtube.com/watch?v=awO2PPh2njk,,,2026-02-28T18:14:20.030Z,31.0,24.065,24.065
Go Beyond Travel 45 Sec,https://www.youtube.com/watch?v=VUBr5olQK9w,,,2026-02-28T18:01:59.162Z,46.0,740.868,46.0
Affordability 6412H,https://www.youtube.com/watch?v=uaF0ceZMOoU,,,2026-02-28T18:01:43.149Z,16.0,16.013,16.0
TaxAct Reminder: Taxes Are Due Soon,https://www.youtube.com/watch?v=YsWHZgazRmg,,,2026-02-28T18:01:36.040Z,7.0,7.109,7.0
Indulge a Little,https://www.youtube.com/watch?v=CX1WTt3WK5Y,,,2026-02-28T18:01:29.251Z,7.0,6.789,6.789
How to Paint Space Wolves Warhammer 40K Painting Tutorial | Complete Step by Step Guide,https://www.youtube.com/watch?v=HrroxrGfcFw,StrikingScorpion82,https://www.youtube.com/channel/UC-u7aggg_-Q__FjA4_TNSTA,2026-02-28T17:46:43.887Z,5679.0,885.364,885.364
The Choice | Pepsi | Super Bowl,https://www.youtube.com/watch?v=7vKCq52wWUY,,,2026-02-28T17:46:34.667Z,31.0,9.22,9.22
Gets it Done,https://www.youtube.com/watch?v=yjTbZQqZWeI,,,2026-02-28T17:46:18.556Z,16.0,16.111,16.0
Borderlands 4 | Grandmaster Rafa 2.0 - Updated Best All Round Rafa Build!,https://www.youtube.com/watch?v=8MD3fcTueEI,SpartanGameZone,https://www.youtube.com/channel/UCqEi0Nwkhj5qKzz-YChOVfg,2026-02-28T17:16:22.531Z,777.0,1796.025,777.0
Ultramarine's weird cousin #warhammer40k,https://www.youtube.com/watch?v=5P9FSkid1A0,Rurik,https://www.youtube.com/channel/UCqLudnHxSYKjKHLasm9sU6g,2026-02-28T17:13:57.529Z,118.0,145.002,118.0
🦈😍 we finally made SPACE SHARKS Warhammer 40k carcharodons spacemarines,https://www.youtube.com/watch?v=HUtrU3DnIpI,Heresy For Heretics,https://www.youtube.com/channel/UC9tqQDp_3Kc_xrOzOtCN52Q,2026-02-28T17:12:53.468Z,59.0,64.061,59.0
A quality Made in USA Hatchet for $70? Council Tools Flying Fox Review,https://www.youtube.com/watch?v=RTyn9DTDuec,Advanced Knife Bro,https://www.youtube.com/channel/UCLmgPoE7_4VCzRjq_fmCSuw,2026-02-28T00:41:31.868Z,553.0,59481.6,553.0
"Teen | Vrbo (US-en, DG, 16:9)",https://www.youtube.com/watch?v=5p9E9wxTSV8,,,2026-02-28T00:35:47.285Z,16.0,344.583,16.0
Make Your Best Meatballs,https://www.youtube.com/watch?v=EupMuhjbb7E,,,2026-02-28T00:35:41.065Z,7.0,6.22,6.22
How A Hungry Michelin Star Chef Makes Instant Ramen After Work!,https://www.youtube.com/watch?v=WW62RWXMlTc,The Drunken Sommelier Food Show,https://www.youtube.com/channel/UCTf3C36SewfZsl5gtm-Xb8A,2026-02-28T00:29:02.864Z,398.0,398.201,398.0
Free Internet Forever 16x9 VID 30 SPRE4820015H,https://www.youtube.com/watch?v=OqiCHxwUyWw,,,2026-02-28T00:28:55.160Z,16.0,7.704,7.704
$9.99 for any pizza with any toppings. Truly. Honestly. The Best Deal Ever 🏆 Speechless.,https://www.youtube.com/watch?v=thVsJO0wLoc,,,2026-02-28T00:28:48.882Z,7.0,6.278,6.278
Final Polivy 1L DTP Take the First Step 06 11 2025,https://www.youtube.com/watch?v=kKxb0JNfcu8,,,2026-02-28T00:25:45.082Z,59.0,183.8,59.0
DIY Chuck Box - The Ultimate Off-Grid Cooking Kit,https://www.youtube.com/watch?v=iJqBA4jnNcQ,Jon Moore,https://www.youtube.com/channel/UCoxxN9rL0h6QnLI7-Hv03yw,2026-02-28T00:21:09.964Z,275.0,275.118,275.0
VML250710H Roll Call 06 GM Everyday Leann,https://www.youtube.com/watch?v=sGg3DYEIc1A,,,2026-02-28T00:21:03.566Z,7.0,6.398,6.398
Mobile Mechanics Toolbox Tour,https://www.youtube.com/watch?v=bpbFNpPMpD4,Contractor's Compass,https://www.youtube.com/channel/UCSwLK-H1-89AeUKN2UhRvRA,2026-02-28T00:02:01.447Z,491.0,1142.119,491.0
Old Spice-Brand-ENG-FOF Stick Cologne Quality-APDO/PCC-15-NonSkip-16x9-,https://www.youtube.com/watch?v=RCmN9Zw-xw0,,,2026-02-28T00:01:46.865Z,16.0,14.582,14.582
Meet your new debit card for flexible payments,https://www.youtube.com/watch?v=1KfWmoYFB-Y,,,2026-02-28T00:01:40.757Z,6.0,6.108,6.0
Elle Talks About Her XIAFLEX® Treatment,https://www.youtube.com/watch?v=-GjJgtAa3B0,,,2026-02-27T23:50:00.085Z,97.0,700.672,97.0
Consideration Stripes Re-arrange Horizontal Blue 15s,https://www.youtube.com/watch?v=3HGofGQk6Lc,,,2026-02-27T23:49:49.584Z,11.0,10.501,10.501
Adam Savage Rebuilds His Stolen Bicycle!,https://www.youtube.com/watch?v=F3t9FhTnyvA,Adam Savage’s Tested,https://www.youtube.com/channel/UCiDJtJKMICpb9B1qf7qjEOA,2026-02-27T23:40:48.162Z,1433.0,541.422,541.422
DCD-The-3963| Hulu,https://www.youtube.com/watch?v=YiYuUmGBYd4,,,2026-02-27T23:40:31.363Z,16.0,16.799,16.0
Fuel for Life,https://www.youtube.com/watch?v=41dIh96HMtg,,,2026-02-27T23:40:25.223Z,7.0,6.14,6.14
Mirena® 'Your Decision' TV Advertisement,https://www.youtube.com/watch?v=K79VZfyRuzA,,,2026-02-27T23:37:02.168Z,61.0,203.055,61.0
Abendessen wie in einem spanischen Dorf. Sardinen und Reis von exquisitem Geschmack.,https://www.youtube.com/watch?v=PL2tJvFPLJo,Wie lecker!,https://www.youtube.com/channel/UCMCSGHVjgXOpZ1w1j1xdOwA,2026-02-27T23:30:27.449Z,395.0,394.719,394.719
Get Active with Me,https://www.youtube.com/watch?v=GDjNi61frNw,,,2026-02-27T23:30:18.835Z,16.0,8.614,8.614
KMX Supply Consumer 2560x1440 FY26 IO Priority Refresh Social First Display 18s,https://www.youtube.com/watch?v=Hw6Ptd9i2MA,,,2026-02-27T23:20:07.844Z,19.0,610.991,19.0
Cancerguard® is a new way to screen for over 50 cancers with one simple blood test,https://www.youtube.com/watch?v=0Kc3H8vgxE4,,,2026-02-27T23:14:22.412Z,16.0,345.432,16.0
Wallet | All About You | GEICO Insurance,https://www.youtube.com/watch?v=qK6MMMjQ8iE,,,2026-02-27T23:07:59.231Z,31.0,383.181,31.0
All the tools you need in a kit smaller than a water bottle,https://www.youtube.com/watch?v=d8tkiNn4x0g,John Scott,https://www.youtube.com/channel/UCdkZKZ5YkjEQCGrKXf6pDXg,2026-02-27T22:54:03.728Z,679.0,835.503,679.0
DCD-Para-4026| Hulu,https://www.youtube.com/watch?v=K_TBrIgxous,,,2026-02-27T22:53:43.344Z,16.0,20.384,16.0
Get Active with Me,https://www.youtube.com/watch?v=IZsx3cpUM1c,,,2026-02-27T22:53:23.053Z,16.0,20.291,16.0
Should You AVOID Starting a Warhammer 40K Army for 11th Edition Right Now?,https://www.youtube.com/watch?v=cG9a6Uykckk,Auspex Tactics,https://www.youtube.com/channel/UC6Gco9PWxmJmJ5CqfbChuiQ,2026-02-27T22:38:29.467Z,1399.0,893.586,893.586
How to not suck at Kill Team,https://www.youtube.com/watch?v=2QLxTPK8tjs,Battle Brothers Tabletop,https://www.youtube.com/channel/UCsGpI8Wp6rrHEewoWELV0jg,2026-02-27T22:36:44.665Z,1059.0,104.802,104.802
Electric Vehicle Charging: Power Up in Under 20 Minutes.,https://www.youtube.com/watch?v=7H84gT33kh8,,,2026-02-27T22:36:33.422Z,16.0,11.243,11.243
YTM APN EMP 1mon Acq Stock 10s horiz 1920x1080 16-9 en US USD,https://www.youtube.com/watch?v=Pt-2kD6DSCI,,,2026-02-27T22:29:30.105Z,10.0,423.317,10.0
DTC DoubleFlex 2025 GOAT 06s 16x9 2,https://www.youtube.com/watch?v=xGqLdIkFG-A,,,2026-02-27T22:21:30.848Z,7.0,479.257,7.0
New Year's Spark :15 | Ancestry®,https://www.youtube.com/watch?v=P3H61RuyG3w,,,2026-02-27T22:14:23.912Z,16.0,426.936,16.0
7 Football Managers Who TRIED To Get Sacked,https://www.youtube.com/watch?v=t2bihWDZ010,HITC Sevens,https://www.youtube.com/channel/UCi9SqUCnW_flgsrl6_PRJFQ,2026-02-27T22:10:08.047Z,1879.0,255.865,255.865
ENDS Escalates 15 16x9 Preroll QYFT1171000,https://www.youtube.com/watch?v=bFNbshQtPcA,,,2026-02-27T22:09:42.261Z,16.0,25.786,16.0
IF YOU KNOW YOU KNOW – Save Money with Experian®,https://www.youtube.com/watch?v=4BrtRTdAksI,,,2026-02-27T22:09:07.021Z,31.0,35.24,31.0
Find Money :15,https://www.youtube.com/watch?v=d3Ig3z4yPzk,,,2026-02-27T22:04:49.729Z,15.0,257.292,15.0
#LifeProTips: Quality Time | Mercury Insurance,https://www.youtube.com/watch?v=ZXtDLdv2Waw,,,2026-02-27T21:59:14.638Z,31.0,335.091,31.0
Borderlands 4 | The New Bounty Pack 2 Guns are Insane - Best Legendaries in the DLC!,https://www.youtube.com/watch?v=iI3MGtPAUmg,SpartanGameZone,https://www.youtube.com/channel/UCqEi0Nwkhj5qKzz-YChOVfg,2026-02-27T21:52:53.783Z,920.0,380.855,380.855
Mom Song :30: The End of Adolescents | Old Spice,https://www.youtube.com/watch?v=poMDjgrRSMQ,,,2026-02-27T08:57:09.426Z,31.0,46544.357,31.0
Domino’s Best Deal Ever - You Pick,https://www.youtube.com/watch?v=a1QA8-q32Zc,,,2026-02-27T08:56:54.301Z,16.0,15.125,15.125
When You’re “The Best Team In The World” But No One Respects You,https://www.youtube.com/watch?v=TLDEWdIJj_I,Daily Dose Of Football,https://www.youtube.com/channel/UCU-ZyUKT3qiLzPuod6-pa-Q,2026-02-27T08:40:59.062Z,955.0,955.239,955.0
Introducing Vizz | Lenz Theraputics,https://www.youtube.com/watch?v=VhOvk0J1WzU,,,2026-02-27T08:38:59.557Z,31.0,119.505,31.0
How A Midfielder With 99 Shot Accuracy BROKE Football,https://www.youtube.com/watch?v=HEBxRxWS_a4,Daily Dose Of Football,https://www.youtube.com/channel/UCU-ZyUKT3qiLzPuod6-pa-Q,2026-02-27T08:21:16.345Z,1062.0,1063.212,1062.0
Lyria 3 | Music Generation comes to Gemini,https://www.youtube.com/watch?v=TD6FPndjhoE,,,2026-02-27T08:19:49.958Z,66.0,86.387,66.0
The Brutal Life of a Leman Russ Commander: Can You Survive 40 Days in Warhammer 40K?,https://www.youtube.com/watch?v=zESP_UPkFns,The Tales of Imperium,https://www.youtube.com/channel/UCLVXhj3jnFjohgZlCKPJdlA,2026-02-27T02:27:21.762Z,6770.0,21148.196,6770.0
Huggies Natural Care Sensitive Wipes :15 16x9,https://www.youtube.com/watch?v=3Qkz23WVfLg,,,2026-02-27T02:26:24.261Z,16.0,57.501,16.0
Gets it Done,https://www.youtube.com/watch?v=yjTbZQqZWeI,,,2026-02-27T02:26:08.137Z,16.0,16.124,16.0
Wishes | We All Do It | GEICO Insurance,https://www.youtube.com/watch?v=Vpc-gttlvHA,,,2026-02-27T02:16:08.664Z,,599.473,599.473
Ultra Clean 16x9,https://www.youtube.com/watch?v=Q565j9TXe-c,,,2026-02-27T02:16:02.797Z,7.0,5.867,5.867
The $7 Bed Cowboys Slept Outside In (Harbor Freight Build),https://www.youtube.com/watch?v=EoEjbSMLmYA,Woodbrew,https://www.youtube.com/channel/UCI2chl1G-fUEAm2qw9MfPSg,2026-02-27T02:07:49.625Z,1667.0,493.172,493.172
Keep It Dry,https://www.youtube.com/watch?v=CYi767BkBzM,,,2026-02-27T02:07:43.756Z,16.0,5.869,5.869
There's Nothing Like Platinum | Resy Credit | The American Express Platinum Card® :06,https://www.youtube.com/watch?v=FCnIXHSfY1Y,,,2026-02-27T02:07:37.629Z,7.0,6.127,6.127
What do i do 😭#truck #car #mechanic #led #silverado #shorts #chevy,https://www.youtube.com/watch?v=11VIQsQhcVo,Katie R,https://www.youtube.com/channel/UC5RUCKcB7bFmvLBzkacyKBw,2026-02-27T02:03:44.902Z,60.0,232.727,60.0
Lyria 3 | Music Generation comes to Gemini,https://www.youtube.com/watch?v=TD6FPndjhoE,,,2026-02-27T02:03:36.552Z,66.0,8.35,8.35
How To Farm All PEARLESCENTS! (New Rarity!) // Borderlands 4 Pearls Breakdown,https://www.youtube.com/watch?v=o1_Cgv3t-K8,Moxsy,https://www.youtube.com/channel/UCqUYttljh7bvi6mvHzpiMIA,2026-02-27T01:24:26.803Z,608.0,2349.749,608.0
Free Internet Forever 16x9 VID 30 SPRE4820015H,https://www.youtube.com/watch?v=OqiCHxwUyWw,,,2026-02-27T01:24:19.511Z,16.0,7.292,7.292
Complete Wolf Scouts Kill Team #Warhammer40k #Warhammer #paintingwarhammer,https://www.youtube.com/watch?v=gHdLkgc3cMA,Darcy Bono Creations,https://www.youtube.com/channel/UCzZizEYLmFAahlg9nditfKg,2026-02-26T23:53:26.932Z,36.0,5452.579,36.0
#PlayGalaxy Cup: PUBG MOBILE Global Open hosted by Samsung Galaxy,https://www.youtube.com/watch?v=Tl9HNvi77qQ,,,2026-02-26T23:52:04.877Z,9018.0,82.055,82.055
A German dish called Heaven and Earth #eating #cooking #recipe #germanfood,https://www.youtube.com/watch?v=Z1h7-BK47kk,Coco Larkin Cooks ,https://www.youtube.com/channel/UCXMW2hurpeTbv5McbBLJrBQ,2026-02-26T23:51:33.534Z,171.0,31.343,31.343
Electric Monopolies,https://www.youtube.com/watch?v=T7V-C8rxJUk,,,2026-02-26T07:09:08.947Z,16.0,60144.587,16.0
Taking One Flush Forward with Pull-Ups® Training Pants,https://www.youtube.com/watch?v=nVlIX2lGi1Q,,,2026-02-26T07:09:02.054Z,7.0,6.893,6.893
Airo Can- All Turned Around (APMC) :15,https://www.youtube.com/watch?v=G8BidBngbVw,,,2026-02-26T07:02:08.490Z,16.0,413.564,16.0
Vision Board | Lexus,https://www.youtube.com/watch?v=dyKE4heDHB0,,,2026-02-26T07:01:52.643Z,16.0,15.847,15.847
DTF St Louis | HBO Max,https://www.youtube.com/watch?v=1NI-I8gdahM,,,2026-02-26T07:01:36.570Z,16.0,16.073,16.0
Corona Extra | Product Hopping | EL | :06,https://www.youtube.com/watch?v=hmVyX2xU1EE,,,2026-02-26T07:01:29.552Z,7.0,7.018,7.0
Zero Compromise Wipe | Huggies® Skin Essentials™,https://www.youtube.com/watch?v=OHlzn6LpOQc,,,2026-02-26T07:01:22.802Z,7.0,6.75,6.75
Canada: Québec,https://www.youtube.com/watch?v=6uw6nQj7T98,,,2026-02-26T06:44:47.510Z,31.0,995.292,31.0
Pull-Ups® build BIG KID confidence while potty training!,https://www.youtube.com/watch?v=U8kiUn8lDM0,,,2026-02-26T06:44:31.666Z,16.0,15.844,15.844
Budweiser | American Icons - Flying,https://www.youtube.com/watch?v=6LSqFarrSDM,,,2026-02-26T06:44:24.861Z,7.0,6.805,6.805
Zap away unwanted subscriptions,https://www.youtube.com/watch?v=58g6knJfnc8,,,2026-02-26T06:29:35.374Z,16.0,889.487,16.0
Color Sensation Root Retouch | Garnier,https://www.youtube.com/watch?v=dEamd3flhEs,,,2026-02-26T06:29:19.195Z,16.0,16.179,16.0
"Antonio Villaraigosa for Governor, ""Any of Us""",https://www.youtube.com/watch?v=jc3x4xM26VM,,,2026-02-26T06:29:03.060Z,16.0,16.135,16.0
Corona Extra | Cooler | EL | :06,https://www.youtube.com/watch?v=RVDB2GHOKYo,,,2026-02-26T06:28:56.249Z,7.0,6.811,6.811
FX's Love Story | World :30,https://www.youtube.com/watch?v=hFeyIVmLE4M,,,2026-02-26T06:17:48.814Z,31.0,667.435,31.0
Budweiser | American Icons - Beer Run,https://www.youtube.com/watch?v=Cu48SAOGT40,,,2026-02-26T06:17:32.859Z,16.0,15.955,15.955
JGR US 06B GetYourColorBack 16x9 CEGR0001000H 1920x1080,https://www.youtube.com/watch?v=lXzE8kN1bSs,,,2026-02-26T06:17:25.762Z,7.0,7.097,7.0
Proud Moments in Potty Training with Pull-Ups®,https://www.youtube.com/watch?v=VS4LYsxNvjg,,,2026-02-26T06:17:18.859Z,7.0,6.903,6.903
Cast of Characters | Lexus,https://www.youtube.com/watch?v=j2hbs6hcjvs,,,2026-02-26T06:00:27.314Z,16.0,1011.545,16.0
10 hours,https://www.youtube.com/watch?v=PHObEByedbs,,,2026-02-26T06:00:15.469Z,11.0,11.845,11.0
Hot Mess Munchie Meal | Encore | Jack in the Box,https://www.youtube.com/watch?v=5Y1MZPIZzxg,,,2026-02-26T06:00:08.517Z,7.0,6.952,6.952
"Gentle Ingredients, Great Wipe | Huggies® Skin Essentials™",https://www.youtube.com/watch?v=GQX4zntS4qw,,,2026-02-26T05:59:45.958Z,7.0,22.559,7.0
The Eye of Terror | Warhammer 40k Lore,https://www.youtube.com/watch?v=yiSOmhS3iKM,Imperial Iterator,https://www.youtube.com/channel/UCWf1CrEX3Pf4co0GbXKRe3w,2026-02-26T05:47:09.085Z,4604.0,756.873,756.873
Meet your new debit card for flexible payments,https://www.youtube.com/watch?v=4NXQ8SsgUb4,,,2026-02-26T05:47:00.040Z,31.0,9.045,9.045
Dead of Winter | HBO Max,https://www.youtube.com/watch?v=S4d8MImrlhA,,,2026-02-26T05:35:40.040Z,16.0,680.0,16.0
DV 10 seconds,https://www.youtube.com/watch?v=nj8Ao9kaHB8,,,2026-02-26T05:35:32.776Z,11.0,7.264,7.264
Space Marine 2 Just keeps blowing me away,https://www.youtube.com/watch?v=ZRa5Ju5nsgA,Prology,https://www.youtube.com/channel/UC7HlVXTCPryjbMO23IpoJuA,2026-02-26T05:23:15.542Z,1390.0,737.234,737.234
"Tom Steyer Is the leader who can help get California ""Unstuck""",https://www.youtube.com/watch?v=b8UzFA7Ha-g,,,2026-02-26T05:22:42.875Z,31.0,32.667,31.0
Made To Move You,https://www.youtube.com/watch?v=iXgRa9q0haE,,,2026-02-26T05:12:34.201Z,31.0,608.674,31.0
Freshness Over Family | Old Spice,https://www.youtube.com/watch?v=mY7QajCK_to,,,2026-02-26T05:12:16.605Z,31.0,17.596,17.596
Call Threes :06 | Mickey Fine Law,https://www.youtube.com/watch?v=p1eXLjJHHH4,,,2026-02-26T05:12:09.468Z,7.0,7.137,7.0
TaxAct Reminder To Do Your Taxes,https://www.youtube.com/watch?v=oPnW8OkIkOQ,,,2026-02-26T05:12:02.768Z,7.0,6.7,6.7
Why Everyone is Excited to See this MONSTER at the World Cup,https://www.youtube.com/watch?v=4hr8Zl8Nspo,Kick and Run,https://www.youtube.com/channel/UC3ypukqigNK_BVE3cD1OdVQ,2026-02-26T05:03:02.702Z,937.0,540.066,540.066
3 Months Cycling through Colombia,https://www.youtube.com/watch?v=Fhxyo85BBV0,Greg McCahon,https://www.youtube.com/channel/UCjD_dIlYBil51LU42cl3EkA,2026-02-26T05:02:11.352Z,2708.0,51.35,51.35
Scream 🦫🦎🐻 | Hoppers | @disneykids,https://www.youtube.com/watch?v=L71L2qxSHXI,,,2026-02-26T05:01:57.442Z,19.0,13.91,13.91
"Hoppers|  ""Jawsome Review | In Theaters March 6",https://www.youtube.com/watch?v=S_ZYn-mEDw0,,,2026-02-26T03:25:16.692Z,16.0,5800.75,16.0
Tom Steyer Is Taking on Trump and Fighting for Californians,https://www.youtube.com/watch?v=3bn60y1Sy3A,,,2026-02-26T03:12:45.278Z,31.0,751.414,31.0
"NBA on Prime | Rockets vs. Magic, Timberwolves vs. Clippers | Thursday",https://www.youtube.com/watch?v=xNye7DJYlPQ,,,2026-02-26T03:09:25.610Z,16.0,199.668,16.0
Flixbus 15sec Etta 16x9 US,https://www.youtube.com/watch?v=lFXcAMoDZSc,,,2026-02-26T03:03:05.633Z,15.0,379.977,15.0
On | Running shoes and apparel,https://www.youtube.com/watch?v=bB83d2wD3cQ,,,2026-02-26T03:02:49.287Z,15.0,16.346,15.0
TaxAct Has Experts to do Them For You,https://www.youtube.com/watch?v=1BZbHKaQmhg,,,2026-02-26T03:02:33.357Z,16.0,15.93,15.93
Native-Brand-ENG-Shuttlerock-GlobalFlavors-BrazilianHoneyMelon-BW-:06s-CSN-Skippable-16x9,https://www.youtube.com/watch?v=Jy6Ao4YYBjY,,,2026-02-26T03:02:26.361Z,6.0,6.996,6.0
Corona Extra | Equity Extension Cord | EL | :15,https://www.youtube.com/watch?v=NEwFzm0B5nI,,,2026-02-26T02:47:39.933Z,16.0,886.428,16.0
