title,link,channel,channel_link,date,video_length,time_diff,watch_time
Embrace the Obsession,https://www.youtube.com/watch?v=bzsr4cQ2kjE,,,2026-01-31T00:24:20.160Z,16.0,,16.0
"ANTIQUES ROADSHOW Full Episode | Red Butte Garden & Arboretum, Hour 3",https://www.youtube.com/watch?v=JEnr7a0wDwo,Antiques Roadshow PBS,https://www.youtube.com/channel/UCdnJJ2_mzqHwKIX_SmCVHTA,2026-01-31T00:07:50.023Z,,990.137,990.137
ANTIQUES ROADSHOW's Six Most Valuable Paintings EVER! | Compilation,https://www.youtube.com/watch?v=sflQx-_3pY4,Antiques Roadshow PBS,https://www.youtube.com/channel/UCdnJJ2_mzqHwKIX_SmCVHTA,2026-01-30T23:49:50.698Z,1073.0,1079.325,1073.0
Now Taxes is Expertise No Extra Fees - TurboTax 2026 Commercial (:30),https://www.youtube.com/watch?v=T4OPyYkiwc8,,,2026-01-30T23:49:01.357Z,31.0,49.341,31.0
What Catherine O'Hara Said About Her Health Before Her Death at 71 | E! News,https://www.youtube.com/watch?v=TIMs_ZPmeIg,E! News,https://www.youtube.com/channel/UCjDsbbzHgTrGc4Ff26TJtsA,2026-01-30T20:29:47.734Z,83.0,11953.623,83.0
Video Ad,https://www.youtube.com/watch?v=IFjAkJ4Yrrw,,,2026-01-30T17:42:50.388Z,46.0,10017.346,46.0
O'Reilly Veriscan with ABS 15 seconds | O'Reilly Auto Parts,https://www.youtube.com/watch?v=YNBXz-xd-3I,,,2026-01-30T17:42:42.269Z,16.0,8.119,8.119
Video Ad,https://www.youtube.com/watch?v=rxmkCRjpESQ,,,2026-01-30T17:42:26.879Z,16.0,15.39,15.39
Grab your Protein Refreshers and start pumping!,https://www.youtube.com/watch?v=el0qtkcS3_8,,,2026-01-30T17:42:11.431Z,16.0,15.448,15.448
L'Oreal Paris Extensionist Curling & Lengthening Mascara,https://www.youtube.com/watch?v=nD9O0NQvI2M,,,2026-01-30T17:42:04.942Z,7.0,6.489,6.489
KPOP Dance Workout for all Levels,https://www.youtube.com/watch?v=pLLMp4h-jX0,growwithjo,https://www.youtube.com/channel/UCZUUZFex6AaIU4QTopFudYA,2026-01-30T17:34:57.122Z,567.0,427.82,427.82
