title,link,channel,channel_link,date,video_length,time_diff,watch_time
Options,https://www.youtube.com/watch?v=9ZVJWJ9rhM4,Cameron Whitcomb - Topic,https://www.youtube.com/channel/UCHpZsd8IriyQ-znFZQWRrlQ,2026-03-08T22:06:28.262Z,170,,170.0
"15 min DANCER THIGH SCULPT Workout (Toned Glutes, Inner & Outer Thighs No Equipment)",https://www.youtube.com/watch?v=GSCKZb5U2Ec,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2026-03-08T20:43:35.931Z,1004,4972.331,1004.0
15 MIN TONED INNER & OUTER THIGH Workout (No Equipment),https://www.youtube.com/watch?v=RaaywLG3BhY,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2026-03-08T17:11:13.421Z,1032,12742.51,1032.0
Options,https://www.youtube.com/watch?v=9ZVJWJ9rhM4,Cameron Whitcomb - Topic,https://www.youtube.com/channel/UCHpZsd8IriyQ-znFZQWRrlQ,2026-03-08T04:48:30.889Z,170,44562.532,170.0
Dead on Arrival,https://www.youtube.com/watch?v=2cnOhegsMjM,Kyle Hume - Topic,https://www.youtube.com/channel/UCy6Gwq5G3l8ps2Ic4jE0mrg,2026-03-08T04:45:54.058Z,156,156.831,156.0
Toaster For A Swim,https://music.youtube.com/watch?v=YzlAfrDON9w,girlfriends - Topic,https://www.youtube.com/channel/UCU9pjcX6oILDOVYum-J3DsQ,2026-03-08T04:17:21.111Z,195,1712.947,195.0
You Happened,https://music.youtube.com/watch?v=4CGaFCPL9VI,Knox - Topic,https://www.youtube.com/channel/UCQ3AP4B2GHSfIU6dGuJl1vw,2026-03-08T04:12:48.389Z,151,272.722,151.0
Miss When You Missed Me (feat. Nightly),https://music.youtube.com/watch?v=7ljUaDZzlpM,Knox - Topic,https://www.youtube.com/channel/UCQ3AP4B2GHSfIU6dGuJl1vw,2026-03-08T04:09:50.077Z,175,178.312,175.0
"Living My Life, How About You?",https://music.youtube.com/watch?v=gJ-rzaEChTo,Tunes of The Future - Topic,https://www.youtube.com/channel/UCPtodvxGhTQALiPAA76NZLQ,2026-03-08T04:09:49.234Z,181,0.843,0.843
If These Sheets Were States,https://music.youtube.com/watch?v=D1qxvmC2bDk,All Time Low - Topic,https://www.youtube.com/channel/UCJ0ylbabpqpkROWwqRki_9A,2026-03-08T04:09:18.348Z,200,30.886,30.886
The Getaway,https://music.youtube.com/watch?v=pp5_mjAXczw,The Strike - Topic,https://www.youtube.com/channel/UCKLoDL8KJirpK_JA93opaTA,2026-03-08T04:04:43.480Z,275,274.868,274.868
