title,link,channel,channel_link,date,video_length,time_diff,watch_time
I Bought Walmart’s RTX 5060 PC… and Finally Found the Catch,https://www.youtube.com/watch?v=CjtX5TzUiMQ,HotshotTek,https://www.youtube.com/channel/UClQQoervgLHV2pAOxHJ16NA,2026-01-31T09:38:38.328Z,877.0,,877.0
Working For Ray Boccino!  | GTA 4 Playthrough - Part 10,https://www.youtube.com/watch?v=0dTV7_qLEyk,Mari2xx Gaming,https://www.youtube.com/channel/UCBRyww2-ZkSJR8ph8Rg2mJA,2026-01-31T08:55:08.980Z,2568.0,2609.348,2568.0
Stop Wearing Hats Like a Costume: 5 Essentials for Men Over 50,https://www.youtube.com/watch?v=SXvqMwRSQqE,Prime Style 50+,https://www.youtube.com/channel/UCjdROdaLh381SpcNnlUhdzw,2026-01-31T08:54:20.992Z,767.0,47.988,47.988
Entitled Delusional Walmart Female Shoplifter Caught In Her Lies But Won’t Give In,https://www.youtube.com/watch?v=8wLQrZJFtGU,Kendel Reacts Perspective ,https://www.youtube.com/channel/UCLxG60njQR-tQ-WE6W0S_Gw,2026-01-31T08:53:59.419Z,919.0,21.573,21.573
AMERICAN ME Is BRUTAL (This Movie Hit Hard),https://www.youtube.com/watch?v=uqIwkhZNEig,Popcorn Reactions,https://www.youtube.com/channel/UCKw6vDr_GPRezmaepfelFiA,2026-01-30T22:55:51.776Z,1587.0,35887.643,1587.0
I’VE NEVER HEARD OF ELVIS PRESLEY BEFORE - SUSPICIOUS MINDS REACTION ,https://www.youtube.com/watch?v=_clmAw4jkb0,Itsprincess,https://www.youtube.com/channel/UCgqRWdrR2jPB13IrMkRe-NQ,2026-01-30T22:55:27.933Z,472.0,23.843,23.843
Don Rickles: Why I NEVER Liked Lucille Ball 🤯 | Dean Martin Celebrity Roast,https://www.youtube.com/watch?v=Cwq-qsDwXLE,Our Look Back,https://www.youtube.com/channel/UCB4rkkla0Zb3PVIjqBbvldw,2026-01-30T22:53:27.063Z,60.0,120.87,60.0
THIS. IS. AWESOME!!! First Time Watching 300 (2006) | REACTION & REVIEW,https://www.youtube.com/watch?v=Fy1dn58fj3U,Stacey's Silver Screen,https://www.youtube.com/channel/UC0_EaiogAP90muh7QOn3mPQ,2026-01-30T22:27:31.347Z,3181.0,1555.716,1555.716
Gen Z Reacts To Joe Montana and Has No Idea Who He Is,https://www.youtube.com/watch?v=Oo_ZWAX0Giw,SHELOVEGROOVY,https://www.youtube.com/channel/UCSvBxy8wjX4Z151c-MsYJOg,2026-01-30T22:14:40.340Z,1483.0,771.007,771.007
Gen Z Reacts To Why Earl Campbell Was The Most Feared Running Back Ever,https://www.youtube.com/watch?v=Ck8qqqrFQzc,SHELOVEGROOVY,https://www.youtube.com/channel/UCSvBxy8wjX4Z151c-MsYJOg,2026-01-30T22:03:44.730Z,864.0,655.61,655.61
Rounders: Scamming tourists,https://www.youtube.com/watch?v=mWUpAuSSfc4,Binge Society,https://www.youtube.com/channel/UCOo_v3eVbfET7_zi2KLOP9g,2026-01-30T21:58:22.521Z,223.0,322.209,223.0
PGA Tour 2K23 I Challenge Tiger Woods,https://www.youtube.com/watch?v=d5qKPNBuT_U,HANDS ON WITH BLG,https://www.youtube.com/channel/UCbDYunlxQIUkHplvkwaeNLA,2026-01-30T21:36:31.310Z,2987.0,1311.211,1311.211
This Might Be My Last Video for a While (Not Clickbait),https://www.youtube.com/watch?v=S7nSDTTigWY,European Reacts,https://www.youtube.com/channel/UCgPh12KkTIsZuM8lXxjwkPA,2026-01-30T20:21:04.514Z,493.0,4526.796,493.0
FIRST time HEARING Prince - Nothing Compares 2 U! This NEVER seen rehearsal FOOTAGE is CRAZY...,https://www.youtube.com/watch?v=CgKhgPFLX0Y,Black Pegasus,https://www.youtube.com/channel/UCokvZArf0XB_YH7fhOIh86g,2026-01-30T19:52:27.053Z,937.0,1717.461,937.0
"Gießen Sie einfach das Ei. Es ist so lecker und einfach, dass Sie es jeden Tag kochen können!",https://www.youtube.com/watch?v=3bN66y_TWK0,Lecker und einfach,https://www.youtube.com/channel/UCW-m3eU4jdMjUOFIQlcyy-g,2026-01-30T19:43:09.663Z,162.0,557.39,162.0
