title,link,channel,channel_link,date,video_length,time_diff,watch_time
Tragic Shooting at Hockey Game and Horrific Incident Leads to Viral Video,https://www.youtube.com/watch?v=WwcgdNkv9ME,Crime Weekly,https://www.youtube.com/channel/UC_NhRiyowalHnbKjveNQxxA,2026-03-01T13:43:39.136Z,2532.0,,2532.0
Who Is She Talking Too? Must Be Y'all Bc 🤣😂,https://www.youtube.com/watch?v=Xh3rBHlaub4,NDR Antonio V ,https://www.youtube.com/channel/UC9i_NWcfvM6kePe0bBZkC5Q,2026-03-01T13:38:39.050Z,64.0,300.086,64.0
Morgan Wallen - Crazy Eyes (Audio),https://www.youtube.com/watch?v=rydeVFujpPA,MorganWallenVEVO,https://www.youtube.com/channel/UCiQtJ9wVv8R-x7GKHzgZu8A,2026-03-01T06:36:48.575Z,199.0,25310.475,199.0
Morgan Wallen - If You Were Mine (Audio),https://www.youtube.com/watch?v=jP4QAnd2eDc,MorganWallenVEVO,https://www.youtube.com/channel/UCiQtJ9wVv8R-x7GKHzgZu8A,2026-03-01T06:36:09.558Z,168.0,39.017,39.017
Morgan Wallen - Spin You Around (1/24) (Lyric Video),https://www.youtube.com/watch?v=SL4BH6VoK4Y,Morgan Wallen,https://www.youtube.com/channel/UCzIyoPv6j1MAZpDHKLGP_eA,2026-03-01T06:33:41.916Z,210.0,147.642,147.642
Dark Til Daylight,https://www.youtube.com/watch?v=mpf9naviW5w,Morgan Wallen - Topic,https://www.youtube.com/channel/UC5xaQ6_dP7EGDmGLzVGZ1Ow,2026-03-01T06:32:06.964Z,236.0,94.952,94.952
The psychology of narcissism - W. Keith Campbell,https://www.youtube.com/watch?v=arJLy3hX1E8,TED-Ed,https://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,2026-03-01T04:34:00.462Z,310.0,7086.502,310.0
Pedo Boyfriend's Disgusting Family Murder Fantasies,https://www.youtube.com/watch?v=UTjkOV_ydzI,The Misery Machine,https://www.youtube.com/channel/UCI7kdtCQH7BYzxyjpwKNyTA,2026-02-28T10:58:13.955Z,4220.0,63346.507,4220.0
Gang Of Kids Murder Mother To Get Back At Her Son,https://www.youtube.com/watch?v=UF5i4Xs5isQ,The Misery Machine,https://www.youtube.com/channel/UCI7kdtCQH7BYzxyjpwKNyTA,2026-02-28T10:38:51.617Z,1208.0,1162.338,1162.338
"Beauty Queen Wants Baby With New Man, Just Not THAT Baby",https://www.youtube.com/watch?v=hqw8By8zINc,The Misery Machine,https://www.youtube.com/channel/UCI7kdtCQH7BYzxyjpwKNyTA,2026-02-28T10:15:45.205Z,1386.0,1386.412,1386.0
Mom’s New Man Beats Her With Metal Rod to “Motivate Her to Do Chores”,https://www.youtube.com/watch?v=ka_Gr9MDOAs,The Misery Machine,https://www.youtube.com/channel/UCI7kdtCQH7BYzxyjpwKNyTA,2026-02-28T10:02:49.732Z,834.0,775.473,775.473
Collect with the best,https://www.youtube.com/watch?v=sCR0hY7BaIo,,,2026-02-28T09:55:30.591Z,21.0,439.141,21.0
"American Idol Murder, Jeffrey E. Files Updates, & Missing 2-Year-Old",https://www.youtube.com/watch?v=X4ZAJ3_D0RI,Annie Elise,https://www.youtube.com/channel/UCOK0fZAUx82plnLhTKZW6qg,2026-02-27T12:11:39.802Z,3860.0,78230.789,3860.0
