title,link,channel,channel_link,date,video_length,time_diff,watch_time
Packing Up Our House!,https://www.youtube.com/watch?v=gM4j9xUVOXM,Bonnie Hoellein,https://www.youtube.com/channel/UCLPyjp5kxGEr8odmEsVb6Sg,2026-03-07T05:05:38.696Z,538,,538.0
A Visually Complicated Vector Addition Problem using Component Vectors,https://www.youtube.com/watch?v=e0rZI2JYGkY,Flipping Physics,https://www.youtube.com/channel/UCYqACVYl0c0BhlVN6X2HIMg,2026-03-06T21:07:45.557Z,477,28673.139,477.0
Introduction to Vector Components,https://www.youtube.com/watch?v=Hjc8WwqqF6s,Flipping Physics,https://www.youtube.com/channel/UCYqACVYl0c0BhlVN6X2HIMg,2026-03-06T21:06:43.253Z,503,62.304,62.304
"Introduction to Tip-to-Tail Vector Addition, Vectors and Scalars",https://www.youtube.com/watch?v=ZYl9-iz7nR8,Flipping Physics,https://www.youtube.com/channel/UCYqACVYl0c0BhlVN6X2HIMg,2026-03-06T21:06:18.805Z,627,24.448,24.448
easy post beach makeup,https://www.youtube.com/watch?v=IMdMcuXgp7s,Quincy Whipple,https://www.youtube.com/channel/UCiX_32hDWfAzlwYSwQZ-fzQ,2026-03-06T03:53:28.554Z,30,61970.251,30.0
10 min pilates arms workout: minimal equipment workout for slim & toned arms!,https://www.youtube.com/watch?v=8-yJ0fccu2c,nairee kiana,https://www.youtube.com/channel/UClrVhBi5AWaeudy475xELZQ,2026-02-28T21:51:34.098Z,672,453714.456,672.0
a day in LA with me (vlog!),https://www.youtube.com/watch?v=yrgpmp1L5Gc,Quincy Whipple,https://www.youtube.com/channel/UCiX_32hDWfAzlwYSwQZ-fzQ,2026-02-25T22:26:19.963Z,956,257114.135,956.0
week in my life modeling in NYC and LA,https://www.youtube.com/watch?v=x1nUNjrRhIk,Quincy Whipple,https://www.youtube.com/channel/UCiX_32hDWfAzlwYSwQZ-fzQ,2026-02-25T21:58:30.582Z,1146,1669.381,1146.0
Study Debrief,https://www.youtube.com/watch?v=ebbY2i127mY,Example Study,https://www.youtube.com/channel/UCRvTp5d0FFvUCkNZZ0r7G2w,2026-02-25T03:34:30.470Z,163,66240.112,163.0
The Buc-ee’s Diet,https://www.youtube.com/watch?v=QoCXsCXGKuY,Killdozer_tv,https://www.youtube.com/channel/UCqwXsqMlCiBsJuvKZzsrS7w,2026-02-25T02:06:48.463Z,2932,5262.007,2932.0
