title,link,channel,channel_link,date,video_length,time_diff,watch_time
Nobuo Uematsu's Y2K Synth! (SC-8820),https://www.youtube.com/watch?v=A5BnQoILd-U,SoundFontGuy,https://www.youtube.com/channel/UCkY9Bvhg9xrI7CsFnJZzZsg,2026-02-28T06:18:32.998Z,554.0,,554.0
Pasta La Vista?! - The Mario game we've always wanted...,https://www.youtube.com/watch?v=WXWc-K96D2E,Blue Television Games,https://www.youtube.com/channel/UCw5YkWj0TfjZrQEgG8u9JjQ,2026-02-28T06:17:00.510Z,1359.0,92.488,92.488
Why you should think twice before moving to Germany,https://www.youtube.com/watch?v=MMKOE-IgRgg,rewboss,https://www.youtube.com/channel/UCYcfR8isBfe45h-KBewVKug,2026-02-28T06:16:43.691Z,620.0,16.819,16.819
How to Actually Use AI for Language Learning (LLMs The Expert Way),https://www.youtube.com/watch?v=xQXiSGDXknA,languagejones,https://www.youtube.com/channel/UCVwfqPkv08OTuHzkPU3EaDw,2026-02-28T06:16:30.556Z,1251.0,13.135,13.135
Arturia Keystep 37 Mk2 Review and Demo,https://www.youtube.com/watch?v=iS1jPCpSIpI,Starsky Carr,https://www.youtube.com/channel/UCvqGJkKHb-VHgxJmuBbIfIQ,2026-02-28T06:16:15.624Z,956.0,14.932,14.932
Things in Pokémon That You Have Never Seen Before,https://www.youtube.com/watch?v=sNwLAkxjo-8,Nintendo Unity,https://www.youtube.com/channel/UCa4I_j0G2xQNhvj_UMQahmQ,2026-02-28T06:13:43.067Z,1412.0,152.557,152.557
Why We Can’t Recognise Synths in Pop Music Anymore,https://www.youtube.com/watch?v=9AOsHqkPqKA,Espen Kraft,https://www.youtube.com/channel/UCa5swc5zZU-xdI8T2RzhL4Q,2026-02-28T06:11:41.202Z,187.0,121.865,121.865
This Metroidvania Has The Hardest Boss In Video Games,https://www.youtube.com/watch?v=mp0Y95kAjHw,JupiterClimb,https://www.youtube.com/channel/UC7N_E3kqy7cGqjB5a3XX8aQ,2026-02-28T06:09:37.045Z,436.0,124.157,124.157
Zebra finch discovers feet,https://www.youtube.com/watch?v=Wxqhl087ET4,Grimtou,https://www.youtube.com/channel/UCtQpFJ7gMkbSmttDtxBgVNA,2026-02-28T06:09:03.313Z,13.0,33.732,13.0
Takumi Yoneyama (米山拓巳) - Relaxation Music For Your Computer Life (1997) [Full Album],https://www.youtube.com/watch?v=hOh5zHYlJX4,should be asleep,https://www.youtube.com/channel/UC-RVESJTf_zSaFB8qGoxOnA,2026-02-28T06:08:13.432Z,2851.0,49.881,49.881
Why cartoons were obsessed with ACME #cartoon #history #business,https://www.youtube.com/watch?v=Hz8Qoq3ed4Q,Phil Edwards,https://www.youtube.com/channel/UCb_MAhL8Thb3HJ_wPkH3gcw,2026-02-28T06:07:58.109Z,179.0,15.323,15.323
FREE FOR LIMITED TIME BoomBlender Lite by Quagliardi Pro Audio,https://www.youtube.com/watch?v=FCcHgR3O85A,FREE PLUGINS FREE ,https://www.youtube.com/channel/UCu-FH69Yv1Vh12059TRxSKA,2026-02-28T06:07:50.953Z,251.0,7.156,7.156
Morphulus Spectrus – 7 Effects in ONE Plugin - Ultimate Creative FX Rack,https://www.youtube.com/watch?v=U3yMgDBdlKU,satyatunes,https://www.youtube.com/channel/UC8moiKFWEbL-_9JON4LzPNg,2026-02-28T05:25:30.520Z,949.0,2540.433,949.0
LOVE 2 - Instant Beauty for Any Sound (Granular Multi FX),https://www.youtube.com/watch?v=XbbPDyD1TiA,DAWESOME MUSIC,https://www.youtube.com/channel/UCk7TG7Yl50vvtkzzxDDlPsg,2026-02-28T05:22:50.620Z,87.0,159.9,87.0
NOVATION ULTRANOVA & MININOVA 1980'S SOUND-PAK,https://www.youtube.com/watch?v=AM7MEfMyqzg,Matthew Jessup,https://www.youtube.com/channel/UC4e6saNnb33frKECP_Hjxcg,2026-02-28T05:04:53.015Z,636.0,1077.605,636.0
090 / Moog Matriarch / No. 14 / The Beauty of Falling Apart,https://www.youtube.com/watch?v=G2Q2IFvDGQ4,Matthew Lowes,https://www.youtube.com/channel/UCsvK0mPisEMw8C1ouBBCWow,2026-02-28T05:03:56.238Z,421.0,56.777,56.777
Cool Cartoons to See Before You Die,https://www.youtube.com/watch?v=6T5bsHjb-dE,ibcf,https://www.youtube.com/channel/UCxlUBQvNzXipLW3P_EIbkKA,2026-02-28T05:03:40.629Z,275.0,15.609,15.609
Why Does Korean Have Spaces? (But Chinese & Japanese Don’t),https://www.youtube.com/watch?v=NUNzBcznoPY,OllehRebelz,https://www.youtube.com/channel/UCJCeK82trZ9Jeo3qRHq3BIg,2026-02-28T04:01:29.339Z,370.0,3731.29,370.0
Spooky - Don't Panic (1992),https://www.youtube.com/watch?v=pDu8yk6XINo,Morgan Fako,https://www.youtube.com/channel/UCDWbWEY46M0XW0dTpVnO1hQ,2026-02-28T03:57:58.511Z,403.0,210.828,210.828
Spooky - Don't Panic ( 1992 ),https://www.youtube.com/watch?v=beT4AbCsHxQ,Underagechicken ,https://www.youtube.com/channel/UCESJ9G8hbm8B_ywq0v6sYRg,2026-02-28T03:57:49.523Z,421.0,8.988,8.988
Why are propeller hats a thing?  #history #fashion #beanys,https://www.youtube.com/watch?v=L5trBKFCOb0,Phil Edwards,https://www.youtube.com/channel/UCb_MAhL8Thb3HJ_wPkH3gcw,2026-02-28T03:22:25.462Z,145.0,2124.061,145.0
David Sylvian - Pulling Punches [Bass],https://www.youtube.com/watch?v=e0-YMklOhRo,Ekradon,https://www.youtube.com/channel/UCKZX-s92Ms6y2oCVSdioZNw,2026-02-28T02:49:58.498Z,304.0,1946.964,304.0
Eric Stuart's Voice Acting,https://www.youtube.com/watch?v=KrpRpvcWiYc,FuzzyPigmon,https://www.youtube.com/channel/UC-9Rxz-yPBkHhjod8FDV_1w,2026-02-28T02:48:58.070Z,68.0,60.428,60.428
Voice actor for Brock,https://www.youtube.com/watch?v=hgEG86K-9uA,SPARKY,https://www.youtube.com/channel/UC8N6BrMxZxIpoq5K1x_6Ktw,2026-02-28T02:48:39.276Z,14.0,18.794,14.0
What makes a Christian?,https://www.youtube.com/watch?v=3IteC_Qo4iM,Data Over Dogma,https://www.youtube.com/channel/UCwsrIijdkrYaQmjnKO2FKRQ,2026-02-28T02:34:12.273Z,58.0,867.003,58.0
Is the Trinity Biblical? (Data Over Dogma Classic),https://www.youtube.com/watch?v=acCzzQRXwqE,Data Over Dogma,https://www.youtube.com/channel/UCwsrIijdkrYaQmjnKO2FKRQ,2026-02-28T02:33:53.446Z,1354.0,18.827,18.827
"Letting The ""Straight"" Popular Girl Into Your Tent - F4F ASMR RP [Gay Awakening][Caught Reading WLW]",https://www.youtube.com/watch?v=cQB9Vh6iH7s,Shaymeless Audios,https://www.youtube.com/channel/UC6__MhNvznUEEK2Jde5Ewvw,2026-02-28T02:33:23.623Z,2819.0,29.823,29.823
Dead Menu | Onion Nuggets from McDonald’s,https://www.youtube.com/watch?v=7W-jPt7aizk,Big Nibbles,https://www.youtube.com/channel/UClfLmmxQVEX8SauwFlfPpog,2026-02-28T02:13:25.191Z,61.0,1198.432,61.0
Vicious World,https://music.youtube.com/watch?v=inGgDWF5dxU,Ayria - Topic,https://www.youtube.com/channel/UCzaqS-NuR2_4j043iiN-kWw,2026-02-28T01:52:18.535Z,222.0,1266.656,222.0
Breakthrough treatment for those who suffer from tinnitus,https://www.youtube.com/watch?v=6qZUMmsoMBc,News4JAX The Local Station,https://www.youtube.com/channel/UC_YFbvKedjnVjqrZqBR4L8Q,2026-02-28T01:46:21.647Z,133.0,356.888,133.0
