title,link,channel,channel_link,date,video_length,time_diff,watch_time
Ultimate Guide To Body Exfoliation From A Dermatologist,https://www.youtube.com/watch?v=vPWoQ5y4qS4,Dr Dray,https://www.youtube.com/channel/UCnxmUrGMtpQT844Yd_l7Zyg,2026-02-23T00:38:28.496Z,809.0,,809.0
HOW TO: EXFOLIATE / REMOVE DEAD SKIN & PREVENT STRAWBERRY LEGS,https://www.youtube.com/watch?v=vyiLnDvogJ0,Bushra Asl,https://www.youtube.com/channel/UCxY_A-nWccgxsS9nUdWpf3g,2026-02-23T00:32:00.278Z,934.0,388.218,388.218
The 7 Levels of Pop Boy,https://www.youtube.com/watch?v=fQfG0SSwc60,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-02-22T18:30:47.897Z,2379.0,21672.381,2379.0
The Mandalorian and Grogu Super Bowl Spot (2026),https://www.youtube.com/watch?v=WtKvXTT6KKo,Rotten Tomatoes Trailers,https://www.youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA,2026-02-21T00:16:03.318Z,47.0,152084.579,47.0
The Caleb Hearon Episode | Fear&,https://www.youtube.com/watch?v=CkgdCtshRos,Fear&,https://www.youtube.com/channel/UCnI_h3e6b5jGLfly2SY57SA,2026-02-20T06:13:24.531Z,4390.0,64958.787,4390.0
Hasan Piker & Brace Belden Get Freaky with AI | Victory Light Ep. 166,https://www.youtube.com/watch?v=tilLsYuXZIU,The Kid Mero,https://www.youtube.com/channel/UCLDgeSZxtU9xnyZKrfbHN3A,2026-02-20T06:13:09.499Z,3130.0,15.032,15.032
The Caleb Hearon Episode | Fear&,https://www.youtube.com/watch?v=CkgdCtshRos,Fear&,https://www.youtube.com/channel/UCnI_h3e6b5jGLfly2SY57SA,2026-02-20T05:15:14.109Z,4390.0,3475.39,3475.39
How to Make Rice Porridge in a Zojirushi Rice Cooker,https://www.youtube.com/watch?v=nsIfI-8y0eQ,SuperPope Gaming,https://www.youtube.com/channel/UCK8NoGI9s8GbvRREkEaxYqw,2026-02-18T17:42:04.600Z,186.0,127989.509,186.0
The Pop Boys Are In Crisis,https://www.youtube.com/watch?v=kSUVfoVCtYk,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-02-16T05:20:05.335Z,2434.0,217319.265,2434.0
Why Taylor Swift Finally Broke Her Silence on Charli XCX,https://www.youtube.com/watch?v=Sj3_EqYWyJ4,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-02-16T05:19:49.025Z,3204.0,16.31,16.31
The Most Dangerous Flop in Pop Music,https://www.youtube.com/watch?v=3MaWMp07PUs,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-02-16T05:19:43.818Z,2257.0,5.207,5.207
How Tricky Stewart Made Beyoncé & Rihanna's Biggest Songs,https://www.youtube.com/watch?v=dNXCpsXkuSk,Daniel Wall,https://www.youtube.com/channel/UCRWu77ldqaQboq3JXLd5waQ,2026-02-16T04:42:29.553Z,6173.0,2234.265,2234.265
Frank Ocean- Novacane (Official Video HQ),https://www.youtube.com/watch?v=WtyX_Ec5MZw,Haran Banjo,https://www.youtube.com/channel/UCy840a47YmdDaKG8rR-CWBA,2026-02-16T04:40:40.982Z,,108.571,108.571
