title,link,channel,channel_link,date,video_length,time_diff,watch_time
The Tiktokification of Asian Food is Weird,https://www.youtube.com/watch?v=4x-gDZfeS8g,Edvasian,https://www.youtube.com/channel/UCnJMxPKyz6nj7qoMwY0LkSw,2026-03-08T03:33:33.340Z,1374.0,,1374.0
She Drank 1 Jar Of Barbicide 😨,https://www.youtube.com/watch?v=kCegwRMOFyo,Chubbyemu,https://www.youtube.com/channel/UCKOvOaJv4GK-oDqx-sj7VVg,2026-03-08T03:33:05.922Z,68.0,27.418,27.418
Can You Beat Genshin Impact Without Teleporting??!!,https://www.youtube.com/watch?v=9JAOysxVSZ0,MistahFeet,https://www.youtube.com/channel/UCKPikWKJCCenLfmaVHl0R7A,2026-03-06T07:19:59.746Z,3386.0,159186.176,3386.0
I challenged Anomaly Arbitration 4.0 as a F2P...,https://www.youtube.com/watch?v=JyLfTnFp-8o,Kachulu 2,https://www.youtube.com/channel/UCAzoVsggNMyLc8vhsWI8urw,2026-03-06T06:59:51.388Z,1892.0,1208.358,1208.358
Super Paper Mario's Most Maddening Speedrun,https://www.youtube.com/watch?v=MQjztqsT8hA,LunaticJ,https://www.youtube.com/channel/UC6Tp0ptVPoykN-tnhy7gEIw,2026-03-06T06:27:42.112Z,2851.0,1929.276,1929.276
"Introducing: Gatorade Lower Sugar. No artificial flavors, sweeteners, or colors.",https://www.youtube.com/watch?v=qtHbkb9koFE,,,2026-03-06T06:27:06.581Z,16.0,35.531,16.0
RE5 on Professional Mode is a War Crime Simulator,https://www.youtube.com/watch?v=_-Xvki0iKLc,Voiy,https://www.youtube.com/channel/UCyQvKgfglAeko4XO62STc3w,2026-03-06T01:40:33.504Z,2449.0,17193.077,2449.0
More Unique Eating Habits | My Strange Addiction | TLC,https://www.youtube.com/watch?v=WHOJaYBcvTI,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2026-03-06T01:39:34.482Z,1709.0,59.022,59.022
Alex and Allie's Love Story | 7 Little Johnstons | TLC,https://www.youtube.com/watch?v=tnLFZZvkz7Q,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2026-03-06T01:39:08.315Z,1620.0,26.167,26.167
Resident Evil in VR is Perfect,https://www.youtube.com/watch?v=dgVd2VWZP5Y,wolf397,https://www.youtube.com/channel/UCZWuKlYbAe_vfoH0xutoHHw,2026-03-06T01:31:54.297Z,865.0,434.018,434.018
"I bought a ""Nintendo Switch"" for $55... and THIS happened 💀",https://www.youtube.com/watch?v=oWUPhlTOTKI,Crackin' Carts,https://www.youtube.com/channel/UCB5D02bTdp0j3vbFEtp0FKw,2026-03-06T01:26:43.451Z,660.0,310.846,310.846
The Lucky Scoop Situation,https://www.youtube.com/watch?v=dK_ZKvOv-34,rachel louise,https://www.youtube.com/channel/UCFz70EW5Q7s2JofZZPP65og,2026-03-06T01:19:55.167Z,1701.0,408.284,408.284
temu hauls are WILD,https://www.youtube.com/watch?v=CTuehOai4Ps,Shawna Ripari,https://www.youtube.com/channel/UCS_HwrmuMToo0nS7sQxknOA,2026-03-03T18:35:40.720Z,2701.0,197054.447,2701.0
